model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,2024-01-01,13:30-16:00,1,1,1,0,2.590308,2.590308,1.0,2.132272,88.0,2.132272,1.566136,1.48775,1.48775,0.046972,0.031414,0.078386,1.0,1.0,1.0,0.0,3.0,,6.0,8.0,0,1
ict2022_mss_fvg,2024-01-03,07:00-10:00,1,1,1,0,0.355273,0.355273,0.0,2.0,88.0,-1.0,-1.0,-1.015206,-1.015206,0.016903,-0.001697,0.015206,0.0,0.0,0.0,1.0,1.0,7.0,,,0,1
ict2022_mss_fvg,2024-01-04,07:00-10:00,1,1,1,0,0.88989,0.88989,1.0,0.396575,78.0,0.396575,0.396575,0.353019,0.353019,0.043556,0.0,0.043556,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2024-01-08,02:00-05:00,1,1,1,0,1.915157,1.915157,1.0,0.208169,78.0,0.208169,0.208169,0.172204,0.172204,0.035965,0.0,0.035965,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2024-01-16,07:00-10:00,1,1,1,0,2.102447,2.102447,1.0,0.533473,73.0,0.533473,0.533473,0.374316,0.374316,0.159157,0.0,0.159157,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2024-01-18,02:00-05:00,1,1,1,0,7.487529,7.487529,1.0,0.644402,78.0,0.644402,0.644402,0.474421,0.474421,0.169981,0.0,0.169981,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2024-01-25,07:00-10:00,1,1,1,0,0.98809,0.98809,0.0,0.44325,73.0,-1.0,-1.0,-1.276753,-1.276753,0.276753,0.0,0.276753,0.0,0.0,0.0,1.0,1.0,1.0,,,1,1
ict2022_mss_fvg,2024-01-25,13:30-16:00,1,1,1,0,4.572506,4.572506,1.0,0.22604,73.0,0.22604,0.22604,0.138964,0.138964,0.087076,0.0,0.087076,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2024-01-26,07:00-10:00,2,2,2,0,1.135078,1.135078,0.0,2.0,88.0,0.17494,-0.026828,-0.069279,-0.069279,0.039284,0.003168,0.042452,0.0,0.5,0.0,0.5,2.5,3.0,7.0,,0,2
ict2022_mss_fvg,none,none,1,1,1,0,0.929334,0.929334,1.0,0.18522,58.0,0.18522,0.18522,0.123473,0.123473,0.061747,0.0,0.061747,1.0,0.0,0.0,0.0,1.0,,,,0,1
