phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,22,30,False,18.181818,-0.718236,0.166366,15.801195,-15.801195,88.454545,2.080734,295.215028,0.048952,0.00296,0.051912
train,ALL,ALL,model_rules,0,True,first,7,30,False,14.285714,-0.695653,0.229551,4.869574,-4.869574,88.0,2.063778,262.873741,0.050707,0.00209,0.052796
train,by_symbol,BTCUSDT,model_rules,0,True,first,4,30,False,25.0,-0.436466,0.453858,2.155806,-1.745864,88.0,2.0,245.00965,0.058562,0.002904,0.061466
train,by_symbol,ETHUSDT,model_rules,0,True,first,3,30,False,0.0,-1.041237,0.0,3.12371,-3.12371,88.0,2.148815,286.692529,0.040233,0.001004,0.041237
train,by_direction,long,model_rules,0,True,first,2,30,False,50.0,0.160583,1.284295,1.129693,0.321166,88.0,2.0,150.474337,0.087183,0.002233,0.089417
train,by_direction,short,model_rules,0,True,first,5,30,False,0.0,-1.038148,0.0,5.19074,-5.19074,88.0,2.089289,307.833503,0.036116,0.002032,0.038148
train,by_session_label,custom,model_rules,0,True,first,4,30,False,0.0,-1.055515,0.0,4.222058,-4.222058,88.0,2.0,302.589723,0.052898,0.002616,0.055515
train,by_session_label,ny_open,model_rules,0,True,first,3,30,False,33.333333,-0.215839,0.69142,2.098375,-0.647516,88.0,2.148815,209.919098,0.047785,0.001387,0.049172
train,by_target_distance_bucket,none,model_rules,0,True,first,7,30,False,14.285714,-0.695653,0.229551,4.869574,-4.869574,88.0,2.063778,262.873741,0.050707,0.00209,0.052796
train,by_risk_bps_bucket,none,model_rules,0,True,first,7,30,False,14.285714,-0.695653,0.229551,4.869574,-4.869574,88.0,2.063778,262.873741,0.050707,0.00209,0.052796
