model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,2022-02-27,13:30-16:00,2,2,2,0,0.715456,0.715456,0.0,2.0,88.0,-1.0,-1.0,-1.033126,-1.033126,0.027894,0.005233,0.033126,0.0,0.0,0.0,1.0,1.0,16.0,,,0,2
ict2022_mss_fvg,2022-02-28,13:30-16:00,1,1,1,0,1.027028,1.027028,1.0,0.061482,78.0,0.061482,0.061482,0.048406,0.048406,0.013076,0.0,0.013076,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2022-03-13,07:00-10:00,2,2,2,0,1.286914,1.286914,0.0,1.241417,83.0,-1.0,-1.0,-1.055391,-1.055391,0.055391,0.0,0.055391,0.0,0.0,0.0,1.0,1.0,1.5,,,0,2
ict2022_mss_fvg,2022-03-31,07:00-10:00,2,2,2,0,4.226863,4.226863,1.0,0.26659,78.0,0.26659,0.436626,0.354514,0.354514,0.082112,0.0,0.082112,1.0,0.5,0.0,0.0,1.0,,1.0,,0,2
ict2022_mss_fvg,2022-04-01,13:30-16:00,1,1,1,0,0.361299,0.361299,1.0,0.011663,78.0,0.011663,0.011663,-0.006092,-0.006092,0.017755,0.0,0.017755,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2022-04-05,07:00-10:00,3,3,3,0,1.523067,1.645991,0.666667,0.082761,78.0,-0.269257,-0.269257,-0.297296,-0.297296,0.028039,0.0,0.028039,0.666667,0.0,0.0,0.333333,1.0,1.0,,,0,3
ict2022_mss_fvg,2022-04-05,13:30-16:00,1,1,1,0,2.081682,2.081682,0.0,0.229964,78.0,-1.0,-1.0,-1.036395,-1.036395,0.036395,0.0,0.036395,0.0,0.0,0.0,1.0,2.0,1.0,,,1,1
ict2022_mss_fvg,2022-06-25,07:00-10:00,1,1,1,0,0.952602,0.952602,0.0,2.446445,88.0,-1.0,-1.0,-1.047193,-1.047193,0.047498,-0.000305,0.047193,0.0,0.0,0.0,1.0,2.0,11.0,,,0,1
ict2022_mss_fvg,2022-07-07,07:00-10:00,1,1,1,0,3.753008,3.753008,1.0,2.0,88.0,2.0,1.5,1.450859,1.450859,0.044674,0.004467,0.049141,1.0,1.0,1.0,0.0,1.0,,7.0,9.0,0,1
ict2022_mss_fvg,2022-08-29,07:00-10:00,1,1,1,0,0.659685,0.659685,0.0,0.239904,78.0,-1.0,-1.0,-1.040783,-1.040783,0.040783,0.0,0.040783,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
ict2022_mss_fvg,2022-08-30,13:30-16:00,1,1,1,0,0.033022,0.033022,0.0,2.0,88.0,-1.0,-1.0,-1.026113,-1.026113,0.026113,0.0,0.026113,0.0,0.0,0.0,1.0,2.0,2.0,,,0,1
ict2022_mss_fvg,2022-09-25,07:00-10:00,1,1,1,0,2.102957,2.102957,1.0,0.157054,78.0,0.157054,0.157054,0.088559,0.088559,0.068495,0.0,0.068495,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2022-10-16,13:30-16:00,1,1,1,0,1.940713,1.940713,0.0,2.0,88.0,-1.0,-1.0,-1.129693,-1.129693,0.129693,0.0,0.129693,0.0,0.0,0.0,1.0,3.0,1.0,,,0,1
ict2022_mss_fvg,2022-10-25,13:30-16:00,2,2,2,0,0.548119,0.548119,0.0,1.153673,83.0,-1.0,-1.0,-1.015624,-1.015624,0.015624,0.0,0.015624,0.0,0.0,0.0,1.0,2.0,2.0,,,0,2
ict2022_mss_fvg,2022-10-28,07:00-10:00,1,1,1,0,1.43396,1.43396,1.0,0.544796,78.0,0.544796,0.544796,0.51718,0.51718,0.027616,0.0,0.027616,1.0,0.0,0.0,0.0,1.0,,,,0,1
ict2022_mss_fvg,2022-11-11,07:00-10:00,1,1,1,0,5.75947,5.75947,1.0,0.374639,78.0,0.374639,0.687319,0.583439,0.583439,0.10388,0.0,0.10388,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ict2022_mss_fvg,2022-12-13,07:00-10:00,1,1,1,0,0.073987,0.073987,0.0,2.0,88.0,-1.0,-1.0,-1.024028,-1.024028,0.024028,0.0,0.024028,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
