scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,59,100,False,33.898305,-0.467808,0.413076,0.919543,-0.467808,-2.997642,0.230369,28.220504,10,-27.600668,0.054402,0.001428,0.05583
filtered_all,ALL,model_rules,0,36,23,100,False,21.73913,-0.640915,0.842711,1.053033,-0.640915,-2.297157,0.222297,15.150984,9,-14.741042,0.047709,0.003112,0.050821
by_symbol,BTCUSDT,model_rules,0,0,13,100,False,30.769231,-0.463677,0.888267,1.06454,-0.463677,-1.062378,0.37085,6.437738,5,-6.027796,0.052935,0.004193,0.057128
by_symbol,ETHUSDT,model_rules,0,0,10,100,False,10.0,-0.871325,0.660486,1.041526,-0.871325,-3.13991,0.070461,8.713246,8,-8.713246,0.040916,0.001707,0.042623
by_direction,long,model_rules,0,0,14,100,False,35.714286,-0.384208,0.842711,1.06583,-0.384208,-0.969548,0.439256,7.490258,4,-5.378913,0.053239,0.004387,0.057626
by_direction,short,model_rules,0,0,9,100,False,0.0,-1.040237,,1.040237,-1.040237,-119.348024,0.0,9.362129,9,-9.362129,0.039108,0.001129,0.040237
by_session_label,custom,model_rules,0,0,5,100,False,0.0,-1.048632,,1.048632,-1.048632,-62.849124,0.0,5.243159,5,-5.243159,0.046539,0.002093,0.048632
by_session_label,london_open,model_rules,0,0,4,100,False,25.0,-0.713971,0.312389,1.056092,-0.713971,-2.102047,0.098599,3.168275,3,-2.855886,0.047519,0.008896,0.056415
by_session_label,ny_open,model_rules,0,0,14,100,False,28.571429,-0.474428,0.975291,1.054316,-0.474428,-1.135446,0.370018,8.753342,6,-6.641997,0.048182,0.001823,0.050005
by_target_distance_bucket,none,model_rules,0,0,23,100,False,21.73913,-0.640915,0.842711,1.053033,-0.640915,-2.297157,0.222297,15.150984,9,-14.741042,0.047709,0.003112,0.050821
by_risk_bps_bucket,none,model_rules,0,0,23,100,False,21.73913,-0.640915,0.842711,1.053033,-0.640915,-2.297157,0.222297,15.150984,9,-14.741042,0.047709,0.003112,0.050821
by_no_trade_reasons,none,model_rules,0,0,1,100,False,0.0,-1.161556,,1.161556,-1.161556,,0.0,1.161556,1,-1.161556,0.161556,0.0,0.161556
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,22,100,False,22.727273,-0.617249,0.842711,1.046649,-0.617249,-2.13445,0.236809,13.989428,9,-13.579486,0.042534,0.003253,0.045788
