phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,False,none,4,30,False,100.0,0.755527,inf,0.0,3.022109,78.0,3.693586,75.936544,0.135236,0.0,0.135236
train,ALL,ALL,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
train,by_symbol,BTCUSDT,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
train,by_direction,long,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
train,by_displacement_grade,strong,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
train,by_dol_target_type,clean_equal_highs,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
train,by_dol_source,local_eqh,model_rules,0,False,none,1,30,False,100.0,1.944452,inf,0.0,1.944452,78.0,3.126102,84.317725,0.118599,0.0,0.118599
validation,ALL,ALL,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
validation,by_symbol,BTCUSDT,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
validation,by_direction,short,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
validation,by_displacement_grade,strong,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
validation,by_dol_target_type,external_swing_low,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
validation,by_dol_source,local_swing,model_rules,0,False,none,1,30,False,100.0,0.391068,inf,0.0,0.391068,78.0,3.947449,91.800465,0.108932,0.0,0.108932
test,ALL,ALL,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
test,by_symbol,ETHUSDT,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
test,by_direction,long,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
test,by_displacement_grade,strong,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
test,by_dol_target_type,clean_equal_highs,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
test,by_dol_source,local_eqh,model_rules,0,False,none,2,30,False,100.0,0.343295,inf,0.0,0.686589,78.0,3.850397,63.813993,0.156705,0.0,0.156705
