model,timeframe,count,avg_mfe_r,median_mfe_r,target_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count
breaker_block,15m,786,9.357122,6.138124,0.459288,0.540712,0
breaker_block,1h,652,12.230304,6.507222,0.430982,0.569018,0
breaker_block,1m,428,2.82318,2.341147,0.528037,0.453271,0
breaker_block,30m,762,11.442719,5.668383,0.44357,0.555118,0
breaker_block,4h,671,15.211837,7.905947,0.372578,0.627422,0
breaker_block,5m,733,6.902925,4.900204,0.45839,0.540246,0
ifvg_retest,15m,339,17.258505,9.900264,0.39528,0.60472,0
ifvg_retest,1h,317,30.238106,16.585398,0.365931,0.630915,0
ifvg_retest,1m,470,2.754586,2.011887,0.310638,0.665957,0
ifvg_retest,30m,344,22.263553,13.675351,0.389535,0.610465,0
ifvg_retest,4h,318,34.653411,13.541837,0.333333,0.666667,0
ifvg_retest,5m,384,10.088059,6.800246,0.369792,0.627604,0
reclaimed_ob,15m,51,13.256821,5.327475,0.54902,0.45098,0
reclaimed_ob,1h,20,12.156061,4.971208,0.6,0.4,0
reclaimed_ob,1m,67,3.305473,2.96311,0.835821,0.164179,0
reclaimed_ob,30m,28,16.452887,15.190972,0.5,0.5,0
reclaimed_ob,4h,17,41.49988,18.118647,0.647059,0.352941,0
reclaimed_ob,5m,51,5.652962,4.128221,0.54902,0.45098,0
silver_bullet,15m,24,3.781544,1.264495,0.208333,0.708333,0
silver_bullet,1h,36,4.041721,1.572583,0.25,0.555556,0
silver_bullet,1m,45,0.860415,0.616599,0.088889,0.422222,0
silver_bullet,30m,37,2.901012,0.991768,0.324324,0.459459,0
silver_bullet,5m,25,5.384071,1.575472,0.4,0.56,0
turtle_soup,15m,3033,4.746106,2.874573,0.166832,0.743818,0
turtle_soup,1h,2957,6.031379,3.50935,0.149476,0.740954,0
turtle_soup,1m,1219,1.913396,1.440443,0.208368,0.558655,0
turtle_soup,30m,3051,6.046965,3.55409,0.156014,0.744674,0
turtle_soup,4h,2854,6.010901,3.130581,0.146461,0.734408,0
turtle_soup,5m,2760,4.002914,2.619826,0.161594,0.714855,0
