model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
reclaimed_ob,ict,long,BTCUSDT,1m,1777068840000,1777068840000,1777082340000,1777068900000,body_edge,mean_threshold,nearest_liquidity,77546.8,77546.8,77546.8,77526.44064000002,77526.44064000002,77549.8,20.359359999987646,2.625428773332703,conservative,False,True,False,,,,,,,,,,,,,,77537.1,77546.8,,,,1777068900000,0.1473523725697576,1,,,,"{""entry_mode"": ""body_edge"", ""entry_price"": 77546.8, ""entry_time"": 1777068900000, ""model_family"": ""ict"", ""ob_high"": 77546.8, ""ob_low"": 77537.1, ""ob_mean_threshold"": 77541.95000000001, ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1777068900000, ""risk"": 20.359359999987646, ""risk_bps"": 2.625428773332703, ""source_ob_time"": 1777068780000, ""stop_loss"": 77526.44064000002, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",1.6257878440192302,6.429475189794186,False,True,True,False,False
turtle_soup,ict,long,BTCUSDT,1m,1777082580000,1777082580000,1777082640000,1777082580000,close,sweep_extreme,opposite_range,77477.4,77477.4,77477.4,77437.50452,77437.50452,77579.3,39.89547999999195,5.149305474885831,conservative,False,True,False,,,77471.7,77453.0,strong,45,valid,,,,,,,,,,,,,2.55417405681118,1,,6,9,"{""close_back_distance_bps"": 0.7357525393139804, ""entry_mode"": ""close"", ""entry_price"": 77477.4, ""model_family"": ""ict"", ""risk"": 39.89547999999195, ""risk_bps"": 5.149305474885831, ""stop_loss"": 77437.50452, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77453.0, ""sweep_level_age_bars"": 45, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 77471.7, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.097104, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 1.065224, ""wick_extension"": 18.69999999999709, ""wick_fraction"": 0.318569}, ""wick_extension_bps"": 2.4137846465221613}",2.7722438732414836,0.6867945942748328,False,True,True,True,True
ifvg_retest,ict,long,BTCUSDT,1m,1777082460000,1777082460000,1777082640000,1777082580000,edge,ce,fixed_r,77500.4,77500.4,77500.4,77483.54991999999,77483.54991999999,77534.10016,16.8500800000038,2.174192649328752,conservative,False,True,False,,,,,,,,,,,77497.7,77500.4,77499.04999999999,,,,,2,1777082580000,2.0,2,1,,,"{""breach_close"": 77506.0, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777082460000, ""entry_mode"": ""edge"", ""entry_price"": 77500.4, ""entry_time"": 1777082580000, ""ifvg_ce"": 77499.04999999999, ""ifvg_high"": 77500.4, ""ifvg_low"": 77497.7, ""model_family"": ""ict"", ""retest_depth"": 17.555555555572322, ""retest_time"": 1777082580000, ""risk"": 16.8500800000038, ""risk_bps"": 2.174192649328752, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77483.54991999999, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 2}",5.1987883737042235,2.9910837218566804,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1m,1777082700000,1777082700000,1777082760000,1777082700000,close,sweep_extreme,opposite_range,77475.1,77475.1,77475.1,77444.20498,77444.20498,77579.3,30.895020000010845,3.987735414347428,conservative,False,True,False,,,77471.7,77459.7,strong,47,strong,,,,,,,,,,,,,3.372711848057082,1,,4,4,"{""close_back_distance_bps"": 0.4388699357324973, ""entry_mode"": ""close"", ""entry_price"": 77475.1, ""model_family"": ""ict"", ""risk"": 30.895020000010845, ""risk_bps"": 3.987735414347428, ""stop_loss"": 77444.20498, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77459.7, ""sweep_level_age_bars"": 47, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 77471.7, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.219355, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.610998, ""wick_extension"": 12.0, ""wick_fraction"": 0.774194}, ""wick_extension_bps"": 1.5489527143460127}",3.6543106299965027,0.0,False,True,True,True,True
ifvg_retest,ict,long,BTCUSDT,1m,1777088100000,1777088100000,1777088400000,1777088160000,edge,ce,fixed_r,77554.1,77554.1,77554.1,77529.73918,77529.73918,77602.82164000001,24.360820000001695,3.141138895300402,conservative,False,True,False,,,,,,,,,,,77536.4,77554.1,77545.25,,,,,1,1777088160000,2.0,1,,5,5,"{""breach_close"": 77571.1, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777088100000, ""entry_mode"": ""edge"", ""entry_price"": 77554.1, ""entry_time"": 1777088160000, ""ifvg_ce"": 77545.25, ""ifvg_high"": 77554.1, ""ifvg_low"": 77536.4, ""model_family"": ""ict"", ""retest_depth"": 0.2090395480231191, ""retest_time"": 1777088160000, ""risk"": 24.360820000001695, ""risk_bps"": 3.141138895300402, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77529.73918, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 1}",5.086035691737206,0.49259425585834815,False,True,True,True,True
turtle_soup,ict,long,BTCUSDT,1m,1777088400000,1777088400000,1777088460000,1777088400000,close,sweep_extreme,opposite_range,77606.9,77606.9,77606.9,77562.77862,77562.77862,77666.8,44.12137999999686,5.685239327945951,conservative,False,True,False,,,77591.6,77578.3,strong,34,strong,,,,,,,,,,,,,1.3576184607102721,1,,5,,"{""close_back_distance_bps"": 1.971862933615025, ""entry_mode"": ""close"", ""entry_price"": 77606.9, ""model_family"": ""ict"", ""risk"": 44.12137999999686, ""risk_bps"": 5.685239327945951, ""stop_loss"": 77562.77862, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77578.3, ""sweep_level_age_bars"": 34, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 77591.6, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.438395, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 1.225806, ""wick_extension"": 13.30000000000291, ""wick_fraction"": 0.381089}, ""wick_extension_bps"": 1.714103073013433}",1.6114636486893854,0.3830342568613081,False,True,True,True,False
ict2022_mss_fvg,ict,long,BTCUSDT,1m,1777088400000,1777088400000,1777088460000,1777088400000,edge,sweep_extreme,nearest_liquidity,77578.3,77578.3,77578.3,77510.28434,77510.28434,77587.9,68.01566000000457,8.767356335470689,conservative,False,True,False,,,,77525.8,,,,77551.8,77578.3,77565.05,,,,,,,,,,0.14114396596299475,1,,,,"{""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 77578.3, ""fvg_ce"": 77565.05, ""fvg_high"": 77578.3, ""fvg_low"": 77551.8, ""model_family"": ""ict"", ""mss_time"": 1777088400000, ""risk"": 68.01566000000457, ""risk_bps"": 8.767356335470689, ""stop_loss"": 77510.28434, ""stop_mode"": ""sweep_extreme"", ""structure_level"": 77571.4, ""sweep_extreme"": 77525.8, ""sweep_level"": 77531.1, ""sweep_time"": 1777088040000, ""target_mode"": ""nearest_liquidity""}",1.4658388965128089,0.0,False,True,True,False,False
breaker_block,ict,long,BTCUSDT,1m,1777086240000,1777086240000,1777088460000,1777088400000,edge,mean_threshold,nearest_liquidity,77587.5,77587.5,77587.5,77563.8325,77563.8325,77587.9,23.667499999995925,3.050426937328297,conservative,False,False,True,,,,,,,,,,,,,,,,77571.2,77587.5,,1777088400000,0.016900813351399518,,,,,"{""break_time"": 1777086240000, ""breaker_high"": 77587.5, ""breaker_low"": 77571.2, ""breaker_mean_threshold"": 77579.35, ""entry_mode"": ""edge"", ""entry_price"": 77587.5, ""entry_time"": 1777088400000, ""failed_ob_confirmed"": true, ""model_family"": ""ict"", ""retest_time"": 1777088400000, ""risk"": 23.667499999995925, ""risk_bps"": 3.050426937328297, ""source_ob_time"": 1777085760000, ""stop_loss"": 77563.8325, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1m,1777089540000,1777089540000,1777089600000,1777089540000,close,sweep_extreme,opposite_range,77629.0,77629.0,77629.0,77588.37419999999,77588.37419999999,77678.0,40.625800000008894,5.233327751228136,conservative,False,True,False,,,77620.6,77603.9,medium,6,strong,,,,,,,,,,,,,1.2061300946686409,1,8,,,"{""close_back_distance_bps"": 1.0821869452174009, ""entry_mode"": ""close"", ""entry_price"": 77629.0, ""model_family"": ""ict"", ""risk"": 40.625800000008894, ""risk_bps"": 5.233327751228136, ""stop_loss"": 77588.37419999999, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77603.9, ""sweep_level_age_bars"": 6, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 77620.6, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.334661, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.956198, ""wick_extension"": 16.70000000001164, ""wick_fraction"": 0.665339}, ""wick_extension_bps"": 2.151490712518538}",0.5956805773668898,1.1864381747556119,True,False,False,False,False
ifvg_retest,ict,long,BTCUSDT,1m,1777089540000,1777089540000,1777089660000,1777089600000,edge,ce,fixed_r,77621.1,77621.1,77621.1,77597.77578,77597.77578,77667.74844000002,23.324220000009518,3.0048814046708325,conservative,False,True,False,,,,,,,,,,,77605.5,77621.1,77613.3,,,,,1,1777089600000,2.0,1,7,,,"{""breach_close"": 77629.0, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777089540000, ""entry_mode"": ""edge"", ""entry_price"": 77621.1, ""entry_time"": 1777089600000, ""ifvg_ce"": 77613.3, ""ifvg_high"": 77621.1, ""ifvg_low"": 77605.5, ""model_family"": ""ict"", ""retest_depth"": 0.5833333333334888, ""retest_time"": 1777089600000, ""risk"": 23.324220000009518, ""risk_bps"": 3.0048814046708325, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77597.77578, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 1}",1.3762518103489922,1.7278176933670863,True,False,False,False,False
