model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
breaker_block,long,90,90,55,28,10.433752,5.098678,0.422222,1.958205,0.547471,0.422222,0.366667,0.277778,0.155556,6.207792,1.714286,1.060606,1.16,0
breaker_block,short,8,8,7,1,2.184658,1.446951,0.625,7.135033,-0.038021,0.625,0.625,0.125,0.25,1.714286,1.5,1.0,1.0,0
ict2022_mss_fvg,long,66,66,66,0,2.406226,1.267969,0.742424,0.670684,0.215781,0.742424,0.318182,0.121212,0.136364,1.0,3.333333,2.809524,1.625,0
ict2022_mss_fvg,short,6,6,6,0,1.25083,0.935346,1.0,0.573459,0.573459,1.0,0.333333,0.333333,0.0,1.0,,1.0,5.0,0
ifvg_retest,long,316,316,316,0,13.63577,6.685886,0.28481,2.0,-0.089338,0.28481,0.39557,0.28481,0.689873,2.253165,2.183486,1.688,2.2,0
ifvg_retest,short,35,35,35,0,17.031511,10.327231,0.257143,2.0,-0.228571,0.257143,0.4,0.257143,0.742857,2.057143,1.346154,1.142857,2.333333,0
reclaimed_ob,long,17,17,16,1,4.424858,3.587851,0.764706,1.57445,0.766503,0.764706,0.647059,0.352941,0.176471,2.882353,5.666667,1.0,1.833333,0
reclaimed_ob,short,3,3,3,0,3.18959,2.517582,0.666667,2.013335,-0.007209,0.666667,1.0,0.666667,0.333333,1.666667,3.0,1.0,1.0,0
silver_bullet,long,35,35,35,0,1.150462,0.840245,0.142857,2.0,0.207528,0.142857,0.342857,0.142857,0.428571,1.057143,8.6,3.666667,4.6,0
turtle_soup,long,1389,1389,1389,0,3.924214,2.352411,0.147588,6.477842,0.175471,0.147588,0.463643,0.276458,0.740821,1.0,4.215743,2.765528,4.59375,0
turtle_soup,short,161,161,161,0,3.634654,2.194787,0.111801,6.598275,0.404223,0.111801,0.465839,0.31677,0.732919,1.0,4.728814,2.986667,4.509804,0
