model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
breaker_block,long,483,483,391,76,13.818074,8.377625,0.571429,2.287861,0.714842,0.571429,0.57971,0.478261,0.225673,3.21692,1.321101,1.007143,1.082251,0
breaker_block,short,450,450,350,91,13.107274,8.175172,0.564444,2.804549,0.947231,0.564444,0.544444,0.448889,0.208889,3.461894,1.691489,1.065306,1.074257,0
ifvg_retest,long,1094,1094,1090,0,18.243066,7.643202,0.289762,2.0,-0.085122,0.289762,0.382084,0.289762,0.6883,2.266972,1.780876,1.665072,2.299685,0
ifvg_retest,short,1078,1078,1070,0,17.031148,6.803504,0.276438,2.0,-0.135215,0.276438,0.37384,0.276438,0.704082,2.315888,2.025033,1.8933,2.355705,0
reclaimed_ob,long,62,62,57,5,14.948824,5.627982,0.725806,1.800957,0.843546,0.725806,0.66129,0.483871,0.193548,1.903226,1.083333,1.0,1.0,0
reclaimed_ob,short,96,96,93,3,12.271957,5.9666,0.833333,1.719448,1.298827,0.833333,0.770833,0.697917,0.135417,1.322917,1.076923,1.027027,1.044776,0
silver_bullet,long,47,47,47,0,1.170429,0.843992,0.12766,2.0,0.149184,0.12766,0.361702,0.12766,0.468085,1.148936,8.0,3.823529,5.5,0
silver_bullet,short,44,44,44,0,1.021191,0.960547,0.113636,2.0,-0.162995,0.113636,0.318182,0.113636,0.613636,1.227273,6.37037,6.285714,13.0,0
turtle_soup,long,5683,5683,5683,0,4.316162,2.631856,0.157311,7.206408,0.23053,0.157311,0.478444,0.295091,0.723561,1.0,4.113813,2.72968,4.444246,0
turtle_soup,short,5584,5584,5584,0,3.966974,2.466335,0.154549,6.563465,0.280333,0.154549,0.456304,0.295129,0.716332,1.0,4.25625,2.921507,4.638956,0
