model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
breaker_block,15m,179,179,148,30,12.374958,9.423889,0.547486,2.300809,0.548117,0.547486,0.569832,0.480447,0.273743,3.350282,1.571429,1.009804,1.011628,0
breaker_block,1h,172,172,138,31,16.527911,10.376819,0.546512,3.002047,0.984705,0.546512,0.581395,0.52907,0.25,2.801205,1.209302,1.0,1.0,0
breaker_block,1m,84,84,72,6,2.932503,2.515662,0.714286,0.728019,0.359472,0.714286,0.452381,0.190476,0.107143,3.692308,4.333333,1.368421,2.875,0
breaker_block,30m,173,173,128,40,17.287831,11.12395,0.50289,2.477305,0.856137,0.50289,0.526012,0.468208,0.231214,3.224242,1.4,1.0,1.0,0
breaker_block,4h,154,154,115,35,18.810194,13.032024,0.5,3.468601,0.840884,0.5,0.532468,0.474026,0.246753,3.951724,1.263158,1.0,1.0,0
breaker_block,5m,171,171,140,25,9.220803,6.434436,0.666667,2.426871,1.156104,0.666667,0.654971,0.502924,0.140351,3.257669,1.291667,1.026786,1.034884,0
ifvg_retest,15m,339,339,338,0,16.880256,9.671525,0.342183,2.0,0.038162,0.342183,0.418879,0.342183,0.651917,2.227811,1.248869,1.06338,1.198276,0
ifvg_retest,1h,317,317,313,0,29.760041,16.592447,0.208202,2.0,-0.358022,0.208202,0.233438,0.208202,0.776025,1.84345,1.081301,1.22973,1.393939,0
ifvg_retest,1m,470,470,469,0,2.604041,1.834324,0.274468,2.0,-0.027896,0.274468,0.482979,0.274468,0.659574,2.889126,4.564516,3.440529,5.705426,0
ifvg_retest,30m,344,344,343,0,21.841887,13.850631,0.244186,2.0,-0.265306,0.244186,0.27907,0.244186,0.752907,1.991254,1.108108,1.15625,1.309524,0
ifvg_retest,4h,318,318,314,0,34.091141,14.058353,0.254717,2.0,-0.226115,0.254717,0.308176,0.254717,0.732704,2.261146,1.244635,1.112245,1.567901,0
ifvg_retest,5m,384,384,383,0,9.582688,6.617781,0.361979,2.0,0.096038,0.361979,0.479167,0.361979,0.632812,2.274151,1.415638,1.173913,1.633094,0
reclaimed_ob,15m,37,37,37,0,17.493299,7.081999,0.837838,2.286737,1.587996,0.837838,0.864865,0.783784,0.162162,1.432432,1.166667,1.0,1.0,0
reclaimed_ob,1h,15,15,14,1,18.076045,15.29636,0.733333,2.579204,1.107371,0.733333,0.666667,0.666667,0.2,1.133333,1.0,1.0,1.0,0
reclaimed_ob,1m,37,37,36,1,3.599797,3.136617,0.918919,0.556866,0.417667,0.918919,0.675676,0.351351,0.054054,1.72973,1.0,1.08,1.153846,0
reclaimed_ob,30m,24,24,20,4,13.691282,13.63456,0.625,2.021976,1.623775,0.625,0.583333,0.541667,0.208333,1.875,1.0,1.0,1.0,0
reclaimed_ob,4h,17,17,16,1,28.619168,17.973814,0.647059,2.23312,1.154119,0.647059,0.647059,0.588235,0.294118,1.823529,1.0,1.0,1.0,0
reclaimed_ob,5m,28,28,27,1,8.582712,5.755572,0.821429,1.654805,1.060614,0.821429,0.821429,0.785714,0.142857,1.25,1.25,1.0,1.045455,0
silver_bullet,15m,11,11,11,0,1.441722,0.997282,0.090909,2.0,-0.103727,0.090909,0.454545,0.090909,0.636364,1.636364,6.714286,2.6,4.0,0
silver_bullet,1m,43,43,43,0,0.870949,0.616599,0.093023,2.0,0.17892,0.093023,0.255814,0.093023,0.372093,1.186047,8.125,7.181818,12.5,0
silver_bullet,30m,20,20,20,0,1.357415,1.090697,0.2,2.0,-0.025953,0.2,0.6,0.2,0.65,1.0,8.692308,2.583333,6.0,0
silver_bullet,5m,17,17,17,0,1.146148,1.014249,0.117647,2.0,-0.36433,0.117647,0.176471,0.117647,0.764706,1.117647,4.461538,10.0,10.0,0
turtle_soup,15m,2137,2137,2137,0,3.932917,2.586114,0.148807,7.022964,0.115119,0.148807,0.468414,0.290594,0.752457,1.0,3.933458,2.506494,4.070853,0
turtle_soup,1h,2018,2018,2018,0,5.000535,3.073499,0.15114,7.887274,0.350628,0.15114,0.466799,0.302775,0.733895,1.0,3.725861,2.511677,4.081833,0
turtle_soup,1m,997,997,997,0,1.894716,1.337057,0.221665,2.985416,0.321224,0.221665,0.45336,0.228686,0.54664,1.0,6.866055,5.559735,8.758772,0
turtle_soup,30m,2087,2087,2087,0,4.827704,3.039584,0.155247,7.878859,0.253351,0.155247,0.472448,0.305702,0.743172,1.0,4.052224,2.404665,4.057994,0
turtle_soup,4h,1982,1982,1982,0,4.582526,2.653889,0.137235,7.920545,0.30456,0.137235,0.459132,0.303229,0.740161,1.0,3.865031,2.521978,4.124792,0
turtle_soup,5m,2046,2046,2046,0,3.488559,2.411108,0.154936,5.650855,0.229357,0.154936,0.477028,0.305963,0.713587,1.0,4.384247,2.881148,4.809904,0
