model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
mitigation_block,IFVG,14,14,14,0,1.465022,1.360966,0.642857,0.716186,77.714286,0.047857,0.202657,0.202657,0.642857,0.428571,0.0,0.357143,1.0,4.8,3.166667,,0,14
mitigation_block,PD,3,3,3,0,0.072158,0.0,0.0,3.417312,83.666667,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
reclaimed_ob,Breaker,1,1,1,0,4.297039,4.297039,0.0,12.791548,97.0,-1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,1,0
reclaimed_ob,FVG,1,1,1,0,1.609813,1.609813,0.0,13.939923,97.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
reclaimed_ob,IFVG,1,1,1,0,5.902339,5.902339,0.0,6.627858,97.0,-1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1,0
rejection_block,Breaker,1,1,1,0,1.958823,1.958823,1.0,1.915226,77.0,1.915226,1.457613,1.457613,1.0,1.0,0.0,0.0,2.0,,5.0,,0,1
rejection_block,FVG,1,1,0,0,,,0.0,20.290361,97.0,,,,0.0,0.0,0.0,0.0,,,,,0,0
rejection_block,IFVG,7,7,1,0,1.834568,1.834568,0.0,21.36556,97.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.142857,3.0,4.0,,,0,0
rejection_block,PD,2,2,0,0,,,0.0,4.970571,92.0,,,,0.0,0.0,0.0,0.0,2.0,,,,0,1
silver_bullet,none,1,1,1,0,3.589295,3.589295,1.0,2.0,100.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,8.0,9.0,0,0
