rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
2,"allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,0,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
3,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
4,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
5,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
6,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
7,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
8,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,50,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
9,min_decision_score=70,26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,70,0,false,false,,,
10,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",26,8,0.208938,0.038462,0.230769,0.653846,79.230769,9.649416,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
