model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-01-03,00:00-08:00,11,11,11,0,8.353774,7.925088,0.090909,2.0,60.0,-0.727273,-0.363636,-0.876038,-0.876038,0.512402,0.090909,0.363636,0.090909,0.909091,1.0,2.8,3.75,4.0,3,11
turtle_soup,2025-01-03,08:30-12:00,6,6,6,0,2.660396,3.25303,0.666667,2.0,60.0,1.0,0.666667,0.419359,0.419359,0.247308,0.666667,0.666667,0.666667,0.333333,1.0,1.0,1.75,2.5,0,6
turtle_soup,2025-01-04,00:00-08:00,7,7,7,0,4.960108,4.190073,0.285714,2.0,60.0,-0.142857,-0.071429,-0.758273,-0.758273,0.686844,0.285714,0.428571,0.285714,0.714286,1.0,2.2,2.0,3.0,1,7
turtle_soup,2025-01-04,08:30-12:00,5,5,5,0,5.047571,4.340859,0.2,2.0,60.0,-0.4,-0.5,-1.036631,-1.036631,0.536631,0.2,0.2,0.2,0.8,1.0,3.5,2.0,2.0,0,5
turtle_soup,2025-01-04,14:00-15:45,2,2,2,0,1.768216,1.768216,0.5,2.0,60.0,0.5,0.25,-0.348686,-0.348686,0.598685,0.5,0.5,0.5,0.5,1.0,1.0,2.0,3.0,0,2
turtle_soup,2025-01-05,00:00-08:00,9,9,9,0,6.694711,5.822329,0.333333,2.0,60.0,0.0,0.0,-0.726565,-0.726565,0.726565,0.333333,0.444444,0.333333,0.666667,1.0,2.5,2.25,2.666667,2,9
turtle_soup,2025-01-05,08:30-12:00,5,5,5,0,2.683325,1.770734,0.2,2.0,60.0,-0.4,0.4,0.085565,0.085565,0.314435,0.2,0.8,0.2,0.8,1.0,3.25,4.0,17.0,0,5
turtle_soup,2025-01-05,14:00-15:45,3,3,3,0,8.398722,7.945798,0.666667,2.0,60.0,1.0,0.666667,0.205538,0.205538,0.461129,0.666667,0.666667,0.666667,0.333333,1.0,10.0,1.5,1.5,0,3
turtle_soup,2025-01-06,00:00-08:00,8,8,8,0,4.134659,3.987733,0.25,2.0,60.0,-0.25,-0.375,-0.713371,-0.713371,0.338371,0.25,0.25,0.25,0.75,1.0,2.5,4.0,4.0,1,8
turtle_soup,2025-01-06,08:30-12:00,2,2,2,0,5.281338,5.281338,0.5,2.0,60.0,0.5,0.25,0.028207,0.028207,0.221793,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
turtle_soup,2025-01-07,00:00-08:00,10,10,10,0,10.328964,1.963873,0.5,2.0,62.0,0.5,0.55,-0.175084,-0.175084,0.725084,0.5,0.7,0.5,0.5,1.0,3.6,2.0,3.6,0,10
turtle_soup,2025-01-08,00:00-08:00,1,1,1,0,0.802772,0.802772,0.0,2.0,60.0,-1.0,-1.0,-1.139539,-1.139539,0.139539,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2025-01-08,08:30-12:00,3,3,3,0,1.822899,2.608511,0.0,2.0,66.666667,-1.0,-0.5,-0.786497,-0.786497,0.286497,0.0,0.333333,0.0,1.0,1.0,1.666667,1.0,,2,3
turtle_soup,2025-01-08,14:00-15:45,1,1,1,0,0.914179,0.914179,0.0,2.0,60.0,-1.0,-1.0,-1.131853,-1.131853,0.131853,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
