model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-06,00:00-08:00,1,1,1,0,1.239615,1.239615,0.0,2.0,75.0,-1.0,0.5,0.323234,0.323234,0.176766,0.0,1.0,0.0,1.0,1.0,23.0,22.0,,0,1
turtle_soup,2025-05-12,00:00-08:00,1,1,1,0,0.109288,0.109288,0.0,2.0,80.0,-1.0,-1.0,-1.077957,-1.077957,0.077957,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-05-15,08:30-12:00,1,1,1,0,1.606149,1.606149,0.0,2.0,75.0,-1.0,0.5,0.388843,0.388843,0.111157,0.0,1.0,0.0,1.0,1.0,13.0,7.0,,0,1
turtle_soup,2025-05-15,14:00-15:45,1,1,1,0,0.146172,0.146172,0.0,2.0,75.0,-1.0,-1.0,-1.108402,-1.108402,0.108402,0.0,0.0,0.0,1.0,1.0,13.0,,,0,1
turtle_soup,2025-05-16,00:00-08:00,1,1,1,0,0.587266,0.587266,0.0,2.0,75.0,-1.0,-1.0,-1.162766,-1.162766,0.162766,0.0,0.0,0.0,1.0,1.0,28.0,,,0,1
turtle_soup,2025-05-16,08:30-12:00,1,1,1,0,0.992707,0.992707,0.0,2.0,75.0,-1.0,-1.0,-1.180918,-1.180918,0.180918,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-05-17,00:00-08:00,1,1,1,0,0.323875,0.323875,0.0,2.0,80.0,0.323875,0.323875,0.178457,0.178457,0.145418,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-23,00:00-08:00,2,2,2,0,0.850078,0.850078,0.0,2.0,80.0,0.850078,0.492929,0.445233,0.445233,0.047697,0.0,0.5,0.0,0.0,1.0,,47.0,,0,2
turtle_soup,2025-05-28,08:30-12:00,1,1,1,0,1.35039,1.35039,0.0,2.0,80.0,-1.0,0.5,0.386721,0.386721,0.113279,0.0,1.0,0.0,1.0,1.0,44.0,8.0,,0,1
turtle_soup,2025-05-29,08:30-12:00,2,2,2,0,3.306568,3.306568,0.0,2.0,87.5,-1.0,-0.25,-0.380144,-0.380144,0.130144,0.0,0.5,0.0,1.0,1.0,3.5,4.0,,0,2
turtle_soup,2025-05-30,08:30-12:00,1,1,1,0,1.773772,1.773772,0.0,2.0,75.0,-1.0,0.5,0.384833,0.384833,0.115167,0.0,1.0,0.0,1.0,1.0,8.0,2.0,,0,1
