model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-02,00:00-08:00,23,23,23,0,3.613328,3.308017,0.217391,2.0,60.869565,-0.347826,0.0,-0.735763,-0.735763,0.735763,0.217391,0.521739,0.217391,0.782609,1.0,3.333333,2.666667,4.6,9,23
turtle_soup,2025-05-02,08:30-12:00,9,9,9,0,2.15087,1.961938,0.111111,2.0,64.444444,-0.666667,-0.388889,-0.684503,-0.684503,0.295614,0.111111,0.333333,0.111111,0.888889,1.0,2.625,3.666667,8.0,1,9
turtle_soup,2025-05-02,14:00-15:45,3,3,3,0,1.724311,2.576477,0.333333,2.0,73.333333,0.0,0.333333,-0.031122,-0.031122,0.364456,0.333333,0.666667,0.333333,0.666667,1.0,9.0,6.5,35.0,0,3
turtle_soup,2025-05-03,00:00-08:00,11,11,11,0,2.001176,1.753274,0.272727,2.0,60.0,-0.181818,-0.181818,-0.944031,-0.944031,0.762212,0.272727,0.363636,0.272727,0.727273,1.0,3.375,3.0,9.666667,0,11
turtle_soup,2025-05-03,08:30-12:00,11,11,11,0,4.367365,2.735826,0.454545,2.0,60.0,0.363636,0.545455,-0.497023,-0.497023,1.042478,0.454545,0.727273,0.454545,0.545455,1.0,3.5,1.875,2.8,0,11
turtle_soup,2025-05-03,14:00-15:45,6,6,6,0,3.135347,2.954562,0.333333,2.0,60.0,0.0,0.333333,-0.856571,-0.856571,1.189905,0.333333,0.666667,0.333333,0.666667,1.0,8.0,2.75,5.5,1,6
turtle_soup,2025-05-04,00:00-08:00,19,19,19,0,4.277418,3.638014,0.157895,2.0,63.157895,-0.526316,-0.289474,-1.217436,-1.217436,0.927962,0.157895,0.368421,0.157895,0.842105,1.0,3.6875,4.0,5.0,3,19
turtle_soup,2025-05-04,08:30-12:00,6,6,6,0,4.220678,3.186314,0.0,2.0,63.333333,-1.0,-0.25,-1.121873,-1.121873,0.871873,0.0,0.5,0.0,1.0,1.0,3.0,2.666667,,1,6
turtle_soup,2025-05-04,14:00-15:45,2,2,2,0,2.905365,2.905365,1.0,2.0,60.0,2.0,1.5,0.53667,0.53667,0.96333,1.0,1.0,1.0,0.0,1.0,,1.5,4.0,0,2
turtle_soup,2025-05-05,00:00-08:00,13,13,13,0,3.257874,3.521258,0.230769,2.0,64.615385,-0.307692,-0.192308,-0.91888,-0.91888,0.726572,0.230769,0.384615,0.230769,0.769231,1.0,3.6,4.4,6.333333,2,13
