model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,source_fvg_age_bars,source_fvg_touches_before_inversion,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
silver_bullet,ict,short,SOLUSDT,15m,1746270900000,1746270900000,1746271800000,1746270900000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,147.12,147.12,147.12,147.57942400000002,147.57942400000002,146.20115199999998,146.660576,146.20115199999998,146.20115199999998,2.0,,,0.5,1.0,False,sl_hit,0.4594240000000127,31.227841218054152,conservative,False,True,False,False,07:00-08:00,2025-05-03 07:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,147.12,147.19,147.155,,,,,,,,,,,,,,,,2,1746270900000,2.0,1,4,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 147.12, ""entry_time"": 1746270900000, ""exit_reason"": null, ""final_target"": 146.20115199999998, ""fvg_ce"": 147.155, ""fvg_high"": 147.19, ""fvg_low"": 147.12, ""fvg_ny_time"": ""2025-05-03 06:45"", ""fvg_time"": 1746269100000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 07:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-03 07:15"", ""retest_time"": 1746270900000, ""risk"": 0.4594240000000127, ""risk_bps"": 31.227841218054152, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-03 07:15"", ""signal_time"": 1746270900000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 147.57942400000002, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 146.660576, ""tp2_price"": 146.20115199999998}",3.0037612314549462,4.092080518213988,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,SOLUSDT,15m,1746339300000,1746339300000,1746340200000,1746339300000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,145.51,145.51,145.51,145.480898,145.480898,145.56820399999998,145.53910199999999,145.56820399999998,145.56820399999998,2.0,,,0.5,1.0,True,tp_hit,0.029101999999994632,1.9999999999996312,conservative,False,True,False,False,02:00-03:00,2025-05-04 02:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,145.45,145.51,145.48,,,,,,,,,,,,,,,,4,1746339300000,2.0,1,,1,1,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 145.51, ""entry_time"": 1746339300000, ""exit_reason"": null, ""final_target"": 145.56820399999998, ""fvg_ce"": 145.48, ""fvg_high"": 145.51, ""fvg_low"": 145.45, ""fvg_ny_time"": ""2025-05-04 01:15"", ""fvg_time"": 1746335700000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-04 02:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-04 02:15"", ""retest_time"": 1746339300000, ""risk"": 0.029101999999994632, ""risk_bps"": 1.9999999999996312, ""rr_to_target"": 2.0, ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-04 02:15"", ""signal_time"": 1746339300000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 145.480898, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 4, ""tp1_price"": 145.53910199999999, ""tp2_price"": 145.56820399999998}",20.960758710745864,32.30018555426332,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,SOLUSDT,15m,1746357300000,1746357300000,1746359100000,1746358200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,145.51,145.51,145.51,145.060898,145.060898,146.40820399999996,145.95910199999997,146.40820399999996,146.40820399999996,2.0,,,0.5,1.0,True,sl_hit,0.4491019999999821,30.863995601675633,conservative,False,True,False,False,07:00-08:00,2025-05-04 07:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,145.43,145.51,145.47,,,,,,,,,,,,,,,,1,1746358200000,2.0,1,7,6,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 145.51, ""entry_time"": 1746358200000, ""exit_reason"": null, ""final_target"": 146.40820399999996, ""fvg_ce"": 145.47, ""fvg_high"": 145.51, ""fvg_low"": 145.43, ""fvg_ny_time"": ""2025-05-04 07:15"", ""fvg_time"": 1746357300000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-04 07:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-04 07:30"", ""retest_time"": 1746358200000, ""risk"": 0.4491019999999821, ""risk_bps"": 30.863995601675633, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-04 07:15"", ""signal_time"": 1746357300000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 145.060898, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 145.95910199999997, ""tp2_price"": 146.40820399999996}",5.076797698518582,1.4473326772091932,True,False,True,False,False,False,1.0,0.5,be_after_tp1,False,True,False
silver_bullet,ict,short,SOLUSDT,15m,1746359100000,1746359100000,1746360900000,1746360000000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,145.48,145.48,145.48,145.92909600000002,145.92909600000002,144.58180799999994,145.03090399999996,144.58180799999994,144.58180799999994,2.0,,,0.5,1.0,False,sl_hit,0.4490960000000257,30.86994775914392,conservative,False,True,False,False,07:00-08:00,2025-05-04 07:45,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,145.48,145.51,145.495,,,,,,,,,,,,,,,,1,1746360000000,2.0,1,4,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 145.48, ""entry_time"": 1746360000000, ""exit_reason"": null, ""final_target"": 144.58180799999994, ""fvg_ce"": 145.495, ""fvg_high"": 145.51, ""fvg_low"": 145.48, ""fvg_ny_time"": ""2025-05-04 07:45"", ""fvg_time"": 1746359100000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-04 07:45"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-04 08:00"", ""retest_time"": 1746360000000, ""risk"": 0.4490960000000257, ""risk_bps"": 30.86994775914392, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-04 07:45"", ""signal_time"": 1746359100000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 145.92909600000002, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 145.03090399999996, ""tp2_price"": 144.58180799999994}",1.3805511516467317,5.14366638758722,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,SOLUSDT,15m,1746442800000,1746442800000,1746443700000,1746442800000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,144.38,144.38,144.38,146.148876,146.148876,140.84224799999998,142.611124,140.84224799999998,140.84224799999998,2.0,,,0.5,1.0,False,sl_hit,1.7688760000000059,122.51530682920112,conservative,False,True,False,False,07:00-08:00,2025-05-05 07:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,144.38,144.9,144.64,,,,,,,,,,,,,,,,1,1746442800000,2.0,1,30,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 144.38, ""entry_time"": 1746442800000, ""exit_reason"": null, ""final_target"": 140.84224799999998, ""fvg_ce"": 144.64, ""fvg_high"": 144.9, ""fvg_low"": 144.38, ""fvg_ny_time"": ""2025-05-05 06:45"", ""fvg_time"": 1746441900000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-05 07:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-05 07:00"", ""retest_time"": 1746442800000, ""risk"": 1.7688760000000059, ""risk_bps"": 122.51530682920112, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-05 07:00"", ""signal_time"": 1746442800000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 146.148876, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 142.611124, ""tp2_price"": 140.84224799999998}",0.7801564383258017,1.532046339031113,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,SOLUSDT,15m,1746511200000,1746511200000,1746512100000,1746511200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,144.71,144.71,144.71,145.208942,145.208942,143.712116,144.211058,143.712116,143.712116,2.0,,,0.5,1.0,False,sl_hit,0.49894199999999955,34.478750604657556,conservative,False,True,False,False,02:00-03:00,2025-05-06 02:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,144.71,144.8,144.755,,,,,,,,,,,,,,,,2,1746511200000,2.0,1,3,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 144.71, ""entry_time"": 1746511200000, ""exit_reason"": null, ""final_target"": 143.712116, ""fvg_ce"": 144.755, ""fvg_high"": 144.8, ""fvg_low"": 144.71, ""fvg_ny_time"": ""2025-05-06 01:30"", ""fvg_time"": 1746509400000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 02:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 02:00"", ""retest_time"": 1746511200000, ""risk"": 0.49894199999999955, ""risk_bps"": 34.478750604657556, ""rr_to_target"": 2.0, ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-06 02:00"", ""signal_time"": 1746511200000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 145.208942, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 144.211058, ""tp2_price"": 143.712116}",6.834461721001639,2.244749890768878,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,SOLUSDT,15m,1746512100000,1746512100000,1746513900000,1746513000000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,144.67,144.67,144.67,144.281066,144.281066,145.44786799999994,145.05893399999997,145.44786799999994,145.44786799999994,2.0,,,0.5,1.0,True,tp_hit,0.3889339999999777,26.884219257619254,conservative,False,True,False,False,02:00-03:00,2025-05-06 02:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,144.56,144.67,144.615,,,,,,,,,,,,,,,,1,1746513000000,2.0,1,,1,3,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 144.67, ""entry_time"": 1746513000000, ""exit_reason"": null, ""final_target"": 145.44786799999994, ""fvg_ce"": 144.615, ""fvg_high"": 144.67, ""fvg_low"": 144.56, ""fvg_ny_time"": ""2025-05-06 02:15"", ""fvg_time"": 1746512100000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 02:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 02:30"", ""retest_time"": 1746513000000, ""risk"": 0.3889339999999777, ""risk_bps"": 26.884219257619254, ""rr_to_target"": 2.0, ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-06 02:15"", ""signal_time"": 1746512100000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 144.281066, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 145.05893399999997, ""tp2_price"": 145.44786799999994}",2.982511171561477,8.664709179449906,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,short,SOLUSDT,15m,1746529200000,1746529200000,1746530100000,1746529200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,143.4,143.4,143.4,144.31868,144.31868,141.56264000000002,142.48132,141.56264000000002,141.56264000000002,2.0,,,0.5,1.0,True,tp_hit,0.9186799999999948,64.06415620641526,conservative,False,True,False,False,07:00-08:00,2025-05-06 07:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,143.4,143.63,143.515,,,,,,,,,,,,,,,,1,1746529200000,2.0,1,,2,11,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 143.4, ""entry_time"": 1746529200000, ""exit_reason"": null, ""final_target"": 141.56264000000002, ""fvg_ce"": 143.515, ""fvg_high"": 143.63, ""fvg_low"": 143.4, ""fvg_ny_time"": ""2025-05-06 06:45"", ""fvg_time"": 1746528300000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 07:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 07:00"", ""retest_time"": 1746529200000, ""risk"": 0.9186799999999948, ""risk_bps"": 64.06415620641526, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-06 07:00"", ""signal_time"": 1746529200000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 144.31868, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 142.48132, ""tp2_price"": 141.56264000000002}",2.2858884486437128,1.8504811250925222,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,short,SOLUSDT,15m,1746531000000,1746531000000,1746533700000,1746532800000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,142.85,142.85,142.85,143.61857,143.61857,141.31285999999997,142.08142999999998,141.31285999999997,141.31285999999997,2.0,,,,1.0,False,target_reached_before_entry,0.7685700000000111,53.80259012950726,conservative,False,False,False,True,07:00-08:00,2025-05-06 07:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,142.85,143.0,142.925,,,,,,,,,,,,,,,,2,1746532800000,2.0,2,,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 142.85, ""entry_time"": 1746532800000, ""exit_reason"": null, ""final_target"": 141.31285999999997, ""fvg_ce"": 142.925, ""fvg_high"": 143.0, ""fvg_low"": 142.85, ""fvg_ny_time"": ""2025-05-06 07:30"", ""fvg_time"": 1746531000000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 07:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 08:00"", ""retest_time"": 1746532800000, ""risk"": 0.7685700000000111, ""risk_bps"": 53.80259012950726, ""rr_to_target"": 2.0, ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-06 07:30"", ""signal_time"": 1746531000000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 143.61857, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 142.08142999999998, ""tp2_price"": 141.31285999999997}",,,False,False,False,False,False,False,,,target_reached_before_entry,False,False,False
silver_bullet,ict,long,SOLUSDT,15m,1746540900000,1746540900000,1746543600000,1746542700000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,142.81,142.81,142.81,141.27143800000002,141.27143800000002,145.88712399999997,144.348562,145.88712399999997,145.88712399999997,2.0,,,0.5,1.0,True,tp_hit,1.5385619999999847,107.73489251452871,conservative,False,True,False,False,10:00-11:00,2025-05-06 10:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,142.75,142.81,142.78,,,,,,,,,,,,,,,,2,1746542700000,2.0,2,,15,30,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 142.81, ""entry_time"": 1746542700000, ""exit_reason"": null, ""final_target"": 145.88712399999997, ""fvg_ce"": 142.78, ""fvg_high"": 142.81, ""fvg_low"": 142.75, ""fvg_ny_time"": ""2025-05-06 10:15"", ""fvg_time"": 1746540900000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 10:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 10:45"", ""retest_time"": 1746542700000, ""risk"": 1.5385619999999847, ""risk_bps"": 107.73489251452871, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-06 10:15"", ""signal_time"": 1746540900000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 141.27143800000002, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 144.348562, ""tp2_price"": 145.88712399999997}",2.430841266065356,0.4809685927509041,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
