model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2025-05-02,10:00-11:00,1,1,1,0,3.841174,3.841174,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,4.0,6.0,0,0
silver_bullet,2025-05-02,14:00-15:00,2,2,2,0,8.702692,8.702692,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,0
silver_bullet,2025-05-03,10:00-11:00,1,1,1,0,0.896133,0.896133,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,27.0,,,0,0
silver_bullet,2025-05-03,14:00-15:00,3,3,3,0,2.994241,1.874047,0.0,2.0,78.0,-1.0,0.0,0.0,0.0,0.666667,0.0,1.0,1.0,40.333333,16.5,,0,0
silver_bullet,2025-05-04,10:00-11:00,2,2,2,0,1.895569,1.895569,0.5,2.0,78.0,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,9.0,2.0,11.0,0,0
silver_bullet,2025-05-04,14:00-15:00,1,1,1,0,6.817507,6.817507,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,7.0,1.0,,0,0
silver_bullet,2025-05-05,10:00-11:00,3,3,3,0,1.696129,1.129957,0.0,2.0,78.0,-1.0,-0.5,-0.5,0.0,0.333333,0.0,1.0,1.0,14.0,10.0,,0,0
silver_bullet,2025-05-05,14:00-15:00,5,5,5,0,4.239659,4.522285,0.4,2.0,78.0,0.2,0.3,0.3,0.4,0.6,0.4,0.6,1.4,8.333333,4.0,8.5,0,0
silver_bullet,2025-05-06,10:00-11:00,2,2,2,0,1.048266,1.048266,0.5,2.0,78.0,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,1.0,49.0,93.0,0,0
silver_bullet,2025-05-06,14:00-15:00,1,1,1,0,24.223937,24.223937,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,2.0,,4.0,4.0,0,0
silver_bullet,2025-05-07,10:00-11:00,2,2,1,0,1.351571,1.351571,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,0.5,0.0,0.5,2.5,8.0,3.0,,0,0
silver_bullet,2025-05-07,14:00-15:00,4,4,4,0,3.485362,2.869716,0.0,2.0,78.0,-1.0,-0.625,-0.625,0.0,0.25,0.0,1.0,1.0,12.25,1.0,,0,0
silver_bullet,2025-05-08,10:00-11:00,1,1,1,0,25.706238,25.706238,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,4.0,3.0,,0,0
silver_bullet,2025-05-08,14:00-15:00,1,1,1,0,0.802772,0.802772,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2025-05-09,10:00-11:00,2,2,1,0,0.637748,0.637748,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.5,3.0,4.0,,,0,0
silver_bullet,2025-05-09,14:00-15:00,2,2,2,0,3.396053,3.396053,0.0,2.0,78.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,2.5,2.0,,0,0
silver_bullet,2025-05-10,10:00-11:00,1,1,0,0,,,0.0,2.0,78.0,,,,0.0,0.0,0.0,0.0,8.0,,,,0,0
silver_bullet,2025-05-10,14:00-15:00,3,3,3,0,4.551922,2.889342,0.666667,2.0,78.0,1.0,1.166667,1.166667,0.666667,1.0,0.666667,0.333333,1.0,10.0,13.666667,18.5,0,0
silver_bullet,2025-05-11,10:00-11:00,1,1,0,0,,,0.0,2.0,78.0,,,,0.0,0.0,0.0,0.0,6.0,,,,0,0
