model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,11,11,0,0,9,2,2.49711,1.243399,1.246158,0.694125,0.727273,0.545455,0.363636,0.272727,0.545455,0.363636,4.909091,ETHUSDT,15m
Entry Model 1,FVG,15,15,0,0,14,1,2.48668,2.060475,0.589482,0.210383,0.933333,0.8,0.533333,0.2,0.733333,0.466667,4.2,ETHUSDT,30m
Entry Model 1,IFVG,5,5,0,0,0,5,1.955963,2.137856,0.274514,0.181332,1.0,1.0,0.6,0.0,1.0,0.6,4.4,BTCUSDT,4h
Entry Model 1,PD,18,18,0,0,10,8,0.949391,0.962742,1.42953,0.603555,0.666667,0.5,0.055556,0.388889,0.388889,0.055556,4.777778,SOLUSDT,30m
Entry Model 2,Breaker,43,43,0,0,41,2,10.924425,7.860633,9.861375,6.267749,0.953488,0.953488,0.767442,0.837209,0.697674,0.488372,5.0,BTCUSDT,1h
Entry Model 2,FVG,75,75,0,0,66,9,15.386573,7.72194,13.057424,8.621489,0.906667,0.853333,0.813333,0.866667,0.626667,0.48,4.96,SOLUSDT,4h
Entry Model 2,IFVG,40,40,0,0,33,7,14.573618,9.687271,8.362735,3.724561,0.95,0.9,0.825,0.725,0.725,0.6,4.975,SOLUSDT,30m
Entry Model 2,Liquidity,1,1,0,0,1,0,14.288143,14.288143,11.970905,11.970905,1.0,1.0,1.0,1.0,0.0,0.0,5.0,BTCUSDT,30m
Entry Model 2,OB,4,4,0,0,2,2,4.407098,4.466298,8.108042,5.928844,1.0,1.0,1.0,1.0,1.0,0.5,5.0,ETHUSDT,15m
Entry Model 2,PD,52,52,0,0,47,5,16.715182,7.655446,7.090777,3.147938,0.961538,0.961538,0.942308,0.75,0.807692,0.730769,5.0,SOLUSDT,4h
