model,timeframe,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,4,4,0,0,4,0,2.49592,2.546181,0.947531,0.307473,0.75,0.5,0.5,0.25,0.5,0.5,5.0,SOLUSDT,15m
Entry Model 1,1h,8,8,0,0,8,0,1.089655,0.55499,1.083342,0.75014,0.5,0.375,0.125,0.25,0.25,0.125,4.125,ETHUSDT,1h
Entry Model 1,30m,12,12,0,0,12,0,2.190706,1.38184,0.945523,0.590303,0.916667,0.833333,0.333333,0.25,0.666667,0.25,4.666667,ETHUSDT,30m
Entry Model 1,4h,14,14,0,0,6,8,1.627918,1.802953,0.430477,0.195857,0.928571,0.857143,0.428571,0.142857,0.857143,0.428571,4.357143,BTCUSDT,4h
Entry Model 1,5m,11,11,0,0,3,8,2.168819,0.805514,1.802207,0.896221,0.727273,0.454545,0.272727,0.454545,0.454545,0.272727,5.0,ETHUSDT,5m
Entry Model 2,15m,64,64,0,0,64,0,11.36093,5.493009,10.279141,7.142429,0.984375,0.9375,0.8125,0.859375,0.734375,0.59375,5.0,SOLUSDT,15m
Entry Model 2,1h,29,29,0,0,27,2,22.759264,14.59501,10.707669,7.462818,0.965517,0.931034,0.931034,0.896552,0.655172,0.482759,5.0,SOLUSDT,1h
Entry Model 2,30m,54,54,0,0,54,0,18.335734,11.553819,8.83434,4.643175,0.925926,0.907407,0.888889,0.759259,0.648148,0.555556,5.0,SOLUSDT,30m
Entry Model 2,4h,21,21,0,0,3,18,20.739215,11.43998,18.688949,5.176129,0.857143,0.857143,0.809524,0.761905,0.714286,0.619048,4.809524,ETHUSDT,4h
Entry Model 2,5m,47,47,0,0,42,5,6.277079,4.469473,6.661045,5.675731,0.914894,0.893617,0.787234,0.765957,0.765957,0.553191,5.0,SOLUSDT,5m
