phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,174,30,True,76.436782,0.328523,2.161562,3.175337,57.162997,58.275862,2.852735,64.042127,0.185535,0.00058,0.186116
train,ALL,ALL,model_rules,0,True,first,59,30,True,77.966102,0.365868,2.379835,3.175337,21.586185,57.79661,2.743906,65.492678,0.184351,0.001887,0.186239
train,by_timeframe,15m,model_rules,0,True,first,24,30,False,79.166667,0.402314,2.649838,1.61114,9.655529,56.666667,2.592901,64.416806,0.180202,0.000818,0.18102
train,by_timeframe,30m,model_rules,0,True,first,35,30,True,77.142857,0.340876,2.218456,2.007057,11.930656,58.571429,2.847453,66.230419,0.187197,0.00262,0.189817
train,by_symbol,BTCUSDT,model_rules,0,True,first,32,30,True,75.0,0.299958,1.998864,3.175337,9.598652,56.5625,2.651101,66.2069,0.185055,0.001682,0.186738
train,by_symbol,ETHUSDT,model_rules,0,True,first,27,30,False,81.481481,0.443983,2.986512,1.272268,11.987533,59.259259,2.853898,64.646193,0.183517,0.00213,0.185647
train,by_direction,long,model_rules,0,True,first,35,30,True,74.285714,0.315651,2.029639,3.504268,11.047772,57.714286,2.75284,71.98372,0.166883,0.003181,0.170064
train,by_direction,short,model_rules,0,True,first,24,30,False,83.333333,0.439101,3.144449,1.2737,10.538413,57.916667,2.730878,56.026575,0.209827,0.0,0.209827
train,by_session_label,custom,model_rules,0,True,first,16,30,False,75.0,0.305447,2.032487,2.424588,4.887158,60.0,2.51455,65.738325,0.194553,0.0,0.194553
train,by_session_label,london_open,model_rules,0,True,first,11,30,False,81.818182,0.443895,2.972175,1.245815,4.88285,66.363636,5.415876,67.738921,0.192468,0.0,0.192468
train,by_session_label,ny_open,model_rules,0,True,first,32,30,True,78.125,0.369256,2.400888,3.077009,11.816177,53.75,1.940095,64.597708,0.176461,0.003479,0.17994
train,by_score_bucket,high,model_rules,0,True,first,18,30,False,72.222222,0.241708,1.697479,1.699431,4.350753,70.0,5.634921,61.268572,0.202736,0.0,0.202736
train,by_score_bucket,medium,model_rules,0,True,first,41,30,True,80.487805,0.420376,2.832347,3.618197,17.235432,52.439024,1.474681,67.347164,0.17628,0.002716,0.178996
train,by_no_trade_reasons,none,model_rules,0,True,first,18,30,False,72.222222,0.241708,1.697479,1.699431,4.350753,70.0,5.634921,61.268572,0.202736,0.0,0.202736
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,31,30,True,77.419355,0.364714,2.378245,3.618197,11.306138,50.0,1.190707,71.063929,0.168203,0.001737,0.169939
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,10,30,False,90.0,0.592929,5.92908,1.202921,5.929294,60.0,2.354998,55.825191,0.201321,0.00575,0.207071
validation,ALL,ALL,model_rules,0,True,first,59,30,True,72.881356,0.247483,1.757178,2.977198,14.601473,57.966102,3.280468,63.21193,0.186086,-3.7e-05,0.186049
validation,by_timeframe,15m,model_rules,0,True,first,29,30,False,65.517241,0.10396,1.244764,3.706981,3.014835,59.655172,3.217081,53.964103,0.206385,0.0,0.206385
validation,by_timeframe,30m,model_rules,0,True,first,30,30,True,80.0,0.386221,2.663131,2.668698,11.586638,56.333333,3.341743,72.151496,0.166463,-7.3e-05,0.16639
validation,by_symbol,BTCUSDT,model_rules,0,True,first,22,30,False,86.363636,0.470517,3.841538,1.618915,10.351383,55.0,2.015677,64.81931,0.192134,0.0,0.192134
validation,by_symbol,ETHUSDT,model_rules,0,True,first,37,30,True,64.864865,0.114867,1.271724,6.670781,4.25009,59.72973,4.032506,62.256191,0.182489,-5.9e-05,0.18243
validation,by_direction,long,model_rules,0,True,first,24,30,False,66.666667,0.106365,1.263055,3.317296,2.552766,60.0,3.800635,57.080164,0.19312,0.0,0.19312
validation,by_direction,short,model_rules,0,True,first,35,30,True,77.142857,0.344249,2.257727,2.308011,12.048707,56.571429,2.923783,67.41657,0.181262,-6.2e-05,0.181199
validation,by_session_label,custom,model_rules,0,True,first,8,30,False,87.5,0.490645,4.312055,1.185113,3.92516,55.0,3.840094,74.440462,0.157812,0.0,0.157812
validation,by_session_label,london_open,model_rules,0,True,first,18,30,False,61.111111,7.2e-05,1.000151,4.401158,0.0013,63.333333,4.696519,50.203823,0.22215,0.0,0.22215
validation,by_session_label,ny_open,model_rules,0,True,first,33,30,True,75.757576,0.323485,2.128104,2.729833,10.675013,55.757576,2.37241,67.585193,0.173268,-6.6e-05,0.173202
validation,by_score_bucket,high,model_rules,0,True,first,20,30,False,60.0,-0.012636,0.974007,5.374355,-0.252729,70.0,6.752529,49.711126,0.212636,0.0,0.212636
validation,by_score_bucket,medium,model_rules,0,True,first,39,30,True,79.487179,0.380877,2.553624,2.378927,14.854202,51.794872,1.499924,70.13542,0.17247,-5.6e-05,0.172414
validation,by_no_trade_reasons,none,model_rules,0,True,first,20,30,False,60.0,-0.012636,0.974007,5.374355,-0.252729,70.0,6.752529,49.711126,0.212636,0.0,0.212636
validation,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,32,30,True,84.375,0.480319,3.64048,2.308011,15.370196,50.0,1.292329,74.806915,0.162823,-6.8e-05,0.162754
validation,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,7,30,False,57.142857,-0.073713,0.862034,1.662527,-0.515994,60.0,2.448931,48.780013,0.216571,0.0,0.216571
test,ALL,ALL,model_rules,0,True,first,58,30,True,77.586207,0.354295,2.324539,2.393861,20.549115,59.482759,2.697947,62.831075,0.18713,-0.000141,0.18699
test,by_timeframe,15m,model_rules,0,True,first,32,30,True,75.0,0.292501,1.975775,2.393861,9.360038,57.8125,2.328323,59.488784,0.194438,0.0,0.194438
test,by_timeframe,30m,model_rules,0,True,first,26,30,False,80.769231,0.430349,2.88949,2.101327,11.189077,61.538462,3.152869,66.944663,0.178137,-0.000314,0.177823
test,by_symbol,BTCUSDT,model_rules,0,True,first,16,30,False,68.75,0.152483,1.408194,2.488404,2.439729,58.125,2.290216,57.836897,0.196413,-1.8e-05,0.196395
test,by_symbol,ETHUSDT,model_rules,0,True,first,42,30,True,80.952381,0.431176,2.8988,1.24401,18.109386,60.0,2.853273,64.733618,0.183594,-0.000188,0.183407
test,by_direction,long,model_rules,0,True,first,33,30,True,72.727273,0.250932,1.769826,1.932731,8.280751,60.909091,2.996579,59.976077,0.190948,0.0,0.190948
test,by_direction,short,model_rules,0,True,first,25,30,False,84.0,0.490735,3.57874,1.237872,12.268364,57.6,2.303753,66.599672,0.182091,-0.000327,0.181764
test,by_session_label,custom,model_rules,0,True,first,5,30,False,40.0,-0.424776,0.420567,3.665448,-2.123881,64.0,3.376528,45.34219,0.224776,0.0,0.224776
test,by_session_label,london_open,model_rules,0,True,first,10,30,False,90.0,0.592395,5.796909,1.234951,5.923948,65.0,3.450171,64.381714,0.207605,0.0,0.207605
test,by_session_label,ny_open,model_rules,0,True,first,43,30,True,79.069767,0.389513,2.57805,2.393861,16.749048,57.674419,2.444107,64.504052,0.177992,-0.00019,0.177802
