phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,512,30,True,76.757812,0.285244,1.986164,6.164166,146.044968,60.253906,3.420484,51.018244,0.239929,0.00019,0.24012
train,ALL,ALL,model_rules,0,True,first,170,30,True,73.529412,0.23085,1.703369,5.800007,39.244427,61.117647,3.777551,53.638068,0.224286,0.000389,0.224674
train,by_timeframe,15m,model_rules,0,True,first,89,30,True,80.898876,0.373674,2.569508,3.553074,33.256966,61.235955,3.918766,52.028923,0.232918,-0.000165,0.232753
train,by_timeframe,30m,model_rules,0,True,first,81,30,True,65.432099,0.073919,1.173021,5.106849,5.987461,60.987654,3.62239,55.406141,0.214801,0.000997,0.215798
train,by_symbol,BTCUSDT,model_rules,0,True,first,85,30,True,76.470588,0.254148,1.848705,3.900493,21.602544,60.470588,3.290227,47.400882,0.24472,0.000416,0.245135
train,by_symbol,ETHUSDT,model_rules,0,True,first,85,30,True,70.588235,0.207552,1.581446,4.47904,17.641883,61.764706,4.264876,59.875255,0.203852,0.000361,0.204213
train,by_direction,long,model_rules,0,True,first,80,30,True,73.75,0.234798,1.731178,3.704913,18.783808,60.375,3.499566,58.341367,0.212102,0.00094,0.213042
train,by_direction,short,model_rules,0,True,first,90,30,True,73.333333,0.22734,1.679639,5.561018,20.460619,61.777778,4.02465,49.457358,0.235116,-0.000102,0.235014
train,by_session_label,custom,model_rules,0,True,first,26,30,False,80.769231,0.375877,2.5265,1.744586,9.772805,61.923077,3.68681,57.16904,0.210569,0.0,0.210569
train,by_session_label,london_open,model_rules,0,True,first,59,30,True,71.186441,0.19037,1.53409,7.466121,11.231814,64.576271,5.344885,56.421148,0.220977,0.000335,0.221312
train,by_session_label,ny_open,model_rules,0,True,first,85,30,True,72.941176,0.214586,1.643085,5.708806,18.239808,58.470588,2.717393,50.626222,0.230778,0.000545,0.231323
train,by_score_bucket,high,model_rules,0,True,first,79,30,True,69.620253,0.150957,1.400217,6.080985,11.925615,70.0,6.197444,49.152724,0.241082,0.000366,0.241448
train,by_score_bucket,medium,model_rules,0,True,first,91,30,True,76.923077,0.300207,2.050843,3.356488,27.318812,53.406593,1.676765,57.531939,0.209704,0.000408,0.210112
train,by_no_trade_reasons,none,model_rules,0,True,first,79,30,True,69.620253,0.150957,1.400217,6.080985,11.925615,70.0,6.197444,49.152724,0.241082,0.000366,0.241448
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,60,30,True,80.0,0.357199,2.41966,3.017957,21.431947,50.0,1.218426,61.607648,0.199255,0.000864,0.200118
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,31,30,True,70.967742,0.189899,1.540054,2.729354,5.886865,60.0,2.563874,49.64347,0.22993,-0.000474,0.229456
validation,ALL,ALL,model_rules,0,True,first,171,30,True,78.362573,0.313597,2.15827,6.164166,53.625048,58.77193,3.102034,49.008874,0.250933,0.000232,0.251165
validation,by_timeframe,15m,model_rules,0,True,first,70,30,True,75.714286,0.259329,1.838489,5.279838,18.153002,58.0,3.017438,48.190357,0.254677,0.00028,0.254957
validation,by_timeframe,30m,model_rules,0,True,first,101,30,True,80.19802,0.351208,2.439154,3.076582,35.472046,59.306931,3.160664,49.576163,0.248339,0.000198,0.248537
validation,by_symbol,BTCUSDT,model_rules,0,True,first,87,30,True,81.609195,0.363753,2.597637,4.526723,31.646517,58.735632,3.233353,46.826297,0.263312,0.000226,0.263537
validation,by_symbol,ETHUSDT,model_rules,0,True,first,84,30,True,75.0,0.261649,1.829717,4.225487,21.978531,58.809524,2.966025,51.269401,0.238113,0.000238,0.238351
validation,by_direction,long,model_rules,0,True,first,79,30,True,75.949367,0.275746,1.921713,4.282028,21.78396,59.240506,3.07232,53.002504,0.242265,0.000976,0.243241
