scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,3546,100,True,56.627186,-0.261566,0.529196,1.293978,-0.261566,-7.112097,0.533946,937.605676,22,-927.512236,0.70341,-1e-06,0.703409
filtered_all,ALL,model_rules,0,2793,753,100,True,78.618858,0.3269,0.754081,1.243853,0.3269,5.247214,2.229177,3.937066,3,246.155401,0.237356,0.000256,0.237613
by_timeframe,15m,model_rules,0,0,344,100,True,79.069767,0.329981,0.748657,1.251681,0.329981,3.60966,2.259569,3.937066,3,113.513601,0.245927,0.000199,0.246126
by_timeframe,30m,model_rules,0,0,409,100,True,78.239609,0.324308,0.758691,1.237521,0.324308,3.815481,2.204309,3.688448,3,132.6418,0.230147,0.000305,0.230452
by_score_bucket,high,model_rules,0,0,303,100,True,77.557756,0.28695,0.735879,1.264495,0.28695,2.872663,2.011167,4.923675,3,86.945871,0.264218,-1.3e-05,0.264205
by_score_bucket,medium,model_rules,0,0,450,100,True,79.333333,0.353799,0.766062,1.22876,0.353799,4.460038,2.393218,4.143692,3,159.20953,0.219269,0.000437,0.219707
by_session_label,custom,model_rules,0,0,125,100,True,78.4,0.32347,0.755761,1.245586,0.32347,2.103554,2.202282,5.987658,3,40.433743,0.231469,0.0,0.231469
by_session_label,london_open,model_rules,0,0,198,100,True,79.292929,0.327015,0.739812,1.253698,0.327015,2.730731,2.259667,6.007314,4,64.748938,0.254164,0.0001,0.254264
by_session_label,ny_open,model_rules,0,0,430,100,True,78.372093,0.327844,0.760239,1.23901,0.327844,3.973379,2.223425,3.943041,3,140.97272,0.231328,0.000403,0.231731
by_direction,long,model_rules,0,0,371,100,True,77.358491,0.303832,0.753894,1.23388,0.303832,3.371274,2.087565,4.242261,3,112.721596,0.231753,0.000674,0.232427
by_direction,short,model_rules,0,0,382,100,True,79.842932,0.349303,0.754257,1.254734,0.349303,4.072563,2.381095,3.558086,2,133.433805,0.242798,-0.000149,0.242648
by_symbol,BTCUSDT,model_rules,0,0,324,100,True,81.790123,0.366831,0.728126,1.255935,0.366831,4.136137,2.603955,3.937066,3,118.853302,0.253045,0.000274,0.25332
by_symbol,ETHUSDT,model_rules,0,0,429,100,True,76.223776,0.296741,0.775114,1.236865,0.296741,3.454406,2.009051,3.843103,3,127.302099,0.225507,0.000243,0.22575
by_no_trade_reasons,none,model_rules,0,0,303,100,True,77.557756,0.28695,0.735879,1.264495,0.28695,2.872663,2.011167,4.923675,3,86.945871,0.264218,-1.3e-05,0.264205
by_no_trade_reasons,target_rr_below_2,model_rules,0,0,294,100,True,78.231293,0.342498,0.77926,1.227116,0.342498,3.440264,2.282152,4.143692,3,100.694388,0.20146,0.000524,0.201984
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,156,100,True,81.410256,0.375097,0.742161,1.232389,0.375097,2.935017,2.637279,2.552698,2,58.515142,0.252834,0.000274,0.253108
