phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,232,30,True,75.862069,0.27773,1.932881,5.800007,64.433405,59.913793,3.413214,52.254657,0.22835,0.000123,0.228473
train,ALL,ALL,model_rules,0,True,first,78,30,True,75.641026,0.30233,2.034713,3.900493,23.581749,62.051282,3.784007,58.745312,0.20989,0.0006,0.21049
train,by_timeframe,15m,model_rules,0,True,first,41,30,True,85.365854,0.475579,3.714444,2.260164,19.49875,63.170732,4.292927,53.620283,0.231738,0.0,0.231738
train,by_timeframe,30m,model_rules,0,True,first,37,30,True,64.864865,0.110351,1.261608,5.106849,4.082999,60.810811,3.220069,64.424398,0.18568,0.001266,0.186946
train,by_symbol,BTCUSDT,model_rules,0,True,first,40,30,True,75.0,0.261996,1.840316,3.900493,10.479847,61.25,3.153864,49.622107,0.237121,0.000883,0.238004
train,by_symbol,ETHUSDT,model_rules,0,True,first,38,30,True,76.315789,0.344787,2.26965,2.521969,13.101902,62.894737,4.447316,68.348685,0.181226,0.000303,0.181529
train,by_direction,long,model_rules,0,True,first,38,30,True,71.052632,0.222699,1.636538,3.159194,8.462555,60.789474,3.562573,64.220257,0.197266,0.001087,0.198354
train,by_direction,short,model_rules,0,True,first,40,30,True,80.0,0.37798,2.592172,2.916982,15.119194,63.25,3.99437,53.544114,0.221882,0.000138,0.22202
train,by_session_label,custom,model_rules,0,True,first,12,30,False,83.333333,0.4579,3.305936,1.204808,5.494797,65.833333,4.602617,55.615724,0.208767,0.0,0.208767
train,by_session_label,london_open,model_rules,0,True,first,29,30,False,82.758621,0.470068,3.267784,1.912965,13.631958,63.793103,4.731912,69.276841,0.184915,0.00019,0.185105
train,by_session_label,ny_open,model_rules,0,True,first,37,30,True,67.567568,0.120405,1.309448,5.708806,4.454994,59.459459,2.77556,51.505871,0.229829,0.001117,0.230946
train,by_score_bucket,high,model_rules,0,True,first,40,30,True,75.0,0.277478,1.923147,3.35504,11.099111,70.0,5.681825,54.39823,0.222522,0.0,0.222522
train,by_score_bucket,medium,model_rules,0,True,first,38,30,True,76.315789,0.32849,2.15929,3.356488,12.482638,53.684211,1.786304,63.321187,0.196593,0.001233,0.197825
train,by_no_trade_reasons,none,model_rules,0,True,first,40,30,True,75.0,0.277478,1.923147,3.35504,11.099111,70.0,5.681825,54.39823,0.222522,0.0,0.222522
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,24,30,False,83.333333,0.476879,3.382266,2.56396,11.445107,50.0,1.350976,68.183598,0.187836,0.001952,0.189787
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,14,30,False,64.285714,0.074109,1.173989,2.729354,1.037531,60.0,2.532581,54.985626,0.211605,0.0,0.211605
validation,ALL,ALL,model_rules,0,True,first,79,30,True,72.151899,0.184255,1.522696,5.800007,14.556169,61.518987,4.064206,52.396891,0.231981,0.00018,0.232161
validation,by_timeframe,15m,model_rules,0,True,first,46,30,True,78.26087,0.318326,2.154978,3.553074,14.642993,60.434783,3.787014,55.049027,0.224862,-0.000319,0.224543
