phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,171,30,True,76.608187,0.330721,2.189534,3.011907,56.553282,59.005848,3.290624,61.000632,0.186469,-2e-06,0.186466
train,ALL,ALL,model_rules,0,True,first,57,30,True,73.684211,0.287443,1.92668,2.708161,16.384233,61.754386,3.58889,61.304438,0.18542,0.000822,0.186242
train,by_timeframe,15m,model_rules,0,True,first,24,30,False,83.333333,0.463843,3.342895,1.28208,11.13224,63.333333,4.090766,54.315657,0.202823,0.0,0.202823
train,by_timeframe,30m,model_rules,0,True,first,33,30,True,66.666667,0.159151,1.406215,5.042027,5.251993,60.606061,3.223889,66.387188,0.172763,0.001419,0.174182
train,by_symbol,BTCUSDT,model_rules,0,True,first,28,30,False,75.0,0.284008,1.941831,1.642176,7.952216,61.428571,3.284167,50.224963,0.214731,0.001262,0.215992
train,by_symbol,ETHUSDT,model_rules,0,True,first,29,30,False,72.413793,0.290759,1.91283,2.521969,8.432017,62.068966,3.883105,72.001862,0.15712,0.000397,0.157517
train,by_direction,long,model_rules,0,True,first,28,30,False,71.428571,0.235117,1.691438,3.159194,6.583288,60.0,2.878462,60.152992,0.191978,0.001476,0.193454
train,by_direction,short,model_rules,0,True,first,29,30,False,75.862069,0.337964,2.201181,2.368742,9.800945,63.448276,4.27482,62.416179,0.179088,0.00019,0.179278
train,by_session_label,custom,model_rules,0,True,first,10,30,False,80.0,0.411006,2.724818,1.204808,4.110056,67.0,5.024614,60.236757,0.188994,0.0,0.188994
train,by_session_label,london_open,model_rules,0,True,first,21,30,False,90.47619,0.640291,6.973777,1.159132,13.446117,61.904762,3.85719,67.485204,0.16897,0.000263,0.169233
train,by_session_label,ny_open,model_rules,0,True,first,26,30,False,57.692308,-0.045075,0.910174,5.664221,-1.17194,59.615385,2.819985,56.722927,0.197331,0.001589,0.198921
train,by_score_bucket,high,model_rules,0,True,first,28,30,False,71.428571,0.223427,1.651357,3.35504,6.255965,70.0,5.465681,51.773996,0.205144,0.0,0.205144
train,by_score_bucket,medium,model_rules,0,True,first,29,30,False,75.862069,0.349251,2.254109,1.850266,10.128268,53.793103,1.776816,70.506244,0.166376,0.001615,0.167991
train,by_no_trade_reasons,none,model_rules,0,True,first,28,30,False,71.428571,0.223427,1.651357,3.35504,6.255965,70.0,5.465681,51.773996,0.205144,0.0,0.205144
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,18,30,False,83.333333,0.507436,3.644019,1.2142,9.133855,50.0,1.348859,76.080091,0.156628,0.002602,0.15923
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,11,30,False,63.636364,0.090401,1.21517,2.729354,0.994413,60.0,2.477108,61.385403,0.182326,0.0,0.182326
validation,ALL,ALL,model_rules,0,True,first,57,30,True,75.438596,0.288967,1.982119,3.011907,16.471107,61.052632,4.311843,63.795925,0.183166,-0.000258,0.182908
