model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-02,13:00-16:00,1,1,1,0,4.682221,4.682221,1.0,3.5246,70.0,3.5246,1.0,0.695757,0.695757,0.304243,0.0,0.304243,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-04,13:00-16:00,1,1,1,0,6.37104,6.37104,0.0,4.362668,70.0,-1.0,-1.0,-1.563534,-1.563534,0.563534,0.0,0.563534,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2022-01-05,07:00-10:00,2,2,2,0,12.477969,12.477969,1.0,5.706491,65.0,5.706491,1.0,0.293696,0.293696,0.706304,0.0,0.706304,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-01-05,13:00-16:00,4,4,4,0,3.468245,3.640329,0.0,4.605086,70.0,-1.0,0.5,0.199849,0.199849,0.300151,0.0,0.300151,0.0,0.75,0.75,1.0,1.0,2.5,1.0,1.333333,4,0
turtle_soup,2022-01-06,02:00-05:00,2,2,2,0,6.146561,6.146561,0.0,6.049651,70.0,-1.0,0.0,-0.395225,-0.395225,0.395225,0.0,0.395225,0.0,0.5,0.0,1.0,1.0,1.5,1.0,,2,0
turtle_soup,2022-01-07,07:00-10:00,2,2,2,0,5.370366,5.370366,0.0,14.477251,70.0,-1.0,1.0,0.865449,0.865449,0.134551,0.0,0.134551,0.0,1.0,1.0,1.0,1.0,6.5,1.0,1.0,2,0
turtle_soup,2022-01-08,07:00-10:00,5,5,5,0,3.810156,4.366086,0.0,5.759816,62.0,-1.0,-0.2,-0.729319,-0.729319,0.522979,0.00634,0.529319,0.0,0.4,0.4,1.0,1.0,3.8,1.0,1.0,3,2
turtle_soup,2022-01-09,07:00-10:00,1,1,1,0,6.385723,6.385723,1.0,2.859388,60.0,2.859388,1.0,0.810424,0.810424,0.189576,0.0,0.189576,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2022-01-11,02:00-05:00,1,1,1,0,3.07864,3.07864,1.0,1.056902,50.0,1.056902,1.0,0.874207,0.874207,0.125793,0.0,0.125793,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-01-11,07:00-10:00,2,2,2,0,2.734309,2.734309,0.0,3.44923,70.0,-1.0,1.0,0.763788,0.763788,0.236212,0.0,0.236212,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.5,2,0
turtle_soup,2022-01-12,02:00-05:00,1,1,1,0,7.607636,7.607636,0.0,11.454732,90.0,-1.0,1.0,-0.115294,-0.115294,1.115294,0.0,1.115294,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1,0
turtle_soup,2022-01-13,07:00-10:00,2,2,2,0,17.004702,17.004702,0.0,2.525035,60.0,-1.0,-1.0,-1.36784,-1.36784,0.36784,0.0,0.36784,0.0,0.0,0.0,1.0,1.0,1.0,,,1,2
turtle_soup,2022-01-14,13:00-16:00,5,5,5,0,3.684844,3.945035,0.0,7.540911,66.0,-1.0,-0.2,-0.786785,-0.786785,0.586785,0.0,0.586785,0.0,0.4,0.4,1.0,1.0,4.0,1.0,1.0,3,2
turtle_soup,2022-01-15,07:00-10:00,5,5,5,0,11.161061,9.232121,0.8,3.268785,64.0,2.186972,0.6,0.117798,0.117798,0.482202,0.0,0.482202,0.8,0.8,0.6,0.2,1.0,1.0,1.25,3.0,0,3
turtle_soup,2022-01-16,07:00-10:00,5,5,5,0,6.325281,4.100216,0.6,2.948491,62.0,1.782848,1.0,0.621979,0.621979,0.378021,0.0,0.378021,0.6,1.0,0.4,0.4,1.0,4.0,1.6,1.0,2,3
turtle_soup,2022-01-17,07:00-10:00,1,1,1,0,0.646528,0.646528,0.0,2.037262,60.0,-1.0,-1.0,-1.155856,-1.155856,0.155856,0.0,0.155856,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-01-18,02:00-05:00,2,2,2,0,4.119609,4.119609,0.0,8.651468,70.0,-1.0,0.0,-0.513065,-0.513065,0.513065,0.0,0.513065,0.0,0.5,0.0,1.0,1.0,3.5,1.0,,2,0
turtle_soup,2022-01-19,07:00-10:00,2,2,2,0,17.240965,17.240965,1.0,6.249111,70.0,6.249111,1.0,0.222057,0.222057,0.777943,0.0,0.777943,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-21,07:00-10:00,1,1,1,0,9.747247,9.747247,0.0,12.878994,70.0,-1.0,-1.0,-1.509226,-1.509226,0.509226,0.0,0.509226,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-22,02:00-05:00,1,1,1,0,9.998871,9.998871,0.0,14.224654,70.0,-1.0,-1.0,-1.324948,-1.324948,0.324948,0.0,0.324948,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-24,02:00-05:00,2,2,2,0,2.782425,2.782425,0.0,3.00494,65.0,-1.0,-1.0,-1.110481,-1.110481,0.110481,0.0,0.110481,0.0,0.0,0.0,1.0,1.0,1.5,,,0,1
turtle_soup,2022-01-24,13:00-16:00,6,6,6,0,5.025302,4.758989,0.0,19.810733,70.0,-1.0,0.333333,-0.004131,-0.004131,0.337464,0.0,0.337464,0.0,0.666667,0.666667,1.0,1.0,2.666667,1.0,1.25,6,0
turtle_soup,2022-01-25,02:00-05:00,2,2,2,0,5.587686,5.587686,0.0,6.321011,70.0,-1.0,1.0,0.773829,0.773829,0.226171,0.0,0.226171,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.5,1,0
turtle_soup,2022-01-25,07:00-10:00,8,8,8,0,4.327095,3.508698,0.375,3.629745,57.5,0.341776,0.25,0.057107,0.057107,0.192893,0.0,0.192893,0.375,0.625,0.375,0.625,1.0,1.6,1.0,1.0,4,5
turtle_soup,2022-01-26,02:00-05:00,5,5,5,0,4.375346,2.619322,0.0,7.827132,76.0,-1.0,-0.2,-0.496628,-0.496628,0.296628,0.0,0.296628,0.0,0.4,0.4,1.0,1.0,3.0,1.0,1.0,3,1
turtle_soup,2022-01-27,07:00-10:00,2,2,2,0,10.429954,10.429954,1.0,3.459853,65.0,3.459853,1.0,0.73484,0.73484,0.26516,0.0,0.26516,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-01-28,02:00-05:00,3,3,3,0,21.980056,27.083522,0.333333,4.839109,66.666667,1.543465,0.333333,-0.20825,-0.20825,0.541583,0.0,0.541583,0.333333,0.666667,0.333333,0.666667,1.0,1.5,1.0,1.0,2,1
turtle_soup,2022-01-28,07:00-10:00,1,1,1,0,41.633983,41.633983,1.0,8.758823,70.0,8.758823,1.0,0.561178,0.561178,0.438822,0.0,0.438822,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-28,13:00-16:00,6,6,6,0,4.567931,3.333157,0.0,12.121642,70.0,-1.0,0.333333,-0.037425,-0.037425,0.370758,0.0,0.370758,0.0,0.666667,0.333333,1.0,1.0,2.166667,1.0,1.0,4,0
turtle_soup,2022-01-29,07:00-10:00,2,2,2,0,11.518728,11.518728,0.0,11.182856,70.0,-1.0,1.0,0.526131,0.526131,0.473869,0.0,0.473869,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2,0
turtle_soup,2022-01-30,07:00-10:00,2,2,2,0,9.681058,9.681058,1.0,8.671178,70.0,8.671178,1.0,0.654418,0.654418,0.345582,0.0,0.345582,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-30,13:00-16:00,4,4,4,0,8.365229,8.365229,0.25,4.543504,65.0,-0.418356,0.0,-0.290025,-0.290025,0.290025,0.0,0.290025,0.25,0.5,0.0,0.75,1.0,2.333333,1.0,,2,1
turtle_soup,2022-02-01,02:00-05:00,2,2,2,0,1.527317,1.527317,0.5,1.996867,60.0,-0.044746,1.0,0.912788,0.912788,0.087212,0.0,0.087212,0.5,1.0,0.0,0.5,1.0,5.0,1.5,,0,1
turtle_soup,2022-02-02,07:00-10:00,2,2,2,0,23.720055,23.720055,1.0,5.480413,70.0,5.480413,1.0,0.629753,0.629753,0.370247,0.0,0.370247,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-04,02:00-05:00,4,4,4,0,13.241774,13.241774,0.0,20.650206,70.0,-1.0,1.0,0.496308,0.496308,0.503692,0.0,0.503692,0.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,4,0
turtle_soup,2022-02-05,07:00-10:00,2,2,2,0,3.467454,3.467454,0.0,1.795322,50.0,-1.0,1.0,0.859968,0.859968,0.140032,0.0,0.140032,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,2
turtle_soup,2022-02-06,07:00-10:00,7,7,7,0,8.737714,4.960346,0.428571,3.434739,60.0,0.033532,0.142857,-0.416199,-0.416199,0.559056,0.0,0.559056,0.428571,0.571429,0.285714,0.571429,1.0,1.75,1.0,1.0,3,4
turtle_soup,2022-02-09,07:00-10:00,2,2,2,0,8.755148,8.755148,1.0,5.424066,70.0,5.424066,1.0,0.465106,0.465106,0.534895,0.0,0.534895,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-10,02:00-05:00,3,3,3,0,29.055904,34.954252,0.0,10.184556,70.0,-1.0,-0.333333,-1.365481,-1.365481,1.032148,0.0,1.032148,0.0,0.333333,0.0,1.0,1.0,1.333333,1.0,,3,0
turtle_soup,2022-02-11,07:00-10:00,6,6,6,0,23.450797,25.55579,0.333333,5.942192,65.0,-0.020873,1.0,0.406015,0.406015,0.593985,0.0,0.593985,0.333333,1.0,0.5,0.666667,1.0,2.25,1.0,1.0,4,2
turtle_soup,2022-02-11,13:00-16:00,1,1,1,0,1.169306,1.169306,0.0,1.547156,50.0,-1.0,1.0,0.917752,0.917752,0.082248,0.0,0.082248,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2022-02-12,07:00-10:00,1,1,1,0,3.81245,3.81245,1.0,2.209433,60.0,2.209433,1.0,0.892675,0.892675,0.107325,0.0,0.107325,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,1
turtle_soup,2022-02-13,07:00-10:00,2,2,2,0,39.65784,39.65784,1.0,8.501527,70.0,8.501527,1.0,0.026344,0.026344,0.973656,0.0,0.973656,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-14,07:00-10:00,1,1,1,0,2.520218,2.520218,0.0,7.739158,70.0,-1.0,-1.0,-1.88833,-1.88833,0.88833,0.0,0.88833,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-02-17,02:00-05:00,4,4,4,0,2.585474,2.585474,0.25,4.176804,65.0,-0.252712,1.0,0.801778,0.801778,0.198222,0.0,0.198222,0.25,1.0,0.0,0.75,1.0,3.333333,1.0,,2,2
turtle_soup,2022-02-18,02:00-05:00,1,1,1,0,20.245975,20.245975,0.0,10.310958,70.0,-1.0,-1.0,-2.142691,-2.142691,1.142691,0.0,1.142691,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-02-19,02:00-05:00,4,4,4,0,8.055671,7.886654,0.0,10.112029,70.0,-1.0,0.5,-0.575081,-0.575081,1.075081,0.0,1.075081,0.0,0.75,0.5,1.0,1.0,2.0,1.0,1.0,4,0
turtle_soup,2022-02-21,07:00-10:00,4,4,4,0,17.045303,10.769134,0.25,7.158148,77.5,-0.08254,0.0,-0.302274,-0.302274,0.302274,0.0,0.302274,0.25,0.5,0.5,0.75,1.0,1.333333,2.5,3.0,3,1
turtle_soup,2022-02-23,02:00-05:00,1,1,1,0,7.772555,7.772555,0.0,5.701138,70.0,-1.0,-1.0,-1.21022,-1.21022,0.21022,0.0,0.21022,0.0,0.0,0.0,1.0,1.0,5.0,,,0,0
turtle_soup,2022-02-23,13:00-16:00,3,3,3,0,3.475151,1.904299,0.0,8.115945,70.0,-1.0,1.0,0.525421,0.525421,0.474579,0.0,0.474579,0.0,1.0,0.333333,1.0,1.0,4.666667,1.0,1.0,3,0
turtle_soup,2022-02-25,07:00-10:00,3,3,3,0,6.122981,3.001248,0.0,8.903099,70.0,-1.0,0.333333,-0.172879,-0.172879,0.506213,0.0,0.506213,0.0,0.666667,0.333333,1.0,1.0,2.0,1.0,1.0,3,0
turtle_soup,2022-03-01,02:00-05:00,2,2,2,0,22.378448,22.378448,1.0,8.85505,70.0,8.85505,1.0,0.540088,0.540088,0.459912,0.0,0.459912,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-01,07:00-10:00,2,2,2,0,11.051826,11.051826,0.0,15.948795,70.0,-1.0,-1.0,-1.422859,-1.422859,0.422858,0.0,0.422858,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-03-02,07:00-10:00,2,2,2,0,11.012789,11.012789,0.0,2.544999,60.0,-1.0,-1.0,-1.28208,-1.28208,0.28208,0.0,0.28208,0.0,0.0,0.0,1.0,1.0,1.0,,,2,1
turtle_soup,2022-03-03,07:00-10:00,1,1,1,0,51.044958,51.044958,1.0,10.797876,70.0,10.797876,1.0,-0.098205,-0.098205,1.098205,0.0,1.098205,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-04,02:00-05:00,2,2,2,0,3.243484,3.243484,0.5,6.144579,60.0,0.3587,1.0,0.841021,0.841021,0.158979,0.0,0.158979,0.5,1.0,1.0,0.5,1.0,11.0,1.0,1.0,1,1
turtle_soup,2022-03-04,07:00-10:00,8,8,8,0,1.379367,1.307776,0.125,2.16484,61.25,-0.603425,-0.5,-0.631292,-0.631292,0.129792,0.0015,0.131292,0.125,0.25,0.125,0.875,1.0,5.142857,1.0,1.0,2,5
