phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,106,30,True,80.188679,0.409487,2.726334,3.373316,43.405612,58.113208,3.374803,62.385834,0.18467,-8.2e-05,0.184588
train,ALL,ALL,model_rules,0,True,first,35,30,True,77.142857,0.35321,2.330276,2.260164,12.362363,62.571429,4.663522,60.697328,0.189475,0.000171,0.189647
train,by_timeframe,15m,model_rules,0,True,first,35,30,True,77.142857,0.35321,2.330276,2.260164,12.362363,62.571429,4.663522,60.697328,0.189475,0.000171,0.189647
train,by_symbol,BTCUSDT,model_rules,0,True,first,19,30,False,78.947368,0.3541,2.38614,1.28208,6.727894,62.631579,4.019185,46.610399,0.224848,0.0,0.224848
train,by_symbol,ETHUSDT,model_rules,0,True,first,16,30,False,75.0,0.352154,2.269199,1.413289,5.634469,62.5,5.428672,77.425557,0.147471,0.000375,0.147846
train,by_direction,long,model_rules,0,True,first,18,30,False,77.777778,0.35936,2.386082,1.28208,6.468486,61.111111,4.03231,62.064491,0.195862,0.000333,0.196195
train,by_direction,short,model_rules,0,True,first,17,30,False,76.470588,0.346699,2.273982,2.248657,5.893877,64.117647,5.331864,59.249744,0.182713,0.0,0.182713
train,by_session_label,custom,model_rules,0,True,first,7,30,False,85.714286,0.514205,4.05533,1.178084,3.599435,70.0,7.611587,52.723387,0.200081,0.0,0.200081
train,by_session_label,london_open,model_rules,0,True,first,13,30,False,84.615385,0.528307,4.159434,1.091725,6.867993,61.538462,5.515824,69.016281,0.164001,0.0,0.164001
train,by_session_label,ny_open,model_rules,0,True,first,15,30,False,66.666667,0.126329,1.318949,3.234062,1.894935,60.0,2.549097,57.208742,0.206604,0.0004,0.207004
train,by_score_bucket,high,model_rules,0,True,first,18,30,False,77.777778,0.34541,2.311172,2.591373,6.217373,70.0,7.355781,51.98495,0.210146,0.0,0.210146
train,by_score_bucket,medium,model_rules,0,True,first,17,30,False,76.470588,0.36147,2.35018,2.248657,6.14499,54.705882,1.812895,69.9222,0.167589,0.000353,0.167942
train,by_no_trade_reasons,none,model_rules,0,True,first,18,30,False,77.777778,0.34541,2.311172,2.591373,6.217373,70.0,7.355781,51.98495,0.210146,0.0,0.210146
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,9,30,False,77.777778,0.399295,2.61664,1.156932,3.593657,50.0,1.253656,75.376254,0.155594,0.000667,0.15626
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,8,30,False,75.0,0.318917,2.095783,1.236595,2.551333,60.0,2.442038,63.786389,0.181083,0.0,0.181083
validation,ALL,ALL,model_rules,0,True,first,35,30,True,77.142857,0.331918,2.202076,3.373316,11.617117,59.714286,3.902659,65.158886,0.181987,-0.000419,0.181567
validation,by_timeframe,15m,model_rules,0,True,first,35,30,True,77.142857,0.331918,2.202076,3.373316,11.617117,59.714286,3.902659,65.158886,0.181987,-0.000419,0.181567
validation,by_symbol,BTCUSDT,model_rules,0,True,first,19,30,False,89.473684,0.532594,5.0645,1.263157,10.119285,59.473684,3.121281,57.467783,0.202773,0.0,0.202773
validation,by_symbol,ETHUSDT,model_rules,0,True,first,16,30,False,62.5,0.093615,1.208771,3.632205,1.497832,60.0,4.830547,74.292071,0.157303,-0.000918,0.156386
validation,by_direction,long,model_rules,0,True,first,22,30,False,77.272727,0.343015,2.247869,2.410006,7.546327,59.090909,3.303647,72.065375,0.173354,0.0,0.173354
validation,by_direction,short,model_rules,0,True,first,13,30,False,76.923077,0.313138,2.12551,2.448717,4.07079,60.769231,4.916373,53.470981,0.196596,-0.001129,0.195467
validation,by_session_label,custom,model_rules,0,True,first,6,30,False,100.0,0.743117,inf,0.0,4.458701,55.0,2.889844,58.701719,0.192193,0.0,0.192193
validation,by_session_label,london_open,model_rules,0,True,first,13,30,False,61.538462,0.059918,1.126864,4.858723,0.778939,67.692308,6.73344,71.489924,0.17198,-0.001129,0.170851
validation,by_session_label,ny_open,model_rules,0,True,first,16,30,False,81.25,0.398717,2.810165,1.263157,6.379477,55.0,1.982457,62.436356,0.186289,0.0,0.186289
validation,by_score_bucket,high,model_rules,0,True,first,14,30,False,71.428571,0.234547,1.667527,2.907085,3.283653,70.0,7.245726,63.769008,0.194025,0.0,0.194025
validation,by_score_bucket,medium,model_rules,0,True,first,21,30,False,80.952381,0.396832,2.756232,1.263157,8.333464,52.857143,1.673949,66.085471,0.173961,-0.000699,0.173262
validation,by_no_trade_reasons,none,model_rules,0,True,first,14,30,False,71.428571,0.234547,1.667527,2.907085,3.283653,70.0,7.245726,63.769008,0.194025,0.0,0.194025
validation,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,15,30,False,80.0,0.366888,2.561555,1.263157,5.503315,50.0,1.280706,70.216702,0.164577,0.0,0.164577
validation,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,6,30,False,83.333333,0.471691,3.318219,1.220829,2.830149,60.0,2.657055,55.757395,0.197422,-0.002447,0.194975
test,ALL,ALL,model_rules,0,True,first,36,30,True,86.111111,0.539615,4.140371,1.689779,19.426132,52.222222,1.608687,61.331413,0.182607,0.0,0.182607
test,by_timeframe,15m,model_rules,0,True,first,36,30,True,86.111111,0.539615,4.140371,1.689779,19.426132,52.222222,1.608687,61.331413,0.182607,0.0,0.182607
test,by_symbol,BTCUSDT,model_rules,0,True,first,11,30,False,90.909091,0.631083,6.634779,1.231976,6.941913,50.909091,1.426906,57.712714,0.187099,0.0,0.187099
test,by_symbol,ETHUSDT,model_rules,0,True,first,25,30,False,84.0,0.499369,3.520049,1.262031,12.484219,52.8,1.688671,62.923641,0.180631,0.0,0.180631
test,by_direction,long,model_rules,0,True,first,15,30,False,86.666667,0.552285,4.321672,1.689779,8.284273,53.333333,1.707809,65.957434,0.181048,0.0,0.181048
test,by_direction,short,model_rules,0,True,first,21,30,False,85.714286,0.530565,4.017897,1.66482,11.141859,51.428571,1.537886,58.027112,0.183721,0.0,0.183721
test,by_session_label,custom,model_rules,0,True,first,3,30,False,100.0,0.824764,inf,0.0,2.474292,56.666667,2.622073,68.149765,0.175236,0.0,0.175236
test,by_session_label,london_open,model_rules,0,True,first,6,30,False,83.333333,0.477255,3.276346,1.25795,2.86353,53.333333,2.01666,57.113881,0.189412,0.0,0.189412
test,by_session_label,ny_open,model_rules,0,True,first,27,30,False,85.185185,0.521789,3.858838,1.689779,14.08831,51.481481,1.405428,61.511048,0.181914,0.0,0.181914
test,by_score_bucket,high,model_rules,0,True,first,3,30,False,100.0,0.794886,inf,0.0,2.384658,70.0,4.324468,50.665527,0.205114,0.0,0.205114
test,by_score_bucket,medium,model_rules,0,True,first,33,30,True,84.848485,0.516408,3.754874,2.180283,17.041474,50.606061,1.361798,62.301039,0.180561,0.0,0.180561
test,by_no_trade_reasons,none,model_rules,0,True,first,3,30,False,100.0,0.794886,inf,0.0,2.384658,70.0,4.324468,50.665527,0.205114,0.0,0.205114
test,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,31,30,True,87.096774,0.564962,4.535318,1.262031,17.513821,50.0,1.292428,63.587872,0.176974,0.0,0.176974
test,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,2,30,False,50.0,-0.236173,0.616594,1.231976,-0.472347,60.0,2.437034,42.355133,0.236173,0.0,0.236173
