model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-02,13:00-16:00,1,1,1,0,4.682221,4.682221,1.0,3.5246,70.0,3.5246,1.0,0.695757,0.695757,0.304243,0.0,0.304243,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-04,13:00-16:00,1,1,1,0,6.37104,6.37104,0.0,4.362668,70.0,-1.0,-1.0,-1.563534,-1.563534,0.563534,0.0,0.563534,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2022-01-05,07:00-10:00,1,1,1,0,12.477969,12.477969,1.0,9.363633,70.0,9.363633,1.0,0.293696,0.293696,0.706304,0.0,0.706304,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-05,13:00-16:00,2,2,2,0,4.032122,4.032122,0.0,4.308093,70.0,-1.0,1.0,0.701073,0.701073,0.298927,0.0,0.298927,0.0,1.0,1.0,1.0,1.0,3.5,1.0,1.5,2,0
turtle_soup,2022-01-06,02:00-05:00,2,2,2,0,6.146561,6.146561,0.0,6.049651,70.0,-1.0,0.0,-0.395225,-0.395225,0.395225,0.0,0.395225,0.0,0.5,0.0,1.0,1.0,1.5,1.0,,2,0
turtle_soup,2022-01-07,07:00-10:00,1,1,1,0,4.946288,4.946288,0.0,13.90295,70.0,-1.0,1.0,0.865449,0.865449,0.134551,0.0,0.134551,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1,0
turtle_soup,2022-01-08,07:00-10:00,3,3,3,0,3.517948,4.366086,0.0,6.106163,63.333333,-1.0,-0.333333,-0.958051,-0.958051,0.619434,0.005283,0.624718,0.0,0.333333,0.333333,1.0,1.0,4.333333,1.0,1.0,2,1
turtle_soup,2022-01-11,02:00-05:00,1,1,1,0,3.07864,3.07864,1.0,1.056902,50.0,1.056902,1.0,0.874207,0.874207,0.125793,0.0,0.125793,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-01-11,07:00-10:00,1,1,1,0,2.484442,2.484442,0.0,3.016255,70.0,-1.0,1.0,0.779659,0.779659,0.220341,0.0,0.220341,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1,0
turtle_soup,2022-01-13,07:00-10:00,1,1,1,0,16.51702,16.51702,0.0,2.291433,60.0,-1.0,-1.0,-1.36784,-1.36784,0.36784,0.0,0.36784,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2022-01-14,13:00-16:00,3,3,3,0,4.397683,3.945035,0.0,9.074449,66.666667,-1.0,-0.333333,-1.033632,-1.033632,0.700299,0.0,0.700299,0.0,0.333333,0.333333,1.0,1.0,4.666667,1.0,1.0,2,1
turtle_soup,2022-01-15,07:00-10:00,3,3,3,0,9.954714,9.232121,0.666667,4.754163,73.333333,2.951141,0.333333,-0.141968,-0.141968,0.475301,0.0,0.475301,0.666667,0.666667,0.666667,0.333333,1.0,1.0,1.5,4.0,0,1
turtle_soup,2022-01-16,07:00-10:00,3,3,3,0,5.954437,4.100216,0.666667,2.6516,56.666667,1.702358,1.0,0.630596,0.630596,0.369404,0.0,0.369404,0.666667,1.0,0.333333,0.333333,1.0,5.0,1.666667,1.0,1,2
turtle_soup,2022-01-18,02:00-05:00,1,1,1,0,6.253753,6.253753,0.0,11.537642,70.0,-1.0,-1.0,-1.887003,-1.887003,0.887003,0.0,0.887003,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-19,07:00-10:00,1,1,1,0,17.240965,17.240965,1.0,5.870791,70.0,5.870791,1.0,0.222057,0.222057,0.777943,0.0,0.777943,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-21,07:00-10:00,1,1,1,0,9.747247,9.747247,0.0,12.878994,70.0,-1.0,-1.0,-1.509226,-1.509226,0.509226,0.0,0.509226,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-22,02:00-05:00,1,1,1,0,9.998871,9.998871,0.0,14.224654,70.0,-1.0,-1.0,-1.324948,-1.324948,0.324948,0.0,0.324948,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-24,02:00-05:00,1,1,1,0,0.779441,0.779441,0.0,2.347388,60.0,-1.0,-1.0,-1.110481,-1.110481,0.110481,0.0,0.110481,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-01-24,13:00-16:00,3,3,3,0,4.566766,3.383381,0.0,29.85424,70.0,-1.0,0.333333,-0.004131,-0.004131,0.337464,0.0,0.337464,0.0,0.666667,0.666667,1.0,1.0,3.333333,1.0,1.5,3,0
turtle_soup,2022-01-25,07:00-10:00,2,2,2,0,5.531996,5.531996,0.5,3.302323,60.0,1.857532,0.0,-0.282826,-0.282826,0.282826,0.0,0.282826,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1,1
turtle_soup,2022-01-26,02:00-05:00,3,3,3,0,3.812267,2.619322,0.0,8.584018,66.666667,-1.0,-0.333333,-0.71071,-0.71071,0.377377,0.0,0.377377,0.0,0.333333,0.333333,1.0,1.0,3.333333,1.0,1.0,2,1
turtle_soup,2022-01-27,07:00-10:00,1,1,1,0,9.740008,9.740008,1.0,2.814973,60.0,2.814973,1.0,0.73484,0.73484,0.26516,0.0,0.26516,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-01-28,13:00-16:00,4,4,4,0,5.569393,3.333157,0.0,13.733905,70.0,-1.0,0.5,0.055842,0.055842,0.444158,0.0,0.444158,0.0,0.75,0.25,1.0,1.0,2.25,1.0,1.0,3,0
turtle_soup,2022-01-29,07:00-10:00,1,1,1,0,11.518728,11.518728,0.0,9.990013,70.0,-1.0,1.0,0.526131,0.526131,0.473869,0.0,0.473869,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1,0
turtle_soup,2022-01-30,07:00-10:00,1,1,1,0,6.315303,6.315303,1.0,4.720941,70.0,4.720941,1.0,0.654418,0.654418,0.345582,0.0,0.345582,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-30,13:00-16:00,2,2,2,0,8.365229,8.365229,0.0,6.785521,70.0,-1.0,0.0,-0.290025,-0.290025,0.290025,0.0,0.290025,0.0,0.5,0.0,1.0,1.0,3.0,1.0,,1,0
turtle_soup,2022-02-02,07:00-10:00,1,1,1,0,22.000904,22.000904,1.0,3.903258,70.0,3.903258,1.0,0.629753,0.629753,0.370247,0.0,0.370247,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-04,02:00-05:00,2,2,2,0,13.241774,13.241774,0.0,19.021418,70.0,-1.0,1.0,0.496308,0.496308,0.503692,0.0,0.503692,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,2,0
turtle_soup,2022-02-05,07:00-10:00,1,1,1,0,3.467454,3.467454,0.0,1.698991,50.0,-1.0,1.0,0.859968,0.859968,0.140032,0.0,0.140032,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2022-02-06,07:00-10:00,4,4,4,0,9.376003,9.402185,0.5,2.73552,60.0,0.145608,0.5,-0.109444,-0.109444,0.609444,0.0,0.609444,0.5,0.75,0.25,0.5,1.0,1.5,1.0,1.0,1,2
turtle_soup,2022-02-09,07:00-10:00,1,1,1,0,11.45345,11.45345,1.0,6.785607,70.0,6.785607,1.0,0.300253,0.300253,0.699747,0.0,0.699747,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-10,02:00-05:00,2,2,2,0,26.10673,26.10673,0.0,8.208887,70.0,-1.0,0.0,-0.927385,-0.927385,0.927385,0.0,0.927385,0.0,0.5,0.0,1.0,1.0,1.5,1.0,,2,0
turtle_soup,2022-02-11,07:00-10:00,4,4,4,0,25.84489,28.206712,0.0,7.944598,70.0,-1.0,1.0,0.332586,0.332586,0.667414,0.0,0.667414,0.0,1.0,0.5,1.0,1.0,2.25,1.0,1.0,4,0
turtle_soup,2022-02-11,13:00-16:00,1,1,1,0,1.169306,1.169306,0.0,1.547156,50.0,-1.0,1.0,0.917752,0.917752,0.082248,0.0,0.082248,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2022-02-13,07:00-10:00,1,1,1,0,39.573683,39.573683,1.0,7.610451,70.0,7.610451,1.0,0.026344,0.026344,0.973656,0.0,0.973656,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-02-14,07:00-10:00,1,1,1,0,2.520218,2.520218,0.0,7.739158,70.0,-1.0,-1.0,-1.88833,-1.88833,0.88833,0.0,0.88833,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-02-17,02:00-05:00,2,2,2,0,2.585474,2.585474,0.5,1.88981,50.0,0.494575,1.0,0.801778,0.801778,0.198222,0.0,0.198222,0.5,1.0,0.0,0.5,1.0,3.0,1.0,,0,2
turtle_soup,2022-02-18,02:00-05:00,1,1,1,0,20.245975,20.245975,0.0,10.310958,70.0,-1.0,-1.0,-2.142691,-2.142691,1.142691,0.0,1.142691,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-02-19,02:00-05:00,2,2,2,0,4.128211,4.128211,0.0,9.986391,70.0,-1.0,1.0,-0.075081,-0.075081,1.075081,0.0,1.075081,0.0,1.0,0.5,1.0,1.0,2.5,1.0,1.0,2,0
turtle_soup,2022-02-21,07:00-10:00,3,3,3,0,19.137359,10.769134,0.333333,8.012189,80.0,0.22328,0.333333,-0.00604,-0.00604,0.339373,0.0,0.339373,0.333333,0.666667,0.666667,0.666667,1.0,1.5,2.5,3.0,2,1
turtle_soup,2022-02-23,13:00-16:00,2,2,2,0,4.260577,4.260577,0.0,9.895833,70.0,-1.0,1.0,0.41816,0.41816,0.58184,0.0,0.58184,0.0,1.0,0.5,1.0,1.0,5.5,1.0,1.0,2,0
turtle_soup,2022-02-25,07:00-10:00,2,2,2,0,7.683848,7.683848,0.0,11.151933,70.0,-1.0,1.0,0.362404,0.362404,0.637596,0.0,0.637596,0.0,1.0,0.5,1.0,1.0,2.5,1.0,1.0,2,0
turtle_soup,2022-03-01,02:00-05:00,1,1,1,0,22.378448,22.378448,1.0,7.808844,70.0,7.808844,1.0,0.540088,0.540088,0.459912,0.0,0.459912,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-01,07:00-10:00,1,1,1,0,16.736679,16.736679,0.0,19.097698,70.0,-1.0,-1.0,-1.640369,-1.640369,0.640369,0.0,0.640369,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-03-02,07:00-10:00,1,1,1,0,11.012789,11.012789,0.0,4.272441,70.0,-1.0,-1.0,-1.28208,-1.28208,0.28208,0.0,0.28208,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-03-03,07:00-10:00,1,1,1,0,51.044958,51.044958,1.0,10.797876,70.0,10.797876,1.0,-0.098205,-0.098205,1.098205,0.0,1.098205,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-04,02:00-05:00,1,1,1,0,3.243484,3.243484,1.0,1.717401,50.0,1.717401,1.0,0.841021,0.841021,0.158979,0.0,0.158979,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-03-04,07:00-10:00,4,4,4,0,1.379367,1.307776,0.25,1.823246,62.5,-0.206849,0.0,-0.131292,-0.131292,0.129792,0.0015,0.131292,0.25,0.5,0.25,0.75,1.0,7.666667,1.0,1.0,0,3
turtle_soup,2022-03-06,02:00-05:00,1,1,1,0,1.855981,1.855981,0.0,5.442685,70.0,-1.0,1.0,0.735482,0.735482,0.264518,0.0,0.264518,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,0
turtle_soup,2022-03-07,02:00-05:00,1,1,1,0,6.121881,6.121881,1.0,1.497822,50.0,1.497822,1.0,0.894123,0.894123,0.105877,0.0,0.105877,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-03-08,02:00-05:00,3,3,3,0,6.791356,8.810241,0.0,12.352458,70.0,-1.0,1.0,0.476549,0.476549,0.523451,0.0,0.523451,0.0,1.0,0.333333,1.0,1.0,2.333333,1.0,1.0,3,0
turtle_soup,2022-03-09,02:00-05:00,2,2,2,0,10.275071,10.275071,0.0,11.554628,70.0,-1.0,0.0,-0.591723,-0.591723,0.591723,0.0,0.591723,0.0,0.5,0.0,1.0,1.0,5.0,7.0,,1,0
turtle_soup,2022-03-13,07:00-10:00,2,2,2,0,5.601212,5.601212,0.0,6.075239,65.0,-1.0,-1.0,-1.561392,-1.561392,0.561392,0.0,0.561392,0.0,0.0,0.0,1.0,1.0,1.5,,,1,1
turtle_soup,2022-03-15,13:00-16:00,5,5,5,0,4.001552,2.570607,0.0,10.201082,70.0,-1.0,0.6,-0.095276,-0.095276,0.695276,0.0,0.695276,0.0,0.8,0.8,1.0,1.0,3.4,1.0,1.0,4,0
turtle_soup,2022-03-18,02:00-05:00,1,1,1,0,15.875181,15.875181,1.0,8.319344,70.0,8.319344,1.0,-0.350533,-0.350533,1.350533,0.0,1.350533,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-18,07:00-10:00,1,1,1,0,16.057015,16.057015,1.0,4.58194,70.0,4.58194,1.0,0.572358,0.572358,0.427642,0.0,0.427642,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-21,07:00-10:00,2,2,2,0,11.142128,11.142128,1.0,3.939018,70.0,3.939018,1.0,0.355157,0.355157,0.644843,0.0,0.644843,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
