scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,695,100,True,60.57554,-0.153666,0.54396,1.225566,-0.153666,-3.274464,0.681964,109.073505,9,-106.798146,0.675607,1.7e-05,0.675625
filtered_all,ALL,model_rules,0,580,115,100,True,81.73913,0.437971,0.803296,1.197297,0.437971,4.929696,3.003188,3.632205,3,50.366616,0.186409,-7.5e-05,0.186333
by_timeframe,15m,model_rules,0,0,115,100,True,81.73913,0.437971,0.803296,1.197297,0.437971,4.929696,3.003188,3.632205,3,50.366616,0.186409,-7.5e-05,0.186333
by_score_bucket,high,model_rules,0,0,41,100,False,80.487805,0.404571,0.795406,1.207622,0.404571,2.936589,2.716951,2.411376,2,16.587421,0.205185,0.0,0.205185
by_score_bucket,medium,model_rules,0,0,74,100,False,82.432432,0.456476,0.807565,1.190943,0.456476,4.189298,3.181801,1.263157,1,33.779195,0.176006,-0.000117,0.175889
by_session_label,custom,model_rules,0,0,18,100,False,94.444444,0.670093,0.778809,1.178084,0.670093,5.437315,11.238379,1.178084,1,12.06167,0.197233,0.0,0.197233
by_session_label,london_open,model_rules,0,0,36,100,False,77.777778,0.378911,0.829018,1.196464,0.378911,2.411811,2.425115,3.632205,3,13.640794,0.177052,-0.000408,0.176645
by_session_label,ny_open,model_rules,0,0,61,100,False,80.327869,0.40433,0.797094,1.199453,0.40433,3.231225,2.71357,1.719792,1,24.664152,0.188737,9.8e-05,0.188835
by_direction,long,model_rules,0,0,60,100,False,81.666667,0.436209,0.803687,1.200738,0.436209,3.512429,2.981549,2.410006,2,26.172537,0.183409,0.0001,0.183509
by_direction,short,model_rules,0,0,55,100,False,81.818182,0.439892,0.802871,1.193511,0.439892,3.504075,3.027135,2.404602,2,24.194079,0.189681,-0.000267,0.189414
by_symbol,BTCUSDT,model_rules,0,0,51,100,False,86.27451,0.495153,0.768821,1.225049,0.495153,4.258569,3.944815,1.46515,1,25.252796,0.206709,0.0,0.206709
by_symbol,ETHUSDT,model_rules,0,0,64,100,False,78.125,0.392403,0.833634,1.18342,0.392403,3.076597,2.515813,3.632205,3,25.11382,0.170232,-0.000136,0.170097
by_no_trade_reasons,none,model_rules,0,0,41,100,False,80.487805,0.404571,0.795406,1.207622,0.404571,2.936589,2.716951,2.411376,2,16.587421,0.205185,0.0,0.205185
by_no_trade_reasons,target_rr_below_2,model_rules,0,0,58,100,False,84.482759,0.49776,0.807575,1.189014,0.49776,4.232342,3.697852,1.263157,1,28.87006,0.171015,0.000103,0.171119
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,16,100,False,75.0,0.306821,0.807522,1.195281,0.306821,1.33165,2.026774,2.323701,2,4.909135,0.194097,-0.000918,0.193179
