model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-09,08:30-12:00,1,1,1,0,2.493752,2.493752,0.0,1.432212,70.0,-1.0,-1.0,-1.230717,-1.230717,0.230717,0.0,0.230717,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-03-18,08:30-12:00,1,1,1,0,0.941506,0.941506,1.0,0.49783,70.0,0.49783,0.49783,0.347446,0.347446,0.150384,0.0,0.150384,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-04-03,08:30-12:00,1,1,1,0,6.150886,6.150886,1.0,1.047932,70.0,1.047932,1.0,0.642541,0.642541,0.357459,0.0,0.357459,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-04-08,08:30-12:00,1,1,1,0,13.717892,13.717892,1.0,3.216384,90.0,3.216384,1.0,0.658775,0.658775,0.341225,0.0,0.341225,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-04-24,08:30-12:00,1,1,1,0,0.55928,0.55928,1.0,0.323263,70.0,0.323263,0.323263,0.24487,0.24487,0.078127,0.000266,0.078393,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-05-11,08:30-12:00,1,1,1,0,16.080672,16.080672,1.0,4.685224,90.0,4.685224,1.0,0.877143,0.877143,0.122857,0.0,0.122857,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-05-24,08:30-12:00,1,1,1,0,0.966857,0.966857,1.0,0.875073,70.0,0.875073,0.875073,0.781235,0.781235,0.096633,-0.002795,0.093838,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-05-30,08:30-12:00,1,1,1,0,2.491164,2.491164,0.0,4.860963,90.0,-1.0,1.0,0.796023,0.796023,0.203977,0.0,0.203977,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1,0
turtle_soup,2022-07-16,08:30-12:00,1,1,1,0,0.765989,0.765989,0.0,2.342747,80.0,-1.0,-1.0,-1.244978,-1.244978,0.244978,0.0,0.244978,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-08-04,08:30-12:00,1,1,1,0,1.629994,1.629994,1.0,0.291474,70.0,0.291474,0.291474,0.155309,0.155309,0.136165,0.0,0.136165,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-08-14,08:30-12:00,1,1,1,0,0.601276,0.601276,0.0,1.147172,70.0,-1.0,-1.0,-1.174346,-1.174346,0.173965,0.000381,0.174346,0.0,0.0,0.0,1.0,1.0,7.0,,,0,1
turtle_soup,2022-08-25,08:30-12:00,1,1,1,0,2.893883,2.893883,1.0,1.089208,70.0,1.089208,1.0,0.872771,0.872771,0.127229,0.0,0.127229,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-09-08,08:30-12:00,1,1,1,0,1.522929,1.522929,1.0,1.305104,70.0,1.305104,1.0,0.913612,0.913612,0.086388,0.0,0.086388,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2022-09-12,08:30-12:00,1,1,1,0,3.867842,3.867842,0.0,8.722344,90.0,-1.0,1.0,0.768997,0.768997,0.231003,0.0,0.231003,0.0,1.0,1.0,1.0,1.0,9.0,1.0,3.0,1,0
turtle_soup,2022-09-17,08:30-12:00,1,1,1,0,0.590806,0.590806,0.0,1.449428,70.0,0.590806,0.094231,-0.020114,-0.020114,0.124146,-0.009801,0.114345,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-10-19,08:30-12:00,1,1,1,0,2.334314,2.334314,0.0,2.283851,80.0,-1.0,-1.0,-1.311838,-1.311838,0.311838,0.0,0.311838,0.0,0.0,0.0,1.0,1.0,2.0,,,1,1
turtle_soup,2022-11-08,08:30-12:00,1,1,1,0,6.492125,6.492125,1.0,6.240571,90.0,6.240571,1.0,0.931687,0.931687,0.068313,0.0,0.068313,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,0,0
turtle_soup,2022-12-22,08:30-12:00,1,1,1,0,9.644533,9.644533,0.0,1.15792,70.0,-1.0,-1.0,-1.387537,-1.387537,0.387537,0.0,0.387537,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-02-03,08:30-12:00,1,1,1,0,2.570103,2.570103,1.0,0.790131,70.0,0.790131,1.0,0.894359,0.894359,0.105641,0.0,0.105641,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2023-02-24,08:30-12:00,1,1,1,0,0.645922,0.645922,0.0,1.785166,70.0,-1.0,-1.0,-1.19192,-1.19192,0.19192,0.0,0.19192,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2023-02-28,08:30-12:00,1,1,1,0,3.913407,3.913407,1.0,1.173879,70.0,1.173879,1.0,0.815834,0.815834,0.195817,-0.011651,0.184166,1.0,1.0,1.0,0.0,1.0,,6.0,6.0,0,1
turtle_soup,2023-04-03,08:30-12:00,1,1,1,0,2.575323,2.575323,1.0,0.58644,70.0,0.58644,1.0,0.883789,0.883789,0.116211,0.0,0.116211,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2023-04-12,08:30-12:00,2,2,2,0,1.346174,1.346174,1.0,0.65955,70.0,0.65955,1.0,0.901969,0.901969,0.093732,0.004298,0.09803,1.0,1.0,0.0,0.0,1.0,,14.0,,0,2
turtle_soup,2023-04-15,08:30-12:00,1,1,1,0,0.757668,0.757668,0.0,2.386881,80.0,-1.0,-1.0,-1.506075,-1.506075,0.460068,0.046007,0.506075,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-04-30,08:30-12:00,1,1,1,0,1.935747,1.935747,0.0,1.210309,70.0,-1.0,-1.0,-1.469358,-1.469358,0.469358,0.0,0.469358,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2023-06-02,08:30-12:00,1,1,1,0,1.434895,1.434895,1.0,0.316645,70.0,0.316645,0.316645,0.157433,0.157433,0.159212,0.0,0.159212,1.0,0.0,0.0,0.0,1.0,,,,0,1
