model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-03,07:00-10:00,5,5,5,0,27.307803,29.30378,0.6,6.392669,66.0,1.477789,0.970469,0.229344,0.229344,0.741125,0.0,0.741125,0.6,0.8,0.4,0.4,1.0,2.0,1.0,1.0,2,2
turtle_soup,2022-01-04,07:00-10:00,1,1,1,0,18.252662,18.252662,0.0,6.226789,70.0,-1.0,1.0,0.315175,0.315175,0.684825,0.0,0.684825,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0
turtle_soup,2022-01-04,13:00-16:00,3,3,3,0,11.316112,1.748642,0.333333,4.639434,56.666667,2.937031,0.333333,-0.131831,-0.131831,0.465165,0.0,0.465165,0.333333,0.666667,0.333333,0.666667,1.0,4.5,1.5,1.0,0,2
turtle_soup,2022-01-05,07:00-10:00,2,2,2,0,35.082247,35.082247,1.0,2.890601,65.0,2.890601,1.0,0.385277,0.385277,0.614723,0.0,0.614723,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-01-05,13:00-16:00,2,2,2,0,2.904368,2.904368,0.0,4.902078,70.0,-1.0,0.0,-0.301375,-0.301375,0.301375,0.0,0.301375,0.0,0.5,0.5,1.0,1.0,1.5,1.0,1.0,2,0
turtle_soup,2022-01-07,07:00-10:00,1,1,1,0,5.794445,5.794445,0.0,15.051551,70.0,-1.0,1.0,0.865449,0.865449,0.134551,0.0,0.134551,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1,0
turtle_soup,2022-01-08,07:00-10:00,2,2,2,0,4.24847,4.24847,0.0,5.240294,60.0,-1.0,0.0,-0.386222,-0.386222,0.378297,0.007925,0.386222,0.0,0.5,0.5,1.0,1.0,3.0,1.0,1.0,1,1
turtle_soup,2022-01-09,07:00-10:00,1,1,1,0,6.385723,6.385723,1.0,2.859388,60.0,2.859388,1.0,0.810424,0.810424,0.189576,0.0,0.189576,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2022-01-09,13:00-16:00,1,1,1,0,6.590471,6.590471,0.0,4.876285,90.0,-1.0,-1.0,-1.466287,-1.466287,0.466287,0.0,0.466287,0.0,0.0,0.0,1.0,1.0,1.0,,,1,0
turtle_soup,2022-01-10,13:00-16:00,1,1,1,0,3.546027,3.546027,1.0,0.491965,50.0,0.491965,1.0,0.86912,0.86912,0.13088,0.0,0.13088,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-01-11,02:00-05:00,2,2,2,0,10.553915,10.553915,0.5,1.876213,60.0,-0.456755,-0.456755,-0.852096,-0.852096,0.395341,0.0,0.395341,0.5,0.0,0.0,0.5,1.0,1.0,,,0,1
turtle_soup,2022-01-11,07:00-10:00,2,2,2,0,4.215064,4.215064,0.5,2.657936,60.0,0.216833,1.0,0.802419,0.802419,0.197581,0.0,0.197581,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1,1
turtle_soup,2022-01-11,13:00-16:00,1,1,1,0,2.745551,2.745551,0.0,6.960681,70.0,-1.0,1.0,0.586255,0.586255,0.413745,0.0,0.413745,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,0
turtle_soup,2022-01-12,02:00-05:00,3,3,3,0,4.767203,3.716166,0.0,7.837079,76.666667,-1.0,0.333333,-0.34569,-0.34569,0.679023,0.0,0.679023,0.0,0.666667,0.666667,1.0,1.0,2.333333,1.0,1.0,3,0
turtle_soup,2022-01-13,07:00-10:00,2,2,2,0,14.453039,14.453039,0.5,3.197714,65.0,1.318396,0.0,-0.328861,-0.328861,0.328861,0.0,0.328861,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1,1
turtle_soup,2022-01-14,07:00-10:00,3,3,3,0,5.721876,5.846063,0.666667,2.403874,56.666667,1.138633,0.333333,0.161581,0.161581,0.171752,0.0,0.171752,0.666667,0.666667,0.666667,0.333333,1.0,1.0,1.0,1.0,0,3
turtle_soup,2022-01-14,13:00-16:00,3,3,3,0,4.238353,3.945035,0.0,8.759619,66.666667,-1.0,-0.333333,-1.001326,-1.001326,0.667993,0.0,0.667993,0.0,0.333333,0.333333,1.0,1.0,2.333333,1.0,1.0,2,1
turtle_soup,2022-01-15,02:00-05:00,1,1,1,0,8.04717,8.04717,0.0,2.88801,60.0,-1.0,1.0,0.512363,0.512363,0.487637,0.0,0.487637,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
