scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
by_model,turtle_soup,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
by_symbol,BTCUSDT,none,0,0,954,100,True,61.530398,-0.152398,0.57766,1.320094,-0.152398,-3.676708,0.699905,153.596398,9,-145.388127,0.594978,0.000472,0.59545
by_symbol,ETHUSDT,none,0,0,926,100,True,61.987041,-0.109381,0.625908,1.308404,-0.109381,-2.637685,0.780078,143.858322,8,-101.287066,0.485956,1.7e-05,0.485973
by_timeframe,30m,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
by_direction,long,none,0,0,886,100,True,62.866817,-0.118323,0.594935,1.325874,-0.118323,-2.777952,0.759672,112.142341,8,-104.833959,0.54619,0.000989,0.547179
by_direction,short,none,0,0,994,100,True,60.764588,-0.142697,0.607581,1.304667,-0.142697,-3.532454,0.721235,144.091467,8,-141.841234,0.536901,-0.000412,0.536489
by_htf_bias,none,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
by_htf_context_alignment,neutral,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
by_htf_draw_direction,none,none,0,0,1880,100,True,61.755319,-0.13121,0.601514,1.314371,-0.13121,-4.475479,0.738977,250.681565,9,-246.675193,0.541279,0.000248,0.541527
