model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-07,08:30-12:00,4,4,4,0,4.026096,4.228671,0.0,7.030429,67.5,2.327485,1.0,0.898328,0.898328,0.097545,0.004127,0.101672,0.0,1.0,0.75,0.25,1.0,4.0,1.25,1.0,1,1
turtle_soup,2022-01-08,08:30-12:00,2,2,2,0,7.771967,7.771967,0.0,4.52717,60.0,-1.0,-1.0,-1.454785,-1.454785,0.413441,0.041344,0.454785,0.0,0.0,0.0,1.0,1.0,2.0,,,1,1
turtle_soup,2022-01-09,08:30-12:00,2,2,2,0,10.562969,10.562969,0.5,6.408659,75.0,0.929694,1.0,0.383765,0.383765,0.616235,0.0,0.616235,0.5,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1,1
turtle_soup,2022-01-11,08:30-12:00,2,2,2,0,1.94377,1.94377,0.0,2.779894,60.0,-0.048318,0.548517,0.370238,0.370238,0.1759,0.002379,0.178279,0.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1,1
turtle_soup,2022-01-13,08:30-12:00,1,1,1,0,17.492384,17.492384,0.0,2.758636,60.0,-1.0,-1.0,-1.36784,-1.36784,0.36784,0.0,0.36784,0.0,0.0,0.0,1.0,1.0,1.0,,,1,1
turtle_soup,2022-01-16,08:30-12:00,1,1,1,0,3.79568,3.79568,0.0,1.98049,50.0,-1.0,1.0,0.697917,0.697917,0.302083,0.0,0.302083,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,1,1
turtle_soup,2022-01-17,08:30-12:00,2,2,2,0,1.088645,1.088645,0.0,3.108202,65.0,-1.0,0.0,-0.264041,-0.264041,0.247121,0.01692,0.264041,0.0,0.5,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2022-01-19,08:30-12:00,1,1,1,0,17.240965,17.240965,1.0,6.62743,70.0,6.62743,1.0,0.222057,0.222057,0.777943,0.0,0.777943,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-25,08:30-12:00,7,7,7,0,3.124412,3.069545,0.142857,3.952066,61.428571,-0.674815,-0.142857,-0.334508,-0.334508,0.189278,0.002373,0.191651,0.142857,0.428571,0.142857,0.857143,1.0,1.333333,1.0,1.0,5,3
turtle_soup,2022-01-27,08:30-12:00,1,1,1,0,11.1199,11.1199,1.0,4.104732,70.0,4.104732,1.0,0.73484,0.73484,0.26516,0.0,0.26516,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-01-28,08:30-12:00,3,3,3,0,3.925873,4.362349,0.0,7.283392,70.0,-1.0,0.333333,0.144305,0.144305,0.183338,0.00569,0.189028,0.0,0.666667,0.0,1.0,1.0,1.666667,1.0,,3,0
turtle_soup,2022-01-29,08:30-12:00,3,3,3,0,21.933861,9.34425,1.0,0.588214,50.0,0.588214,0.480096,-0.139279,-0.139279,0.622051,-0.002676,0.619376,1.0,0.333333,0.333333,0.0,1.0,,1.0,1.0,0,3
turtle_soup,2022-01-31,08:30-12:00,1,1,1,0,2.507524,2.507524,0.0,2.852683,60.0,-1.0,-1.0,-1.569746,-1.569746,0.569746,0.0,0.569746,0.0,0.0,0.0,1.0,1.0,1.0,,,1,1
turtle_soup,2022-02-05,08:30-12:00,2,2,2,0,2.984439,2.984439,0.5,1.943435,50.0,0.497609,1.0,0.845538,0.845538,0.154462,0.0,0.154462,0.5,1.0,0.5,0.5,1.0,2.0,1.0,1.0,0,2
turtle_soup,2022-02-06,08:30-12:00,2,2,2,0,9.737067,9.737067,0.5,5.269157,60.0,0.326144,0.0,-0.592349,-0.592349,0.592349,0.0,0.592349,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1,1
turtle_soup,2022-02-11,08:30-12:00,3,3,3,0,23.014616,26.513413,1.0,2.389167,60.0,2.389167,1.0,0.448607,0.448607,0.551393,0.0,0.551393,1.0,1.0,0.666667,0.0,1.0,,1.0,1.0,0,2
turtle_soup,2022-02-12,08:30-12:00,1,1,1,0,3.81245,3.81245,1.0,2.209433,60.0,2.209433,1.0,0.892675,0.892675,0.107325,0.0,0.107325,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,1
turtle_soup,2022-02-13,08:30-12:00,1,1,1,0,39.741997,39.741997,1.0,9.392603,70.0,9.392603,1.0,0.026344,0.026344,0.973656,0.0,0.973656,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-04,08:30-12:00,4,4,4,0,1.379367,1.307776,0.0,2.506435,60.0,-1.0,-1.0,-1.131292,-1.131292,0.129792,0.0015,0.131292,0.0,0.0,0.0,1.0,1.0,3.25,,,2,2
turtle_soup,2022-03-10,08:30-12:00,2,2,2,0,11.28531,11.28531,0.5,8.46021,65.0,0.937125,0.0,-0.554026,-0.554026,0.554025,0.0,0.554025,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1,1
turtle_soup,2022-03-12,08:30-12:00,2,2,2,0,2.110051,2.110051,1.0,1.228677,50.0,1.228677,1.0,0.871043,0.871043,0.128957,0.0,0.128957,1.0,1.0,0.0,0.0,1.0,,2.0,,0,2
turtle_soup,2022-03-18,08:30-12:00,1,1,1,0,2.300297,2.300297,1.0,1.546139,70.0,1.546139,1.0,0.743679,0.743679,0.256321,0.0,0.256321,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-03-19,08:30-12:00,1,1,1,0,2.662992,2.662992,0.0,3.899621,70.0,-1.0,1.0,0.647151,0.647151,0.392054,-0.039205,0.352849,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
