model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-09,08:30-12:00,1,1,1,0,14.740216,14.740216,0.0,9.957931,90.0,-1.0,1.0,-0.042895,-0.042895,1.042895,0.0,1.042895,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0
turtle_soup,2022-03-18,08:30-12:00,1,1,1,0,2.300297,2.300297,1.0,1.546139,70.0,1.546139,1.0,0.743679,0.743679,0.256321,0.0,0.256321,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-04-03,08:30-12:00,1,1,1,0,9.519052,9.519052,1.0,2.012603,80.0,2.012603,1.0,0.473706,0.473706,0.526294,0.0,0.526294,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2022-04-08,08:30-12:00,1,1,1,0,21.043231,21.043231,1.0,5.315019,90.0,5.315019,1.0,0.488445,0.488445,0.511555,0.0,0.511555,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-04-24,08:30-12:00,1,1,1,0,3.675782,3.675782,0.0,2.967983,80.0,-1.0,1.0,0.7677,0.7677,0.2323,0.0,0.2323,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1,1
turtle_soup,2022-05-11,08:30-12:00,1,1,1,0,25.729724,25.729724,1.0,7.896943,90.0,7.896943,1.0,0.807176,0.807176,0.192824,0.0,0.192824,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-05-24,08:30-12:00,1,1,1,0,1.427607,1.427607,0.0,1.314324,70.0,-1.0,1.0,0.883954,0.883954,0.119502,-0.003456,0.116046,0.0,1.0,0.0,1.0,1.0,5.0,3.0,,0,1
turtle_soup,2022-05-30,08:30-12:00,1,1,1,0,5.079718,5.079718,0.0,9.206526,90.0,-1.0,1.0,0.644049,0.644049,0.355951,0.0,0.355951,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1,0
turtle_soup,2022-07-16,08:30-12:00,1,1,1,0,6.900063,6.900063,0.0,13.952993,90.0,-1.0,1.0,-0.099277,-0.099277,1.099277,0.0,1.099277,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0
turtle_soup,2022-08-04,08:30-12:00,1,1,1,0,11.733172,11.733172,1.0,5.252306,90.0,5.252306,1.0,0.344554,0.344554,0.655446,0.0,0.655446,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
