model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-03,02:00-05:00,14,14,14,0,21.741075,18.9093,0.428571,5.466646,64.285714,0.665551,0.285714,-0.654844,-0.654844,0.94994,-0.009382,0.940558,0.428571,0.642857,0.5,0.571429,1.0,1.625,1.0,1.142857,6,5
turtle_soup,2022-01-03,07:00-10:00,9,9,9,0,15.378734,15.468213,0.444444,4.594702,66.666667,1.208997,0.510776,-0.001297,-0.001297,0.512073,0.0,0.512073,0.444444,0.666667,0.444444,0.555556,1.0,2.6,1.333333,1.0,5,2
turtle_soup,2022-01-04,02:00-05:00,9,9,9,0,12.74331,9.444761,0.555556,7.115203,63.333333,0.874889,0.555556,-0.447883,-0.447883,1.01632,-0.012882,1.003438,0.555556,0.777778,0.666667,0.444444,1.0,2.25,1.0,1.0,4,3
turtle_soup,2022-01-04,07:00-10:00,1,1,1,0,18.252662,18.252662,0.0,6.226789,70.0,-1.0,1.0,0.315175,0.315175,0.684825,0.0,0.684825,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0
turtle_soup,2022-01-04,13:00-16:00,9,9,9,0,6.540051,3.99453,0.333333,3.746768,58.888889,1.593385,0.484219,0.024088,0.024088,0.459022,0.001109,0.460131,0.333333,0.666667,0.555556,0.444444,1.0,2.25,3.5,1.0,3,5
turtle_soup,2022-01-05,02:00-05:00,13,13,13,0,27.430528,12.782087,0.384615,4.476329,64.615385,0.676419,0.076923,-0.717595,-0.717595,0.813875,-0.019357,0.794518,0.384615,0.538462,0.538462,0.615385,1.0,1.375,1.142857,1.285714,4,5
turtle_soup,2022-01-05,07:00-10:00,12,12,12,0,20.744397,3.748076,0.666667,2.109133,55.833333,0.88628,0.5,0.079267,0.079267,0.420733,0.0,0.420733,0.666667,0.75,0.416667,0.333333,1.0,1.25,1.222222,1.4,3,9
turtle_soup,2022-01-05,13:00-16:00,2,2,2,0,33.369388,33.369388,0.5,2.306487,60.0,-0.388415,1.0,0.500332,0.500332,0.499668,0.0,0.499668,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1,1
turtle_soup,2022-01-06,02:00-05:00,2,2,2,0,2.918174,2.918174,0.0,28.133505,70.0,-1.0,0.0,-0.354226,-0.354226,0.354226,0.0,0.354226,0.0,0.5,0.0,1.0,1.0,1.5,1.0,,2,0
turtle_soup,2022-01-06,07:00-10:00,3,3,3,0,1.602213,1.266795,0.0,1.341759,50.0,-1.0,0.333333,0.168833,0.168833,0.164501,0.0,0.164501,0.0,0.666667,0.0,1.0,1.0,1.666667,1.0,,1,3
