scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,691,100,True,60.492041,-0.1486,0.590468,1.280214,-0.1486,-3.109495,0.706199,107.433563,8,-102.682918,0.545047,0.000238,0.545285
filtered_all,ALL,model_rules,0,428,263,100,True,71.48289,0.146863,0.679036,1.187115,0.146863,2.193933,1.433826,10.566678,6,38.625083,0.357463,0.000578,0.358041
by_score_bucket,high,model_rules,0,0,126,100,True,64.285714,-0.022425,0.608185,1.157523,-0.022425,-0.223332,0.945755,11.092487,9,-2.82556,0.465974,0.000896,0.46687
by_score_bucket,medium,model_rules,0,0,137,100,True,78.10219,0.302559,0.732671,1.231503,0.302559,3.543108,2.121952,4.056237,3,41.450643,0.257665,0.000286,0.257951
by_session_label,custom,model_rules,0,0,49,100,False,75.510204,0.230524,0.691487,1.190775,0.230524,1.549028,1.7905,4.912664,2,11.2957,0.349603,0.0,0.349603
by_session_label,london_open,model_rules,0,0,81,100,False,67.901235,0.102253,0.64253,1.040642,0.102253,0.878895,1.306115,8.760243,5,8.28247,0.442759,0.001768,0.444527
by_session_label,ny_open,model_rules,0,0,133,100,True,72.180451,0.14321,0.695152,1.288855,0.14321,1.493721,1.39941,4.551738,3,19.046913,0.308412,6.6e-05,0.308478
by_direction,long,model_rules,0,0,124,100,True,70.16129,0.085603,0.651083,1.244038,0.085603,0.871931,1.230608,6.770164,3,10.614765,0.364521,0.001484,0.366005
by_direction,short,model_rules,0,0,139,100,True,72.661871,0.201513,0.703114,1.13169,0.201513,2.262247,1.651339,6.892281,6,28.010318,0.351167,-0.00023,0.350937
by_symbol,BTCUSDT,model_rules,0,0,123,100,True,70.731707,0.124571,0.664883,1.181183,0.124571,1.272991,1.360331,10.566678,6,15.322192,0.406843,0.000287,0.40713
by_symbol,ETHUSDT,model_rules,0,0,140,100,True,72.142857,0.166449,0.691227,1.192591,0.166449,1.851606,1.501019,4.972162,3,23.302891,0.314079,0.000833,0.314913
by_no_trade_reasons,none,model_rules,0,0,126,100,True,64.285714,-0.022425,0.608185,1.157523,-0.022425,-0.223332,0.945755,11.092487,9,-2.82556,0.465974,0.000896,0.46687
by_no_trade_reasons,target_rr_below_2,model_rules,0,0,84,100,False,79.761905,0.363621,0.755321,1.180139,0.363621,3.452451,2.522459,3.893323,3,30.544124,0.22865,0.000466,0.229116
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,53,100,False,75.471698,0.205783,0.694731,1.298672,0.205783,1.43042,1.646016,2.360664,2,10.906519,0.303651,0.0,0.303651
