model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-01-01,02:00-05:00,2,2,2,0,6.071837,6.071837,0.0,3.549392,65.0,-1.0,0.0,-0.832228,-0.832228,0.832229,0.0,0.832229,0.0,0.5,0.0,1.0,1.0,1.5,1.0,,1,1
turtle_soup,2025-01-01,13:00-16:00,1,1,1,0,4.245279,4.245279,0.0,7.92876,70.0,-1.0,1.0,0.107479,0.107479,0.892521,0.0,0.892521,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0
turtle_soup,2025-01-03,02:00-05:00,1,1,1,0,13.419256,13.419256,1.0,3.96057,70.0,3.96057,1.0,0.572764,0.572764,0.427236,0.0,0.427236,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,0
turtle_soup,2025-01-03,07:00-10:00,2,2,2,0,3.370421,3.370421,0.0,5.773857,70.0,-1.0,0.0,-0.765349,-0.765349,0.765349,0.0,0.765349,0.0,0.5,0.5,1.0,1.0,1.5,1.0,1.0,2,0
turtle_soup,2025-01-04,02:00-05:00,2,2,2,0,4.859263,4.859263,0.0,4.105857,70.0,-1.0,-1.0,-1.701546,-1.701546,0.701546,0.0,0.701546,0.0,0.0,0.0,1.0,1.0,1.5,,,0,0
turtle_soup,2025-01-04,13:00-16:00,2,2,2,0,2.912538,2.912538,0.0,3.503205,60.0,-1.0,0.0,-1.154232,-1.154232,1.154232,0.0,1.154232,0.0,0.5,0.5,1.0,1.0,2.5,1.0,1.0,1,1
turtle_soup,2025-01-05,02:00-05:00,3,3,3,0,7.522588,8.044445,0.0,5.371652,70.0,-1.0,0.333333,-0.502976,-0.502976,0.836309,0.0,0.836309,0.0,0.666667,0.333333,1.0,1.0,3.333333,1.0,1.0,2,0
turtle_soup,2025-01-05,13:00-16:00,1,1,1,0,2.955935,2.955935,0.0,1.987685,50.0,-1.0,1.0,0.533191,0.533191,0.466809,0.0,0.466809,0.0,1.0,0.0,1.0,1.0,6.0,2.0,,0,1
turtle_soup,2025-01-06,07:00-10:00,1,1,1,0,6.06911,6.06911,0.0,5.745846,70.0,-1.0,1.0,0.491306,0.491306,0.508694,0.0,0.508694,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1,0
turtle_soup,2025-01-07,02:00-05:00,4,4,4,0,0.920297,1.014599,0.0,3.240801,67.5,-1.0,-1.0,-1.550797,-1.550797,0.550796,0.0,0.550796,0.0,0.0,0.0,1.0,1.0,1.75,,,0,1
