scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,956,100,True,57.531381,-0.248911,0.514087,1.282528,-0.248911,-6.465212,0.543008,247.590972,22,-237.958638,0.716003,-2.1e-05,0.715982
filtered_all,ALL,model_rules,0,775,181,100,True,80.662983,0.362758,0.744543,1.229829,0.362758,5.518412,2.525398,2.695426,2,65.659284,0.243847,-5.7e-05,0.24379
by_timeframe,15m,model_rules,0,0,93,100,False,79.569892,0.336564,0.737387,1.224535,0.336564,3.671874,2.345321,2.695426,2,31.300444,0.25034,0.0,0.25034
by_timeframe,30m,model_rules,0,0,88,100,False,81.818182,0.390441,0.751899,1.236116,0.390441,4.195231,2.737237,2.513452,2,34.35884,0.236985,-0.000118,0.236867
by_score_bucket,high,model_rules,0,0,86,100,False,83.72093,0.395076,0.718432,1.267897,0.395076,4.461511,2.914114,2.614518,2,33.976572,0.279434,-9.2e-05,0.279342
by_score_bucket,medium,model_rules,0,0,95,100,False,77.894737,0.333502,0.769948,1.204451,0.333502,3.51505,2.252604,2.761035,2,31.682712,0.211631,-2.6e-05,0.211605
by_session_label,custom,model_rules,0,0,17,100,False,70.588235,0.155977,0.715355,1.18653,0.155977,0.687885,1.446952,3.548518,3,2.651611,0.255788,0.0,0.255788
by_session_label,london_open,model_rules,0,0,49,100,False,81.632653,0.349517,0.716545,1.281721,0.349517,2.796953,2.484663,3.769395,3,17.126325,0.283136,0.0,0.283136
by_session_label,ny_open,model_rules,0,0,115,100,True,81.73913,0.398968,0.760183,1.217899,0.398968,4.957118,2.793931,2.513452,2,45.881348,0.225341,-9e-05,0.225251
by_direction,long,model_rules,0,0,96,100,False,77.083333,0.286687,0.738953,1.234569,0.286687,3.00406,2.013309,3.351581,2,27.521989,0.250626,0.0,0.250626
by_direction,short,model_rules,0,0,85,100,False,84.705882,0.448674,0.750289,1.221808,0.448674,5.185234,3.401063,3.069502,2,38.137295,0.236191,-0.000122,0.236069
by_symbol,BTCUSDT,model_rules,0,0,53,100,False,83.018868,0.377783,0.708681,1.23994,0.377783,3.375614,2.794219,2.513452,2,20.022517,0.263217,-5e-06,0.263212
by_symbol,ETHUSDT,model_rules,0,0,128,100,True,79.6875,0.356537,0.760013,1.226329,0.356537,4.450163,2.431312,2.695426,2,45.636767,0.235826,-7.9e-05,0.235748
by_no_trade_reasons,none,model_rules,0,0,86,100,False,83.72093,0.395076,0.718432,1.267897,0.395076,4.461511,2.914114,2.614518,2,33.976572,0.279434,-9.2e-05,0.279342
by_no_trade_reasons,target_rr_below_2,model_rules,0,0,53,100,False,79.245283,0.372452,0.782519,1.193255,0.372452,3.113473,2.503907,2.699914,2,19.739979,0.189579,-4.7e-05,0.189532
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,42,100,False,76.190476,0.284351,0.75345,1.216767,0.284351,1.995172,1.981514,2.821382,2,11.942733,0.239459,0.0,0.239459
