scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,956,956,0,68.828452,10.316673,6.779519,7.585108,0.953811,0.467072,-0.248911,-0.248911,0.716003,-2.1e-05,0.715982,0.543008,0.290795,0.725941,0.58159,0.683054,479,217,target_rr_below_2:113;target_rr_below_3:104
model,turtle_soup,0,none,0,956,956,0,68.828452,10.316673,6.779519,7.585108,0.953811,0.467072,-0.248911,-0.248911,0.716003,-2.1e-05,0.715982,0.543008,0.290795,0.725941,0.58159,0.683054,479,217,target_rr_below_2:113;target_rr_below_3:104
filtered_model,turtle_soup,0,model_rules,837,119,119,0,59.747899,4.422702,3.149887,3.009277,0.224498,0.53601,0.347632,0.347632,0.188465,-8.7e-05,0.188379,2.277739,0.411765,0.747899,0.411765,0.571429,30,77,target_rr_below_2:45;target_rr_below_3:32
filtered_all,ALL,0,model_rules,837,119,119,0,59.747899,4.422702,3.149887,3.009277,0.224498,0.53601,0.347632,0.347632,0.188465,-8.7e-05,0.188379,2.277739,0.411765,0.747899,0.411765,0.571429,30,77,target_rr_below_2:45;target_rr_below_3:32
all,ALL,50,none,0,956,956,0,68.828452,10.316673,6.779519,7.585108,0.953811,0.467072,-0.248911,-0.248911,0.716003,-2.1e-05,0.715982,0.543008,0.290795,0.725941,0.58159,0.683054,479,217,target_rr_below_2:113;target_rr_below_3:104
model,turtle_soup,50,none,0,956,956,0,68.828452,10.316673,6.779519,7.585108,0.953811,0.467072,-0.248911,-0.248911,0.716003,-2.1e-05,0.715982,0.543008,0.290795,0.725941,0.58159,0.683054,479,217,target_rr_below_2:113;target_rr_below_3:104
filtered_model,turtle_soup,50,model_rules,837,119,119,0,59.747899,4.422702,3.149887,3.009277,0.224498,0.53601,0.347632,0.347632,0.188465,-8.7e-05,0.188379,2.277739,0.411765,0.747899,0.411765,0.571429,30,77,target_rr_below_2:45;target_rr_below_3:32
filtered_all,ALL,50,model_rules,837,119,119,0,59.747899,4.422702,3.149887,3.009277,0.224498,0.53601,0.347632,0.347632,0.188465,-8.7e-05,0.188379,2.277739,0.411765,0.747899,0.411765,0.571429,30,77,target_rr_below_2:45;target_rr_below_3:32
all,ALL,70,none,0,758,758,0,72.506596,11.130139,8.226545,9.081709,1.085335,0.461741,-0.350943,-0.350943,0.812705,-2.1e-05,0.812685,0.413734,0.224274,0.730871,0.622691,0.742744,444,19,target_rr_below_3:10;target_rr_below_2:9
model,turtle_soup,70,none,0,758,758,0,72.506596,11.130139,8.226545,9.081709,1.085335,0.461741,-0.350943,-0.350943,0.812705,-2.1e-05,0.812685,0.413734,0.224274,0.730871,0.622691,0.742744,444,19,target_rr_below_3:10;target_rr_below_2:9
filtered_model,turtle_soup,70,model_rules,716,42,42,0,70.0,3.996474,3.277477,5.236774,-0.2359,0.571429,0.369711,0.369711,0.201905,-0.000188,0.201718,2.407136,0.119048,0.785714,0.5,0.833333,21,0,
filtered_all,ALL,70,model_rules,716,42,42,0,70.0,3.996474,3.277477,5.236774,-0.2359,0.571429,0.369711,0.369711,0.201905,-0.000188,0.201718,2.407136,0.119048,0.785714,0.5,0.833333,21,0,
all,ALL,80,none,0,100,100,0,89.0,11.847389,8.557542,9.790743,2.198957,0.44,-0.269814,-0.269814,0.709814,0.0,0.709814,0.513728,0.21,0.72,0.59,0.71,53,10,target_rr_below_3:10
model,turtle_soup,80,none,0,100,100,0,89.0,11.847389,8.557542,9.790743,2.198957,0.44,-0.269814,-0.269814,0.709814,0.0,0.709814,0.513728,0.21,0.72,0.59,0.71,53,10,target_rr_below_3:10
filtered_model,turtle_soup,80,model_rules,100,0,0,0,,,,,,,,,,,,,,,,,0,0,
filtered_all,ALL,80,model_rules,100,0,0,0,,,,,,,,,,,,,,,,,0,0,
all,ALL,90,none,0,90,90,0,90.0,12.509703,9.233127,10.597154,2.325771,0.422222,-0.339249,-0.339249,0.761471,0.0,0.761471,0.424456,0.166667,0.711111,0.577778,0.744444,52,0,
model,turtle_soup,90,none,0,90,90,0,90.0,12.509703,9.233127,10.597154,2.325771,0.422222,-0.339249,-0.339249,0.761471,0.0,0.761471,0.424456,0.166667,0.711111,0.577778,0.744444,52,0,
filtered_model,turtle_soup,90,model_rules,90,0,0,0,,,,,,,,,,,,,,,,,0,0,
filtered_all,ALL,90,model_rules,90,0,0,0,,,,,,,,,,,,,,,,,0,0,
