phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,151,30,True,76.821192,0.278062,1.947083,6.164166,41.987298,59.536424,3.402183,49.97435,0.249652,0.000511,0.250163
train,ALL,ALL,model_rules,0,True,first,50,30,True,74.0,0.208837,1.635523,6.164166,10.441851,57.0,2.371695,45.929635,0.261106,0.001543,0.262648
train,by_timeframe,15m,model_rules,0,True,first,20,30,False,70.0,0.14488,1.378368,5.279838,2.897594,55.5,2.32495,47.537,0.254139,0.000981,0.25512
train,by_timeframe,30m,model_rules,0,True,first,30,30,True,76.666667,0.251475,1.86002,2.715991,7.544257,58.0,2.402859,44.858059,0.26575,0.001917,0.267667
train,by_symbol,BTCUSDT,model_rules,0,True,first,27,30,False,74.074074,0.181229,1.550467,4.526723,4.893176,57.037037,2.1242,40.662944,0.283758,0.000727,0.284485
train,by_symbol,ETHUSDT,model_rules,0,True,first,23,30,False,73.913043,0.241247,1.735783,2.947975,5.548675,56.956522,2.662233,52.112273,0.234514,0.0025,0.237014
train,by_direction,long,model_rules,0,True,first,22,30,False,68.181818,0.129615,1.330947,4.282028,2.851539,56.818182,2.166762,55.308599,0.230515,0.003506,0.234021
train,by_direction,short,model_rules,0,True,first,28,30,False,78.571429,0.271083,1.971372,3.085086,7.590312,57.142857,2.532713,38.560449,0.285141,0.0,0.285141
train,by_session_label,custom,model_rules,0,True,first,9,30,False,66.666667,0.091318,1.218868,3.07729,0.821861,57.777778,2.406244,45.892361,0.242015,0.0,0.242015
train,by_session_label,london_open,model_rules,0,True,first,8,30,False,100.0,0.693405,inf,0.0,5.547237,65.0,3.643102,35.071186,0.306595,0.0,0.306595
train,by_session_label,ny_open,model_rules,0,True,first,33,30,True,69.69697,0.123417,1.321315,4.135667,4.072753,54.848485,2.054053,48.572152,0.255284,0.002337,0.257621
train,by_score_bucket,high,model_rules,0,True,first,11,30,False,90.909091,0.501314,5.119071,1.338761,5.514452,70.0,5.021153,32.913878,0.316868,0.0,0.316868
train,by_score_bucket,medium,model_rules,0,True,first,39,30,True,69.230769,0.126344,1.3265,6.84193,4.927399,53.333333,1.624412,49.600746,0.245378,0.001978,0.247355
train,by_no_trade_reasons,none,model_rules,0,True,first,11,30,False,90.909091,0.501314,5.119071,1.338761,5.514452,70.0,5.021153,32.913878,0.316868,0.0,0.316868
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,26,30,False,61.538462,-0.011963,0.975099,6.509252,-0.311048,50.0,1.247997,54.263119,0.225603,0.000755,0.226358
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,13,30,False,84.615385,0.402957,3.014794,1.39707,5.238447,60.0,2.377241,40.276001,0.284927,0.004423,0.28935
validation,ALL,ALL,model_rules,0,True,first,50,30,True,78.0,0.308483,2.106213,2.010726,15.424142,62.6,4.163665,53.423101,0.251517,0.0,0.251517
validation,by_timeframe,15m,model_rules,0,True,first,20,30,False,75.0,0.245376,1.7754,2.290309,4.907511,63.0,4.994674,51.379891,0.254624,0.0,0.254624
validation,by_timeframe,30m,model_rules,0,True,first,30,30,True,80.0,0.350554,2.38119,2.538895,10.516631,62.333333,3.609659,54.785242,0.249446,0.0,0.249446
validation,by_symbol,BTCUSDT,model_rules,0,True,first,33,30,True,84.848485,0.441946,3.385298,1.305881,14.584204,61.212121,4.220027,53.371056,0.255024,0.0,0.255024
validation,by_symbol,ETHUSDT,model_rules,0,True,first,17,30,False,64.705882,0.049408,1.107286,4.225487,0.839938,65.294118,4.054257,53.52413,0.24471,0.0,0.24471
validation,by_direction,long,model_rules,0,True,first,30,30,True,80.0,0.359295,2.437034,2.676837,10.778844,63.0,3.784885,57.119723,0.240705,0.0,0.240705
validation,by_direction,short,model_rules,0,True,first,20,30,False,75.0,0.232265,1.721047,2.990744,4.645298,62.0,4.731835,47.878169,0.267735,0.0,0.267735
validation,by_session_label,custom,model_rules,0,True,first,12,30,False,75.0,0.280166,1.919802,1.798682,3.361996,63.333333,2.801637,65.125727,0.219834,0.0,0.219834
validation,by_session_label,london_open,model_rules,0,True,first,16,30,False,62.5,-0.014052,0.971023,2.676837,-0.224839,65.0,6.546684,52.255266,0.264052,0.0,0.264052
validation,by_session_label,ny_open,model_rules,0,True,first,22,30,False,90.909091,0.558499,5.858549,1.272268,12.286985,60.454545,3.173485,47.889186,0.259683,0.0,0.259683
validation,by_score_bucket,high,model_rules,0,True,first,28,30,False,67.857143,0.091914,1.222496,3.723078,2.573579,70.0,6.130198,48.240636,0.265229,0.0,0.265229
