scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,sharpe,profit_factor,max_drawdown_r,max_consecutive_losses,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,1204,100,True,51.41196,-0.398731,0.491205,1.34039,-0.398731,-10.342689,0.387763,481.195795,11,-480.072534,0.800349,-0.000133,0.800216
filtered_all,ALL,model_rules,0,989,215,100,True,77.674419,0.298998,0.747694,1.262093,0.298998,4.241958,2.061142,3.937066,3,64.284481,0.247947,0.000785,0.248732
by_timeframe,15m,model_rules,0,0,82,100,False,74.390244,0.22158,0.740396,1.285456,0.22158,1.886286,1.673083,3.937066,3,18.169593,0.265284,0.000941,0.266224
by_timeframe,30m,model_rules,0,0,133,100,True,79.699248,0.346728,0.751894,1.243922,0.346728,4.019934,2.373044,3.281639,2,46.114888,0.237258,0.00069,0.237948
by_score_bucket,high,model_rules,0,0,83,100,False,75.903614,0.2425,0.726789,1.28301,0.2425,2.122932,1.784386,4.681367,2,20.127491,0.275572,0.0,0.275572
by_score_bucket,medium,model_rules,0,0,132,100,True,78.787879,0.334523,0.760358,1.247152,0.334523,3.783749,2.264509,4.143692,3,44.15699,0.230576,0.001279,0.231855
by_session_label,custom,model_rules,0,0,44,100,False,72.727273,0.215327,0.765459,1.251694,0.215327,1.364751,1.63077,4.747025,2,9.474369,0.220757,0.0,0.220757
by_session_label,london_open,model_rules,0,0,49,100,False,77.55102,0.275549,0.716786,1.248724,0.275549,2.07001,1.982961,4.620133,3,13.501913,0.275471,0.0,0.275471
by_session_label,ny_open,model_rules,0,0,122,100,True,79.508197,0.338592,0.753942,1.272967,0.338592,3.785672,2.298014,3.937066,3,41.308199,0.246699,0.001384,0.248082
by_direction,long,model_rules,0,0,111,100,True,77.477477,0.308315,0.755291,1.229282,0.308315,3.22592,2.113592,2.973032,2,34.222952,0.232395,0.001521,0.233916
by_direction,short,model_rules,0,0,104,100,True,77.884615,0.289053,0.739629,1.297757,0.289053,2.835529,2.00714,3.266524,2,30.061529,0.264545,0.0,0.264545
by_symbol,BTCUSDT,model_rules,0,0,111,100,True,81.081081,0.347851,0.721298,1.252635,0.347851,3.837678,2.467821,3.937066,3,38.611502,0.262131,0.000485,0.262616
by_symbol,ETHUSDT,model_rules,0,0,104,100,True,74.038462,0.246856,0.778547,1.269449,0.246856,2.271356,1.749026,3.843103,2,25.672979,0.232808,0.001106,0.233914
by_no_trade_reasons,none,model_rules,0,0,83,100,False,75.903614,0.2425,0.726789,1.28301,0.2425,2.122932,1.784386,4.681367,2,20.127491,0.275572,0.0,0.275572
by_no_trade_reasons,target_rr_below_2,model_rules,0,0,90,100,False,73.333333,0.23824,0.775897,1.240316,0.23824,2.052276,1.7203,4.143692,3,21.441595,0.213433,0.001237,0.21467
by_no_trade_reasons,target_rr_below_3,model_rules,0,0,42,100,False,90.47619,0.540843,0.733371,1.288172,0.540843,4.958757,5.408454,2.552698,2,22.715395,0.267312,0.001369,0.268681
