scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,1204,1204,0,67.749169,10.248353,6.11121,6.62339,0.721949,0.401484,-0.398731,-0.398731,0.800349,-0.000133,0.800216,0.387763,0.299834,0.697674,0.535714,0.681894,595,314,target_rr_below_2:181;target_rr_below_3:133
model,turtle_soup,0,none,0,1204,1204,0,67.749169,10.248353,6.11121,6.62339,0.721949,0.401484,-0.398731,-0.398731,0.800349,-0.000133,0.800216,0.387763,0.299834,0.697674,0.535714,0.681894,595,314,target_rr_below_2:181;target_rr_below_3:133
filtered_model,turtle_soup,0,model_rules,1076,128,128,0,57.734375,3.017339,2.722547,2.881394,0.196527,0.584077,0.399656,0.399656,0.183103,0.001319,0.184422,2.648748,0.429688,0.78125,0.320312,0.546875,19,90,target_rr_below_2:67;target_rr_below_3:23
filtered_all,ALL,0,model_rules,1076,128,128,0,57.734375,3.017339,2.722547,2.881394,0.196527,0.584077,0.399656,0.399656,0.183103,0.001319,0.184422,2.648748,0.429688,0.78125,0.320312,0.546875,19,90,target_rr_below_2:67;target_rr_below_3:23
all,ALL,50,none,0,1204,1204,0,67.749169,10.248353,6.11121,6.62339,0.721949,0.401484,-0.398731,-0.398731,0.800349,-0.000133,0.800216,0.387763,0.299834,0.697674,0.535714,0.681894,595,314,target_rr_below_2:181;target_rr_below_3:133
model,turtle_soup,50,none,0,1204,1204,0,67.749169,10.248353,6.11121,6.62339,0.721949,0.401484,-0.398731,-0.398731,0.800349,-0.000133,0.800216,0.387763,0.299834,0.697674,0.535714,0.681894,595,314,target_rr_below_2:181;target_rr_below_3:133
filtered_model,turtle_soup,50,model_rules,1076,128,128,0,57.734375,3.017339,2.722547,2.881394,0.196527,0.584077,0.399656,0.399656,0.183103,0.001319,0.184422,2.648748,0.429688,0.78125,0.320312,0.546875,19,90,target_rr_below_2:67;target_rr_below_3:23
filtered_all,ALL,50,model_rules,1076,128,128,0,57.734375,3.017339,2.722547,2.881394,0.196527,0.584077,0.399656,0.399656,0.183103,0.001319,0.184422,2.648748,0.429688,0.78125,0.320312,0.546875,19,90,target_rr_below_2:67;target_rr_below_3:23
all,ALL,70,none,0,914,914,0,72.045952,11.604182,7.478619,8.160229,0.855897,0.386309,-0.530494,-0.530494,0.917212,-0.000409,0.916803,0.270185,0.237418,0.691466,0.583151,0.7407,539,24,target_rr_below_2:13;target_rr_below_3:11
model,turtle_soup,70,none,0,914,914,0,72.045952,11.604182,7.478619,8.160229,0.855897,0.386309,-0.530494,-0.530494,0.917212,-0.000409,0.916803,0.270185,0.237418,0.691466,0.583151,0.7407,539,24,target_rr_below_2:13;target_rr_below_3:11
filtered_model,turtle_soup,70,model_rules,876,38,38,0,70.0,3.1721,2.875459,6.081888,-0.074665,0.526316,0.327476,0.327476,0.19884,0.0,0.19884,2.1404,0.157895,0.763158,0.421053,0.815789,14,0,
filtered_all,ALL,70,model_rules,876,38,38,0,70.0,3.1721,2.875459,6.081888,-0.074665,0.526316,0.327476,0.327476,0.19884,0.0,0.19884,2.1404,0.157895,0.763158,0.421053,0.815789,14,0,
all,ALL,80,none,0,99,99,0,88.888889,16.509409,8.838156,8.123887,1.282178,0.454545,-0.441488,-0.441488,0.897124,-0.00109,0.896034,0.319071,0.232323,0.727273,0.59596,0.717172,62,11,target_rr_below_3:11
model,turtle_soup,80,none,0,99,99,0,88.888889,16.509409,8.838156,8.123887,1.282178,0.454545,-0.441488,-0.441488,0.897124,-0.00109,0.896034,0.319071,0.232323,0.727273,0.59596,0.717172,62,11,target_rr_below_3:11
filtered_model,turtle_soup,80,model_rules,99,0,0,0,,,,,,,,,,,,,,,,,0,0,
filtered_all,ALL,80,model_rules,99,0,0,0,,,,,,,,,,,,,,,,,0,0,
all,ALL,90,none,0,88,88,0,90.0,17.542932,9.75692,8.825346,1.375147,0.386364,-0.529054,-0.529054,0.916644,-0.001226,0.915418,0.263662,0.204545,0.693182,0.602273,0.738636,58,0,
model,turtle_soup,90,none,0,88,88,0,90.0,17.542932,9.75692,8.825346,1.375147,0.386364,-0.529054,-0.529054,0.916644,-0.001226,0.915418,0.263662,0.204545,0.693182,0.602273,0.738636,58,0,
filtered_model,turtle_soup,90,model_rules,88,0,0,0,,,,,,,,,,,,,,,,,0,0,
filtered_all,ALL,90,model_rules,88,0,0,0,,,,,,,,,,,,,,,,,0,0,
