model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-02,02:00-03:00,2,2,2,0,1.493881,1.493881,0.0,0.953257,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,,,0,2
turtle_soup,2025-05-02,07:00-08:00,3,3,3,0,1.732482,1.638192,0.333333,2.620664,60.0,-0.353092,0.146908,0.146908,0.333333,0.333333,0.0,0.666667,1.0,2.0,1.0,,1,2
turtle_soup,2025-05-02,10:00-11:00,2,2,2,0,1.30495,1.30495,0.5,0.36416,60.0,-0.373189,-0.186594,-0.186594,0.5,0.5,0.0,0.5,1.0,2.0,1.0,,0,2
turtle_soup,2025-05-03,02:00-03:00,1,1,1,0,0.951075,0.951075,0.0,2.133252,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-05-03,10:00-11:00,4,4,4,0,1.311347,1.374435,0.0,1.262649,50.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,4.5,2.5,,0,4
turtle_soup,2025-05-04,02:00-03:00,4,4,4,0,6.89541,6.494168,0.25,2.032588,60.0,-0.411409,-0.080705,-0.080705,0.25,0.5,0.25,0.75,1.0,2.0,5.0,8.0,1,4
turtle_soup,2025-05-04,07:00-08:00,4,4,4,0,3.086611,2.988307,0.0,8.799166,70.0,-1.0,-0.25,-0.25,0.0,0.5,0.25,1.0,1.0,5.0,4.0,2.0,1,0
turtle_soup,2025-05-04,10:00-11:00,2,2,2,0,1.373517,1.373517,0.5,3.185895,60.0,-0.233696,-0.233696,-0.233696,0.5,0.0,0.0,0.5,1.0,1.0,,,0,1
turtle_soup,2025-05-05,02:00-03:00,2,2,2,0,2.145847,2.145847,0.5,1.088967,50.0,0.486428,0.243214,0.243214,0.5,0.5,0.5,0.5,1.0,1.0,14.0,15.0,1,2
turtle_soup,2025-05-05,07:00-08:00,1,1,1,0,2.28892,2.28892,1.0,0.585847,50.0,0.585847,0.585847,0.585847,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-05,10:00-11:00,4,4,4,0,5.29146,5.052449,0.25,2.234056,65.0,-0.717839,-0.342839,-0.342839,0.25,0.25,0.0,0.75,1.0,1.666667,1.0,,2,2
turtle_soup,2025-05-06,02:00-03:00,2,2,2,0,4.238383,4.238383,1.0,0.821393,50.0,0.821393,0.865841,0.865841,1.0,0.5,0.0,0.0,1.0,,2.0,,0,2
turtle_soup,2025-05-06,07:00-08:00,1,1,1,0,11.8381,11.8381,0.0,3.637771,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2025-05-06,10:00-11:00,5,5,5,0,8.402382,4.330142,0.8,1.048577,52.0,0.567077,0.413338,0.413338,0.8,0.4,0.2,0.2,1.0,3.0,1.0,1.0,0,5
turtle_soup,2025-05-07,02:00-03:00,2,2,2,0,1.938103,1.938103,0.0,13.915764,80.0,0.513455,0.5,0.5,0.0,1.0,0.5,0.5,1.0,3.0,4.0,30.0,0,0
turtle_soup,2025-05-07,07:00-08:00,1,1,1,0,11.21125,11.21125,0.0,1.41716,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-05-07,10:00-11:00,2,2,2,0,4.042994,4.042994,0.0,0.86335,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,2
turtle_soup,2025-05-08,02:00-03:00,1,1,1,0,0.540676,0.540676,0.0,25.735795,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2025-05-08,07:00-08:00,2,2,2,0,9.511142,9.511142,0.0,3.84132,65.0,-1.0,-0.25,-0.25,0.0,0.5,0.5,1.0,1.0,5.5,3.0,8.0,1,1
turtle_soup,2025-05-08,10:00-11:00,6,6,6,0,9.196895,5.871252,0.333333,1.826465,53.333333,-0.509822,-0.449075,-0.449075,0.333333,0.166667,0.166667,0.666667,1.0,1.25,1.0,1.0,2,5
turtle_soup,2025-05-09,02:00-03:00,4,4,4,0,6.91508,4.833923,0.0,6.279246,70.0,-1.0,-0.625,-0.625,0.0,0.25,0.0,1.0,1.0,1.25,1.0,,1,0
turtle_soup,2025-05-09,07:00-08:00,5,5,5,0,2.930076,2.071889,0.4,1.736627,56.0,-0.432745,-0.432745,-0.432745,0.4,0.0,0.0,0.6,1.0,4.0,,,1,4
turtle_soup,2025-05-09,10:00-11:00,5,5,5,0,1.155156,0.731569,0.8,0.980943,52.0,0.200799,0.17666,0.17666,0.8,0.2,0.0,0.2,1.0,1.0,1.0,,0,5
turtle_soup,2025-05-10,02:00-03:00,1,1,1,0,0.36314,0.36314,0.0,4.17744,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2025-05-10,07:00-08:00,2,2,2,0,1.538777,1.538777,0.0,3.123409,65.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,3.5,2.0,,0,1
turtle_soup,2025-05-10,10:00-11:00,2,2,2,0,4.192427,4.192427,0.0,5.619386,65.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-05-11,02:00-03:00,3,3,3,0,3.585241,3.706232,0.333333,2.000772,56.666667,-0.260356,-0.296845,-0.296845,0.333333,0.333333,0.0,0.666667,1.0,1.0,4.0,,0,3
turtle_soup,2025-05-11,07:00-08:00,1,1,1,0,1.824713,1.824713,0.0,1.406365,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2025-05-11,10:00-11:00,5,5,5,0,2.739011,1.580346,0.6,0.795613,50.0,-0.155654,-0.051827,-0.051827,0.6,0.4,0.2,0.4,1.0,2.0,1.0,1.0,0,5
turtle_soup,2025-05-12,02:00-03:00,2,2,2,0,10.047929,10.047929,1.0,2.533712,60.0,2.533712,1.766856,1.766856,1.0,1.0,1.0,0.0,1.0,,1.5,1.5,0,2
turtle_soup,2025-05-12,07:00-08:00,4,4,4,0,11.261013,9.928551,0.75,0.776824,50.0,0.501009,0.500504,0.500504,0.75,0.75,0.25,0.25,1.0,6.0,2.0,1.0,0,4
turtle_soup,2025-05-12,10:00-11:00,1,1,1,0,7.369374,7.369374,1.0,0.597246,50.0,0.597246,0.798623,0.798623,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-13,07:00-08:00,1,1,1,0,2.389976,2.389976,0.0,4.19788,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2025-05-13,10:00-11:00,3,3,3,0,1.660613,1.990489,0.666667,0.808439,56.666667,0.077535,0.09439,0.09439,0.666667,0.333333,0.0,0.333333,1.0,4.0,7.0,,0,3
turtle_soup,2025-05-14,02:00-03:00,7,7,7,0,7.820419,6.207954,0.285714,1.660242,61.428571,-0.617775,-0.572087,-0.572087,0.285714,0.142857,0.0,0.714286,1.0,1.2,1.0,,1,5
turtle_soup,2025-05-14,07:00-08:00,2,2,2,0,10.822548,10.822548,0.5,2.334362,60.0,-0.208905,-0.208905,-0.208905,0.5,0.0,0.0,0.5,1.0,1.0,,,1,1
turtle_soup,2025-05-15,07:00-08:00,4,4,4,0,6.757174,6.644937,0.0,4.903572,75.0,-1.0,-0.25,-0.25,0.0,0.5,0.5,1.0,1.0,5.0,3.0,4.0,2,0
turtle_soup,2025-05-15,10:00-11:00,2,2,2,0,2.040104,2.040104,1.0,0.788178,50.0,0.788178,0.72275,0.72275,1.0,0.5,0.0,0.0,1.0,,3.0,,0,2
turtle_soup,2025-05-16,02:00-03:00,6,6,6,0,6.252999,7.369285,0.5,2.505009,55.0,0.081062,0.290531,0.290531,0.5,0.666667,0.0,0.5,1.0,1.333333,1.25,,0,5
turtle_soup,2025-05-16,07:00-08:00,2,2,2,0,6.313664,6.313664,0.0,2.740237,80.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,1
