model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-12,02:00-03:00,1,1,1,0,0.109288,0.109288,0.0,2.0,80.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-05-23,07:00-08:00,2,2,2,0,0.61826,0.61826,0.0,2.0,80.0,0.61826,0.61826,0.61826,0.0,0.0,0.0,0.0,1.0,,,,0,2
turtle_soup,2025-05-29,10:00-11:00,1,1,1,0,1.874951,1.874951,1.0,0.263106,85.0,0.263106,0.263106,0.263106,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-03,10:00-11:00,1,1,1,0,0.404561,0.404561,1.0,0.076354,70.0,0.076354,0.076354,0.076354,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-04,07:00-08:00,1,1,1,0,2.339123,2.339123,1.0,0.239815,65.0,0.239815,0.239815,0.239815,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-04,10:00-11:00,1,1,1,0,0.195662,0.195662,0.0,0.425849,65.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,20.0,,,0,1
turtle_soup,2025-06-05,07:00-08:00,1,1,1,0,0.817198,0.817198,1.0,0.129959,70.0,0.129959,0.129959,0.129959,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-10,07:00-08:00,1,1,1,0,0.805285,0.805285,0.0,1.13982,65.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,9.0,,,0,1
turtle_soup,2025-06-13,10:00-11:00,1,1,1,0,0.458281,0.458281,1.0,0.016318,65.0,0.016318,0.016318,0.016318,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-20,10:00-11:00,1,1,1,0,3.238998,3.238998,1.0,0.136648,65.0,0.136648,0.136648,0.136648,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-06-26,10:00-11:00,1,1,1,0,0.531671,0.531671,0.0,0.511298,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-06-30,02:00-03:00,2,2,2,0,1.113449,1.113449,1.0,0.616118,70.0,0.616118,0.642267,0.642267,1.0,0.5,0.0,0.0,1.0,,30.0,,0,2
