time,open,high,low,close,volume
1735689600000,189.22,192.58,189.0,192.44,586540.0
1735693200000,192.44,192.56,190.25,190.62,334974.0
1735696800000,190.63,191.96,190.31,191.51,204131.0
1735700400000,191.52,191.52,189.93,190.31,180453.0
1735704000000,190.31,190.31,189.25,189.41,275678.0
1735707600000,189.41,190.55,189.25,190.02,234808.0
1735711200000,190.02,190.192,189.27,190.18,194774.0
1735714800000,190.18,190.24,189.58,189.96,171667.0
1735718400000,189.97,190.64,189.18,189.28,241431.0
1735722000000,189.29,189.66,187.82,189.06,511747.0
1735725600000,189.07,190.93,189.07,190.15,357434.0
1735729200000,190.16,191.74,189.8,191.22,359515.0
1735732800000,191.23,191.64,190.4,190.86,294846.0
1735736400000,190.85,191.25,189.48,190.16,351399.0
1735740000000,190.16,191.4,189.02,190.78,436563.0
1735743600000,190.79,192.09,189.84,191.81,368479.0
1735747200000,191.82,192.21,189.95,190.4,334489.0
1735750800000,190.41,190.55,189.12,190.49,303414.0
1735754400000,190.49,192.18,189.76,191.62,348797.0
1735758000000,191.62,193.86,191.43,193.03,592658.0
1735761600000,193.02,194.49,193.02,194.29,415543.0
1735765200000,194.28,195.29,193.62,194.63,417920.0
1735768800000,194.63,194.89,193.61,194.44,230374.0
1735772400000,194.44,195.09,193.71,194.22,230112.0
1735776000000,194.22,197.14,193.34,196.17,751490.0
1735779600000,196.16,198.41,196.04,197.64,595971.0
1735783200000,197.64,199.38,197.4,199.32,594640.0
1735786800000,199.32,199.63,197.72,198.46,423020.0
1735790400000,198.47,204.8,198.47,204.39,1345660.0
1735794000000,204.39,205.61,203.3,204.54,749316.0
1735797600000,204.54,205.91,203.88,205.26,767030.0
1735801200000,205.25,206.84,205.12,205.84,792213.0
1735804800000,205.84,206.99,205.62,206.7,549390.0
1735808400000,206.7,207.85,206.24,207.26,735201.0
1735812000000,207.26,207.65,206.61,206.92,413234.0
1735815600000,206.92,208.78,206.8,208.43,721957.0
1735819200000,208.42,209.4,207.55,208.29,785114.0
1735822800000,208.3,208.57,207.48,208.1,471745.0
1735826400000,208.1,210.47,206.64,208.12,1453590.0
1735830000000,208.11,208.29,205.37,206.68,944744.0
1735833600000,206.67,208.99,205.85,207.38,631510.0
1735837200000,207.38,208.14,204.62,205.97,743424.0
1735840800000,205.97,206.71,204.89,206.35,469532.0
1735844400000,206.36,207.74,206.08,206.62,392136.0
1735848000000,206.62,207.91,206.62,206.73,275400.0
1735851600000,206.73,207.09,205.38,206.46,326653.0
1735855200000,206.47,206.68,205.14,206.51,214088.0
1735858800000,206.5,208.38,206.46,208.17,341293.0
1735862400000,208.17,208.38,206.91,207.06,244470.0
1735866000000,207.06,207.23,205.51,206.76,296105.0
1735869600000,206.77,208.01,206.22,206.72,303533.0
1735873200000,206.72,208.2,206.05,207.93,286615.0
1735876800000,207.94,207.99,206.95,207.62,188462.0
1735880400000,207.63,209.54,207.0,208.78,514271.0
1735884000000,208.77,209.87,207.43,207.66,780227.0
1735887600000,207.66,208.63,206.93,207.86,587455.0
1735891200000,207.86,209.81,207.45,209.25,804866.0
1735894800000,209.26,212.81,208.97,211.08,1121814.0
1735898400000,211.07,211.65,210.21,210.99,431829.0
1735902000000,210.99,214.99,210.84,214.39,987460.0
1735905600000,214.38,214.78,213.08,213.25,699647.0
1735909200000,213.25,214.21,211.92,212.74,764177.0
1735912800000,212.74,218.56,212.74,218.16,1597837.0
1735916400000,218.15,218.38,216.47,217.26,675058.0
1735920000000,217.27,219.69,216.32,217.58,946238.0
1735923600000,217.58,218.13,216.51,217.25,448142.0
1735927200000,217.25,218.41,217.03,217.94,335819.0
1735930800000,217.93,218.41,216.36,216.98,410026.0
1735934400000,216.99,216.99,215.7,215.89,389786.0
1735938000000,215.88,216.84,215.75,216.2,270323.0
1735941600000,216.2,217.18,215.92,216.95,262197.0
1735945200000,216.95,217.93,216.76,217.91,295388.0
1735948800000,217.92,217.93,216.51,216.91,311813.0
1735952400000,216.9,217.9,215.9,217.28,319751.0
1735956000000,217.28,218.08,216.11,217.35,297449.0
1735959600000,217.34,217.63,215.58,216.88,325474.0
1735963200000,216.89,216.89,215.41,216.81,267489.0
1735966800000,216.81,217.34,216.3,217.15,178067.0
1735970400000,217.15,217.89,216.81,217.53,238330.0
1735974000000,217.54,217.75,216.21,216.62,319969.0
1735977600000,216.61,216.62,215.19,215.61,362662.0
1735981200000,215.61,216.34,215.36,215.74,227699.0
1735984800000,215.75,215.86,214.3,215.59,358058.0
1735988400000,215.59,216.6,215.21,216.36,268097.0
1735992000000,216.36,217.1,216.0,216.95,331753.0
1735995600000,216.96,217.58,216.52,216.91,366440.0
1735999200000,216.91,217.04,215.65,215.8,345361.0
1736002800000,215.8,216.54,213.45,214.24,923047.0
1736006400000,214.24,214.99,213.61,214.31,317213.0
1736010000000,214.31,215.68,214.06,215.65,243380.0
1736013600000,215.65,215.88,215.08,215.39,202984.0
1736017200000,215.4,215.73,215.03,215.47,134234.0
1736020800000,215.48,216.72,215.3,216.35,223932.0
1736024400000,216.34,216.56,215.65,215.95,162716.0
1736028000000,215.96,217.19,215.64,217.09,196727.0
1736031600000,217.1,217.18,216.39,216.56,173163.0
1736035200000,216.57,217.82,216.12,216.93,304847.0
1736038800000,216.94,217.09,215.17,215.63,262203.0
1736042400000,215.63,217.37,215.38,216.97,293906.0
1736046000000,216.96,218.81,216.57,217.83,437678.0
1736049600000,217.83,218.98,217.73,217.85,364316.0
1736053200000,217.85,217.86,216.04,216.32,356465.0
1736056800000,216.31,216.92,215.83,216.48,208532.0
1736060400000,216.47,216.7,215.95,216.35,169134.0
1736064000000,216.35,216.44,214.61,215.04,412489.0
1736067600000,215.04,215.12,212.8,213.1,552498.0
1736071200000,213.11,214.06,212.84,213.99,321898.0
1736074800000,213.99,214.62,213.59,213.85,287200.0
1736078400000,213.84,214.13,213.2,213.55,254067.0
1736082000000,213.55,214.54,212.27,212.52,334563.0
1736085600000,212.53,213.47,211.54,213.19,775255.0
1736089200000,213.18,213.9,212.27,213.46,396665.0
1736092800000,213.46,214.21,212.1,212.39,360061.0
1736096400000,212.4,213.21,211.88,212.56,227113.0
1736100000000,212.56,212.7,211.27,212.37,279612.0
1736103600000,212.38,213.12,212.09,212.7,133765.0
1736107200000,212.7,213.9,212.43,212.92,198581.0
1736110800000,212.91,213.93,212.74,213.75,148192.0
1736114400000,213.75,214.4,213.31,214.09,157034.0
1736118000000,214.09,214.43,213.13,213.3,207065.0
1736121600000,213.31,214.18,211.91,212.03,368791.0
1736125200000,212.04,215.14,211.41,214.57,522938.0
1736128800000,214.56,216.87,214.38,215.45,747349.0
1736132400000,215.45,216.58,215.15,215.5,273860.0
1736136000000,215.5,216.73,215.19,215.74,293395.0
1736139600000,215.74,216.8,215.05,215.47,391194.0
1736143200000,215.47,215.93,213.84,214.83,393685.0
1736146800000,214.82,215.39,213.77,215.13,291628.0
1736150400000,215.13,216.17,213.3,213.96,452117.0
1736154000000,213.95,214.32,213.1,214.31,215708.0
1736157600000,214.3,215.17,213.72,214.91,208972.0
1736161200000,214.92,216.18,214.69,216.17,321474.0
1736164800000,216.18,217.79,215.64,216.7,529537.0
1736168400000,216.69,218.74,215.71,218.59,826763.0
1736172000000,218.6,222.0,216.61,220.92,1470815.0
1736175600000,220.93,221.89,219.74,221.51,1123518.0
1736179200000,221.52,223.14,220.06,220.77,952094.0
1736182800000,220.76,220.76,217.27,218.6,777497.0
1736186400000,218.6,219.44,217.8,218.75,345533.0
1736190000000,218.75,220.4,218.5,219.9,268818.0
1736193600000,219.9,220.32,218.12,218.45,268129.0
1736197200000,218.44,218.66,217.4,217.78,317176.0
1736200800000,217.77,218.68,217.53,218.41,233702.0
1736204400000,218.41,218.55,217.73,218.11,164149.0
1736208000000,218.1,219.04,217.55,217.65,324738.0
1736211600000,217.64,218.6,216.66,218.02,339600.0
1736215200000,218.02,218.16,216.43,216.46,207048.0
1736218800000,216.47,217.58,216.09,217.27,225787.0
1736222400000,217.27,217.37,216.08,216.09,175357.0
1736226000000,216.08,216.43,215.58,216.41,258716.0
1736229600000,216.41,216.61,215.87,216.23,165248.0
1736233200000,216.23,216.62,215.33,215.97,210036.0
1736236800000,215.96,216.79,215.27,216.5,300577.0
1736240400000,216.51,216.62,214.67,214.98,487093.0
1736244000000,214.98,215.11,214.21,214.76,383084.0
1736247600000,214.75,215.33,212.73,213.95,616878.0
1736251200000,213.96,214.1,212.62,213.39,423799.0
1736254800000,213.38,214.28,213.26,213.74,334110.0
1736258400000,213.73,214.26,210.73,211.54,1039773.0
1736262000000,211.55,211.99,205.0,207.65,4577563.0
1736265600000,207.64,208.99,206.72,207.47,917327.0
1736269200000,207.47,207.91,205.21,206.32,921599.0
1736272800000,206.32,207.05,204.0,204.98,1089537.0
1736276400000,204.98,205.55,203.43,204.46,844653.0
1736280000000,204.47,204.55,202.52,204.24,805901.0
1736283600000,204.23,204.89,202.0,202.01,691398.0
1736287200000,202.0,203.84,201.36,203.59,525257.0
1736290800000,203.59,203.63,201.8,202.07,307043.0
1736294400000,202.06,203.2,201.79,202.53,515076.0
1736298000000,202.53,202.55,199.43,201.17,1152448.0
1736301600000,201.17,201.62,199.99,199.99,501777.0
1736305200000,200.0,200.15,196.62,198.62,1443437.0
1736308800000,198.62,199.53,196.55,196.93,928624.0
1736312400000,196.93,197.85,195.62,195.99,865287.0
1736316000000,195.99,196.73,193.3,193.37,1385801.0
1736319600000,193.37,195.85,193.04,195.56,916524.0
1736323200000,195.56,197.74,195.44,197.21,958912.0
1736326800000,197.22,197.77,195.8,195.85,493689.0
1736330400000,195.85,197.96,195.85,197.08,532705.0
1736334000000,197.09,197.53,194.38,195.41,883770.0
1736337600000,195.4,196.19,194.73,194.99,592639.0
1736341200000,194.98,197.84,194.98,197.01,776317.0
1736344800000,197.01,199.21,196.66,197.6,1035697.0
1736348400000,197.59,199.48,196.15,197.69,1042614.0
1736352000000,197.68,197.91,194.43,194.62,777353.0
1736355600000,194.62,194.95,188.23,193.1,3204591.0
1736359200000,193.11,196.81,192.73,193.87,1167432.0
1736362800000,193.87,195.91,193.24,194.18,635246.0
1736366400000,194.17,196.18,193.53,195.63,394063.0
1736370000000,195.64,196.07,193.76,194.92,465641.0
1736373600000,194.92,197.85,194.9,197.7,559609.0
1736377200000,197.71,198.21,196.81,197.37,229978.0
1736380800000,197.37,197.84,196.35,197.79,263495.0
1736384400000,197.79,198.98,197.23,197.66,387194.0
1736388000000,197.66,197.89,195.19,197.03,788925.0
1736391600000,197.04,197.23,194.06,194.28,441109.0
1736395200000,194.28,195.42,193.56,195.29,418876.0
1736398800000,195.29,195.45,194.14,194.21,196167.0
1736402400000,194.22,194.87,193.11,193.31,328832.0
1736406000000,193.31,193.9,189.64,190.06,1118009.0
1736409600000,190.06,192.35,189.0,191.09,833999.0
1736413200000,191.09,192.42,190.91,191.53,353159.0
1736416800000,191.54,192.02,189.67,191.31,420980.0
1736420400000,191.31,192.75,190.48,191.08,335975.0
1736424000000,191.08,191.99,189.21,190.24,500466.0
1736427600000,190.23,190.55,185.37,185.44,1578189.0
1736431200000,185.43,188.69,185.02,188.64,1190421.0
1736434800000,188.64,192.9,187.78,192.09,1178866.0
1736438400000,192.09,192.7,190.54,191.74,697046.0
1736442000000,191.74,192.06,186.04,187.2,912359.0
1736445600000,187.21,189.34,186.93,188.37,633161.0
1736449200000,188.37,188.86,185.61,185.84,629442.0
1736452800000,185.83,186.34,181.85,185.02,1773975.0
1736456400000,185.02,186.89,184.52,184.68,523295.0
1736460000000,184.67,187.51,183.09,185.86,561031.0
1736463600000,185.86,186.1,184.23,184.88,376496.0
1736467200000,184.87,186.93,184.86,186.32,461035.0
1736470800000,186.32,187.99,185.66,187.45,484533.0
1736474400000,187.46,189.3,187.26,188.18,419597.0
1736478000000,188.18,189.39,187.86,189.02,249279.0
1736481600000,189.01,189.88,188.48,188.97,295440.0
