time,open,high,low,close,volume
1746057600000,1792.71,1818.18,1791.55,1807.28,587418.818
1746072000000,1807.28,1816.77,1801.24,1809.74,400734.586
1746086400000,1809.74,1858.73,1807.74,1844.79,1437470.389
1746100800000,1844.79,1872.71,1823.47,1851.99,1789376.969
1746115200000,1852.0,1869.4,1838.08,1842.12,735528.169
1746129600000,1842.11,1850.45,1831.8,1837.19,410179.107
1746144000000,1837.18,1850.49,1834.06,1846.66,472225.233
1746158400000,1846.66,1850.86,1815.0,1815.3,775261.172
1746172800000,1815.29,1834.92,1812.0,1832.39,738231.839
1746187200000,1832.39,1853.58,1822.13,1840.21,1066632.348
1746201600000,1840.21,1871.06,1830.79,1838.78,1002260.931
1746216000000,1838.78,1847.23,1832.1,1841.22,275358.821
1746230400000,1841.22,1842.44,1825.52,1834.08,325492.804
1746244800000,1834.07,1838.55,1823.39,1825.58,317792.13
1746259200000,1825.58,1829.99,1816.23,1823.35,571769.933
1746273600000,1823.34,1839.27,1823.1,1833.51,429242.931
1746288000000,1833.51,1838.56,1807.75,1837.61,700161.621
1746302400000,1837.62,1848.0,1827.79,1832.55,457184.141
1746316800000,1832.55,1848.84,1825.28,1831.24,497884.745
1746331200000,1831.24,1849.53,1828.43,1840.24,489368.721
1746345600000,1840.24,1840.73,1820.75,1826.69,612670.707
1746360000000,1826.68,1833.07,1817.03,1829.63,405676.694
1746374400000,1829.64,1832.28,1821.06,1827.58,339285.093
1746388800000,1827.59,1841.76,1801.71,1807.87,710871.396
1746403200000,1807.87,1817.6,1780.02,1793.86,986733.206
1746417600000,1793.85,1829.07,1792.0,1825.74,627690.591
1746432000000,1825.73,1830.72,1797.0,1803.81,868144.459
1746446400000,1803.81,1814.86,1793.29,1800.14,844857.592
1746460800000,1800.14,1828.0,1799.86,1815.65,671849.243
1746475200000,1815.64,1832.98,1797.79,1819.43,642080.274
1746489600000,1819.43,1820.3,1791.57,1805.5,698535.993
1746504000000,1805.49,1808.55,1797.26,1805.0,302865.771
1746518400000,1804.99,1805.17,1755.71,1769.1,1150386.634
1746532800000,1769.09,1779.08,1750.0,1769.31,1198817.219
1746547200000,1769.31,1798.41,1761.0,1784.05,827534.324
1746561600000,1784.06,1818.62,1764.39,1816.22,1166051.619
1746576000000,1816.23,1850.0,1813.47,1825.6,1484206.235
1746590400000,1825.6,1837.85,1823.69,1837.26,407889.918
1746604800000,1837.27,1846.5,1829.47,1835.48,697828.821
1746619200000,1835.48,1836.2,1813.36,1816.73,864908.101
1746633600000,1816.72,1817.33,1786.0,1795.08,1577954.618
1746648000000,1795.07,1824.73,1788.0,1810.14,736420.27
1746662400000,1810.13,1907.45,1807.72,1900.5,1786283.565
1746676800000,1900.51,1944.0,1891.36,1927.8,1533788.488
1746691200000,1927.81,1968.29,1925.0,1956.65,1369546.365
1746705600000,1956.65,2075.1,1952.57,2050.56,3473067.062
1746720000000,2050.56,2140.21,2035.79,2117.59,2278690.005
1746734400000,2117.59,2227.0,2111.0,2206.54,2848796.238
1746748800000,2206.53,2244.9,2183.59,2204.56,1883887.846
1746763200000,2204.56,2393.67,2201.98,2363.81,2727001.302
1746777600000,2363.71,2490.75,2291.46,2350.76,5113067.854
1746792000000,2350.75,2388.12,2270.0,2300.55,2541569.629
1746806400000,2300.55,2355.0,2273.63,2330.69,1243862.334
1746820800000,2330.69,2351.16,2321.48,2344.3,415028.972
1746835200000,2344.31,2379.99,2315.09,2338.81,775367.261
1746849600000,2338.81,2416.5,2325.31,2399.17,1014233.591
1746864000000,2399.2,2435.0,2360.0,2383.75,1972913.729
1746878400000,2383.75,2449.99,2383.75,2432.38,1469863.634
1746892800000,2432.38,2512.0,2427.65,2498.35,2129419.275
1746907200000,2498.35,2600.76,2465.6,2581.91,1975957.257
1746921600000,2581.9,2608.0,2498.79,2536.31,1842655.844
1746936000000,2536.31,2561.68,2452.61,2472.61,1538673.347
1746950400000,2472.61,2534.8,2471.5,2529.36,1023280.318
1746964800000,2529.36,2530.92,2434.89,2461.22,1374239.317
1746979200000,2461.22,2524.38,2439.08,2506.99,1105701.773
1746993600000,2507.0,2527.71,2481.95,2513.48,609193.962
1747008000000,2513.48,2548.0,2490.0,2519.01,941674.729
1747022400000,2519.0,2624.84,2484.02,2553.44,2242797.017
1747036800000,2553.45,2585.05,2520.0,2529.34,1268458.744
1747051200000,2529.32,2575.6,2478.0,2485.94,2294695.345
1747065600000,2485.95,2511.94,2406.55,2459.29,1853110.156
1747080000000,2459.28,2499.34,2450.88,2494.16,596324.874
1747094400000,2494.16,2494.9,2414.36,2424.07,1055040.451
1747108800000,2424.06,2479.45,2418.84,2459.9,776859.755
1747123200000,2459.89,2524.97,2450.57,2512.26,965762.294
1747137600000,2512.25,2573.0,2490.13,2564.89,1893092.86
1747152000000,2564.88,2738.62,2558.61,2690.02,2769262.522
1747166400000,2690.02,2706.98,2653.0,2678.59,1236161.125
1747180800000,2678.58,2724.96,2620.8,2645.78,1641253.983
1747195200000,2645.79,2686.61,2635.06,2639.14,807221.596
1747209600000,2639.15,2644.71,2575.0,2624.16,1507824.985
1747224000000,2624.16,2634.52,2557.0,2596.28,1495860.917
1747238400000,2596.28,2616.82,2545.0,2603.85,1049260.687
1747252800000,2603.86,2612.88,2582.31,2608.74,412855.983
1747267200000,2608.75,2646.1,2565.9,2573.77,939751.872
1747281600000,2573.77,2595.73,2513.8,2529.6,1197722.104
1747296000000,2529.59,2566.39,2515.68,2553.81,1225654.523
1747310400000,2553.81,2578.99,2475.61,2562.9,2328139.242
1747324800000,2562.91,2603.52,2510.59,2529.77,1705724.372
1747339200000,2529.77,2563.61,2510.49,2547.75,718685.509
1747353600000,2547.76,2584.08,2533.15,2580.43,686310.721
1747368000000,2580.43,2619.39,2562.92,2600.5,817685.147
1747382400000,2600.51,2648.68,2556.65,2620.0,1458062.58
1747396800000,2620.0,2622.39,2572.3,2593.94,1187310.629
1747411200000,2593.93,2600.96,2568.27,2591.0,563810.618
1747425600000,2591.0,2591.88,2527.14,2535.72,801645.427
1747440000000,2535.71,2537.63,2450.62,2495.93,1792000.979
1747454400000,2495.92,2512.33,2473.53,2491.49,713657.089
1747468800000,2491.49,2495.06,2463.71,2480.54,625120.761
1747483200000,2480.55,2485.76,2442.65,2473.22,822248.107
1747497600000,2473.22,2488.0,2446.7,2468.9,654559.246
1747512000000,2468.9,2495.55,2451.28,2474.09,481277.838
1747526400000,2474.09,2486.78,2466.74,2476.19,331411.088
1747540800000,2476.18,2514.77,2476.18,2508.35,562307.567
1747555200000,2508.35,2527.85,2496.0,2500.49,557580.444
1747569600000,2500.49,2587.52,2486.65,2578.06,1379138.641
1747584000000,2578.07,2582.92,2402.0,2406.78,2642398.498
1747598400000,2406.78,2510.2,2312.62,2496.98,2606228.026
1747612800000,2496.98,2513.38,2378.02,2384.46,1799075.262
1747627200000,2384.46,2412.27,2346.99,2402.54,1602633.825
1747641600000,2402.53,2422.11,2389.0,2416.34,937674.513
1747656000000,2416.33,2473.0,2383.0,2465.59,1658874.566
1747670400000,2465.59,2546.97,2449.82,2517.67,2048794.518
