time,funding_rate,mark_price
1574841600000,0.0001,
1574870400000,0.0001,
1574899200000,0.0001,
1574928000000,1.401e-05,
1574956800000,-0.0001061,
1574985600000,-0.00022765,
1575014400000,-0.00020527,
1575043200000,-8.117e-05,
1575072000000,1.27e-06,
1575100800000,-3.953e-05,
1575129600000,0.0001,
1575158400000,0.0001,
1575187200000,0.0001,
1575216000000,0.0001,
1575244800000,0.0001,
1575273600000,0.0001,
1575302400000,0.0001,
1575331200000,0.0001,
1575360000000,0.0001,
1575388800000,0.0001,
1575417600000,0.0001,
1575446400000,0.0001,
1575475200000,0.0001,
1575504000000,1.618e-05,
1575532800001,0.0001,
1575561600000,0.0001,
1575590400000,0.0001,
1575619200000,8.067e-05,
1575648000000,0.0001,
1575676800000,0.0001,
1575705600001,0.0001,
1575734400000,0.0001,
1575763200000,0.0001,
1575792000000,0.0001,
1575820800000,3.335e-05,
1575849600000,0.0001,
1575878400000,0.0001,
1575907200000,0.0001,
1575936000000,0.0001,
1575964800001,0.0001,
1575993600000,0.0001,
1576022400000,0.0001,
1576051200000,0.0001,
1576080000000,0.0001,
1576108800000,0.0001,
1576137600001,0.0001,
1576166400000,0.0001,
1576195200000,0.0001,
1576224000000,0.0001,
1576252800000,0.0001,
1576281600000,2.56e-06,
1576310400000,9.895e-05,
1576339200000,0.0001,
1576368000000,0.0001,
1576396800001,0.0001,
1576425600000,0.0001,
1576454400001,0.0001,
1576483200000,0.0001,
1576512000003,6.449e-05,
1576540800008,0.0001,
1576569600000,9.649e-05,
1576598400000,3.382e-05,
1576627200006,5.835e-05,
1576656000000,9.072e-05,
1576684800000,0.0001,
1576713600001,0.0001,
1576742400001,0.0001,
1576771200000,0.0001,
1576800000000,0.0001,
1576828800000,0.0001,
1576857600000,0.0001,
1576886400000,0.0001,
1576915200000,0.0001,
1576944000000,0.0001,
1576972800000,0.0001,
1577001600001,0.0001,
1577030400000,0.0001,
1577059200000,0.0001,
1577088000000,0.0001,
1577116800000,0.0001,
1577145600000,0.0001,
1577174400000,0.0001,
1577203200000,0.0001,
1577232000000,0.0001,
1577260800000,0.0001,
1577289600000,0.0001,
1577318400000,9.698e-05,
1577347200000,0.0001,
1577376000000,0.0001,
1577404800001,0.0001,
1577433600000,0.0001,
1577462400000,0.0001,
1577491200000,0.0001,
1577520000000,0.0001,
1577548800000,0.0001,
1577577600000,0.0001,
1577606400000,2.169e-05,
1577635200000,8.291e-05,
1577664000000,3.707e-05,
1577692800000,0.0001,
1577721600000,0.0001,
1577750400000,0.0001,
1577779200000,9.66e-05,
1577808000000,0.0001,
1577836800000,0.0001,
1577865600000,7.354e-05,
1577894400000,-0.00016125,
1577923200002,5.047e-05,
1577952000000,0.0001,
1577980800000,0.0001,
1578009600000,0.0001,
1578038400000,0.0001,
1578067200001,0.0001,
1578096000000,0.0001,
1578124800000,0.0001,
1578153600000,0.0001,
1578182400000,0.0001,
1578211200000,0.0001,
1578240000000,0.0001,
1578268800000,0.0001,
1578297600000,0.0001,
1578326400000,0.0001,
1578355200000,0.0001,
1578384000001,0.0001,
1578412800000,0.0001,
1578441600000,0.0001,
1578470400000,0.0001,
1578499200001,0.0001,
1578528000000,0.0001,
1578556800000,0.0001,
1578585600000,0.0001,
1578614400000,0.0001,
1578643200000,0.0001,
1578672000000,0.0001,
1578700800000,0.0001,
1578729600000,0.0001,
1578758400000,0.0001,
1578787200000,0.0001,
1578816000000,0.0001,
1578844800000,0.0001,
1578873600001,0.0001,
1578902400000,0.0001,
1578931200000,0.0001,
1578960000000,0.0001,
1578988800000,0.0001,
1579017600001,0.0001,
1579046400000,0.00011544,
1579075200000,0.00020223,
1579104000000,0.00031864,
1579132800000,0.00017165,
1579161600000,0.00038406,
1579190400000,0.0004224,
1579219200000,0.00018772,
1579248000000,0.0001,
1579276800000,0.00020327,
1579305600001,0.0001,
1579334400001,0.0001,
1579363200000,0.00011014,
1579392000000,0.00044662,
1579420800000,0.00019851,
1579449600000,0.00023852,
1579478400000,0.00047503,
1579507200000,0.00054081,
1579536000000,0.00038562,
1579564800000,0.00021637,
1579593600000,0.00016823,
1579622400000,0.00018627,
1579651200000,0.0001535,
1579680000001,0.0001,
1579708800000,0.0001,
1579737600000,0.0001,
1579766400000,0.0001,
1579795200000,0.00021994,
1579824000000,0.00017114,
1579852800000,0.00017748,
1579881600001,0.00025923,
1579910400000,0.0001,
1579939200000,0.0001,
1579968000001,0.00027793,
1579996800000,0.00031959,
1580025600000,0.00026387,
1580054400000,0.0001,
1580083200000,0.0001,
1580112000001,0.0001,
1580140800000,0.0001,
1580169600000,0.00010167,
1580198400000,0.00049212,
1580227200000,0.00091788,
1580256000001,0.00122251,
1580284800000,0.0010613,
1580313600002,0.00055576,
1580342400000,0.00054882,
1580371200000,0.00049058,
1580400000000,0.00054951,
1580428800000,0.00082589,
1580457600000,0.00132017,
1580486400000,0.00093741,
1580515200000,0.0007201,
1580544000000,0.00070775,
1580572800000,0.00052861,
1580601600000,0.000352,
1580630400000,0.00016128,
1580659200000,0.0001,
1580688000000,0.0001,
1580716800000,0.0001,
1580745600000,0.0001,
1580774400000,0.00036575,
1580803200001,0.00014722,
1580832000000,0.00039381,
1580860800002,0.0001,
1580889600000,0.0001,
1580918400000,0.00095515,
1580947200000,0.00112654,
1580976000000,0.00077325,
1581004800000,0.00053238,
1581033600000,0.00032775,
1581062400000,0.00014913,
1581091200001,0.00045718,
1581120000000,0.00026524,
1581148800000,0.00027312,
1581177600000,0.00029946,
1581206400000,0.00097062,
1581235200000,0.00063224,
1581264000000,0.00136228,
1581292800000,0.00130685,
1581321600000,0.00193444,
1581350400009,0.00295694,
1581379200000,0.0011812,
1581408000000,0.00150902,
1581436800000,0.00107512,
1581465600000,0.0028447,
1581494400001,0.0036719,
1581523200000,0.00148984,
1581552000001,0.00119193,
1581580800000,0.00141789,
1581609600000,0.0017895,
1581638400000,0.00133922,
1581667200000,0.00081527,
1581696000000,0.00097804,
1581724800000,0.00084363,
1581753600000,0.00099519,
1581782400000,0.00116429,
1581811200000,0.00191229,
1581840000000,0.00042143,
1581868800000,0.00063291,
1581897600000,0.0006537,
1581926400000,0.00052153,
1581955200000,0.00088411,
1581984000000,0.00024205,
1582012800000,0.00012422,
1582041600000,0.00023619,
1582070400000,0.0007174,
1582099200001,0.00095567,
1582128000000,0.00068394,
1582156800004,0.0001949,
1582185600000,0.0001,
1582214400000,0.00053851,
1582243200000,0.00069899,
1582272000000,0.0005353,
1582300800000,0.0005742,
1582329600000,0.00051605,
1582358400001,0.00056424,
1582387200000,0.00045883,
1582416000000,0.00077311,
1582444800000,0.00043317,
1582473600000,0.00048157,
1582502400015,0.00054128,
1582531200000,0.00037142,
1582560000000,0.00020954,
1582588800001,0.00031422,
1582617600000,0.00040545,
1582646400001,0.00052084,
1582675200000,0.00047129,
1582704000001,0.00079802,
1582732800000,0.00071497,
1582761600001,0.0001,
1582790400001,0.00025833,
1582819200000,0.00010335,
1582848000000,0.00012465,
1582876800000,0.00025289,
1582905600000,0.00030522,
1582934400000,0.00040998,
1582963200000,0.00055451,
1582992000000,0.00047771,
1583020800000,0.00032216,
1583049600000,0.00018986,
1583078400001,0.00015628,
1583107200000,0.00014747,
1583136000000,0.00015638,
1583164800004,0.0001,
1583193600000,0.0001,
1583222400003,0.0001,
1583251200000,0.00031403,
1583280000002,0.00030731,
1583308800000,0.00030432,
1583337600001,0.00032821,
1583366400000,0.00029022,
1583395200000,0.00039893,
1583424000000,0.00036018,
1583452800003,0.0003738,
1583481600000,0.0001,
1583510400000,0.0001,
1583539200000,0.0001,
1583568000001,0.0001,
1583596800000,0.00013739,
1583625600001,0.00032347,
1583654400000,0.0004582,
1583683200006,0.00037933,
1583712000000,0.0001,
1583740800000,0.00011432,
1583769600000,0.00016188,
1583798400000,0.00025018,
1583827200000,0.0001,
1583856000000,0.00025409,
1583884800001,0.0001,
1583913600000,0.00016304,
1583942400000,0.00037247,
1583971200001,0.00036391,
1584000000001,0.00054526,
1584028800000,0.0001,
1584057600000,0.0001,
1584086400000,-0.00281778,
1584115200002,-0.00027991,
1584144000000,0.0001,
1584172800001,0.0001,
1584201600000,0.0001,
1584230400000,0.0001,
1584259200000,0.0001,
1584288000001,0.0001,
1584316800000,0.0001,
1584345600000,0.0001,
1584374400001,-0.00022932,
1584403200000,0.0001,
1584432000000,0.0001,
1584460800000,0.0001,
1584489600000,0.0001,
1584518400000,0.0001,
1584547200000,0.0001,
1584576000000,0.0001,
1584604800000,0.0001,
1584633600000,0.0001,
1584662400000,0.0001,
1584691200000,0.0001,
1584720000000,0.0001,
1584748800000,0.0001,
1584777600000,0.0001,
1584806400000,0.0001,
1584835200000,0.0001,
1584864000001,0.0001,
1584892800000,0.0001,
1584921600000,0.0001,
1584950400000,0.0001,
1584979200000,0.0001,
1585008000000,0.0001,
1585036800000,0.0001,
1585065600000,0.0001,
1585094400000,0.0001,
1585123200000,0.0001,
1585152000001,0.0001,
1585180800006,0.0001,
1585209600002,0.0001,
1585238400000,0.0001,
1585267200000,0.0001,
1585296000000,0.0001,
1585324800000,0.0001,
1585353600000,0.0001,
1585382400000,-2.715e-05,
1585411200000,0.0001,
1585440000000,0.0001,
1585468800001,0.0001,
1585497600000,0.0001,
1585526400000,0.0001,
1585555200000,-9.91e-05,
1585584000000,0.0001,
1585612800000,0.0001,
1585641600001,0.0001,
1585670400001,0.0001,
1585699200002,0.0001,
1585728000000,0.0001,
1585756800001,-7.368e-05,
1585785600000,-5.17e-05,
1585814400000,0.0001,
1585843200000,0.0001,
1585872000000,0.0001,
1585900800000,0.0001,
1585929600000,0.0001,
1585958400000,4.881e-05,
1585987200000,0.0001,
1586016000000,0.0001,
1586044800001,0.0001,
1586073600000,3.554e-05,
1586102400000,0.0001,
1586131200000,0.0001,
1586160000000,7.54e-05,
1586188800000,5.027e-05,
1586217600000,-0.00014221,
1586246400000,-8.712e-05,
1586275200000,8.758e-05,
1586304000000,0.0001,
1586332800000,0.0001,
1586361600000,0.0001,
1586390400000,0.0001,
1586419200001,0.0001,
1586448000000,0.0001,
1586476800001,0.0001,
1586505600000,0.0001,
1586534400000,0.0001,
1586563200000,-6.9e-06,
1586592000000,9.267e-05,
1586620800000,0.0001,
1586649600000,0.0001,
1586678400006,1.985e-05,
1586707200001,0.0001,
1586736000001,0.0001,
1586764800000,0.0001,
1586793600000,0.0001,
1586822400000,0.0001,
1586851200000,0.0001,
1586880000000,0.0001,
1586908800000,0.0001,
1586937600000,0.0001,
1586966400000,0.0001,
1586995200000,0.0001,
1587024000000,-2.526e-05,
1587052800000,0.0001,
1587081600000,0.0001,
1587110400000,0.0001,
1587139200000,0.0001,
1587168000000,0.0001,
1587196800000,9.454e-05,
1587225600000,0.0001,
1587254400000,0.0001,
1587283200000,0.0001,
1587312000000,0.0001,
1587340800000,0.0001,
1587369600000,0.0001,
1587398400000,0.0001,
1587427200000,0.0001,
1587456000001,0.0001,
1587484800000,0.0001,
1587513600001,0.0001,
1587542400000,0.0001,
1587571200000,0.0001,
1587600000000,0.0001,
1587628800001,0.0001,
1587657600000,0.0001,
1587686400000,0.0001,
1587715200000,0.0001,
1587744000000,0.0001,
1587772800003,0.0001,
1587801600000,0.0001,
1587830400000,0.0001,
1587859200000,0.0001,
1587888000000,0.0001,
1587916800000,0.0001,
1587945600000,0.0001,
1587974400005,0.0001,
1588003200000,0.0001,
1588032000000,0.0001,
1588060800000,0.0001,
1588089600000,0.0001,
