time,funding_rate,mark_price
1578297600000,0.0001,
1578326400000,0.00487889,
1578355200000,0.00180851,
1578384000001,0.00075005,
1578412800000,0.00022266,
1578441600000,0.0001,
1578470400000,0.00139017,
1578499200001,0.00065731,
1578528000000,0.0001,
1578556800000,0.0001,
1578585600000,0.0001,
1578614400000,0.0001,
1578643200000,0.0001,
1578672000000,0.0001,
1578700800000,0.0001,
1578729600000,0.0001,
1578758400000,0.0001,
1578787200000,0.0001,
1578816000000,0.0001,
1578844800000,0.0001,
1578873600001,0.00022677,
1578902400000,0.0001,
1578931200000,0.0001,
1578960000000,0.00023193,
1578988800000,0.0001,
1579017600001,0.00058179,
1579046400000,0.00275417,
1579075200000,0.00181173,
1579104000000,0.00180187,
1579132800000,0.00109311,
1579161600000,0.0001,
1579190400000,0.0001,
1579219200000,0.0001,
1579248000000,0.0001,
1579276800000,0.0001,
1579305600001,0.0001,
1579334400001,0.0001,
1579363200000,0.00033018,
1579392000000,0.00185072,
1579420800000,0.00164121,
1579449600000,0.00087585,
1579478400000,0.00049196,
1579507200000,0.0001,
1579536000000,0.0001,
1579564800000,0.0001,
1579593600000,0.0001,
1579622400000,0.00034253,
1579651200000,0.00017282,
1579680000001,0.00013911,
1579708800000,0.0001,
1579737600000,0.00042104,
1579766400000,0.00029574,
1579795200000,0.0001,
1579824000000,0.0001,
1579852800000,0.0001,
1579881600001,0.0001,
1579910400000,0.0001,
1579939200000,0.0001,
1579968000001,0.0001,
1579996800000,0.0001,
1580025600000,0.0001,
1580054400000,0.0001,
1580083200000,0.0001,
1580112000001,0.0001,
1580140800000,0.0001,
1580169600000,0.0001,
1580198400000,0.00025437,
1580227200000,0.0002949,
1580256000001,0.00111354,
1580284800000,0.00108821,
1580313600002,0.00129547,
1580342400000,0.00104493,
1580371200000,0.0008496,
1580400000000,0.00094568,
1580428800000,0.00163247,
1580457600000,0.00139455,
1580486400000,0.00065705,
1580515200000,0.00011588,
1580544000000,0.00021319,
1580572800000,0.00034136,
1580601600000,0.00073987,
1580630400000,0.00052875,
1580659200000,0.00070499,
1580688000000,0.00076429,
1580716800000,0.0006028,
1580745600000,0.00068694,
1580774400000,0.00097581,
1580803200001,0.00065478,
1580832000000,0.00087324,
1580860800002,0.00084913,
1580889600000,0.00015617,
1580918400000,0.00055073,
1580947200000,0.00154527,
1580976000000,0.00185237,
1581004800000,0.00129262,
1581033600000,0.00121796,
1581062400000,0.00107989,
1581091200001,0.00194481,
1581120000000,0.00098417,
1581148800000,0.00031831,
1581177600000,0.00068328,
1581206400000,0.00090964,
1581235200000,0.00094769,
1581264000000,0.00123672,
1581292800000,0.00084757,
1581321600000,0.001089,
1581350400009,0.00073909,
1581379200000,0.00050019,
1581408000000,0.00063707,
1581436800000,0.000699,
1581465600000,0.0027129,
1581494400001,0.00412417,
1581523200000,0.00225375,
1581552000001,0.00260997,
1581580800000,0.00399863,
1581609600000,0.00071174,
1581638400000,0.00046998,
1581667200000,0.00065324,
1581696000000,0.00123369,
1581724800000,0.00203384,
1581753600000,0.00074374,
1581782400000,0.00092091,
1581811200000,0.0001,
1581840000000,0.00061959,
1581868800000,0.00013594,
1581897600000,0.0001,
1581926400000,0.0001,
1581955200000,0.0002768,
1581984000000,0.00032492,
1582012800000,0.00052507,
1582041600000,0.00047347,
1582070400000,0.00090213,
1582099200001,0.00063226,
1582128000000,0.00068491,
1582156800004,0.00014727,
