time,open,high,low,close,volume
1640995200000,1.3077,1.3328,1.3076,1.3291,14613670.0
1640998800000,1.3292,1.337,1.3255,1.3274,10516691.0
1641002400000,1.3274,1.3338,1.3237,1.3252,7776903.0
1641006000000,1.3252,1.3299,1.3237,1.3243,5488558.0
1641009600000,1.3245,1.3262,1.3054,1.3082,11529209.0
1641013200000,1.3082,1.3376,1.3077,1.3263,17473111.0
1641016800000,1.3263,1.3287,1.3152,1.3164,9757579.0
1641020400000,1.3165,1.3273,1.3131,1.324,6923918.0
1641024000000,1.3238,1.3292,1.321,1.3261,7235399.0
1641027600000,1.3261,1.3326,1.3191,1.3267,6632346.0
1641031200000,1.3268,1.333,1.31,1.3165,12553242.0
1641034800000,1.3167,1.3251,1.3163,1.3185,7939571.0
1641038400000,1.3184,1.333,1.3181,1.3304,8443427.0
1641042000000,1.3303,1.3386,1.3255,1.3288,12482071.0
1641045600000,1.3285,1.3352,1.3235,1.3271,6303972.0
1641049200000,1.327,1.339,1.3251,1.3327,9186386.0
1641052800000,1.3327,1.3393,1.33,1.3342,7844204.0
1641056400000,1.3342,1.3492,1.3294,1.3452,11140780.0
1641060000000,1.3451,1.3474,1.3356,1.3429,8386492.0
1641063600000,1.343,1.3477,1.3365,1.345,8727568.0
1641067200000,1.3449,1.3574,1.3434,1.3526,9485688.0
1641070800000,1.3526,1.3633,1.3489,1.3603,13033912.0
1641074400000,1.3605,1.3745,1.356,1.3711,13413136.0
1641078000000,1.3711,1.3789,1.3627,1.3781,17601226.0
1641081600000,1.3781,1.3824,1.364,1.3723,13591606.0
1641085200000,1.3724,1.3732,1.3502,1.3512,10088214.0
1641088800000,1.3512,1.3617,1.351,1.3553,7678076.0
1641092400000,1.3554,1.3595,1.3516,1.3558,5048695.0
1641096000000,1.3558,1.3703,1.342,1.3487,19478178.0
1641099600000,1.3488,1.3556,1.3455,1.3555,7287088.0
1641103200000,1.3554,1.3639,1.3494,1.3569,10186590.0
1641106800000,1.3568,1.3655,1.3512,1.3545,9271504.0
1641110400000,1.3545,1.3585,1.3477,1.3563,6646078.0
1641114000000,1.3563,1.3694,1.3536,1.3576,10614054.0
1641117600000,1.3576,1.3635,1.3555,1.3603,5849213.0
1641121200000,1.3602,1.3675,1.3594,1.3632,7526388.0
1641124800000,1.3633,1.375,1.3543,1.3669,12740204.0
1641128400000,1.367,1.3677,1.3574,1.358,7653056.0
1641132000000,1.3579,1.3662,1.3544,1.3604,6705463.0
1641135600000,1.3604,1.3728,1.359,1.369,11716025.0
1641139200000,1.369,1.3871,1.3687,1.3846,21442351.0
1641142800000,1.3844,1.3911,1.3754,1.3791,20460508.0
1641146400000,1.3788,1.3799,1.3533,1.367,22732441.0
1641150000000,1.3669,1.3732,1.3605,1.3611,10045722.0
1641153600000,1.3611,1.3657,1.3578,1.364,7900790.0
1641157200000,1.3641,1.3684,1.3595,1.3626,6341082.0
1641160800000,1.3625,1.3735,1.362,1.3706,8827659.0
1641164400000,1.3707,1.3797,1.3707,1.3769,7910259.0
1641168000000,1.3767,1.3772,1.3611,1.362,12656937.0
1641171600000,1.3619,1.3679,1.36,1.3674,7164228.0
1641175200000,1.3674,1.3674,1.351,1.3605,12296021.0
1641178800000,1.3604,1.3618,1.344,1.3504,8726191.0
1641182400000,1.3503,1.3539,1.3461,1.3478,7164797.0
1641186000000,1.348,1.36,1.3439,1.3552,10059103.0
1641189600000,1.3552,1.3558,1.3467,1.3482,6359426.0
1641193200000,1.3483,1.3527,1.346,1.3518,5466427.0
1641196800000,1.3519,1.3601,1.3513,1.3554,7709235.0
1641200400000,1.3553,1.3588,1.3476,1.3574,8128546.0
1641204000000,1.3574,1.3662,1.3566,1.3609,9642082.0
1641207600000,1.3609,1.3735,1.3608,1.3698,10203066.0
1641211200000,1.37,1.3742,1.3578,1.3602,14113678.0
1641214800000,1.3603,1.3708,1.36,1.3651,8994698.0
1641218400000,1.3652,1.3711,1.3586,1.3603,13837638.0
1641222000000,1.3604,1.3674,1.3492,1.3536,11660211.0
1641225600000,1.3536,1.3569,1.3239,1.3332,29056136.0
1641229200000,1.3331,1.3436,1.3291,1.3382,13286671.0
1641232800000,1.3382,1.3452,1.3371,1.3405,8570961.0
1641236400000,1.3404,1.3466,1.3283,1.3295,9991296.0
1641240000000,1.3294,1.3319,1.3101,1.3193,20596816.0
