time,open,high,low,close,volume
1640995200000,1.3077,1.3216,1.3076,1.3193,7962196.0
1640997000000,1.3192,1.3328,1.3175,1.3291,6651474.0
1640998800000,1.3292,1.337,1.3255,1.3332,5766227.0
1641000600000,1.3333,1.3366,1.3268,1.3274,4750464.0
1641002400000,1.3274,1.3338,1.327,1.3286,3781345.0
1641004200000,1.3287,1.3293,1.3237,1.3252,3995558.0
1641006000000,1.3252,1.3292,1.3237,1.3264,2823465.0
1641007800000,1.3264,1.3299,1.3243,1.3243,2665093.0
1641009600000,1.3245,1.3262,1.3133,1.3168,6621955.0
1641011400000,1.3168,1.318,1.3054,1.3082,4907254.0
1641013200000,1.3082,1.3337,1.3077,1.3283,6362552.0
1641015000000,1.3282,1.3376,1.3223,1.3263,11110559.0
1641016800000,1.3263,1.3287,1.3177,1.3182,5459976.0
1641018600000,1.3181,1.3231,1.3152,1.3164,4297603.0
1641020400000,1.3165,1.3191,1.3131,1.3185,3201250.0
1641022200000,1.3184,1.3273,1.3179,1.324,3722668.0
1641024000000,1.3238,1.3292,1.321,1.3274,4148621.0
1641025800000,1.3274,1.3291,1.3237,1.3261,3086778.0
1641027600000,1.3261,1.3326,1.324,1.3266,2857735.0
1641029400000,1.3267,1.3283,1.3191,1.3267,3774611.0
1641031200000,1.3268,1.333,1.3143,1.315,6285611.0
1641033000000,1.3149,1.3229,1.31,1.3165,6267631.0
1641034800000,1.3167,1.3243,1.3163,1.3206,4246856.0
1641036600000,1.3206,1.3251,1.317,1.3185,3692715.0
1641038400000,1.3184,1.3268,1.3181,1.3242,3256557.0
1641040200000,1.3241,1.333,1.3235,1.3304,5186870.0
1641042000000,1.3303,1.3386,1.33,1.3308,7707880.0
1641043800000,1.3307,1.3332,1.3255,1.3288,4774191.0
1641045600000,1.3285,1.3352,1.3282,1.3325,3003134.0
1641047400000,1.3326,1.3331,1.3235,1.3271,3300838.0
1641049200000,1.327,1.3314,1.3251,1.3311,2773317.0
1641051000000,1.3311,1.339,1.33,1.3327,6413069.0
1641052800000,1.3327,1.3393,1.33,1.337,4717671.0
1641054600000,1.337,1.3379,1.3327,1.3342,3126533.0
1641056400000,1.3342,1.3369,1.3294,1.3365,3340395.0
1641058200000,1.3365,1.3492,1.3365,1.3452,7800385.0
1641060000000,1.3451,1.3474,1.3384,1.341,5400117.0
1641061800000,1.3411,1.3431,1.3356,1.3429,2986375.0
1641063600000,1.343,1.3457,1.3365,1.3401,3781007.0
1641065400000,1.34,1.3477,1.3385,1.345,4946561.0
1641067200000,1.3449,1.3516,1.3434,1.3513,4094183.0
1641069000000,1.3513,1.3574,1.3498,1.3526,5391505.0
1641070800000,1.3526,1.3629,1.3489,1.3619,5862771.0
1641072600000,1.3618,1.3633,1.3559,1.3603,7171141.0
1641074400000,1.3605,1.3626,1.356,1.3613,5558418.0
1641076200000,1.3613,1.3745,1.3609,1.3711,7854718.0
1641078000000,1.3711,1.3747,1.3627,1.3703,11208375.0
1641079800000,1.3703,1.3789,1.3661,1.3781,6392851.0
1641081600000,1.3781,1.3824,1.364,1.3651,8790005.0
1641083400000,1.3651,1.3747,1.3642,1.3723,4801601.0
1641085200000,1.3724,1.3732,1.3611,1.3626,4525110.0
1641087000000,1.3627,1.3631,1.3502,1.3512,5563104.0
1641088800000,1.3512,1.3617,1.351,1.3553,4496408.0
1641090600000,1.3551,1.36,1.3534,1.3553,3181668.0
1641092400000,1.3554,1.3586,1.3516,1.3557,2304923.0
1641094200000,1.3558,1.3595,1.3523,1.3558,2743772.0
1641096000000,1.3558,1.3703,1.354,1.3625,6261231.0
1641097800000,1.3625,1.3686,1.342,1.3487,13216947.0
1641099600000,1.3488,1.3551,1.3455,1.3486,4378268.0
1641101400000,1.3486,1.3556,1.348,1.3555,2908820.0
1641103200000,1.3554,1.3554,1.3495,1.3513,2505635.0
1641105000000,1.3513,1.3639,1.3494,1.3569,7680955.0
1641106800000,1.3568,1.3615,1.3533,1.3582,4206371.0
1641108600000,1.3582,1.3655,1.3512,1.3545,5065133.0
1641110400000,1.3545,1.3575,1.3477,1.3551,3790758.0
1641112200000,1.3551,1.3585,1.3495,1.3563,2855320.0
1641114000000,1.3563,1.3694,1.3536,1.361,7529420.0
1641115800000,1.361,1.3639,1.3564,1.3576,3084634.0
1641117600000,1.3576,1.3615,1.3567,1.3597,2652160.0
1641119400000,1.3596,1.3635,1.3555,1.3603,3197053.0
1641121200000,1.3602,1.3675,1.3594,1.3631,4340567.0
1641123000000,1.3631,1.3671,1.3603,1.3632,3185821.0
1641124800000,1.3633,1.3655,1.3543,1.3642,6247165.0
1641126600000,1.3641,1.375,1.3636,1.3669,6493039.0
1641128400000,1.367,1.3677,1.3595,1.3641,4568011.0
1641130200000,1.3642,1.3645,1.3574,1.358,3085045.0
1641132000000,1.3579,1.3662,1.3544,1.3563,3864789.0
1641133800000,1.3563,1.3624,1.3558,1.3604,2840674.0
1641135600000,1.3604,1.3691,1.359,1.3668,5295978.0
1641137400000,1.3669,1.3728,1.3631,1.369,6420047.0
1641139200000,1.369,1.3764,1.3687,1.3733,5162257.0
1641141000000,1.3736,1.3871,1.3733,1.3846,16280094.0
1641142800000,1.3844,1.3911,1.3754,1.3831,12934444.0
1641144600000,1.383,1.3871,1.3772,1.3791,7526064.0
1641146400000,1.3788,1.3799,1.3556,1.361,11615808.0
1641148200000,1.361,1.3691,1.3533,1.367,11116633.0
1641150000000,1.3669,1.3732,1.3605,1.364,7008359.0
1641151800000,1.364,1.367,1.3606,1.3611,3037363.0
1641153600000,1.3611,1.3657,1.3578,1.3618,4327350.0
1641155400000,1.3617,1.3644,1.3578,1.364,3573440.0
1641157200000,1.3641,1.3648,1.3595,1.3614,2833557.0
1641159000000,1.3616,1.3684,1.3611,1.3626,3507525.0
1641160800000,1.3625,1.3721,1.362,1.37,5634866.0
1641162600000,1.37,1.3735,1.3688,1.3706,3192793.0
1641164400000,1.3707,1.3787,1.3707,1.3771,4309850.0
1641166200000,1.377,1.3797,1.3753,1.3769,3600409.0
1641168000000,1.3767,1.3772,1.3659,1.3675,5879325.0
1641169800000,1.3681,1.3707,1.3611,1.362,6777612.0
1641171600000,1.3619,1.367,1.36,1.3666,4288473.0
1641173400000,1.3665,1.3679,1.3613,1.3674,2875755.0
1641175200000,1.3674,1.3674,1.351,1.3565,7859114.0
1641177000000,1.3565,1.362,1.3537,1.3605,4436907.0
1641178800000,1.3604,1.3618,1.3521,1.3553,3432003.0
1641180600000,1.3553,1.3565,1.344,1.3504,5294188.0
1641182400000,1.3503,1.3538,1.3461,1.3505,3758932.0
1641184200000,1.3505,1.3539,1.3464,1.3478,3405865.0
1641186000000,1.348,1.3555,1.3439,1.3531,4365792.0
1641187800000,1.3528,1.36,1.3516,1.3552,5693311.0
1641189600000,1.3552,1.3558,1.3469,1.348,3334924.0
1641191400000,1.348,1.3535,1.3467,1.3482,3024502.0
1641193200000,1.3483,1.3503,1.346,1.3497,2660651.0
1641195000000,1.3496,1.3527,1.3481,1.3518,2805776.0
1641196800000,1.3519,1.3601,1.3513,1.3539,5405601.0
1641198600000,1.354,1.3561,1.3523,1.3554,2303634.0
1641200400000,1.3553,1.3588,1.3476,1.3506,4866172.0
1641202200000,1.3507,1.3584,1.3485,1.3574,3262374.0
1641204000000,1.3574,1.3645,1.3566,1.3604,5816118.0
1641205800000,1.3605,1.3662,1.3584,1.3609,3825964.0
1641207600000,1.3609,1.3716,1.3608,1.368,6277523.0
1641209400000,1.3682,1.3735,1.3651,1.3698,3925543.0
1641211200000,1.37,1.3742,1.3642,1.3684,7763043.0
1641213000000,1.3684,1.3685,1.3578,1.3602,6350635.0
1641214800000,1.3603,1.3708,1.36,1.3689,5798197.0
1641216600000,1.3689,1.3707,1.3637,1.3651,3196501.0
1641218400000,1.3652,1.366,1.3592,1.365,4453482.0
1641220200000,1.3651,1.3711,1.3586,1.3603,9384156.0
1641222000000,1.3604,1.3674,1.355,1.3615,5380929.0
1641223800000,1.3615,1.3622,1.3492,1.3536,6279282.0
1641225600000,1.3536,1.3569,1.3266,1.3312,18659100.0
1641227400000,1.3313,1.3361,1.3239,1.3332,10397036.0
1641229200000,1.3331,1.3436,1.3291,1.3404,7892241.0
1641231000000,1.3406,1.3427,1.3351,1.3382,5394430.0
1641232800000,1.3382,1.3452,1.3377,1.3444,5350292.0
1641234600000,1.3444,1.345,1.3371,1.3405,3220669.0
1641236400000,1.3404,1.3466,1.3362,1.3434,4794974.0
1641238200000,1.3434,1.3449,1.3283,1.3295,5196322.0
1641240000000,1.3294,1.3319,1.3101,1.3122,13383674.0
1641241800000,1.3124,1.321,1.3105,1.3193,7213142.0
1641243600000,1.3195,1.3244,1.3113,1.3198,8954803.0
1641245400000,1.3197,1.3286,1.3196,1.3244,7858806.0
1641247200000,1.3243,1.3271,1.3214,1.3269,3981235.0
1641249000000,1.3268,1.331,1.3212,1.3228,3588746.0
1641250800000,1.3229,1.3284,1.3163,1.3229,10139173.0
1641252600000,1.3228,1.3276,1.3175,1.3196,5412099.0
1641254400000,1.3196,1.3245,1.3118,1.3194,8304280.0
1641256200000,1.3191,1.321,1.2968,1.3055,14460376.0
1641258000000,1.3055,1.3107,1.2976,1.3092,6518783.0
1641259800000,1.3092,1.3092,1.2997,1.3019,4419894.0
1641261600000,1.3018,1.3069,1.295,1.3055,7309279.0
1641263400000,1.3055,1.3119,1.3026,1.3062,3839981.0
1641265200000,1.3062,1.3174,1.3016,1.3105,7274114.0
1641267000000,1.3106,1.3167,1.3092,1.3132,3757668.0
1641268800000,1.3132,1.3167,1.3097,1.3142,4278733.0
1641270600000,1.3143,1.3158,1.3052,1.3086,5453547.0
1641272400000,1.3085,1.3182,1.3061,1.3171,3201815.0
1641274200000,1.3172,1.3177,1.3072,1.3132,4523115.0
1641276000000,1.3132,1.3171,1.3097,1.3146,4666658.0
1641277800000,1.3144,1.3156,1.3111,1.315,3238243.0
1641279600000,1.3149,1.3211,1.3121,1.3192,4139913.0
1641281400000,1.319,1.3247,1.3161,1.3243,4546705.0
1641283200000,1.3244,1.3287,1.3192,1.326,6185342.0
1641285000000,1.326,1.3327,1.3186,1.322,10519683.0
1641286800000,1.3223,1.3294,1.3217,1.3234,6417202.0
1641288600000,1.3234,1.3237,1.3181,1.3205,3219547.0
1641290400000,1.3207,1.3288,1.3207,1.3277,4325809.0
1641292200000,1.3278,1.3337,1.3247,1.3316,5099584.0
1641294000000,1.3316,1.3368,1.3311,1.334,6122378.0
1641295800000,1.334,1.3423,1.3328,1.3402,6006395.0
1641297600000,1.3405,1.3432,1.3273,1.3288,8258942.0
1641299400000,1.3288,1.3391,1.3279,1.3387,5701687.0
1641301200000,1.3387,1.3431,1.3311,1.3418,6876509.0
1641303000000,1.3419,1.3442,1.3365,1.3423,6047570.0
1641304800000,1.3424,1.3484,1.3368,1.3389,7507544.0
1641306600000,1.339,1.3498,1.339,1.3462,7972025.0
1641308400000,1.3461,1.3517,1.3406,1.3455,6296224.0
1641310200000,1.3455,1.3459,1.3336,1.3368,6982219.0
1641312000000,1.3366,1.337,1.3288,1.3304,7993172.0
1641313800000,1.3306,1.3408,1.3286,1.3355,5051675.0
1641315600000,1.3356,1.3451,1.3334,1.3407,4427283.0
1641317400000,1.3407,1.3508,1.3356,1.3371,9611551.0
1641319200000,1.337,1.3457,1.3305,1.331,8973279.0
1641321000000,1.3309,1.3311,1.3011,1.3085,21520213.0
1641322800000,1.3085,1.3294,1.301,1.3171,16035405.0
1641324600000,1.317,1.3206,1.3087,1.3164,6168811.0
1641326400000,1.3163,1.3276,1.3123,1.3267,8876673.0
1641328200000,1.3267,1.3275,1.3166,1.3198,4498846.0
1641330000000,1.3196,1.3216,1.3127,1.3162,6620596.0
1641331800000,1.3161,1.323,1.3155,1.3198,3079150.0
1641333600000,1.3199,1.321,1.3141,1.3181,2888363.0
1641335400000,1.3181,1.3282,1.3181,1.328,2669393.0
1641337200000,1.3279,1.3279,1.3146,1.3208,4751588.0
1641339000000,1.3207,1.3207,1.3068,1.3093,5986822.0
1641340800000,1.3093,1.3187,1.3032,1.3135,7065706.0
1641342600000,1.3137,1.328,1.3127,1.3265,5793653.0
1641344400000,1.3265,1.3349,1.3224,1.3259,8601899.0
1641346200000,1.3258,1.327,1.3197,1.32,3854323.0
1641348000000,1.32,1.3272,1.3198,1.3239,3523383.0
1641349800000,1.3239,1.3313,1.3235,1.3269,3231523.0
1641351600000,1.3268,1.333,1.3249,1.3289,4075830.0
1641353400000,1.3287,1.3334,1.3276,1.3313,3816259.0
1641355200000,1.3314,1.3362,1.3292,1.3339,3028706.0
1641357000000,1.3339,1.3354,1.3294,1.3332,2538150.0
1641358800000,1.3333,1.3353,1.329,1.3348,2705639.0
1641360600000,1.335,1.3354,1.3283,1.3322,2597492.0
1641362400000,1.3323,1.3426,1.3302,1.3349,5661180.0
1641364200000,1.3349,1.3465,1.3342,1.3436,4311549.0
1641366000000,1.3436,1.3519,1.3384,1.3413,8864693.0
1641367800000,1.3414,1.3414,1.3362,1.3397,3802710.0
1641369600000,1.3397,1.3421,1.3343,1.3381,4556124.0
1641371400000,1.3382,1.3522,1.3378,1.3456,7570036.0
1641373200000,1.3456,1.3491,1.3433,1.3455,3816206.0
1641375000000,1.3455,1.3489,1.3421,1.3481,3826837.0
1641376800000,1.3482,1.3538,1.3441,1.3457,6254359.0
1641378600000,1.3457,1.3481,1.3421,1.3461,3691203.0
1641380400000,1.3461,1.3471,1.3315,1.3357,5540417.0
1641382200000,1.3356,1.3361,1.3232,1.329,7415089.0
1641384000000,1.329,1.3339,1.3177,1.3279,7165004.0
1641385800000,1.3278,1.3307,1.3172,1.3296,7082157.0
1641387600000,1.3297,1.3375,1.326,1.3354,5304863.0
1641389400000,1.3355,1.3377,1.3155,1.3256,9750812.0
1641391200000,1.3256,1.3288,1.322,1.3263,5346610.0
1641393000000,1.3262,1.3342,1.318,1.3308,14030685.0
1641394800000,1.3308,1.3342,1.3245,1.3293,6710734.0
1641396600000,1.3292,1.3294,1.3213,1.3275,3868076.0
1641398400000,1.3275,1.3289,1.3209,1.3284,4216664.0
1641400200000,1.3284,1.3286,1.3193,1.3201,3645617.0
1641402000000,1.3201,1.3244,1.3159,1.3198,4808222.0
1641403800000,1.3198,1.3202,1.3052,1.3068,11074540.0
1641405600000,1.3067,1.3107,1.3015,1.308,13798303.0
1641407400000,1.308,1.3163,1.306,1.3093,6329541.0
1641409200000,1.3093,1.3144,1.3,1.3065,9170020.0
1641411000000,1.3066,1.3085,1.238,1.2555,63584452.0
1641412800000,1.2555,1.2634,1.2201,1.2509,44474976.0
1641414600000,1.2509,1.2648,1.2442,1.2485,18276650.0
1641416400000,1.2486,1.2661,1.2466,1.2573,11770638.0
1641418200000,1.2574,1.2591,1.24,1.2428,16998312.0
1641420000000,1.2432,1.2491,1.2,1.2009,30363466.0
1641421800000,1.201,1.2465,1.1911,1.2347,30642885.0
1641423600000,1.2347,1.2478,1.2242,1.2408,14991414.0
1641425400000,1.2408,1.2421,1.227,1.2297,11497559.0
1641427200000,1.2297,1.2389,1.2209,1.2328,11629228.0
1641429000000,1.2329,1.2431,1.23,1.2396,6734338.0
1641430800000,1.2396,1.2437,1.2309,1.2353,7029920.0
1641432600000,1.2354,1.237,1.2224,1.2304,9516793.0
1641434400000,1.2304,1.2354,1.2208,1.2236,6543257.0
1641436200000,1.2235,1.2367,1.2221,1.2245,6666921.0
1641438000000,1.2245,1.2299,1.215,1.2189,9147701.0
1641439800000,1.2189,1.2262,1.2026,1.204,13321810.0
1641441600000,1.204,1.2209,1.2018,1.2048,11156791.0
1641443400000,1.2048,1.224,1.196,1.2196,14951727.0
1641445200000,1.2197,1.2321,1.2136,1.2281,11209679.0
1641447000000,1.2279,1.228,1.2136,1.2186,9775177.0
1641448800000,1.2189,1.2272,1.2122,1.2212,6385194.0
1641450600000,1.2213,1.2235,1.2085,1.2176,6295749.0
1641452400000,1.2176,1.2243,1.2109,1.2243,5338709.0
1641454200000,1.2242,1.2249,1.215,1.222,5227842.0
1641456000000,1.2221,1.2249,1.2115,1.2168,9178284.0
1641457800000,1.2167,1.2179,1.2059,1.2169,8568730.0
1641459600000,1.2169,1.2185,1.201,1.2037,10143024.0
1641461400000,1.2034,1.211,1.192,1.197,18322665.0
1641463200000,1.1969,1.2135,1.1967,1.2131,11834597.0
1641465000000,1.2131,1.2191,1.2074,1.213,10054998.0
1641466800000,1.213,1.2167,1.2003,1.2029,8568526.0
1641468600000,1.2029,1.2088,1.196,1.2036,9409165.0
1641470400000,1.2034,1.2081,1.185,1.1875,14305012.0
1641472200000,1.1877,1.213,1.1875,1.212,14119036.0
1641474000000,1.2121,1.2232,1.2119,1.2187,14961502.0
1641475800000,1.2188,1.2362,1.2133,1.2321,13454882.0
1641477600000,1.2321,1.2349,1.2249,1.2284,10711067.0
1641479400000,1.2285,1.2477,1.2281,1.23,23916449.0
1641481200000,1.23,1.2336,1.2192,1.2278,10508130.0
1641483000000,1.2278,1.2363,1.227,1.2318,6983371.0
1641484800000,1.2319,1.2417,1.2275,1.2304,7909267.0
1641486600000,1.2302,1.2376,1.2247,1.2354,6309450.0
1641488400000,1.2354,1.2418,1.232,1.241,5441405.0
1641490200000,1.241,1.2437,1.2362,1.2384,5183270.0
1641492000000,1.2384,1.2497,1.2368,1.2426,9737991.0
1641493800000,1.2425,1.2539,1.2389,1.2525,10259004.0
1641495600000,1.2525,1.253,1.2432,1.2435,6325194.0
1641497400000,1.2434,1.2493,1.2385,1.2459,5628527.0
1641499200000,1.246,1.2743,1.2455,1.2705,17415905.0
1641501000000,1.2705,1.2949,1.2665,1.2934,27106768.0
1641502800000,1.2934,1.2955,1.275,1.2814,17685429.0
1641504600000,1.2813,1.283,1.269,1.2717,8540397.0
1641506400000,1.2717,1.2764,1.2662,1.274,8424488.0
1641508200000,1.2739,1.2853,1.2724,1.2817,8248069.0
1641510000000,1.2817,1.2826,1.2727,1.2785,5959607.0
1641511800000,1.2785,1.2844,1.2727,1.2788,5065855.0
1641513600000,1.2788,1.2843,1.265,1.275,14639646.0
1641515400000,1.2749,1.2803,1.263,1.268,8820366.0
1641517200000,1.2681,1.278,1.26,1.2673,8898467.0
1641519000000,1.2674,1.2745,1.2639,1.2665,6024566.0
1641520800000,1.2665,1.2683,1.2568,1.2629,6780365.0
1641522600000,1.263,1.265,1.2538,1.2557,6415369.0
1641524400000,1.2557,1.2582,1.2232,1.2299,22371805.0
1641526200000,1.2298,1.2313,1.2014,1.2064,34375268.0
1641528000000,1.2064,1.2181,1.1951,1.2115,26855713.0
1641529800000,1.2115,1.2393,1.1935,1.2313,29092357.0
1641531600000,1.2314,1.235,1.2119,1.2158,17801861.0
1641533400000,1.2158,1.2227,1.2068,1.2192,15574086.0
1641535200000,1.2192,1.22,1.2065,1.2095,8165050.0
