time,funding_rate,mark_price
1640995200006,5.821e-05,
1641024000009,0.0001,
1641052800000,0.0001,
1641081600028,1.754e-05,
1641110400000,0.0001,
1641139200000,0.0001,
1641168000010,0.0001,
1641196800013,0.0001,
1641225600018,0.0001,
1641254400000,0.0001,
1641283200010,0.0001,
1641312000002,0.0001,
1641340800001,0.0001,
1641369600017,0.0001,
1641398400000,0.0001,
1641427200002,0.0001,
1641456000021,0.0001,
1641484800006,0.0001,
1641513600005,2.384e-05,
1641542400000,0.0001,
1641571200001,0.0001,
1641600000014,0.0001,
1641628800013,0.0001,
1641657600000,0.0001,
1641686400003,8.452e-05,
1641715200000,0.0001,
1641744000000,0.0001,
1641772800000,0.0001,
1641801600010,0.0001,
1641830400007,8.503e-05,
1641859200013,-2.773e-05,
1641888000004,0.0001,
1641916800000,0.0001,
1641945600012,-0.00011456,
1641974400015,5.369e-05,
1642003200000,-2.475e-05,
1642032000007,9.538e-05,
1642060800000,0.0001,
1642089600014,0.0001,
1642118400000,0.0001,
1642147200006,0.0001,
1642176000014,0.0001,
1642204800000,0.0001,
1642233600002,0.0001,
1642262400000,0.0001,
1642291200000,0.0001,
1642320000017,0.0001,
1642348800011,5.132e-05,
1642377600005,0.0001,
1642406400006,0.0001,
1642435200012,0.0001,
1642464000020,5.552e-05,
1642492800000,0.0001,
1642521600013,0.0001,
1642550400001,0.0001,
1642579200000,0.0001,
1642608000000,1.538e-05,
1642636800015,9.454e-05,
1642665600000,-4.62e-06,
1642694400000,-2.672e-05,
1642723200007,-0.00013087,
1642752000015,-8.031e-05,
1642780800000,0.0001,
1642809600017,0.0001,
1642838400003,3.95e-05,
1642867200021,-0.00020203,
1642896000026,1.043e-05,
1642924800010,-0.00018378,
1642953600009,-0.00018998,
1642982400010,3.29e-06,
1643011200000,-5.693e-05,
1643040000021,-0.0001095,
1643068800000,-0.00021411,
1643097600000,4.722e-05,
1643126400012,-0.00030196,
1643155200000,-0.00030065,
1643184000001,-0.00012947,
1643212800005,-0.00024924,
1643241600004,-7.644e-05,
1643270400004,-0.0001762,
1643299200019,-0.00027024,
1643328000000,-0.00022215,
1643356800000,-0.00010395,
1643385600025,-0.00027293,
