time,funding_rate,mark_price
1640995200006,0.0001,
1641024000009,0.0001,
1641052800000,0.0001,
1641081600028,0.0001,
1641110400000,0.0001,
1641139200000,0.0001,
1641168000010,0.0001,
1641196800013,0.0001,
1641225600018,0.0001,
1641254400000,0.0001,
1641283200010,0.0001,
1641312000002,0.0001,
1641340800001,0.0001,
1641369600017,0.0001,
1641398400000,0.0001,
1641427200002,0.0001,
1641456000021,0.0001,
1641484800006,0.0001,
1641513600005,5.564e-05,
1641542400000,0.0001,
1641571200001,0.0001,
1641600000014,0.0001,
1641628800013,0.0001,
1641657600000,0.0001,
1641686400003,9.328e-05,
1641715200000,0.0001,
1641744000000,0.0001,
1641772800000,-6.774e-05,
1641801600010,4.447e-05,
1641830400007,0.0001,
1641859200013,-4.47e-05,
1641888000004,6.871e-05,
1641916800000,0.0001,
1641945600012,-1.531e-05,
1641974400015,0.0001,
1642003200000,-1.84e-06,
1642032000007,0.0001,
1642060800000,0.0001,
1642089600014,0.0001,
1642118400000,0.0001,
1642147200006,0.0001,
1642176000014,0.0001,
1642204800000,0.0001,
1642233600002,0.0001,
1642262400000,0.0001,
1642291200000,0.0001,
1642320000017,0.0001,
1642348800011,0.0001,
1642377600005,0.0001,
1642406400006,0.0001,
1642435200012,0.0001,
1642464000020,8.591e-05,
1642492800000,0.0001,
1642521600013,0.0001,
1642550400001,0.0001,
1642579200000,0.0001,
1642608000000,0.0001,
1642636800015,0.0001,
1642665600000,0.0001,
1642694400000,0.0001,
1642723200007,1.824e-05,
1642752000015,-0.00010046,
1642780800000,0.0001,
1642809600017,0.0001,
1642838400003,0.0001,
1642867200021,-9.37e-05,
1642896000026,3.317e-05,
1642924800010,-0.00024242,
1642953600009,-0.00018388,
1642982400010,8.446e-05,
1643011200000,-0.00025863,
1643040000021,0.0001,
1643068800000,9.099e-05,
1643097600000,0.0001,
1643126400012,2.645e-05,
1643155200000,0.0001,
1643184000001,-5.691e-05,
1643212800005,-7.497e-05,
1643241600004,-6.99e-06,
1643270400004,-2.035e-05,
1643299200019,-0.00051883,
1643328000000,3.266e-05,
1643356800000,-0.00014706,
1643385600025,-0.00023195,
1643414400017,-3.335e-05,
1643443200000,-1.87e-06,
1643472000013,0.0001,
1643500800025,-4.105e-05,
1643529600009,-7.063e-05,
1643558400000,0.0001,
1643587200000,-3.554e-05,
1643616000000,-8.163e-05,
1643644800000,-0.00011606,
1643673600010,0.0001,
1643702400000,0.0001,
1643731200004,5.953e-05,
1643760000004,3.667e-05,
1643788800000,0.0001,
1643817600002,5.326e-05,
1643846400002,-6.439e-05,
1643875200000,-0.00016954,
1643904000000,-0.00022972,
1643932800018,-7.393e-05,
1643961600005,-0.00016293,
1643990400010,7.81e-05,
1644019200014,0.0001,
1644048000000,0.0001,
1644076800000,0.0001,
1644105600000,9.668e-05,
1644134400000,0.0001,
1644163200000,0.0001,
1644192000003,0.0001,
1644220800014,0.0001,
1644249600003,7.61e-06,
1644278400001,-1.89e-05,
1644307200003,-0.0013997,
1644336000002,0.0001,
1644364800000,-3.319e-05,
1644393600005,0.0001,
1644422400001,-7.69e-06,
1644451200012,-2.012e-05,
1644480000000,-1.27e-05,
1644508800006,3.991e-05,
1644537600000,0.0001,
1644566400009,0.0001,
1644595200015,3.286e-05,
1644624000020,0.0001,
1644652800001,0.0001,
1644681600007,0.0001,
1644710400022,4.764e-05,
1644739200001,-5.262e-05,
1644768000007,1.087e-05,
1644796800005,-1.35e-05,
1644825600013,7.65e-05,
1644854400019,0.0001,
1644883200012,8.633e-05,
1644912000005,-4.465e-05,
1644940800011,0.0001,
1644969600009,0.0001,
1644998400001,0.0001,
1645027200014,0.0001,
1645056000018,0.0001,
1645084800000,0.0001,
1645113600010,0.0001,
1645142400000,0.0001,
1645171200002,1.11e-06,
1645200000000,0.0001,
1645228800007,3.13e-05,
1645257600000,-6.359e-05,
1645286400023,0.0001,
1645315200001,0.0001,
1645344000003,0.0001,
1645372800001,-2.77e-06,
1645401600000,-3.05e-06,
1645430400001,-0.00018234,
1645459200005,3.084e-05,
1645488000005,-3.268e-05,
1645516800000,-6.793e-05,
1645545600000,-0.00013172,
1645574400002,0.0001,
1645603200005,-0.00012725,
1645632000010,7.33e-05,
1645660800008,0.0001,
1645689600003,-4.657e-05,
1645718400001,-2.217e-05,
1645747200000,9.48e-05,
1645776000006,2.619e-05,
1645804800001,4.088e-05,
1645833600004,4.298e-05,
1645862400004,6.736e-05,
1645891200007,1.519e-05,
1645920000012,0.0001,
1645948800000,-0.00016257,
1645977600000,-0.00016921,
1646006400000,-0.00050506,
1646035200001,-0.00027448,
1646064000002,-0.00021676,
1646092800002,0.0001,
1646121600001,0.0001,
1646150400000,0.0001,
1646179200000,0.0001,
1646208000000,0.0001,
1646236800002,0.0001,
1646265600000,5.931e-05,
1646294400000,8.065e-05,
1646323200005,0.0001,
1646352000018,2.799e-05,
1646380800000,0.0001,
1646409600000,0.0001,
1646438400006,0.0001,
1646467200004,-4.708e-05,
1646496000000,8.437e-05,
1646524800004,2.67e-05,
1646553600000,3.885e-05,
1646582400013,-6.126e-05,
1646611200008,-4.794e-05,
1646640000006,-4.122e-05,
1646668800000,0.0001,
1646697600008,2.282e-05,
1646726400002,9.741e-05,
1646755200000,0.0001,
1646784000008,5.622e-05,
1646812800000,0.0001,
1646841600004,0.0001,
1646870400000,0.0001,
1646899200017,0.0001,
1646928000000,-6.631e-05,
1646956800008,-9.803e-05,
1646985600000,0.0001,
1647014400001,0.0001,
1647043200010,-0.00016509,
1647072000001,3.061e-05,
1647100800002,-1.113e-05,
1647129600008,-2.49e-05,
1647158400000,5.006e-05,
1647187200002,-4.471e-05,
1647216000014,-0.00011809,
1647244800005,-3.535e-05,
1647273600002,0.0001,
1647302400008,-0.00017226,
1647331200000,3.063e-05,
1647360000006,0.0001,
1647388800013,0.0001,
1647417600000,5.689e-05,
1647446400008,0.0001,
1647475200004,0.0001,
1647504000000,0.0001,
1647532800004,0.0001,
1647561600000,0.0001,
1647590400000,0.0001,
1647619200017,0.0001,
1647648000008,0.0001,
1647676800015,0.0001,
1647705600000,0.0001,
1647734400000,0.0001,
1647763200001,0.0001,
1647792000002,0.0001,
