time,open,high,low,close,volume
1640995200000,511.55,517.85,511.43,517.42,29322.02
1640998800000,517.41,520.18,516.09,517.22,35162.93
1641002400000,517.22,519.35,517.22,517.9,17021.32
1641006000000,517.9,518.89,517.36,518.05,11911.58
1641009600000,518.05,518.63,514.72,514.86,22599.17
1641013200000,514.84,521.77,514.43,518.19,40672.09
1641016800000,518.19,519.15,514.6,515.1,23430.33
1641020400000,515.09,516.65,513.75,516.02,26783.22
1641024000000,516.08,517.2,515.01,516.04,21413.88
1641027600000,516.04,517.34,513.52,515.67,20304.02
1641031200000,515.71,517.05,512.35,514.29,28531.54
1641034800000,514.31,515.92,513.51,513.7,17523.29
1641038400000,513.7,517.71,513.6,516.96,19988.69
1641042000000,516.97,517.97,516.28,517.15,14860.5
1641045600000,517.14,518.3,516.1,516.46,14382.15
1641049200000,516.45,521.0,516.06,518.63,28609.17
1641052800000,518.63,525.05,517.54,521.3,63464.77
1641056400000,521.3,525.4,520.4,524.22,31074.16
1641060000000,524.22,524.99,522.41,523.18,24526.55
1641063600000,523.17,524.75,522.89,524.21,15952.93
1641067200000,524.2,527.39,524.18,525.78,29860.08
1641070800000,525.82,527.3,524.32,525.08,20989.93
1641074400000,525.08,526.34,524.22,525.45,17156.65
1641078000000,525.44,528.16,524.53,527.34,27805.13
1641081600000,527.36,527.79,524.41,525.3,30728.41
1641085200000,525.29,525.59,522.8,523.07,19195.48
1641088800000,523.08,524.65,522.7,523.19,16849.13
1641092400000,523.16,524.4,522.68,523.15,10174.0
1641096000000,523.14,523.24,518.01,519.47,33525.3
1641099600000,519.47,522.97,518.79,522.89,21321.36
1641103200000,522.89,522.89,521.07,521.22,15019.72
1641106800000,521.21,522.74,520.56,521.96,17071.04
1641110400000,521.96,522.46,519.83,521.8,15302.17
1641114000000,521.8,524.74,521.5,522.75,19258.2
1641117600000,522.74,523.57,522.28,522.63,10558.92
1641121200000,522.64,524.49,522.32,523.05,12934.68
1641124800000,523.03,524.9,521.62,523.89,19776.71
1641128400000,523.9,524.32,521.6,522.47,14517.58
1641132000000,522.47,523.88,521.81,523.51,15869.74
1641135600000,523.54,526.9,523.0,525.82,28312.66
1641139200000,525.82,532.0,525.75,531.3,59269.34
1641142800000,531.3,533.9,529.19,530.11,62010.56
1641146400000,530.11,530.39,523.29,527.32,50943.16
1641150000000,527.32,529.78,526.51,528.89,30558.38
1641153600000,528.87,530.35,528.1,529.71,18652.26
1641157200000,529.68,530.98,528.62,529.34,16901.91
1641160800000,529.31,531.65,529.31,531.22,14261.7
1641164400000,531.26,532.4,530.72,530.91,19067.44
1641168000000,530.92,531.02,527.2,527.35,22315.24
1641171600000,527.35,529.57,527.0,528.82,16895.41
1641175200000,528.84,528.85,524.63,526.07,20332.06
1641178800000,526.06,526.79,523.0,524.37,26089.8
1641182400000,524.37,525.75,523.25,523.69,21372.86
1641186000000,523.62,526.96,522.82,526.54,23552.98
1641189600000,526.55,526.66,523.26,523.67,18017.12
1641193200000,523.78,525.6,523.17,525.43,13354.55
1641196800000,525.43,526.8,525.13,526.08,16987.73
1641200400000,526.08,527.16,524.0,526.4,20542.56
1641204000000,526.42,528.86,525.85,527.79,26695.87
1641207600000,527.76,531.98,527.68,531.11,28628.05
1641211200000,531.13,532.54,529.3,529.36,31734.24
1641214800000,529.36,532.22,529.35,531.03,25173.18
1641218400000,531.04,533.0,528.1,528.96,36194.15
1641222000000,528.96,530.41,526.54,527.35,28683.91
1641225600000,527.35,528.43,520.01,520.88,72857.47
1641229200000,520.87,522.66,517.37,517.63,54570.3
1641232800000,517.62,519.37,516.5,517.3,44096.38
1641236400000,517.3,519.01,514.44,514.52,45403.3
1641240000000,514.51,515.35,510.41,512.29,86818.01
1641243600000,512.3,514.83,510.61,511.61,47454.92
1641247200000,511.62,516.46,511.25,513.02,39823.48
1641250800000,513.02,514.57,511.78,512.24,28173.37
1641254400000,512.24,513.35,508.0,509.18,59518.44
1641258000000,509.2,510.59,506.08,506.66,48126.25
1641261600000,506.66,507.73,502.0,505.63,88877.34
1641265200000,505.62,510.65,504.22,509.29,43004.36
1641268800000,509.29,510.69,507.32,507.69,32105.41
1641272400000,507.68,510.32,506.36,508.8,32572.22
1641276000000,508.8,510.48,507.6,510.4,24949.4
1641279600000,510.39,512.44,510.1,512.34,34008.76
1641283200000,512.31,513.5,511.09,512.03,35855.04
1641286800000,512.02,512.59,510.0,510.82,26335.62
1641290400000,510.82,514.45,510.03,513.73,37015.71
1641294000000,513.72,515.54,513.05,515.3,53819.86
1641297600000,515.3,517.0,512.33,515.93,57369.74
1641301200000,515.93,518.0,513.57,517.24,44723.63
1641304800000,517.29,519.85,516.28,518.31,50893.24
1641308400000,518.3,519.82,514.58,515.33,52723.33
1641312000000,515.35,515.99,512.75,515.11,56371.94
1641315600000,515.1,516.78,513.59,513.78,33371.22
1641319200000,513.79,515.66,505.79,507.65,75002.24
1641322800000,507.61,512.86,505.52,509.79,62545.75
1641326400000,509.79,512.52,509.2,510.98,28285.45
1641330000000,510.98,511.84,510.17,511.15,15735.23
1641333600000,511.15,511.24,508.03,509.94,17025.55
1641337200000,509.94,509.94,506.01,506.88,32175.47
1641340800000,506.88,510.41,505.5,510.01,33465.59
1641344400000,510.01,511.87,509.12,509.9,24997.27
1641348000000,509.9,512.49,509.83,511.82,21652.87
1641351600000,511.83,513.32,511.51,512.1,18030.22
1641355200000,512.1,512.7,511.21,512.31,18507.12
1641358800000,512.32,512.35,511.02,512.16,12750.2
1641362400000,512.16,513.69,511.71,513.6,20979.15
1641366000000,513.6,514.44,512.67,513.3,18426.7
1641369600000,513.31,514.41,511.44,513.85,28147.47
1641373200000,513.82,515.54,513.15,514.66,26167.6
1641376800000,514.66,515.92,513.62,514.47,28669.77
1641380400000,514.48,514.88,509.72,511.66,42011.9
1641384000000,511.65,512.3,508.62,510.99,36266.16
1641387600000,510.98,512.78,510.03,512.61,27282.45
1641391200000,512.61,513.31,509.65,512.56,41341.92
1641394800000,512.56,513.53,510.69,512.43,28971.89
1641398400000,512.43,512.72,510.79,511.19,23667.03
1641402000000,511.19,512.39,506.61,506.86,35932.21
1641405600000,506.91,509.68,504.0,507.7,80913.38
1641409200000,507.7,508.94,491.0,492.52,203625.57
1641412800000,492.51,494.69,480.72,484.86,242724.14
1641416400000,484.87,488.97,480.0,480.88,94601.5
1641420000000,480.86,483.55,456.2,475.95,251248.75
1641423600000,475.88,478.41,472.06,473.95,90366.78
1641427200000,474.0,475.7,468.76,472.67,103053.42
1641430800000,472.68,473.59,467.22,469.64,57291.01
1641434400000,469.57,470.58,465.11,465.98,63946.94
1641438000000,465.88,469.67,464.23,465.07,74360.24
