time,open,high,low,close,volume
1640995200000,511.55,514.38,511.43,514.24,12485.99
1640997000000,514.25,517.85,513.97,517.42,16836.03
1640998800000,517.41,520.18,516.09,519.11,20449.1
1641000600000,519.13,519.83,516.68,517.22,14713.83
1641002400000,517.22,519.35,517.22,518.31,9088.98
1641004200000,518.31,518.73,517.3,517.9,7932.34
1641006000000,517.9,518.56,517.36,518.11,5257.65
1641007800000,518.07,518.89,517.73,518.05,6653.93
1641009600000,518.05,518.63,515.45,516.7,10061.75
1641011400000,516.7,517.36,514.72,514.86,12537.42
1641013200000,514.84,520.5,514.43,520.36,21360.88
1641015000000,520.29,521.77,517.52,518.19,19311.21
1641016800000,518.19,519.15,516.41,516.48,11642.36
1641018600000,516.48,516.79,514.6,515.1,11787.97
1641020400000,515.09,515.64,513.75,514.09,13607.29
1641022200000,514.09,516.65,513.84,516.02,13175.93
1641024000000,516.08,517.2,515.01,516.82,12766.14
1641025800000,516.83,517.03,515.28,516.04,8647.74
1641027600000,516.04,517.34,515.63,516.16,8179.89
1641029400000,516.18,516.5,513.52,515.67,12124.13
1641031200000,515.71,517.05,513.51,513.71,12866.08
1641033000000,513.7,515.68,512.35,514.29,15665.46
1641034800000,514.31,515.92,514.23,515.01,8350.64
1641036600000,515.01,515.15,513.51,513.7,9172.65
1641038400000,513.7,515.82,513.6,515.49,8976.7
1641040200000,515.49,517.71,515.49,516.96,11011.99
1641042000000,516.97,517.97,516.5,516.9,9126.16
1641043800000,516.91,517.94,516.28,517.15,5734.34
1641045600000,517.14,518.3,516.52,517.49,7272.4
1641047400000,517.51,517.74,516.1,516.46,7109.75
1641049200000,516.45,518.24,516.06,518.24,8126.35
1641051000000,518.24,521.0,517.95,518.63,20482.82
1641052800000,518.63,519.79,517.54,519.39,12287.78
1641054600000,519.38,525.05,518.74,521.3,51176.99
1641056400000,521.3,522.78,520.4,521.78,10372.91
1641058200000,521.79,525.4,521.71,524.22,20701.25
1641060000000,524.22,524.69,522.7,523.27,10744.74
1641061800000,523.26,524.99,522.41,523.18,13781.81
1641063600000,523.17,524.34,522.89,523.75,8469.07
1641065400000,523.75,524.75,523.36,524.21,7483.86
1641067200000,524.2,525.94,524.18,525.87,11066.95
1641069000000,525.87,527.39,525.31,525.78,18793.13
1641070800000,525.82,527.3,525.11,525.72,9634.29
1641072600000,525.73,526.85,524.32,525.08,11355.64
1641074400000,525.08,526.26,524.22,526.2,8287.41
1641076200000,526.21,526.34,525.2,525.45,8869.24
1641078000000,525.44,526.2,524.53,525.75,12176.43
1641079800000,525.74,528.16,525.16,527.34,15628.7
1641081600000,527.36,527.79,524.41,526.34,18699.17
1641083400000,526.34,527.11,525.29,525.3,12029.24
1641085200000,525.29,525.59,524.32,524.7,10135.89
1641087000000,524.7,525.14,522.8,523.07,9059.59
1641088800000,523.08,524.55,522.7,523.0,8190.05
1641090600000,522.99,524.65,522.95,523.19,8659.08
1641092400000,523.16,524.01,522.95,523.87,4093.66
1641094200000,523.88,524.4,522.68,523.15,6080.34
1641096000000,523.14,523.24,521.92,522.52,8789.87
1641097800000,522.53,523.11,518.01,519.47,24735.43
1641099600000,519.47,521.5,518.79,521.26,12242.94
1641101400000,521.26,522.97,520.94,522.89,9078.42
1641103200000,522.89,522.89,521.4,521.62,7234.44
1641105000000,521.61,522.65,521.07,521.22,7785.28
1641106800000,521.21,522.17,520.56,521.89,7962.5
1641108600000,521.89,522.74,521.01,521.96,9108.54
1641110400000,521.96,522.05,519.83,521.8,7943.38
1641112200000,521.8,522.46,520.77,521.8,7358.79
1641114000000,521.8,524.74,521.5,523.29,12058.95
1641115800000,523.28,523.82,522.28,522.75,7199.25
1641117600000,522.74,523.57,522.28,522.91,4954.37
1641119400000,522.92,523.4,522.4,522.63,5604.55
1641121200000,522.64,523.93,522.32,523.74,6481.7
1641123000000,523.74,524.49,522.85,523.05,6452.98
1641124800000,523.03,523.3,521.62,523.3,10704.8
1641126600000,523.28,524.9,523.0,523.89,9071.91
1641128400000,523.9,524.32,522.66,524.24,6679.81
1641130200000,524.25,524.27,521.6,522.47,7837.77
1641132000000,522.47,523.88,521.81,522.43,7635.78
1641133800000,522.39,523.8,521.96,523.51,8233.96
1641135600000,523.54,525.61,523.0,524.59,11962.87
1641137400000,524.6,526.9,523.54,525.82,16349.79
1641139200000,525.82,527.83,525.75,527.59,17659.07
1641141000000,527.59,532.0,527.59,531.3,41610.27
1641142800000,531.3,533.9,529.19,531.16,45196.39
1641144600000,531.15,532.3,529.48,530.11,16814.17
1641146400000,530.11,530.39,525.24,526.24,23584.43
1641148200000,526.24,527.8,523.29,527.32,27358.73
1641150000000,527.32,528.77,526.51,527.32,16605.47
1641151800000,527.35,529.78,526.98,528.89,13952.91
1641153600000,528.87,529.99,528.1,529.89,11325.45
1641155400000,529.89,530.35,528.65,529.71,7326.81
1641157200000,529.68,530.5,528.62,529.6,8623.08
1641159000000,529.6,530.98,529.21,529.34,8278.83
1641160800000,529.31,530.52,529.31,530.52,7475.94
1641162600000,530.51,531.65,530.43,531.22,6785.76
1641164400000,531.26,532.4,530.78,531.54,11652.58
1641166200000,531.55,532.0,530.72,530.91,7414.86
1641168000000,530.92,531.02,528.54,529.9,14261.09
1641169800000,530.0,530.01,527.2,527.35,8054.15
1641171600000,527.35,529.57,527.0,528.43,10512.77
1641173400000,528.49,528.96,527.15,528.82,6382.64
1641175200000,528.84,528.85,526.03,526.99,7881.72
1641177000000,526.97,527.43,524.63,526.07,12450.34
1641178800000,526.06,526.79,524.88,525.79,10639.1
1641180600000,525.78,526.24,523.0,524.37,15450.7
1641182400000,524.37,525.75,523.86,524.53,8895.53
1641184200000,524.55,525.61,523.25,523.69,12477.33
1641186000000,523.62,525.58,522.82,524.99,11455.06
1641187800000,524.99,526.96,524.74,526.54,12097.92
1641189600000,526.55,526.66,523.83,524.14,10970.13
1641191400000,524.14,525.13,523.26,523.67,7046.99
1641193200000,523.78,524.54,523.17,524.51,6532.59
1641195000000,524.5,525.6,524.42,525.43,6821.96
1641196800000,525.43,526.8,525.26,525.72,10791.78
1641198600000,525.73,526.25,525.13,526.08,6195.95
1641200400000,526.08,527.16,524.0,524.58,11158.97
1641202200000,524.61,526.6,524.0,526.4,9383.59
1641204000000,526.42,528.22,525.85,527.22,15919.44
1641205800000,527.22,528.86,526.54,527.79,10776.43
1641207600000,527.76,531.01,527.68,530.51,16690.72
1641209400000,530.58,531.98,529.85,531.11,11937.33
1641211200000,531.13,532.54,530.0,531.69,15958.4
1641213000000,531.68,531.8,529.3,529.36,15775.84
1641214800000,529.36,532.22,529.35,531.87,16037.42
1641216600000,531.86,532.2,530.79,531.03,9135.76
1641218400000,531.04,531.8,529.51,530.49,14026.02
1641220200000,530.49,533.0,528.1,528.96,22168.13
1641222000000,528.96,530.41,527.33,529.25,16002.02
1641223800000,529.25,529.6,526.54,527.35,12681.89
1641225600000,527.35,528.43,521.25,523.25,48069.58
1641227400000,523.23,523.86,520.01,520.88,24787.89
1641229200000,520.87,522.66,519.0,521.08,25500.85
1641231000000,521.01,521.71,517.37,517.63,29069.45
1641232800000,517.62,519.37,516.52,518.14,28462.49
1641234600000,518.14,518.84,516.5,517.3,15633.89
1641236400000,517.3,519.01,514.88,517.39,27080.07
1641238200000,517.39,517.49,514.44,514.52,18323.23
1641240000000,514.51,515.35,510.8,511.25,51174.04
1641241800000,511.26,513.41,510.41,512.29,35643.97
1641243600000,512.3,513.44,510.61,512.07,25385.96
1641245400000,512.07,514.83,511.55,511.61,22068.96
