time,open,high,low,close,volume
1640995200000,0.17028,0.17223,0.17,0.17185,54712301.0
1640998800000,0.17186,0.17297,0.1715,0.1719,47974466.0
1641002400000,0.1719,0.17224,0.1715,0.17163,36951377.0
1641006000000,0.17163,0.17192,0.17131,0.17144,27181910.0
1641009600000,0.17145,0.17164,0.17009,0.17012,48012148.0
1641013200000,0.17014,0.17263,0.16959,0.17165,62945929.0
1641016800000,0.17163,0.17208,0.17086,0.17096,28153475.0
1641020400000,0.17098,0.17169,0.17054,0.1712,32024228.0
1641024000000,0.17119,0.17194,0.17096,0.17165,28772881.0
1641027600000,0.17165,0.1719,0.1706,0.17125,32171936.0
1641031200000,0.17124,0.17182,0.17007,0.17055,53326191.0
1641034800000,0.17055,0.17131,0.1704,0.17047,28270062.0
1641038400000,0.17047,0.17155,0.1704,0.1713,32167385.0
1641042000000,0.1713,0.17151,0.17084,0.17103,34794119.0
1641045600000,0.17104,0.17153,0.17064,0.17128,45252723.0
1641049200000,0.17129,0.17333,0.1712,0.17206,59867073.0
1641052800000,0.17204,0.17283,0.17174,0.17186,41052090.0
1641056400000,0.17187,0.1737,0.17186,0.17308,53338901.0
1641060000000,0.17308,0.17326,0.17231,0.17306,52888725.0
1641063600000,0.17305,0.1732,0.17221,0.17246,23089507.0
1641067200000,0.17246,0.17317,0.17244,0.1725,35069551.0
1641070800000,0.1725,0.17311,0.17197,0.17215,30993219.0
1641074400000,0.17213,0.17282,0.17183,0.17268,24261351.0
1641078000000,0.17269,0.17334,0.17227,0.17316,33633201.0
1641081600000,0.17315,0.17326,0.17205,0.17283,43955090.0
1641085200000,0.17284,0.17291,0.17213,0.17241,28751225.0
1641088800000,0.17242,0.17273,0.1721,0.17259,24376259.0
1641092400000,0.17257,0.17283,0.17231,0.1727,20404937.0
1641096000000,0.1727,0.17278,0.1704,0.17102,65316043.0
1641099600000,0.17099,0.17183,0.17069,0.17165,32677894.0
1641103200000,0.17166,0.17235,0.17134,0.17188,33580743.0
1641106800000,0.17187,0.17232,0.17167,0.17189,23990331.0
1641110400000,0.17188,0.17217,0.17122,0.17213,26213509.0
1641114000000,0.17213,0.1739,0.17199,0.17303,65399732.0
1641117600000,0.17303,0.17329,0.17229,0.1725,25978512.0
1641121200000,0.17249,0.17344,0.17242,0.17305,31007579.0
1641124800000,0.17306,0.17374,0.17228,0.17342,46590687.0
1641128400000,0.17343,0.17344,0.17246,0.17276,40807151.0
1641132000000,0.17277,0.17329,0.17244,0.17285,32111985.0
1641135600000,0.17285,0.17522,0.1728,0.17465,76789261.0
1641139200000,0.17465,0.17618,0.1746,0.17573,94318654.0
1641142800000,0.17572,0.17633,0.17384,0.17414,87299147.0
1641146400000,0.17414,0.17454,0.17217,0.17353,101149549.0
1641150000000,0.17353,0.17409,0.17304,0.17324,38055597.0
1641153600000,0.17324,0.1737,0.17281,0.17339,25015042.0
1641157200000,0.17339,0.17387,0.17308,0.17346,31795651.0
1641160800000,0.17346,0.17461,0.17345,0.17455,38298499.0
1641164400000,0.17455,0.17498,0.17411,0.17439,37538758.0
1641168000000,0.1744,0.17442,0.17311,0.17313,48447015.0
1641171600000,0.17313,0.17351,0.17249,0.17301,39057508.0
1641175200000,0.17302,0.17304,0.17152,0.17282,63074883.0
1641178800000,0.17281,0.17293,0.1713,0.17181,43795249.0
1641182400000,0.17181,0.17204,0.17079,0.17119,69731004.0
1641186000000,0.17119,0.17247,0.1711,0.17216,44881639.0
1641189600000,0.17216,0.17221,0.17126,0.17149,33596085.0
1641193200000,0.17149,0.17235,0.17126,0.17215,32785977.0
1641196800000,0.17215,0.17242,0.17183,0.17207,33587954.0
1641200400000,0.17208,0.1725,0.17113,0.17197,43187094.0
1641204000000,0.17198,0.1728,0.17188,0.17227,48869258.0
1641207600000,0.17228,0.17339,0.17225,0.17311,44335295.0
1641211200000,0.1731,0.17328,0.1722,0.17253,43531037.0
1641214800000,0.17254,0.17295,0.17245,0.17257,35693241.0
1641218400000,0.17255,0.17259,0.17084,0.17129,106213010.0
1641222000000,0.17129,0.17178,0.17,0.1704,111762924.0
1641225600000,0.1704,0.17078,0.16818,0.16983,161769550.0
1641229200000,0.16982,0.17108,0.16965,0.17031,66388054.0
1641232800000,0.1703,0.17087,0.16933,0.16968,49613598.0
1641236400000,0.16968,0.17016,0.16893,0.16908,54908120.0
1641240000000,0.16906,0.16951,0.16726,0.16875,155917196.0
1641243600000,0.16875,0.17008,0.16832,0.16928,70309661.0
1641247200000,0.16928,0.1705,0.16862,0.16987,53942672.0
1641250800000,0.16987,0.17054,0.16943,0.17022,49567543.0
1641254400000,0.17021,0.17062,0.16906,0.1695,55453485.0
1641258000000,0.1695,0.17033,0.16901,0.16906,44941466.0
1641261600000,0.16906,0.16991,0.1681,0.16927,60914270.0
1641265200000,0.16923,0.17037,0.16884,0.1698,50697695.0
1641268800000,0.16979,0.17016,0.16916,0.16934,34687118.0
1641272400000,0.16934,0.17047,0.16922,0.17018,36621900.0
1641276000000,0.17018,0.17105,0.1697,0.17081,49548593.0
