time,funding_rate,mark_price
1640995200006,0.0001,
1641024000009,0.0001,
1641052800000,0.0001,
1641081600028,0.0001,
1641110400000,0.0001,
1641139200000,0.0001,
1641168000010,0.0001,
1641196800013,0.0001,
1641225600018,0.0001,
1641254400000,0.0001,
1641283200010,0.0001,
1641312000002,0.0001,
1641340800001,0.0001,
1641369600017,0.0001,
1641398400000,0.0001,
1641427200002,-0.000283,
1641456000021,-6.991e-05,
1641484800006,8.787e-05,
1641513600005,-2.463e-05,
1641542400000,-0.00014537,
1641571200001,-9.159e-05,
1641600000014,0.0001,
1641628800013,0.0001,
1641657600000,-2.39e-05,
1641686400003,-0.00013985,
1641715200000,-4.159e-05,
1641744000000,-0.0001026,
1641772800000,-0.0002303,
1641801600010,-0.0001475,
1641830400007,-0.00037477,
1641859200013,-0.000264,
1641888000004,9.216e-05,
1641916800000,1.895e-05,
1641945600012,-1.57e-05,
1641974400015,1.363e-05,
1642003200000,-0.00014556,
1642032000007,0.0001,
1642060800000,0.0001,
1642089600014,0.0001,
1642118400000,0.0001,
1642147200006,0.0001,
1642176000014,-0.00017804,
1642204800000,0.0001,
1642233600002,0.0001,
1642262400000,0.0001,
1642291200000,0.0001,
1642320000017,0.0001,
1642348800011,0.0001,
1642377600005,0.0001,
1642406400006,0.0001,
1642435200012,0.0001,
1642464000020,0.0001,
1642492800000,0.0001,
1642521600013,0.0001,
1642550400001,5.127e-05,
1642579200000,9.778e-05,
1642608000000,0.0001,
1642636800015,0.0001,
1642665600000,0.0001,
1642694400000,0.0001,
1642723200007,-0.00020174,
1642752000015,-0.00019908,
1642780800000,6.641e-05,
1642809600017,-2.29e-06,
1642838400003,-0.00029717,
1642867200021,-0.00039253,
1642896000026,-0.00022543,
1642924800010,-0.0002059,
1642953600009,-0.00018487,
1642982400010,-1.439e-05,
1643011200000,-7.567e-05,
1643040000021,-4.654e-05,
1643068800000,-0.00016899,
1643097600000,9.235e-05,
1643126400012,-8.075e-05,
1643155200000,-0.00011949,
1643184000001,-0.00015684,
1643212800005,-4.73e-05,
1643241600004,-0.00012216,
1643270400004,-2.955e-05,
1643299200019,-3.391e-05,
1643328000000,-0.00017111,
1643356800000,-0.00011091,
1643385600025,9.832e-05,
1643414400017,-2.935e-05,
1643443200000,7.566e-05,
1643472000013,0.0001,
1643500800025,7.964e-05,
1643529600009,0.0001,
1643558400000,3.498e-05,
1643587200000,-4.692e-05,
1643616000000,-0.00015712,
1643644800000,-0.00013889,
1643673600010,8.181e-05,
1643702400000,0.0001,
1643731200004,6.27e-05,
1643760000004,7.433e-05,
1643788800000,8.686e-05,
1643817600002,0.0001,
1643846400002,-0.00013057,
1643875200000,-0.00021828,
1643904000000,3.476e-05,
1643932800018,-0.00017933,
1643961600005,-0.00022377,
1643990400010,7.199e-05,
1644019200014,0.0001,
1644048000000,0.0001,
1644076800000,0.0001,
1644105600000,0.0001,
1644134400000,0.0001,
1644163200000,6.821e-05,
1644192000003,4.035e-05,
1644220800014,0.0001,
1644249600003,0.0001,
1644278400001,7.065e-05,
1644307200003,0.0001,
1644336000002,0.0001,
1644364800000,-3.519e-05,
1644393600005,0.0001,
1644422400001,0.0001,
1644451200012,0.0001,
1644480000000,0.0001,
1644508800006,3.379e-05,
1644537600000,3.677e-05,
1644566400009,-4.601e-05,
1644595200015,0.0001,
1644624000020,-0.00019164,
1644652800001,-0.00014116,
1644681600007,0.0001,
1644710400022,-3.961e-05,
1644739200001,-8.77e-06,
1644768000007,-0.00010107,
1644796800005,-7.045e-05,
1644825600013,-2.337e-05,
1644854400019,-6.001e-05,
1644883200012,-2.76e-05,
1644912000005,-0.00016633,
1644940800011,0.0001,
1644969600009,0.0001,
1644998400001,0.0001,
1645027200014,0.0001,
1645056000018,0.0001,
1645084800000,0.0001,
1645113600010,0.0001,
1645142400000,-0.00016091,
1645171200002,-0.00010892,
1645200000000,9.731e-05,
1645228800007,-6.144e-05,
1645257600000,8.403e-05,
1645286400023,0.0001,
1645315200001,3.259e-05,
1645344000003,2.128e-05,
1645372800001,1.924e-05,
1645401600000,0.0001,
1645430400001,9.542e-05,
1645459200005,7.638e-05,
1645488000005,-8.085e-05,
1645516800000,-0.00017697,
1645545600000,-0.00014823,
1645574400002,-6.429e-05,
1645603200005,-0.00015581,
1645632000010,-4.74e-06,
1645660800008,-5.37e-05,
1645689600003,-0.00057284,
1645718400001,-0.00046992,
1645747200000,-0.00028492,
1645776000006,-0.00020103,
1645804800001,-0.00024102,
1645833600004,-0.00020415,
1645862400004,-3.51e-06,
1645891200007,4.92e-06,
1645920000012,-7.742e-05,
1645948800000,-3.639e-05,
1645977600000,-0.00012409,
1646006400000,-9.5e-07,
1646035200001,-0.00010782,
1646064000002,-6.489e-05,
1646092800002,0.0001,
1646121600001,0.0001,
1646150400000,0.0001,
1646179200000,0.0001,
1646208000000,0.0001,
1646236800002,0.0001,
1646265600000,0.0001,
1646294400000,0.0001,
1646323200005,0.0001,
1646352000018,9.433e-05,
1646380800000,4.847e-05,
1646409600000,0.0001,
1646438400006,6.715e-05,
1646467200004,-7.46e-05,
1646496000000,6.696e-05,
1646524800004,-6.82e-06,
1646553600000,-5.251e-05,
1646582400013,2.448e-05,
1646611200008,7.852e-05,
1646640000006,-4.066e-05,
1646668800000,-1.082e-05,
1646697600008,-0.00016034,
1646726400002,-2.383e-05,
1646755200000,0.0001,
1646784000008,4.662e-05,
1646812800000,9.241e-05,
1646841600004,0.0001,
1646870400000,0.0001,
1646899200017,-6.672e-05,
1646928000000,-0.00010433,
1646956800008,0.0001,
1646985600000,-1.342e-05,
1647014400001,7.11e-05,
1647043200010,0.0001,
1647072000001,0.0001,
1647100800002,0.0001,
1647129600008,0.0001,
1647158400000,-1.017e-05,
1647187200002,-4.261e-05,
1647216000014,-6.285e-05,
1647244800005,4.31e-05,
1647273600002,0.0001,
1647302400008,-6.494e-05,
1647331200000,5.012e-05,
1647360000006,9.183e-05,
1647388800013,0.0001,
1647417600000,0.0001,
1647446400008,2.198e-05,
1647475200004,0.0001,
1647504000000,0.0001,
1647532800004,0.0001,
1647561600000,0.0001,
1647590400000,0.0001,
1647619200017,0.0001,
1647648000008,0.0001,
