time,open,high,low,close,volume
1640995200000,3676.01,3705.9,3676.01,3696.81,21365.668
1640997000000,3696.81,3730.0,3693.44,3721.67,24470.252
1640998800000,3721.67,3747.78,3712.65,3736.88,26440.948
1641000600000,3736.88,3741.3,3721.71,3723.71,12778.158
1641002400000,3723.72,3735.42,3721.38,3727.76,10257.911
1641004200000,3727.77,3734.0,3721.15,3727.03,8345.299
1641006000000,3727.04,3734.62,3720.91,3727.49,6845.41
1641007800000,3727.51,3730.76,3720.56,3722.07,5768.141
1641009600000,3722.07,3726.63,3710.46,3715.63,13050.7
1641011400000,3715.62,3721.75,3706.0,3707.3,14944.765
1641013200000,3707.29,3758.99,3702.33,3749.77,31930.705
1641015000000,3749.76,3764.03,3728.0,3735.39,23423.008
1641016800000,3735.39,3742.43,3724.79,3726.71,12459.545
1641018600000,3726.99,3730.77,3706.8,3710.97,14492.861
1641020400000,3710.97,3715.73,3701.16,3707.58,12495.708
1641022200000,3707.58,3724.63,3703.52,3714.77,18857.228
1641024000000,3714.77,3725.0,3707.51,3721.16,11521.803
1641025800000,3721.15,3733.33,3715.34,3720.98,18826.678
1641027600000,3720.98,3729.88,3716.0,3721.98,12145.055
1641029400000,3721.98,3725.99,3707.59,3717.47,10884.937
1641031200000,3717.46,3731.7,3685.59,3690.5,31664.481
1641033000000,3690.51,3707.06,3671.86,3690.72,38308.668
1641034800000,3690.76,3711.62,3690.22,3706.0,14240.386
1641036600000,3705.57,3707.99,3692.0,3692.08,13191.671
1641038400000,3692.09,3708.83,3692.08,3700.48,8807.333
1641040200000,3700.48,3718.0,3700.47,3715.15,15217.865
1641042000000,3715.43,3724.26,3707.78,3713.11,13905.359
1641043800000,3713.11,3720.1,3704.48,3708.68,10192.416
1641045600000,3708.66,3712.25,3703.01,3709.15,10131.299
1641047400000,3709.15,3710.5,3690.78,3696.0,13262.757
1641049200000,3696.0,3712.74,3691.41,3711.61,9720.178
1641051000000,3711.61,3744.99,3710.37,3723.98,45565.371
1641052800000,3723.98,3747.66,3716.43,3743.02,21004.328
1641054600000,3743.01,3745.85,3723.21,3726.46,17020.408
1641056400000,3726.46,3734.99,3725.58,3732.65,8521.847
1641058200000,3732.65,3762.8,3732.56,3758.81,29991.024
1641060000000,3758.77,3765.0,3743.07,3747.19,13878.802
1641061800000,3747.19,3754.96,3737.97,3750.16,14179.108
1641063600000,3750.16,3755.9,3733.55,3742.07,9063.579
1641065400000,3742.07,3747.14,3732.99,3745.22,7790.563
1641067200000,3745.22,3751.0,3738.0,3750.01,6723.739
1641069000000,3750.0,3776.33,3748.92,3759.1,22008.193
1641070800000,3759.1,3774.51,3758.59,3760.6,12338.723
1641072600000,3760.6,3764.9,3744.12,3746.76,11659.825
1641074400000,3746.77,3753.93,3737.41,3751.99,12433.768
1641076200000,3751.99,3762.33,3750.24,3755.8,10010.823
1641078000000,3755.8,3757.34,3743.0,3753.76,10649.322
1641079800000,3753.45,3772.0,3747.64,3763.06,12833.177
1641081600000,3763.05,3768.38,3749.27,3761.54,15007.25
1641083400000,3761.55,3770.0,3757.34,3760.55,11518.772
1641085200000,3760.55,3762.24,3747.17,3752.72,9508.535
1641087000000,3752.72,3755.63,3740.48,3745.26,8573.575
1641088800000,3745.27,3752.52,3740.03,3742.0,6680.256
1641090600000,3741.99,3751.95,3740.1,3745.36,8151.41
1641092400000,3745.35,3752.0,3741.56,3751.64,5398.058
1641094200000,3751.64,3759.0,3744.51,3756.54,8295.575
1641096000000,3756.64,3759.75,3746.94,3749.49,9005.873
1641097800000,3749.49,3756.06,3714.48,3722.07,31706.143
1641099600000,3722.07,3732.27,3718.51,3728.75,12544.507
1641101400000,3728.75,3743.91,3727.12,3742.12,11957.519
1641103200000,3742.12,3747.28,3738.05,3740.18,6389.986
1641105000000,3740.19,3747.83,3735.0,3736.74,6909.199
1641106800000,3736.74,3742.58,3732.18,3740.36,5700.599
1641108600000,3740.36,3749.88,3735.75,3745.52,8085.23
1641110400000,3745.53,3747.0,3730.5,3738.38,10507.354
1641112200000,3738.37,3744.26,3733.7,3741.2,5738.865
1641114000000,3741.15,3769.25,3736.38,3754.14,21119.284
1641115800000,3754.15,3761.98,3750.02,3752.05,10075.439
1641117600000,3752.06,3757.51,3746.86,3746.89,8071.884
1641119400000,3746.88,3750.27,3738.84,3741.67,8407.211
1641121200000,3741.67,3750.88,3739.89,3749.07,7599.252
1641123000000,3749.06,3754.97,3739.93,3742.48,9117.036
1641124800000,3742.46,3742.96,3728.2,3740.98,15571.848
1641126600000,3740.98,3757.79,3738.9,3752.65,15576.443
1641128400000,3752.64,3755.94,3740.82,3752.75,10156.106
1641130200000,3752.75,3753.0,3738.75,3743.41,6399.09
1641132000000,3743.4,3754.29,3740.79,3744.23,9167.103
1641133800000,3744.22,3755.0,3744.01,3750.24,9962.03
1641135600000,3750.24,3768.58,3749.71,3760.78,21024.558
1641137400000,3760.55,3790.43,3756.59,3776.17,30672.365
1641139200000,3776.18,3793.99,3775.63,3783.47,24827.395
1641141000000,3783.47,3850.72,3783.22,3838.38,83031.567
1641142800000,3838.39,3860.0,3811.64,3823.5,62665.656
