time,open,high,low,close,volume
1640995200000,19.514,19.665,19.508,19.651,247524.08
1640997000000,19.649,20.061,19.628,19.976,495365.35
1640998800000,19.977,20.214,19.894,20.169,402903.95
1641000600000,20.17,20.203,19.953,19.987,280636.03
1641002400000,19.986,20.119,19.986,20.055,180797.33
1641004200000,20.052,20.067,19.851,19.888,220035.27
1641006000000,19.888,19.915,19.75,19.793,285238.19
1641007800000,19.792,19.812,19.737,19.77,238647.21
1641009600000,19.767,19.819,19.601,19.675,279713.53
1641011400000,19.676,19.709,19.55,19.556,153386.13
1641013200000,19.556,19.945,19.546,19.908,362025.79
1641015000000,19.899,20.001,19.748,19.796,218455.24
1641016800000,19.8,19.888,19.752,19.766,123317.4
1641018600000,19.767,19.829,19.662,19.694,166509.99
1641020400000,19.698,19.744,19.622,19.732,139541.38
1641022200000,19.733,19.893,19.719,19.8,208737.06
1641024000000,19.8,19.889,19.78,19.86,158392.11
1641025800000,19.858,19.902,19.791,19.823,187170.25
1641027600000,19.824,19.934,19.801,19.882,167691.83
1641029400000,19.885,19.903,19.712,19.772,167983.66
1641031200000,19.77,19.866,19.614,19.646,228559.0
1641033000000,19.649,19.781,19.536,19.643,274993.98
1641034800000,19.649,19.791,19.64,19.737,121961.37
1641036600000,19.737,19.742,19.604,19.608,179705.02
1641038400000,19.607,19.723,19.606,19.685,122285.66
1641040200000,19.686,19.846,19.683,19.81,167108.1
1641042000000,19.813,19.884,19.785,19.816,153044.99
1641043800000,19.809,19.843,19.737,19.794,98500.73
1641045600000,19.79,19.899,19.778,19.874,144646.12
1641047400000,19.872,19.891,19.75,19.83,177747.87
1641049200000,19.825,19.942,19.795,19.937,197736.26
1641051000000,19.939,20.103,19.916,20.042,353627.45
1641052800000,20.037,20.161,19.963,20.117,242205.07
1641054600000,20.117,20.143,20.05,20.103,197639.61
1641056400000,20.103,20.14,19.987,20.133,207260.33
1641058200000,20.133,20.347,20.131,20.316,387156.77
1641060000000,20.316,20.377,20.246,20.301,240376.48
1641061800000,20.301,20.336,20.243,20.309,150577.43
1641063600000,20.305,20.383,20.216,20.254,172059.65
1641065400000,20.255,20.268,20.167,20.201,153612.29
1641067200000,20.201,20.349,20.193,20.339,154204.08
1641069000000,20.342,20.42,20.316,20.327,189123.1
1641070800000,20.329,20.402,20.286,20.362,154130.64
1641072600000,20.362,20.427,20.313,20.366,238479.55
1641074400000,20.369,20.392,20.262,20.347,220205.23
1641076200000,20.346,20.475,20.312,20.431,264885.06
1641078000000,20.431,20.529,20.359,20.472,1078673.63
1641079800000,20.47,20.791,20.433,20.736,527711.98
1641081600000,20.738,20.837,20.559,20.826,487737.25
1641083400000,20.827,21.098,20.817,21.039,675480.11
1641085200000,21.036,21.293,21.015,21.141,433706.39
1641087000000,21.14,21.198,20.902,20.97,388627.96
1641088800000,20.972,20.988,20.831,20.868,294453.33
1641090600000,20.868,20.937,20.831,20.846,214842.81
1641092400000,20.846,21.042,20.838,21.034,259695.49
1641094200000,21.035,21.07,20.94,21.031,179551.24
1641096000000,21.025,21.059,20.97,21.042,174320.71
1641097800000,21.043,21.147,20.628,20.724,587831.58
1641099600000,20.725,20.962,20.678,20.853,438803.18
1641101400000,20.849,20.964,20.792,20.878,202717.36
1641103200000,20.882,20.882,20.758,20.793,173127.41
1641105000000,20.793,20.831,20.734,20.749,186437.6
1641106800000,20.743,20.782,20.702,20.739,172798.52
1641108600000,20.739,20.794,20.701,20.742,165895.74
1641110400000,20.742,20.915,20.7,20.839,245236.47
1641112200000,20.839,20.951,20.741,20.886,230652.82
1641114000000,20.887,21.119,20.866,20.964,337705.41
1641115800000,20.964,21.081,20.96,21.054,174218.51
1641117600000,21.054,21.087,20.969,20.976,194485.23
1641119400000,20.977,21.022,20.925,20.955,183350.99
1641121200000,20.954,21.164,20.921,21.097,367503.18
1641123000000,21.097,21.146,21.025,21.06,159193.73
1641124800000,21.059,21.079,20.902,21.039,246144.94
1641126600000,21.038,21.313,21.007,21.225,452218.8
1641128400000,21.226,21.295,21.1,21.275,319701.95
1641130200000,21.275,21.341,21.143,21.284,308904.76
1641132000000,21.285,21.447,21.18,21.218,522682.95
1641133800000,21.219,21.375,21.197,21.276,253152.12
1641135600000,21.272,21.291,21.157,21.228,289528.75
1641137400000,21.228,21.437,21.18,21.405,435010.42
1641139200000,21.406,21.842,21.398,21.825,821749.33
1641141000000,21.825,22.028,21.777,21.935,988942.5
1641142800000,21.936,22.083,21.826,21.986,905785.2
1641144600000,21.988,22.193,21.925,22.111,713753.9
1641146400000,22.113,22.148,21.763,21.858,782265.65
1641148200000,21.862,22.038,21.606,21.952,864993.12
1641150000000,21.951,22.185,21.89,22.032,748624.38
1641151800000,22.031,22.114,21.925,21.974,482667.86
1641153600000,21.977,22.091,21.906,22.02,409270.29
1641155400000,22.02,22.024,21.919,21.92,247268.71
1641157200000,21.922,21.965,21.81,21.897,397493.22
1641159000000,21.899,21.993,21.866,21.868,197526.53
1641160800000,21.866,21.944,21.775,21.866,287466.43
1641162600000,21.865,21.87,21.724,21.762,208916.04
1641164400000,21.763,21.82,21.657,21.761,336970.07
1641166200000,21.759,21.893,21.717,21.854,339784.1
1641168000000,21.852,21.929,21.745,21.781,404661.09
1641169800000,21.784,21.849,21.67,21.737,245429.49
1641171600000,21.737,21.806,21.511,21.624,458289.56
1641173400000,21.622,21.634,21.445,21.542,321306.11
1641175200000,21.541,21.541,21.341,21.427,420127.34
1641177000000,21.427,21.526,21.365,21.456,350546.5
1641178800000,21.457,21.519,21.416,21.5,211612.73
1641180600000,21.499,21.509,21.237,21.373,421493.28
1641182400000,21.372,21.439,21.302,21.34,211827.22
1641184200000,21.34,21.448,21.288,21.324,217233.45
1641186000000,21.325,21.46,21.3,21.434,219002.13
1641187800000,21.435,21.668,21.419,21.663,401803.17
1641189600000,21.659,21.676,21.541,21.569,227755.62
1641191400000,21.57,21.698,21.524,21.557,260155.91
1641193200000,21.558,21.617,21.5,21.598,170596.69
1641195000000,21.598,21.705,21.556,21.666,209366.84
1641196800000,21.669,22.049,21.663,21.934,539570.2
1641198600000,21.935,21.999,21.822,21.964,372397.96
1641200400000,21.965,22.095,21.855,21.984,443326.74
1641202200000,21.988,22.222,21.969,22.132,461466.2
1641204000000,22.131,22.328,22.064,22.268,567167.04
1641205800000,22.268,22.58,22.212,22.51,696563.82
1641207600000,22.512,22.713,22.429,22.458,617404.21
1641209400000,22.458,22.507,22.357,22.461,404987.05
1641211200000,22.46,22.488,22.312,22.371,402274.33
1641213000000,22.371,22.372,22.245,22.357,385120.36
1641214800000,22.361,22.788,22.355,22.741,706772.45
1641216600000,22.739,23.227,22.731,23.189,1813206.9
1641218400000,23.19,23.199,22.93,22.959,857550.12
1641220200000,22.956,23.147,22.801,22.868,928760.11
1641222000000,22.871,22.979,22.748,22.891,539579.88
1641223800000,22.891,22.895,22.536,22.664,720707.74
1641225600000,22.662,22.784,22.102,22.279,1293567.66
1641227400000,22.276,22.38,22.066,22.311,725241.61
1641229200000,22.309,22.777,22.253,22.665,958401.14
1641231000000,22.666,23.189,22.593,23.057,1274192.39
1641232800000,23.057,23.399,22.908,23.205,1460934.38
1641234600000,23.205,23.306,22.932,23.006,625338.46
1641236400000,23.007,23.247,22.992,23.11,572128.86
1641238200000,23.109,23.14,22.843,22.857,422917.3
1641240000000,22.857,22.969,22.432,22.475,1253984.82
1641241800000,22.476,22.655,22.364,22.549,671380.12
1641243600000,22.546,22.735,22.45,22.718,461176.43
1641245400000,22.721,22.948,22.7,22.866,521571.71
1641247200000,22.867,23.309,22.789,23.295,591041.19
1641249000000,23.295,23.685,23.162,23.37,1032279.24
1641250800000,23.369,23.475,23.218,23.449,528530.39
1641252600000,23.454,23.745,23.429,23.697,1214239.9
1641254400000,23.699,23.887,23.339,23.573,1265049.87
1641256200000,23.572,23.643,23.101,23.274,659652.21
1641258000000,23.274,23.571,23.124,23.564,711375.79
1641259800000,23.564,23.569,23.173,23.193,383403.08
1641261600000,23.191,23.262,22.861,23.058,711842.27
1641263400000,23.057,23.19,22.919,22.976,451854.19
1641265200000,22.976,23.06,22.798,22.935,542264.61
1641267000000,22.937,23.14,22.932,23.072,371593.39
1641268800000,23.07,23.163,22.927,23.158,403840.75
1641270600000,23.161,23.217,22.947,22.953,517322.15
1641272400000,22.952,23.1,22.773,23.069,452453.11
1641274200000,23.069,23.151,22.819,23.13,484273.2
1641276000000,23.13,23.419,23.0,23.396,650971.76
1641277800000,23.399,23.456,23.259,23.357,537840.98
1641279600000,23.355,23.478,23.284,23.428,370525.65
1641281400000,23.433,23.55,23.355,23.545,337604.55
1641283200000,23.546,23.736,23.45,23.611,589561.09
1641285000000,23.611,23.72,23.507,23.672,422770.62
1641286800000,23.673,23.844,23.607,23.648,469727.94
1641288600000,23.648,23.658,23.354,23.487,396597.32
1641290400000,23.488,23.671,23.402,23.603,368284.67
1641292200000,23.608,23.866,23.471,23.809,544067.03
1641294000000,23.805,23.992,23.804,23.863,651656.64
1641295800000,23.861,24.17,23.801,24.05,715889.74
1641297600000,24.051,24.124,23.771,23.796,554914.42
1641299400000,23.797,24.106,23.794,24.096,382675.96
1641301200000,24.097,24.194,23.8,24.153,561575.23
1641303000000,24.16,24.174,23.94,23.993,527492.31
1641304800000,23.993,24.15,23.841,23.902,593394.83
1641306600000,23.9,24.155,23.9,24.001,494592.76
1641308400000,24.004,24.124,23.865,23.963,491685.84
1641310200000,23.963,23.985,23.622,23.726,727184.18
