time,funding_rate,mark_price
1640995200006,0.0001,
1641024000009,0.0001,
1641052800000,0.0001,
1641081600028,0.0001,
1641110400000,0.0001,
1641139200000,0.0001,
1641168000010,0.0001,
1641196800013,0.0001,
1641225600018,0.0001,
1641254400000,0.0001,
1641283200010,0.0001,
1641312000002,0.0001,
1641340800001,0.0001,
1641369600017,0.0001,
1641398400000,0.0001,
1641427200002,0.0001,
1641456000021,0.0001,
1641484800006,0.0001,
1641513600005,0.0001,
1641542400000,0.0001,
1641571200001,0.0001,
1641600000014,0.0001,
1641628800013,0.0001,
1641657600000,0.0001,
1641686400003,0.0001,
1641715200000,0.0001,
1641744000000,0.0001,
1641772800000,0.0001,
1641801600010,0.0001,
1641830400007,0.0001,
1641859200013,0.0001,
1641888000004,0.0001,
1641916800000,0.0001,
1641945600012,0.0001,
1641974400015,0.0001,
1642003200000,0.0001,
1642032000007,0.0001,
1642060800000,0.0001,
1642089600014,0.0001,
1642118400000,0.0001,
1642147200006,0.0001,
1642176000014,0.0001,
1642204800000,0.0001,
1642233600002,0.0001,
1642262400000,0.0001,
1642291200000,0.0001,
1642320000017,0.0001,
1642348800011,0.0001,
1642377600005,0.0001,
1642406400006,0.0001,
1642435200012,0.0001,
1642464000020,0.0001,
1642492800000,0.0001,
1642521600013,0.0001,
1642550400001,0.0001,
1642579200000,0.0001,
1642608000000,0.0001,
1642636800015,0.0001,
1642665600000,0.0001,
1642694400000,0.0001,
1642723200007,0.0001,
1642752000015,0.0001,
1642780800000,4.765e-05,
1642809600017,0.0001,
1642838400003,0.0001,
1642867200021,-2.909e-05,
1642896000026,-0.00024156,
1642924800010,-0.00014168,
1642953600009,-0.00013112,
1642982400010,-3.338e-05,
1643011200000,-0.00021201,
1643040000021,0.0001,
1643068800000,-0.0001253,
1643097600000,-7.29e-06,
1643126400012,-0.00011904,
1643155200000,-0.00012652,
1643184000001,-0.00017698,
1643212800005,-0.00014955,
1643241600004,-0.00028709,
1643270400004,-0.00012589,
1643299200019,-0.00011855,
1643328000000,-7.83e-05,
1643356800000,-0.00012491,
1643385600025,-0.00022188,
1643414400017,3.439e-05,
1643443200000,5.37e-06,
1643472000013,-1.329e-05,
1643500800025,-0.0001674,
1643529600009,-5.62e-06,
1643558400000,-7.703e-05,
1643587200000,-0.00026589,
1643616000000,-0.0001549,
1643644800000,4.16e-06,
1643673600010,2.229e-05,
1643702400000,6.873e-05,
1643731200004,-0.00019965,
1643760000004,-0.00011165,
1643788800000,-3.736e-05,
1643817600002,3.5e-05,
1643846400002,-5.362e-05,
1643875200000,2.861e-05,
1643904000000,-5.058e-05,
1643932800018,-0.00033718,
1643961600005,-2.657e-05,
1643990400010,0.0001,
1644019200014,6.989e-05,
1644048000000,8.29e-05,
1644076800000,0.0001,
1644105600000,3.195e-05,
1644134400000,0.0001,
1644163200000,0.0001,
1644192000003,0.0001,
1644220800014,4.586e-05,
1644249600003,-9.025e-05,
1644278400001,-0.00025025,
1644307200003,-0.00025785,
1644336000002,0.0001,
1644364800000,-0.0001339,
1644393600005,2.718e-05,
1644422400001,9.188e-05,
1644451200012,3.246e-05,
1644480000000,-9.518e-05,
1644508800006,-0.00019747,
1644537600000,-0.00018494,
1644566400009,0.0001,
1644595200015,-9.482e-05,
1644624000020,-2.587e-05,
1644652800001,-2.009e-05,
1644681600007,-7.354e-05,
1644710400022,-0.00028416,
1644739200001,-0.00016471,
1644768000007,-0.00019993,
1644796800005,-0.00019975,
1644825600013,8.372e-05,
1644854400019,1.073e-05,
1644883200012,-3.803e-05,
1644912000005,3.362e-05,
1644940800011,-7.138e-05,
1644969600009,0.0001,
1644998400001,8.325e-05,
1645027200014,0.0001,
1645056000018,0.0001,
1645084800000,7.98e-06,
1645113600010,0.0001,
1645142400000,-0.00010135,
1645171200002,8.49e-06,
1645200000000,9.853e-05,
1645228800007,-5.937e-05,
1645257600000,1.521e-05,
1645286400023,0.0001,
1645315200001,0.0001,
1645344000003,-8.936e-05,
1645372800001,0.0001,
1645401600000,4.623e-05,
1645430400001,-1.3e-07,
1645459200005,-0.00012328,
1645488000005,-0.00023825,
1645516800000,-0.00023126,
1645545600000,-0.00025532,
1645574400002,-0.00010827,
1645603200005,-0.00023449,
1645632000010,7.735e-05,
1645660800008,3.882e-05,
1645689600003,0.0001,
1645718400001,0.0001,
1645747200000,0.0001,
1645776000006,0.0001,
1645804800001,9.4e-06,
1645833600004,-4.116e-05,
1645862400004,1.092e-05,
1645891200007,-7.933e-05,
1645920000012,1.93e-05,
1645948800000,-0.00013711,
1645977600000,3.243e-05,
1646006400000,-9.949e-05,
1646035200001,-2.105e-05,
1646064000002,0.0001,
1646092800002,0.0001,
1646121600001,0.0001,
1646150400000,0.0001,
1646179200000,0.0001,
1646208000000,0.0001,
1646236800002,0.0001,
1646265600000,0.0001,
1646294400000,0.0001,
1646323200005,0.0001,
1646352000018,0.0001,
1646380800000,5.32e-05,
1646409600000,6.822e-05,
1646438400006,0.0001,
1646467200004,-5.695e-05,
1646496000000,-7.34e-06,
1646524800004,3.146e-05,
1646553600000,0.0001,
1646582400013,6.764e-05,
1646611200008,-4.323e-05,
1646640000006,-4.775e-05,
1646668800000,6.7e-07,
1646697600008,2.814e-05,
1646726400002,0.0001,
1646755200000,0.0001,
1646784000008,-5.022e-05,
1646812800000,0.0001,
1646841600004,0.0001,
1646870400000,0.0001,
1646899200017,0.0001,
1646928000000,-6.881e-05,
1646956800008,-1.487e-05,
1646985600000,-3.858e-05,
1647014400001,7.324e-05,
1647043200010,7.735e-05,
1647072000001,9.681e-05,
1647100800002,9.897e-05,
1647129600008,0.0001,
1647158400000,0.0001,
1647187200002,3.32e-05,
1647216000014,0.0001,
1647244800005,0.0001,
1647273600002,0.0001,
1647302400008,0.0001,
1647331200000,0.0001,
1647360000006,0.0001,
1647388800013,0.0001,
1647417600000,0.0001,
1647446400008,0.0001,
1647475200004,0.0001,
1647504000000,0.0001,
1647532800004,0.0001,
1647561600000,0.0001,
1647590400000,0.0001,
1647619200017,0.0001,
1647648000008,0.0001,
1647676800015,0.0001,
1647705600000,0.0001,
1647734400000,0.0001,
1647763200001,0.0001,
1647792000002,0.0001,
1647820800013,0.0001,
