time,open,high,low,close,volume
1640995200000,0.8294,0.8358,0.8293,0.8332,7864500.5
1640997000000,0.8332,0.8397,0.8327,0.8392,7808841.3
1640998800000,0.8392,0.853,0.8313,0.8437,44246711.0
1641000600000,0.8438,0.8459,0.8382,0.8396,8994675.8
1641002400000,0.8395,0.8431,0.8393,0.8423,5835143.3
1641004200000,0.8423,0.8445,0.8391,0.8423,4774774.9
1641006000000,0.8424,0.8456,0.8421,0.8422,3492207.6
1641007800000,0.8421,0.8435,0.8405,0.841,4330865.3
1641009600000,0.8409,0.8431,0.8357,0.8376,7313567.8
1641011400000,0.8376,0.838,0.8343,0.8347,4298092.6
1641013200000,0.8347,0.8454,0.8343,0.8437,9669656.1
1641015000000,0.8437,0.8466,0.8401,0.8421,6608861.7
1641016800000,0.842,0.8451,0.8405,0.8414,4454709.0
1641018600000,0.8414,0.843,0.8365,0.8377,8209510.5
1641020400000,0.8379,0.8405,0.836,0.8383,5035176.6
1641022200000,0.8382,0.8428,0.8378,0.841,3824058.7
1641024000000,0.841,0.8425,0.8382,0.8411,4734211.7
1641025800000,0.8413,0.8423,0.8388,0.8395,3507228.2
1641027600000,0.8397,0.8441,0.8384,0.8411,4828467.9
1641029400000,0.8412,0.8427,0.8374,0.8424,6775795.4
1641031200000,0.8425,0.8444,0.8361,0.8369,7133860.2
1641033000000,0.8369,0.842,0.8345,0.8384,8755758.1
1641034800000,0.8383,0.842,0.8383,0.8403,4608856.2
1641036600000,0.8404,0.8414,0.8384,0.8387,5518914.9
1641038400000,0.8389,0.8414,0.8385,0.841,2500433.1
1641040200000,0.841,0.8445,0.8406,0.8427,5593462.3
1641042000000,0.8426,0.8455,0.8409,0.8428,7836007.6
1641043800000,0.8428,0.8431,0.8402,0.8409,3504352.3
1641045600000,0.841,0.8429,0.8402,0.8429,3946762.6
1641047400000,0.8429,0.8435,0.8396,0.84,5195576.1
1641049200000,0.84,0.8421,0.8392,0.8419,2771178.3
1641051000000,0.8419,0.845,0.8406,0.8421,7034468.3
1641052800000,0.8422,0.8475,0.8421,0.8465,6280384.3
1641054600000,0.8464,0.8473,0.844,0.8446,4850405.9
1641056400000,0.8447,0.8476,0.844,0.8471,5347024.9
1641058200000,0.847,0.8527,0.847,0.8508,14570463.2
1641060000000,0.8508,0.8524,0.849,0.8504,5562063.1
1641061800000,0.8504,0.8523,0.8484,0.8512,4993776.0
1641063600000,0.8512,0.8558,0.8496,0.8529,8850459.9
1641065400000,0.8528,0.8537,0.8495,0.852,6996607.6
1641067200000,0.8519,0.8539,0.8512,0.8516,7665484.7
1641069000000,0.8516,0.8533,0.8454,0.8458,10675586.8
1641070800000,0.8458,0.851,0.8457,0.8473,7008491.9
1641072600000,0.8473,0.8482,0.8446,0.8459,5333966.2
1641074400000,0.8459,0.8479,0.844,0.8461,5241044.7
1641076200000,0.846,0.8484,0.8452,0.847,3337816.0
1641078000000,0.8469,0.8485,0.8454,0.8461,4531247.2
1641079800000,0.8461,0.8507,0.845,0.8507,6254538.7
1641081600000,0.8507,0.851,0.8406,0.8439,12844048.6
1641083400000,0.8439,0.8473,0.8433,0.8459,5301179.9
1641085200000,0.8458,0.8461,0.8414,0.8428,5256215.4
1641087000000,0.8428,0.844,0.8405,0.8423,2976161.2
1641088800000,0.8423,0.844,0.8412,0.8419,2915058.2
1641090600000,0.8419,0.8439,0.8408,0.8432,3357226.6
1641092400000,0.8432,0.8437,0.8416,0.8434,2535597.8
1641094200000,0.8434,0.8456,0.8423,0.8435,4002191.1
1641096000000,0.8436,0.8466,0.8434,0.8454,2554416.4
1641097800000,0.8454,0.8466,0.8369,0.839,14097359.1
1641099600000,0.8389,0.8413,0.838,0.8401,5096626.6
1641101400000,0.8401,0.8434,0.84,0.8429,4226896.9
1641103200000,0.8428,0.844,0.8409,0.8422,4254142.8
1641105000000,0.8421,0.8432,0.8411,0.8414,3295421.2
1641106800000,0.8414,0.8418,0.84,0.841,2411877.4
1641108600000,0.8411,0.8433,0.8406,0.8423,4455161.4
1641110400000,0.8423,0.8431,0.8392,0.842,3959234.2
1641112200000,0.8421,0.845,0.8413,0.8436,4523122.8
1641114000000,0.8435,0.8494,0.8426,0.8458,7816278.5
1641115800000,0.8457,0.8485,0.8456,0.8472,7874729.1
1641117600000,0.8473,0.8475,0.8454,0.8462,3450149.3
1641119400000,0.8461,0.8467,0.8441,0.8442,3316184.3
1641121200000,0.8441,0.8478,0.8441,0.8469,3797760.5
1641123000000,0.8469,0.8481,0.8448,0.8452,2568010.7
1641124800000,0.8452,0.8462,0.8416,0.845,8696808.0
1641126600000,0.845,0.8488,0.8444,0.8468,7324561.7
1641128400000,0.8468,0.847,0.8444,0.8468,4931094.8
1641130200000,0.8468,0.8468,0.8436,0.845,4267402.6
1641132000000,0.8449,0.8469,0.8433,0.8442,5348713.4
1641133800000,0.8442,0.8458,0.8439,0.8455,3180220.5
1641135600000,0.8456,0.8487,0.8447,0.8483,6683520.0
1641137400000,0.8483,0.8675,0.8476,0.8558,43823397.7
1641139200000,0.8558,0.8586,0.8531,0.8576,14064092.3
1641141000000,0.8575,0.8633,0.8574,0.8612,14050188.9
1641142800000,0.8612,0.8644,0.857,0.8596,13379993.1
1641144600000,0.8596,0.8608,0.8563,0.8571,6922747.8
1641146400000,0.857,0.8573,0.8472,0.8498,14632807.7
1641148200000,0.8498,0.8525,0.845,0.8521,12822959.2
1641150000000,0.8521,0.8551,0.85,0.8511,8909816.0
1641151800000,0.8511,0.8529,0.8495,0.8511,4354132.6
1641153600000,0.8511,0.8542,0.8495,0.8524,4223122.5
1641155400000,0.8525,0.8525,0.85,0.8517,2388263.9
1641157200000,0.8517,0.8535,0.8504,0.8517,2932886.0
1641159000000,0.8518,0.8539,0.8513,0.8526,2397280.0
1641160800000,0.8526,0.8565,0.8525,0.8552,6631578.9
1641162600000,0.8552,0.8578,0.8544,0.8559,5915367.3
1641164400000,0.8558,0.8607,0.8558,0.86,7089455.3
1641166200000,0.86,0.8611,0.8578,0.8583,4261599.1
1641168000000,0.8583,0.8588,0.8543,0.855,8634717.0
1641169800000,0.8552,0.8558,0.8517,0.8522,4639068.4
1641171600000,0.8521,0.854,0.8475,0.8501,8781023.5
1641173400000,0.8502,0.8522,0.849,0.852,4383495.2
1641175200000,0.852,0.852,0.8482,0.8506,4078150.6
1641177000000,0.8507,0.8517,0.8463,0.8486,6580653.1
1641178800000,0.8485,0.8504,0.8465,0.8491,5602929.4
1641180600000,0.8492,0.8499,0.8436,0.8452,7748971.7
1641182400000,0.8453,0.8469,0.8444,0.8448,3816875.4
1641184200000,0.8448,0.8464,0.8415,0.8432,8136445.7
1641186000000,0.8432,0.8464,0.8408,0.8454,7242693.9
1641187800000,0.8454,0.8481,0.8454,0.8471,6977410.3
1641189600000,0.8471,0.8477,0.8434,0.8441,4875211.6
1641191400000,0.8441,0.8461,0.8427,0.8436,4063746.2
1641193200000,0.8436,0.8443,0.8426,0.8439,3722831.3
1641195000000,0.8439,0.8444,0.8411,0.8426,6044712.0
1641196800000,0.8427,0.8442,0.8405,0.8413,6956080.2
1641198600000,0.8414,0.8421,0.8388,0.8408,6897859.1
1641200400000,0.8408,0.8423,0.833,0.8372,17076202.7
1641202200000,0.8372,0.8385,0.835,0.8364,8738650.2
1641204000000,0.8363,0.839,0.8362,0.8384,9189611.9
1641205800000,0.8383,0.8409,0.837,0.8375,7176903.5
1641207600000,0.8376,0.8442,0.8376,0.8435,9740676.2
1641209400000,0.8436,0.8467,0.8427,0.8445,15748304.4
1641211200000,0.8445,0.8453,0.8418,0.8431,9921720.3
1641213000000,0.8431,0.8431,0.8389,0.8398,8984895.6
1641214800000,0.8399,0.8438,0.8396,0.8431,5882380.4
1641216600000,0.8431,0.8451,0.8414,0.8425,10442077.5
1641218400000,0.8425,0.8431,0.8389,0.8423,6167578.3
1641220200000,0.8423,0.8465,0.8383,0.84,13835378.4
1641222000000,0.84,0.8433,0.8382,0.8424,7947640.1
1641223800000,0.8424,0.8426,0.8369,0.8382,9527408.3
1641225600000,0.8382,0.8394,0.8246,0.8292,29764135.6
1641227400000,0.8291,0.8331,0.8268,0.8325,11911468.6
1641229200000,0.8326,0.8371,0.8308,0.8358,12319250.1
1641231000000,0.8357,0.8376,0.834,0.8349,8004113.8
1641232800000,0.8348,0.8372,0.8333,0.8365,4728619.4
1641234600000,0.8364,0.8372,0.8317,0.8332,6187120.4
1641236400000,0.8332,0.8382,0.833,0.8372,10276742.7
1641238200000,0.8371,0.8374,0.8328,0.8328,4661129.8
1641240000000,0.8327,0.8331,0.8229,0.8237,23838557.8
1641241800000,0.8237,0.8269,0.8212,0.8257,14469961.4
1641243600000,0.8256,0.8296,0.8243,0.829,8875818.2
1641245400000,0.8291,0.8319,0.828,0.8282,6619301.4
1641247200000,0.8282,0.8346,0.8272,0.8346,7297751.2
1641249000000,0.8344,0.8374,0.8315,0.8334,6253761.6
1641250800000,0.8334,0.8379,0.8276,0.8317,20778168.5
1641252600000,0.8317,0.8349,0.8307,0.8324,4736255.5
1641254400000,0.8323,0.8343,0.8288,0.8334,10585914.0
1641256200000,0.8333,0.8341,0.8255,0.8286,8405157.9
1641258000000,0.8287,0.8316,0.8264,0.83,6939427.3
1641259800000,0.83,0.8301,0.8243,0.8257,6393964.8
1641261600000,0.8258,0.8283,0.823,0.8278,7094122.1
1641263400000,0.8278,0.8292,0.8253,0.8255,4096322.2
1641265200000,0.8255,0.8285,0.823,0.8268,6369857.0
1641267000000,0.8268,0.8299,0.8264,0.8274,4767582.5
1641268800000,0.8274,0.8296,0.8251,0.8293,5463061.7
1641270600000,0.8293,0.8303,0.8259,0.8275,6189329.2
1641272400000,0.8275,0.8303,0.8262,0.8299,3664009.1
1641274200000,0.83,0.8301,0.82,0.8271,27960358.1
1641276000000,0.827,0.8279,0.8244,0.8266,8642173.1
1641277800000,0.8266,0.8273,0.824,0.8264,5395266.1
1641279600000,0.8263,0.8283,0.8255,0.8269,5954428.4
1641281400000,0.8269,0.829,0.8266,0.828,4962466.1
1641283200000,0.8279,0.8309,0.8264,0.8286,8067799.0
1641285000000,0.8286,0.8326,0.8272,0.8295,13342458.9
1641286800000,0.8295,0.8322,0.8288,0.8306,6067188.4
1641288600000,0.8306,0.8317,0.8276,0.8286,5395797.9
1641290400000,0.8287,0.832,0.8281,0.8312,4150859.1
1641292200000,0.8311,0.8344,0.8297,0.8324,9477314.6
1641294000000,0.8323,0.8369,0.8323,0.8345,10286235.3
1641295800000,0.8346,0.8373,0.8329,0.8359,7184822.1
1641297600000,0.8358,0.8366,0.8309,0.8317,7673519.9
1641299400000,0.8318,0.8356,0.8312,0.8347,15085705.5
1641301200000,0.8347,0.8369,0.8304,0.8365,10423773.0
1641303000000,0.8364,0.84,0.8343,0.8376,13975599.1
1641304800000,0.8375,0.8395,0.8356,0.8367,8440884.5
1641306600000,0.8368,0.846,0.8361,0.8419,27388541.7
1641308400000,0.8419,0.8443,0.8396,0.8411,10830610.1
1641310200000,0.8411,0.8414,0.8331,0.8354,15867337.3
1641312000000,0.8353,0.8357,0.8313,0.8325,13450638.1
1641313800000,0.8325,0.8367,0.8321,0.8345,8351064.5
1641315600000,0.8345,0.8358,0.8307,0.8308,7234215.6
1641317400000,0.8308,0.8332,0.8287,0.8296,8893289.6
1641319200000,0.8297,0.8315,0.8265,0.8268,16661832.5
1641321000000,0.8269,0.8286,0.8171,0.82,36634879.7
1641322800000,0.82,0.8283,0.8144,0.823,20421821.4
1641324600000,0.823,0.8251,0.8214,0.8251,6918984.5
1641326400000,0.8251,0.83,0.8232,0.8291,9279120.6
1641328200000,0.829,0.8293,0.826,0.8269,4208850.4
1641330000000,0.8269,0.8286,0.825,0.8265,4891145.9
1641331800000,0.8265,0.8305,0.8263,0.8285,5504155.8
1641333600000,0.8286,0.8297,0.8265,0.8286,4081977.6
1641335400000,0.8286,0.8306,0.8286,0.8298,3184696.7
1641337200000,0.8298,0.8319,0.8249,0.8299,10192661.6
1641339000000,0.8299,0.83,0.8225,0.8228,7333865.5
1641340800000,0.8228,0.828,0.8211,0.8257,9589742.5
1641342600000,0.8258,0.8302,0.8255,0.828,5443596.6
1641344400000,0.828,0.835,0.827,0.8288,10772768.4
1641346200000,0.8289,0.8297,0.8258,0.8265,4683579.5
1641348000000,0.8265,0.831,0.8262,0.8304,6784221.6
1641349800000,0.8304,0.831,0.8294,0.8294,3484639.1
1641351600000,0.8295,0.8325,0.829,0.8304,4418958.5
1641353400000,0.8305,0.8316,0.8296,0.8307,4146347.3
1641355200000,0.8307,0.8318,0.8299,0.8313,3936088.1
1641357000000,0.8313,0.8315,0.8288,0.8307,6526614.0
1641358800000,0.8307,0.8314,0.829,0.8308,6330446.2
1641360600000,0.831,0.8327,0.8294,0.832,7542445.9
1641362400000,0.832,0.8323,0.8301,0.8313,3320364.9
1641364200000,0.8313,0.8347,0.8313,0.8335,6668799.3
1641366000000,0.8336,0.8344,0.8302,0.8313,5930144.3
1641367800000,0.8313,0.8314,0.8282,0.8296,4930946.3
1641369600000,0.8295,0.8305,0.826,0.828,6930639.2
1641371400000,0.828,0.8329,0.8265,0.8313,9004862.7
1641373200000,0.8313,0.833,0.8302,0.8319,5359709.3
1641375000000,0.832,0.8345,0.8312,0.834,5293121.5
1641376800000,0.8341,0.8375,0.8314,0.8321,10970160.9
1641378600000,0.8321,0.8333,0.8304,0.8312,3753783.4
1641380400000,0.8313,0.8314,0.8282,0.8294,6491244.2
1641382200000,0.8293,0.8293,0.8241,0.8259,11263605.5
1641384000000,0.8259,0.8275,0.8208,0.8242,10729036.4
1641385800000,0.8242,0.8267,0.8206,0.8261,7908617.6
1641387600000,0.826,0.8288,0.8237,0.8277,9152545.4
1641389400000,0.8276,0.8291,0.8252,0.8277,7449526.4
1641391200000,0.8277,0.8285,0.824,0.8255,7591246.5
1641393000000,0.8254,0.831,0.8222,0.8288,20687573.9
1641394800000,0.8289,0.831,0.8261,0.8285,9243666.9
1641396600000,0.8285,0.8288,0.824,0.8279,7010480.1
1641398400000,0.8279,0.8302,0.8251,0.8299,10923393.6
1641400200000,0.8299,0.8302,0.8256,0.8263,5982457.7
1641402000000,0.8263,0.829,0.8252,0.8269,4998925.0
1641403800000,0.8269,0.8272,0.8197,0.8206,9415417.8
1641405600000,0.8207,0.8228,0.816,0.8215,21663585.2
1641407400000,0.8216,0.8259,0.8199,0.8215,8777274.9
1641409200000,0.8216,0.8235,0.8155,0.8189,15384707.8
1641411000000,0.8189,0.8204,0.79,0.7978,81860642.4
1641412800000,0.7978,0.8021,0.7777,0.7903,79551538.8
1641414600000,0.7902,0.7979,0.7876,0.7892,30145598.1
1641416400000,0.7891,0.8007,0.788,0.7949,25084160.8
1641418200000,0.7948,0.796,0.7865,0.7904,28283987.3
1641420000000,0.7903,0.7947,0.7263,0.7378,81281229.8
1641421800000,0.7375,0.7768,0.7074,0.7613,148373792.1
1641423600000,0.7613,0.7763,0.7562,0.773,48741192.0
1641425400000,0.773,0.7754,0.7677,0.7718,29793223.0
1641427200000,0.7719,0.7769,0.7665,0.7715,31061404.2
1641429000000,0.7714,0.7783,0.7695,0.7744,12816180.1
1641430800000,0.7743,0.775,0.7689,0.7704,10799789.4
1641432600000,0.7704,0.7724,0.7636,0.7707,16288593.0
1641434400000,0.7707,0.7731,0.7648,0.7667,13941602.2
1641436200000,0.7666,0.7719,0.7643,0.7655,13059742.1
1641438000000,0.7656,0.7673,0.7584,0.76,17536340.2
1641439800000,0.76,0.7616,0.7488,0.7489,20797768.0
1641441600000,0.749,0.7606,0.7489,0.7506,19489775.4
1641443400000,0.7506,0.7629,0.7464,0.7593,26279705.3
1641445200000,0.7594,0.7658,0.7548,0.7637,15654621.9
1641447000000,0.7636,0.7646,0.756,0.7604,17196873.1
1641448800000,0.7605,0.7648,0.7579,0.761,10764984.7
1641450600000,0.7609,0.7619,0.7558,0.7592,8784329.1
1641452400000,0.7592,0.7639,0.757,0.7638,9986312.4
1641454200000,0.7637,0.7645,0.7585,0.7617,7473938.7
1641456000000,0.7617,0.7624,0.7542,0.7569,12668829.4
1641457800000,0.7569,0.7573,0.7504,0.7556,16541296.9
1641459600000,0.7557,0.7563,0.7453,0.7472,15368468.2
1641461400000,0.7471,0.7497,0.7371,0.7415,26876396.0
1641463200000,0.7414,0.7496,0.7414,0.7493,22326920.6
1641465000000,0.7493,0.7554,0.7482,0.752,20852938.3
1641466800000,0.752,0.7543,0.7484,0.7491,10946882.8
1641468600000,0.7491,0.751,0.7452,0.7486,9875368.1
1641470400000,0.7486,0.7505,0.7419,0.7424,12520963.9
1641472200000,0.7426,0.7574,0.7425,0.7567,16289441.4
1641474000000,0.7568,0.7604,0.7545,0.7567,15060732.1
1641475800000,0.7567,0.7646,0.7541,0.764,16108718.7
1641477600000,0.7642,0.7646,0.756,0.7567,12286766.1
1641479400000,0.7567,0.7653,0.7565,0.7575,14695325.7
1641481200000,0.7576,0.7597,0.7534,0.758,12255628.5
1641483000000,0.758,0.7637,0.758,0.7618,9993982.6
1641484800000,0.7618,0.7686,0.7594,0.7634,15199463.0
1641486600000,0.7633,0.7673,0.7611,0.7653,9378881.5
1641488400000,0.7654,0.7681,0.7621,0.7676,10471878.6
1641490200000,0.7677,0.7693,0.7655,0.7667,8479727.2
1641492000000,0.7668,0.7732,0.7657,0.7672,13313013.3
1641493800000,0.7672,0.7737,0.7662,0.7732,8191304.7
1641495600000,0.7732,0.7788,0.7701,0.7763,17054449.7
1641497400000,0.7763,0.7816,0.7755,0.7804,10259701.9
1641499200000,0.7804,0.7866,0.7769,0.7812,17149760.3
1641501000000,0.7813,0.7814,0.7759,0.7796,10621504.8
1641502800000,0.7796,0.7872,0.7787,0.7868,13476705.5
1641504600000,0.7869,0.7903,0.7821,0.783,13277537.8
1641506400000,0.783,0.7846,0.7802,0.7827,8815397.1
1641508200000,0.7827,0.7849,0.7818,0.7833,4821770.5
1641510000000,0.7833,0.7837,0.7774,0.7804,9238517.6
1641511800000,0.7804,0.7847,0.7785,0.7787,10811373.6
1641513600000,0.7788,0.7805,0.7721,0.7747,15120111.6
1641515400000,0.7747,0.776,0.7684,0.7708,12202696.5
1641517200000,0.7708,0.7746,0.7688,0.7721,8265273.7
1641519000000,0.7721,0.7735,0.7704,0.7722,4321685.4
1641520800000,0.7721,0.773,0.7684,0.7691,5234364.9
1641522600000,0.7692,0.7699,0.7628,0.7636,9216202.1
1641524400000,0.7636,0.765,0.7478,0.7515,27085086.5
1641526200000,0.7515,0.7521,0.7377,0.7447,49860753.0
1641528000000,0.7448,0.7489,0.7304,0.7393,43583689.8
1641529800000,0.7394,0.7509,0.7281,0.7488,42668468.7
1641531600000,0.7489,0.7543,0.7457,0.7492,17642762.7
1641533400000,0.7492,0.7523,0.7465,0.7517,9811516.1
1641535200000,0.7518,0.7519,0.7438,0.7454,10976327.7
1641537000000,0.7454,0.7476,0.7411,0.7447,11722714.1
1641538800000,0.7447,0.749,0.7363,0.7489,22418024.4
1641540600000,0.7488,0.7531,0.7466,0.7519,15107600.3
1641542400000,0.7521,0.775,0.7492,0.7705,43406668.8
1641544200000,0.7706,0.7772,0.7643,0.7652,30097167.6
1641546000000,0.7652,0.772,0.7647,0.7693,10675377.8
1641547800000,0.7692,0.7745,0.769,0.7702,9496520.2
1641549600000,0.7703,0.772,0.7659,0.7661,10627329.0
1641551400000,0.7661,0.768,0.7583,0.7584,14295710.5
1641553200000,0.7584,0.7623,0.7582,0.7587,9201519.8
1641555000000,0.7587,0.7594,0.7548,0.7577,10423257.3
1641556800000,0.7577,0.7639,0.7577,0.7637,12379126.8
1641558600000,0.7636,0.7645,0.7605,0.761,6389714.9
1641560400000,0.761,0.7628,0.7552,0.7582,11666902.3
1641562200000,0.7582,0.7679,0.7345,0.748,79793049.1
1641564000000,0.7481,0.7545,0.7457,0.7539,15892723.0
1641565800000,0.754,0.7587,0.7471,0.7567,20009779.0
1641567600000,0.7567,0.7572,0.7492,0.7535,12580939.8
1641569400000,0.7534,0.7554,0.7334,0.748,52440603.0
1641571200000,0.7479,0.7668,0.743,0.7667,56680592.0
1641573000000,0.7665,0.7707,0.7605,0.7679,24462516.7
1641574800000,0.768,0.7687,0.7611,0.7642,12831315.9
1641576600000,0.7641,0.7656,0.7595,0.7655,8579440.1
1641578400000,0.7654,0.7661,0.7567,0.7574,9206870.4
1641580200000,0.7573,0.7661,0.7573,0.7625,14713553.5
1641582000000,0.7626,0.7641,0.758,0.7633,9281004.6
1641583800000,0.7633,0.7677,0.7626,0.7647,7112419.7
1641585600000,0.7648,0.7682,0.76,0.7615,6142078.2
1641587400000,0.7616,0.7665,0.7608,0.7637,6350721.1
1641589200000,0.7636,0.7652,0.7608,0.7613,4513339.2
1641591000000,0.7613,0.7784,0.7607,0.7679,29947372.6
1641592800000,0.7678,0.768,0.7624,0.7643,8448540.9
1641594600000,0.7643,0.7644,0.7576,0.7616,8229164.3
1641596400000,0.7616,0.7637,0.7577,0.7609,8151138.2
1641598200000,0.7608,0.7649,0.7594,0.7634,6261107.1
1641600000000,0.7636,0.7699,0.7612,0.7677,9313788.4
1641601800000,0.7677,0.7739,0.7642,0.7715,9195457.2
1641603600000,0.7715,0.7751,0.7694,0.7715,9836080.2
1641605400000,0.7715,0.775,0.7699,0.7699,8567624.3
1641607200000,0.77,0.7711,0.7664,0.7671,6204932.5
1641609000000,0.7671,0.7684,0.7635,0.7677,7939290.0
1641610800000,0.7677,0.7689,0.7619,0.7646,11223309.4
1641612600000,0.7645,0.7697,0.7628,0.7682,4166161.1
1641614400000,0.7683,0.7707,0.7668,0.7688,5914779.7
1641616200000,0.7687,0.7724,0.7667,0.7712,4795669.2
1641618000000,0.7712,0.772,0.7687,0.7718,3368904.9
1641619800000,0.7717,0.773,0.7692,0.7725,4306768.0
1641621600000,0.7726,0.7727,0.7696,0.7704,3479424.2
1641623400000,0.7705,0.7743,0.7675,0.7738,6034475.1
1641625200000,0.774,0.7756,0.7723,0.7732,6148647.7
1641627000000,0.7732,0.7748,0.7694,0.7716,10251847.9
1641628800000,0.7716,0.7768,0.771,0.7711,9001413.0
1641630600000,0.7712,0.7727,0.7692,0.7703,5953580.4
