time,open,high,low,close,volume
1770719400000,2017.5,2017.5,2012.3,2013.3,3751.7721
1770721200000,2013.3,2017.1,2010.0,2016.6,1988.369
1770723000000,2016.6,2021.7,1999.7,2001.9,30648.7454
1770724800000,2002.0,2016.3,2002.0,2013.7,10075.5932
1770726600000,2013.6,2016.5,2001.7,2007.3,4529.345
1770728400000,2007.2,2015.8,1995.7,2012.9,11954.8355
1770730200000,2012.8,2026.9,2010.4,2021.7,10000.1812
1770732000000,2021.6,2039.1,2013.6,2026.9,22055.2587
1770733800000,2026.8,2034.7,1987.5,2009.2,110181.3261
1770735600000,2009.0,2027.2,2002.8,2021.1,37934.39
1770737400000,2021.0,2029.0,2016.3,2021.7,11026.8631
1770739200000,2022.1,2036.7,2011.7,2026.5,17823.4036
1770741000000,2026.4,2035.8,2021.2,2025.5,15377.957
1770742800000,2025.3,2035.9,2019.1,2030.0,5426.3618
1770744600000,2030.3,2046.0,2029.2,2039.3,11900.6364
1770746400000,2039.4,2041.9,2003.3,2006.5,18992.2783
1770748200000,2006.1,2015.0,1994.9,2008.5,29496.4399
1770750000000,2008.5,2014.2,2003.0,2009.7,14734.5514
1770751800000,2010.0,2025.3,2008.9,2017.0,15720.5187
1770753600000,2017.1,2020.4,2006.6,2008.8,8550.8745
1770755400000,2008.5,2015.3,2004.1,2009.9,12128.4355
1770757200000,2010.4,2017.1,2006.4,2006.7,5979.0795
1770759000000,2006.4,2009.5,1996.1,2007.6,15996.744
1770760800000,2007.8,2014.3,2006.2,2014.0,3880.0893
1770762600000,2014.0,2020.0,2011.0,2017.2,14427.6649
1770764400000,2017.1,2017.2,2011.8,2013.2,2809.2018
1770766200000,2013.1,2022.0,2012.0,2021.9,2294.9084
1770768000000,2021.9,2028.7,2018.4,2026.4,2967.4137
1770769800000,2026.4,2026.9,2019.5,2024.8,4301.6224
1770771600000,2024.7,2030.0,2016.8,2016.8,6942.2305
1770773400000,2017.3,2027.3,2015.6,2023.2,3282.6073
1770775200000,2023.4,2031.3,2023.4,2028.9,5979.5577
1770777000000,2028.9,2030.0,2013.4,2016.3,3497.0385
1770778800000,2016.8,2018.0,1996.7,2010.7,10206.2615
1770780600000,2010.5,2020.6,2008.4,2008.6,5085.0355
1770782400000,2008.6,2010.4,1978.4,1983.1,16285.8388
1770784200000,1983.5,1986.3,1962.6,1970.5,21133.3383
1770786000000,1970.6,1980.3,1970.6,1978.5,6904.4361
1770787800000,1978.1,1979.2,1970.7,1973.6,6604.1528
1770789600000,1973.6,1976.5,1938.6,1958.0,27394.2474
1770791400000,1957.9,1960.3,1942.5,1947.9,21782.607
1770793200000,1947.8,1956.3,1944.2,1951.4,7664.0949
1770795000000,1951.1,1957.5,1948.1,1949.7,5900.1168
1770796800000,1950.0,1952.2,1935.9,1947.3,9079.7931
1770798600000,1947.1,1951.9,1944.1,1949.7,4163.3422
1770800400000,1949.3,1953.4,1945.6,1950.1,2095.8787
1770802200000,1950.6,1952.9,1942.2,1945.8,1821.4562
1770804000000,1945.8,1946.0,1937.2,1944.4,3778.0825
1770805800000,1944.6,1945.1,1931.0,1938.3,4876.4574
1770807600000,1937.9,1953.1,1936.4,1950.6,9923.2753
1770809400000,1950.4,1955.4,1946.9,1952.7,4166.8036
1770811200000,1952.8,1965.8,1950.4,1959.1,17564.6668
1770813000000,1959.2,1959.6,1947.5,1951.1,10347.6605
1770814800000,1951.0,1953.6,1941.7,1948.1,5727.5167
1770816600000,1948.1,1967.2,1942.0,1959.4,33736.4674
1770818400000,1959.4,2014.6,1958.5,1986.8,47175.0488
1770820200000,1986.9,1995.0,1936.7,1942.4,54647.0104
1770822000000,1942.0,1948.7,1902.0,1920.8,63254.9116
1770823800000,1921.2,1938.6,1916.2,1928.2,16812.6537
1770825600000,1928.0,1955.1,1927.2,1935.0,23287.3188
1770827400000,1935.2,1939.7,1909.3,1914.2,19226.053
1770829200000,1914.2,1934.6,1908.2,1931.5,16726.5424
1770831000000,1931.5,1941.6,1928.7,1929.1,13056.6741
1770832800000,1928.8,1943.2,1915.1,1936.9,20073.0219
1770834600000,1936.9,1948.0,1933.1,1943.4,11459.7476
1770836400000,1943.4,1957.7,1939.6,1943.1,17924.2266
1770838200000,1943.2,1958.6,1937.4,1951.3,19196.6164
1770840000000,1951.2,1957.7,1939.2,1940.9,7685.2029
1770841800000,1941.0,1957.5,1940.3,1952.7,5220.5799
1770843600000,1953.1,1976.6,1950.2,1973.8,16686.2123
1770845400000,1973.9,1987.0,1968.1,1969.2,19006.8599
1770847200000,1969.4,1972.2,1953.3,1959.0,21904.273
1770849000000,1959.2,1962.4,1946.8,1950.5,10361.9299
1770850800000,1950.6,1955.6,1931.1,1935.5,14828.1054
1770852600000,1935.5,1944.0,1932.0,1941.5,5649.0149
1770854400000,1941.4,1954.1,1940.0,1950.4,10183.3766
1770856200000,1951.2,1962.2,1950.4,1958.0,5446.329
1770858000000,1958.1,1972.7,1958.1,1968.6,3205.6922
1770859800000,1968.9,1976.9,1964.0,1964.3,3006.2791
1770861600000,1964.6,1970.4,1954.7,1961.4,5495.0947
1770863400000,1961.4,1969.2,1957.0,1957.5,7059.178
1770865200000,1957.7,1964.1,1956.0,1961.3,2014.6985
1770867000000,1961.2,1968.4,1959.7,1968.0,889.0593
1770868800000,1967.7,1974.0,1962.3,1963.1,7046.2084
1770870600000,1963.0,1974.9,1959.4,1965.1,18289.4864
1770872400000,1965.1,1969.2,1952.2,1960.9,14229.6094
1770874200000,1960.7,1971.4,1959.5,1969.8,11881.9819
1770876000000,1969.5,1982.1,1964.8,1978.7,9046.5804
1770877800000,1978.6,1980.2,1969.9,1973.9,14158.4912
1770879600000,1973.9,1977.7,1965.3,1975.1,11380.8144
1770881400000,1975.1,1975.2,1967.1,1967.3,4166.1609
1770883200000,1967.4,1972.9,1956.7,1958.6,5023.1106
1770885000000,1958.7,1966.1,1957.6,1964.6,1346.2263
1770886800000,1964.7,1976.0,1962.6,1975.6,2580.5409
1770888600000,1975.6,1989.7,1973.4,1981.8,15102.2194
1770890400000,1981.7,1987.8,1976.8,1982.0,3095.5079
1770892200000,1982.1,1994.7,1980.3,1993.4,4716.506
1770894000000,1993.4,2000.0,1983.2,1997.9,9415.0809
1770895800000,1997.7,2000.0,1988.0,1988.6,2982.9718
1770897600000,1988.5,1990.2,1980.0,1983.8,3181.9022
1770899400000,1983.8,1986.4,1974.3,1979.8,2749.0777
1770901200000,1979.8,1987.2,1974.3,1980.3,4826.3458
1770903000000,1980.4,1995.6,1979.1,1994.3,2942.4039
1770904800000,1994.3,1995.0,1980.1,1985.6,5396.6792
1770906600000,1985.5,1993.8,1972.5,1977.6,12998.985
1770908400000,1977.7,1983.7,1952.6,1973.3,22866.6074
1770910200000,1973.2,1976.2,1943.7,1947.6,18786.1127
1770912000000,1947.8,1948.6,1902.7,1907.8,42178.1828
1770913800000,1907.5,1922.0,1896.7,1907.9,32255.7604
1770915600000,1907.9,1920.6,1902.0,1914.5,23959.2849
1770917400000,1914.7,1926.2,1906.7,1909.2,15622.2814
1770919200000,1909.5,1920.8,1902.3,1907.0,16077.0625
1770921000000,1907.1,1924.1,1900.8,1917.9,12086.7267
1770922800000,1917.9,1936.0,1911.0,1930.3,7925.2276
1770924600000,1930.0,1940.0,1923.2,1924.5,7354.3498
1770926400000,1924.4,1931.2,1916.0,1917.6,9129.583
1770928200000,1917.6,1923.3,1908.2,1914.9,7503.8499
1770930000000,1914.9,1924.2,1913.4,1919.7,3199.1202
1770931800000,1919.8,1926.8,1918.1,1922.5,2690.8491
1770933600000,1922.5,1928.0,1919.4,1927.9,1709.9423
1770935400000,1927.9,1945.2,1927.0,1942.4,8940.5009
1770937200000,1942.3,1952.0,1939.2,1947.4,4190.928
1770939000000,1947.4,1951.7,1943.4,1946.9,4411.9486
1770940800000,1946.9,1953.6,1933.4,1934.1,3693.3631
1770942600000,1934.2,1938.9,1927.1,1932.4,1368.8858
1770944400000,1932.4,1945.2,1932.4,1939.9,3761.917
1770946200000,1940.2,1949.0,1938.9,1942.5,4210.6569
1770948000000,1942.6,1948.4,1940.9,1945.4,4618.7079
1770949800000,1945.4,1950.9,1939.9,1947.5,3361.1201
1770951600000,1947.5,1950.5,1943.4,1950.5,9555.5642
1770953400000,1950.6,1958.3,1949.1,1952.3,6099.3709
1770955200000,1952.4,1954.6,1947.5,1949.7,7265.7519
1770957000000,1949.9,1951.5,1942.5,1943.5,12752.7128
1770958800000,1943.6,1945.8,1934.3,1938.1,5243.0459
1770960600000,1938.1,1943.8,1932.4,1933.1,9129.5524
1770962400000,1933.0,1938.2,1927.1,1929.9,3686.0042
1770964200000,1929.9,1936.7,1923.4,1935.5,9253.8969
1770966000000,1935.5,1947.6,1934.9,1944.9,4689.1298
1770967800000,1944.8,1944.9,1931.5,1934.7,8079.5531
1770969600000,1934.7,1947.2,1933.0,1944.5,21664.5656
1770971400000,1944.3,1963.5,1943.4,1958.3,6725.3959
1770973200000,1958.4,1962.0,1952.1,1959.7,10843.6552
1770975000000,1959.7,1965.6,1959.1,1961.4,1927.6015
1770976800000,1961.4,1968.0,1956.2,1957.4,8573.3031
1770978600000,1957.7,1962.6,1955.8,1958.3,1826.7233
1770980400000,1958.5,1959.0,1952.2,1955.2,6296.7496
1770982200000,1955.4,1961.2,1945.4,1959.4,10102.2165
1770984000000,1959.4,1962.3,1951.8,1961.7,3018.082
1770985800000,1961.7,1963.6,1958.0,1959.9,1305.4967
1770987600000,1959.9,1972.2,1955.5,1968.0,7516.7424
1770989400000,1967.9,1980.0,1964.9,1969.8,14317.3138
1770991200000,1969.6,1975.8,1962.2,1974.8,7352.6349
1770993000000,1974.9,2000.0,1966.6,1989.5,61355.072
1770994800000,1989.5,2039.9,1986.5,2038.8,46392.1272
1770996600000,2038.8,2049.7,2023.6,2034.3,27241.7187
1770998400000,2034.3,2061.2,2030.9,2055.2,43457.8379
1771000200000,2055.2,2071.1,2053.7,2060.2,28765.3825
1771002000000,2060.3,2060.9,2048.7,2057.1,16119.732
1771003800000,2056.9,2066.5,2056.5,2058.2,6535.6264
1771005600000,2058.3,2060.4,2049.4,2054.1,12987.311
1771007400000,2054.5,2063.2,2052.7,2056.4,6751.2068
1771009200000,2056.5,2060.7,2053.4,2053.5,5620.2494
1771011000000,2053.5,2060.7,2051.4,2056.7,7541.9825
1771012800000,2056.9,2058.6,2042.8,2044.5,11840.6944
1771014600000,2044.7,2049.2,2038.5,2045.5,12426.4656
1771016400000,2044.9,2057.7,2044.2,2051.0,6725.2914
1771018200000,2051.0,2053.3,2048.2,2053.1,5365.0302
1771020000000,2053.1,2058.5,2045.0,2050.9,5351.2154
1771021800000,2051.0,2053.0,2046.1,2053.0,1085.2646
1771023600000,2053.2,2053.3,2048.7,2049.7,1329.4948
1771025400000,2049.7,2051.2,2045.8,2047.6,3024.801
1771027200000,2048.0,2049.1,2042.0,2045.8,4935.7559
1771029000000,2046.0,2054.8,2045.1,2053.7,3379.8164
1771030800000,2054.0,2056.5,2049.6,2054.2,4093.2554
1771032600000,2054.4,2055.8,2052.0,2053.7,2523.8016
1771034400000,2053.7,2053.7,2047.3,2048.7,2064.7338
1771036200000,2048.7,2050.7,2047.8,2049.2,430.9283
1771038000000,2049.3,2051.7,2047.5,2050.8,437.1301
1771039800000,2050.8,2054.7,2050.1,2053.6,624.1428
1771041600000,2053.6,2056.3,2051.7,2056.0,895.2941
1771043400000,2055.9,2056.8,2052.5,2052.6,930.4852
1771045200000,2052.5,2055.2,2050.6,2054.0,1456.96
1771047000000,2053.9,2054.6,2049.9,2049.9,3017.1739
1771048800000,2050.0,2052.0,2047.3,2050.9,10691.0432
1771050600000,2051.0,2053.6,2050.0,2052.5,1059.3628
1771052400000,2052.7,2054.8,2051.7,2054.1,516.919
1771054200000,2054.1,2059.7,2049.7,2056.2,10754.7811
1771056000000,2056.2,2089.1,2056.2,2066.8,23157.4805
1771057800000,2066.9,2083.5,2066.9,2081.3,6636.0684
1771059600000,2081.4,2087.8,2075.3,2076.1,4643.3519
1771061400000,2076.1,2082.6,2075.4,2077.2,4773.1202
1771063200000,2077.2,2077.3,2071.6,2073.9,1821.1231
1771065000000,2074.0,2077.0,2073.3,2076.4,1764.7534
1771066800000,2076.4,2105.5,2076.3,2094.8,27805.3124
1771068600000,2095.1,2101.6,2091.9,2098.4,9814.9027
1771070400000,2098.4,2098.7,2089.2,2090.6,11357.5236
1771072200000,2090.7,2091.1,2067.2,2069.8,9795.2957
1771074000000,2069.8,2073.7,2064.5,2068.0,3664.3674
1771075800000,2067.9,2075.0,2065.4,2070.5,3215.8385
1771077600000,2070.6,2076.4,2068.4,2070.5,1855.4675
1771079400000,2070.7,2087.6,2070.6,2084.6,15653.9931
1771081200000,2084.6,2092.3,2080.2,2087.6,4771.931
1771083000000,2087.6,2089.5,2083.4,2086.5,2856.3822
1771084800000,2086.5,2086.8,2066.9,2071.6,13741.2652
1771086600000,2071.6,2083.7,2066.6,2081.9,9644.6248
1771088400000,2082.0,2088.0,2076.7,2083.5,1989.1899
1771090200000,2083.6,2086.6,2077.2,2078.8,9001.2457
1771092000000,2078.8,2084.2,2077.8,2081.5,3886.7515
1771093800000,2081.0,2085.6,2079.7,2084.3,3085.3265
1771095600000,2084.4,2086.4,2077.4,2084.4,5779.4216
1771097400000,2084.4,2088.9,2083.5,2086.8,4932.8511
1771099200000,2087.4,2091.5,2080.3,2084.3,3420.6596
1771101000000,2084.4,2088.9,2083.0,2088.6,2655.5827
1771102800000,2088.8,2097.4,2083.4,2083.9,8225.3641
1771104600000,2083.9,2085.6,2077.8,2085.1,4178.4602
1771106400000,2085.1,2092.0,2083.0,2088.5,3149.4296
1771108200000,2088.5,2093.7,2087.5,2089.5,2347.9616
1771110000000,2089.5,2092.0,2082.8,2087.2,2530.1845
1771111800000,2087.5,2089.2,2084.4,2085.3,1294.4864
1771113600000,2085.4,2089.1,2080.7,2080.9,6221.1961
1771115400000,2080.9,2082.8,2072.0,2078.9,5347.5927
1771117200000,2078.9,2084.0,2056.5,2061.8,5265.2908
1771119000000,2061.2,2065.7,2052.8,2063.0,6066.8771
1771120800000,2062.8,2071.3,2050.6,2056.2,8998.7336
1771122600000,2055.9,2062.5,2045.3,2058.8,6869.1646
1771124400000,2058.5,2062.4,2054.4,2054.7,1818.7847
1771126200000,2054.7,2059.9,2036.1,2058.3,12770.8843
1771128000000,2058.3,2086.2,2058.2,2071.7,16350.9897
1771129800000,2071.8,2080.0,2071.3,2075.5,4292.1308
1771131600000,2075.5,2091.6,2074.4,2089.5,9103.3613
1771133400000,2089.5,2095.1,2087.0,2087.6,7659.0247
1771135200000,2087.5,2092.7,2084.6,2088.9,9274.825
1771137000000,2089.0,2093.4,2081.5,2084.8,5215.9388
1771138800000,2084.8,2089.0,2082.2,2084.4,12293.0954
1771140600000,2084.5,2102.4,2082.7,2090.4,7088.5489
1771142400000,2090.6,2095.8,2075.1,2075.3,14559.1852
1771144200000,2075.3,2076.6,2054.7,2068.1,4252.2857
1771146000000,2068.0,2077.2,2065.2,2073.4,3844.2465
1771147800000,2073.8,2074.2,2066.0,2067.5,1953.0436
1771149600000,2067.5,2069.3,2052.9,2061.9,12960.4932
1771151400000,2061.7,2064.4,2056.0,2060.0,3840.3053
1771153200000,2060.0,2065.6,2058.6,2061.0,5771.6343
1771155000000,2061.1,2061.9,2057.6,2060.5,2276.2114
1771156800000,2060.6,2065.5,2055.2,2065.1,6941.6338
1771158600000,2065.1,2066.5,2009.8,2009.9,18927.952
1771160400000,2009.7,2026.6,2006.7,2006.7,11818.313
1771162200000,2006.8,2012.8,1993.3,2001.3,18328.16
1771164000000,2001.1,2004.8,1992.6,2001.7,9179.2777
1771165800000,2001.7,2011.1,1998.5,2009.3,5344.8427
1771167600000,2009.0,2013.8,2002.3,2002.7,4447.4498
1771169400000,2002.7,2011.2,2001.9,2010.2,3481.0361
1771171200000,2010.1,2010.1,1994.1,2006.8,34262.16
1771173000000,2006.9,2009.9,2001.5,2005.7,7112.2452
1771174800000,2005.8,2008.4,1995.3,1997.3,4407.9758
1771176600000,1997.5,1999.7,1957.3,1970.8,29543.189
1771178400000,1970.3,1980.6,1962.0,1970.2,8930.9279
1771180200000,1970.2,1970.9,1953.1,1958.6,14914.6045
1771182000000,1958.3,1960.7,1934.4,1949.5,29922.5072
1771183800000,1949.1,1949.3,1927.7,1941.3,14470.6879
1771185600000,1941.4,1948.6,1933.2,1948.5,6998.569
1771187400000,1948.5,1957.2,1944.6,1949.0,10848.0273
1771189200000,1949.4,1959.5,1949.0,1954.4,7695.619
1771191000000,1954.2,1964.3,1953.1,1958.3,8688.6131
1771192800000,1958.1,1967.5,1955.8,1962.9,8318.1268
1771194600000,1962.9,1973.8,1962.1,1969.2,3401.7458
1771196400000,1969.4,1969.7,1944.1,1957.9,22601.7316
1771198200000,1957.9,1967.7,1957.9,1965.4,2717.0724
1771200000000,1965.6,1978.3,1963.8,1968.1,7724.4447
1771201800000,1968.0,1973.3,1962.5,1968.4,3033.9479
1771203600000,1968.6,1980.2,1964.2,1965.9,29738.4911
1771205400000,1965.9,1967.7,1955.8,1962.2,4116.4894
1771207200000,1962.0,1965.8,1954.7,1955.7,7497.2083
1771209000000,1956.0,1961.1,1952.2,1955.8,11222.2493
1771210800000,1956.2,1959.0,1948.1,1950.6,3850.5708
1771212600000,1950.6,1958.4,1948.2,1957.9,2152.9795
1771214400000,1957.7,1969.6,1957.5,1967.1,3860.3092
1771216200000,1967.3,1972.1,1963.8,1972.1,1425.5267
1771218000000,1972.2,1973.1,1953.8,1957.7,4778.6999
1771219800000,1957.7,1958.6,1951.8,1957.2,4075.1729
1771221600000,1957.1,1960.3,1955.1,1959.0,1237.081
1771223400000,1959.2,1966.8,1958.6,1966.1,1461.5128
1771225200000,1966.2,1977.6,1963.5,1972.9,3863.1081
1771227000000,1973.2,1975.6,1964.8,1970.2,2766.0684
1771228800000,1970.1,1976.8,1968.9,1973.9,4775.6295
1771230600000,1973.8,1977.2,1970.0,1976.3,1759.662
1771232400000,1976.4,1988.9,1975.4,1985.6,10999.4862
1771234200000,1985.2,1992.3,1981.5,1986.9,6912.9308
1771236000000,1986.6,1987.8,1978.0,1980.3,3545.4167
1771237800000,1980.3,1982.8,1976.6,1977.9,2331.893
1771239600000,1978.0,1982.5,1956.3,1971.1,5483.2555
1771241400000,1971.3,1978.4,1965.4,1975.6,1129.8489
1771243200000,1975.4,1995.0,1971.5,1991.2,6284.8775
1771245000000,1991.3,2008.0,1986.2,2005.5,13205.7023
1771246800000,2005.4,2021.9,1970.0,1977.6,23113.6405
1771248600000,1977.6,1985.8,1960.2,1966.6,14449.9239
1771250400000,1966.4,1973.3,1954.6,1959.1,8226.8007
1771252200000,1959.0,1982.1,1957.6,1972.3,8434.6719
1771254000000,1972.2,1984.4,1962.4,1965.6,22323.4051
1771255800000,1965.4,1965.4,1936.9,1955.7,34770.3513
1771257600000,1955.5,1979.0,1955.4,1970.4,21582.6897
1771259400000,1970.4,1974.8,1960.8,1972.8,9816.9431
1771261200000,1972.6,1977.2,1963.5,1975.9,21121.54
