time,funding_rate,premium
1773842400026,6.25e-06,0.0002218864
1773846000035,-2.2874e-05,-0.0006659838
1773849600009,-7.7648e-06,-0.0004242365
1773853200066,-2.28767e-05,-0.0006660276
1773856800052,-2.58517e-05,-0.0007136279
1773860400045,6.25e-06,-0.0001318881
1773864000055,2.6336e-06,-0.0002578618
1773867600050,-7.7638e-06,-0.0004242207
1773871200035,-5.5053e-06,-0.0003880844
1773874800040,-1.92261e-05,-0.000607617
1773878400090,-2.71541e-05,-0.0007344651
1773882000009,-2.94078e-05,-0.0007705252
1773885600012,-2.51646e-05,-0.0007026339
1773889200041,-2.85809e-05,-0.0007572945
1773892800010,-2.42518e-05,-0.0006880288
1773896400090,-3.21383e-05,-0.0008142132
1773900000052,-3.80781e-05,-0.00090925
1773903600107,-3.78812e-05,-0.0009060989
1773907200064,-1.41838e-05,-0.0005269407
1773910800026,-2.19805e-05,-0.0006516877
1773914400123,-3.56904e-05,-0.000871046
1773918000052,-2.77302e-05,-0.0007436833
1773921600006,-1.74059e-05,-0.000578495
1773925200045,-1.05853e-05,-0.0004693644
1773928800059,1.1625e-06,-0.0002813999
1773932400002,-6.543e-07,-0.0003104693
1773936000031,-2.41148e-05,-0.0006858363
1773939600011,-3.55147e-05,-0.0008682353
1773943200049,-3.13263e-05,-0.0008012206
1773946800024,-5.4397e-06,-0.0003870347
1773950400037,-3.0013e-06,-0.0003480212
1773954000022,-1.5378e-06,-0.0003246045
1773957600001,6.25e-06,-9.15669e-05
1773961200001,2.4781e-06,-0.0002603511
1773964800103,-3.0625e-06,-0.0003489995
1773968400073,-2.4583e-06,-0.0003393321
1773972000053,-7.8225e-06,-0.0004251594
1773975600072,-5.8098e-06,-0.0003929568
1773979200004,-7.0549e-06,-0.0004128778
1773982800107,-3.3878e-06,-0.0003542054
1773986400096,-1.4548e-06,-0.0003232762
1773990000012,-2.0029e-06,-0.000332046
1773993600003,-5.0468e-06,-0.0003807495
1773997200021,-2.299e-06,-0.0003367838
1774000800063,-8.0257e-06,-0.0004284106
1774004400048,-5.5363e-06,-0.0003885814
1774008000087,-6.9834e-06,-0.0004117337
1774011600148,-3.9398e-06,-0.0003630373
1774015200115,-2.26897e-05,-0.0006630345
1774018800034,-2.14921e-05,-0.0006438735
1774022400074,-1.38709e-05,-0.0005219336
1774026000075,-2.909e-07,-0.0003046547
1774029600035,-1.12793e-05,-0.0004804689
1774033200044,2.3372e-06,-0.0002626047
1774036800034,2.3809e-06,-0.0002619051
1774040400007,-1.96007e-05,-0.0006136114
1774044000000,0.0001086367,0.0020381873
1774047600047,8.51919e-05,0.0016630708
1774051200093,6.25e-06,-0.000158121
1774054800011,-3.27178e-05,-0.0008234854
1774058400032,-2.12783e-05,-0.0006404525
1774062000013,-2.19986e-05,-0.0006519779
1774065600040,6.25e-06,-9.79678e-05
1774069200041,6.25e-06,-1.2645e-05
1774072800066,6.25e-06,0.0003367885
1774076400010,6.25e-06,-6.30233e-05
1774080000075,6.25e-06,0.0002340088
1774083600064,3.21065e-05,0.0008137038
1774087200000,1.37754e-05,0.0005204067
1774090800008,-9.1711e-06,-0.0004467373
1774094400094,6.25e-06,-3.51117e-05
1774098000015,1.48448e-05,0.0005375167
1774101600045,6.7056e-06,0.0004072889
1774105200051,3.9147e-05,0.0009263518
1774108800039,6.25e-06,0.0003251442
1774112400032,6.25e-06,-1.36862e-05
1774116000020,6.25e-06,-0.0001650553
1774119600057,6.25e-06,8.12392e-05
1774123200073,6.25e-06,0.0003817463
1774126800086,6.25e-06,0.0003971135
