time,open,high,low,close,volume
1775221200000,23934.0,23955.0,23925.0,23953.0,68.9756
1775222100000,23952.0,23952.0,23942.0,23944.0,18.4965
1775223000000,23943.0,23945.0,23937.0,23941.0,13.915
1775223900000,23941.0,23944.0,23937.0,23938.0,22.3057
1775224800000,23937.0,23942.0,23937.0,23940.0,18.2226
1775225700000,23941.0,23942.0,23939.0,23940.0,8.5063
1775226600000,23939.0,23940.0,23929.0,23930.0,41.593
1775227500000,23931.0,23931.0,23929.0,23930.0,6.986
1775228400000,23930.0,23930.0,23924.0,23929.0,16.1249
1775229300000,23930.0,23930.0,23925.0,23925.0,12.9057
1775230200000,23926.0,23926.0,23920.0,23921.0,20.4968
1775231100000,23922.0,23924.0,23921.0,23924.0,11.7222
1775232000000,23923.0,23924.0,23916.0,23917.0,18.1311
1775232900000,23918.0,23921.0,23914.0,23917.0,24.4195
1775233800000,23917.0,23918.0,23916.0,23918.0,4.1997
1775234700000,23917.0,23919.0,23917.0,23917.0,9.6946
1775235600000,23918.0,23919.0,23917.0,23917.0,9.9653
1775236500000,23918.0,23918.0,23914.0,23915.0,14.3668
1775237400000,23915.0,23915.0,23909.0,23914.0,8.7751
1775238300000,23913.0,23915.0,23913.0,23914.0,5.549
1775239200000,23915.0,23917.0,23906.0,23914.0,26.0844
1775240100000,23914.0,23914.0,23912.0,23912.0,3.4473
1775241000000,23913.0,23913.0,23912.0,23912.0,6.7499
1775241900000,23913.0,23913.0,23912.0,23913.0,6.8608
1775242800000,23913.0,23916.0,23907.0,23914.0,20.5238
1775243700000,23914.0,23915.0,23913.0,23914.0,2.6225
1775244600000,23913.0,23914.0,23909.0,23911.0,8.6916
1775245500000,23911.0,23912.0,23910.0,23910.0,5.4951
1775246400000,23911.0,23914.0,23910.0,23913.0,5.4206
1775247300000,23912.0,23915.0,23909.0,23910.0,10.2818
1775248200000,23910.0,23911.0,23910.0,23910.0,1.5777
1775249100000,23911.0,23913.0,23910.0,23912.0,4.5286
1775250000000,23913.0,23913.0,23909.0,23910.0,6.6632
1775250900000,23910.0,23911.0,23906.0,23907.0,9.6333
1775251800000,23907.0,23913.0,23883.0,23904.0,47.5682
1775252700000,23904.0,23905.0,23904.0,23904.0,4.7092
1775253600000,23904.0,23909.0,23904.0,23909.0,5.0
1775254500000,23909.0,23910.0,23908.0,23909.0,3.1983
1775255400000,23909.0,23910.0,23888.0,23898.0,15.7703
1775256300000,23898.0,23899.0,23887.0,23888.0,3.6372
1775257200000,23888.0,23897.0,23888.0,23893.0,21.0187
1775258100000,23893.0,23917.0,23889.0,23891.0,36.0872
1775259000000,23892.0,23892.0,23885.0,23887.0,9.2064
1775259900000,23887.0,23889.0,23887.0,23889.0,6.7507
1775260800000,23888.0,23889.0,23888.0,23888.0,2.772
1775261700000,23888.0,23889.0,23888.0,23888.0,6.8107
1775262600000,23888.0,23891.0,23888.0,23890.0,0.8996
1775263500000,23891.0,23898.0,23887.0,23887.0,13.9714
1775264400000,23887.0,23888.0,23881.0,23882.0,9.8082
1775265300000,23881.0,23884.0,23873.0,23874.0,8.1317
1775266200000,23873.0,23873.0,23860.0,23866.0,15.8961
1775267100000,23866.0,23868.0,23865.0,23866.0,2.5907
1775268000000,23867.0,23875.0,23866.0,23873.0,9.3294
1775268900000,23874.0,23898.0,23873.0,23898.0,13.3961
1775269800000,23898.0,23913.0,23897.0,23911.0,8.855
1775270700000,23911.0,23916.0,23901.0,23904.0,12.2235
1775271600000,23904.0,23905.0,23893.0,23899.0,6.8776
1775272500000,23900.0,23900.0,23886.0,23887.0,6.8087
1775273400000,23888.0,23888.0,23885.0,23885.0,3.7984
1775274300000,23885.0,23886.0,23870.0,23871.0,6.5918
1775275200000,23871.0,23885.0,23871.0,23884.0,5.1009
1775276100000,23885.0,23895.0,23884.0,23894.0,6.7694
1775277000000,23895.0,23900.0,23894.0,23899.0,4.4717
1775277900000,23900.0,23900.0,23899.0,23899.0,6.2096
1775278800000,23899.0,23904.0,23895.0,23897.0,15.0857
1775279700000,23897.0,23898.0,23893.0,23896.0,5.5614
1775280600000,23896.0,23896.0,23892.0,23894.0,8.5466
1775281500000,23894.0,23895.0,23870.0,23870.0,20.0332
1775282400000,23871.0,23876.0,23867.0,23867.0,20.0653
1775283300000,23868.0,23869.0,23867.0,23868.0,12.4093
1775284200000,23868.0,23870.0,23867.0,23870.0,7.2509
1775285100000,23870.0,23888.0,23858.0,23885.0,54.1508
1775286000000,23885.0,23889.0,23880.0,23889.0,8.3045
1775286900000,23888.0,23903.0,23886.0,23894.0,22.4081
1775287800000,23895.0,23898.0,23893.0,23897.0,7.8501
1775288700000,23897.0,23901.0,23873.0,23886.0,23.4534
1775289600000,23887.0,23896.0,23885.0,23888.0,12.6567
1775290500000,23889.0,23896.0,23886.0,23889.0,9.2232
1775291400000,23888.0,23889.0,23883.0,23883.0,12.3506
1775292300000,23884.0,23884.0,23880.0,23881.0,12.3849
1775293200000,23881.0,23881.0,23878.0,23879.0,13.2879
1775294100000,23879.0,23883.0,23877.0,23882.0,8.3519
1775295000000,23883.0,23883.0,23882.0,23882.0,6.8606
1775295900000,23883.0,23887.0,23882.0,23885.0,8.5841
1775296800000,23886.0,23886.0,23884.0,23885.0,6.0206
1775297700000,23885.0,23885.0,23880.0,23880.0,8.9508
1775298600000,23880.0,23885.0,23880.0,23885.0,4.443
1775299500000,23884.0,23893.0,23884.0,23890.0,7.3712
1775300400000,23890.0,23902.0,23890.0,23897.0,8.7074
1775301300000,23896.0,23904.0,23895.0,23896.0,9.4451
1775302200000,23895.0,23902.0,23884.0,23885.0,11.0734
1775303100000,23884.0,23885.0,23881.0,23882.0,4.9177
1775304000000,23881.0,23883.0,23879.0,23880.0,7.3672
1775304900000,23881.0,23883.0,23880.0,23882.0,9.2397
1775305800000,23882.0,23891.0,23880.0,23890.0,7.8194
1775306700000,23890.0,23891.0,23889.0,23890.0,5.2904
1775307600000,23890.0,23890.0,23881.0,23886.0,6.1408
1775308500000,23887.0,23888.0,23886.0,23888.0,1.1627
1775309400000,23888.0,23888.0,23876.0,23883.0,6.2348
1775310300000,23882.0,23883.0,23876.0,23883.0,4.1494
1775311200000,23882.0,23887.0,23878.0,23880.0,6.3742
1775312100000,23879.0,23881.0,23869.0,23870.0,8.1092
1775313000000,23871.0,23871.0,23865.0,23865.0,2.043
1775313900000,23866.0,23868.0,23863.0,23865.0,9.6663
1775314800000,23865.0,23894.0,23863.0,23887.0,28.3411
1775315700000,23887.0,23887.0,23863.0,23870.0,25.6937
1775316600000,23869.0,23870.0,23869.0,23870.0,0.341
1775317500000,23869.0,23894.0,23869.0,23890.0,16.9412
1775318400000,23890.0,23894.0,23885.0,23885.0,2.8064
1775319300000,23885.0,23886.0,23883.0,23884.0,0.9576
1775320200000,23883.0,23912.0,23883.0,23912.0,18.2319
1775321100000,23910.0,23924.0,23889.0,23891.0,11.8827
1775322000000,23890.0,23891.0,23890.0,23891.0,0.7711
1775322900000,23890.0,23891.0,23890.0,23891.0,0.2888
1775323800000,23890.0,23922.0,23890.0,23922.0,9.4894
1775324700000,23921.0,23922.0,23906.0,23907.0,8.2359
1775325600000,23908.0,23909.0,23907.0,23907.0,2.8271
1775326500000,23908.0,23908.0,23899.0,23899.0,9.4321
1775327400000,23900.0,23900.0,23890.0,23892.0,2.3756
1775328300000,23892.0,23892.0,23885.0,23885.0,2.9998
1775329200000,23885.0,23923.0,23885.0,23907.0,20.1726
1775330100000,23908.0,23924.0,23907.0,23922.0,15.9334
1775331000000,23921.0,23931.0,23893.0,23907.0,24.968
1775331900000,23907.0,23909.0,23890.0,23895.0,7.9916
1775332800000,23896.0,23897.0,23895.0,23897.0,3.005
1775333700000,23897.0,23897.0,23896.0,23896.0,3.1023
1775334600000,23896.0,23896.0,23891.0,23892.0,3.7552
1775335500000,23892.0,23895.0,23891.0,23894.0,2.6376
1775336400000,23894.0,23898.0,23894.0,23897.0,2.9399
1775337300000,23898.0,23901.0,23892.0,23900.0,6.4162
1775338200000,23901.0,23901.0,23896.0,23897.0,3.4702
1775339100000,23896.0,23896.0,23880.0,23884.0,8.7314
1775340000000,23884.0,23885.0,23883.0,23885.0,2.651
1775340900000,23885.0,23895.0,23884.0,23892.0,5.4708
1775341800000,23893.0,23903.0,23892.0,23902.0,5.1736
1775342700000,23902.0,23907.0,23901.0,23907.0,2.1743
1775343600000,23907.0,23907.0,23901.0,23905.0,4.3875
1775344500000,23904.0,23909.0,23904.0,23908.0,6.9747
1775345400000,23908.0,23908.0,23897.0,23905.0,9.5385
1775346300000,23905.0,23905.0,23897.0,23897.0,5.1157
1775347200000,23896.0,23900.0,23890.0,23891.0,5.1782
1775348100000,23891.0,23902.0,23891.0,23902.0,6.8418
1775349000000,23901.0,23911.0,23901.0,23911.0,4.8546
1775349900000,23911.0,23912.0,23905.0,23910.0,4.6021
1775350800000,23910.0,23910.0,23908.0,23908.0,1.699
1775351700000,23908.0,23909.0,23902.0,23904.0,3.978
1775352600000,23903.0,23905.0,23895.0,23896.0,2.6116
1775353500000,23896.0,23896.0,23895.0,23896.0,1.9167
1775354400000,23896.0,23896.0,23895.0,23896.0,1.5997
1775355300000,23896.0,23896.0,23886.0,23887.0,6.258
1775356200000,23887.0,23888.0,23883.0,23885.0,2.8724
1775357100000,23885.0,23885.0,23870.0,23873.0,10.6926
1775358000000,23873.0,23875.0,23873.0,23874.0,2.4435
1775358900000,23875.0,23876.0,23875.0,23875.0,2.1752
1775359800000,23876.0,23876.0,23871.0,23873.0,9.6991
1775360700000,23874.0,23874.0,23865.0,23865.0,5.14
1775361600000,23866.0,23866.0,23862.0,23865.0,4.2671
1775362500000,23866.0,23874.0,23865.0,23870.0,6.2269
1775363400000,23870.0,23874.0,23867.0,23867.0,8.9708
1775364300000,23867.0,23872.0,23866.0,23866.0,3.6176
1775365200000,23867.0,23875.0,23865.0,23865.0,15.2277
1775366100000,23867.0,23867.0,23861.0,23861.0,5.0072
1775367000000,23862.0,23862.0,23858.0,23858.0,8.6873
1775367900000,23858.0,23859.0,23858.0,23858.0,1.6617
1775368800000,23858.0,23859.0,23857.0,23857.0,8.2486
1775369700000,23857.0,23858.0,23850.0,23850.0,7.895
1775370600000,23850.0,23851.0,23843.0,23846.0,5.1737
1775371500000,23846.0,23846.0,23839.0,23839.0,14.7766
1775372400000,23840.0,23847.0,23839.0,23844.0,10.7691
1775373300000,23845.0,23852.0,23840.0,23845.0,7.7196
1775374200000,23845.0,23846.0,23838.0,23841.0,4.1139
1775375100000,23841.0,23864.0,23841.0,23863.0,11.3251
1775376000000,23863.0,23866.0,23863.0,23866.0,2.578
1775376900000,23866.0,23875.0,23865.0,23875.0,8.5177
1775377800000,23873.0,23875.0,23871.0,23871.0,9.2045
1775378700000,23869.0,23875.0,23865.0,23867.0,14.3896
1775379600000,23867.0,23873.0,23863.0,23868.0,5.9514
1775380500000,23868.0,23873.0,23865.0,23870.0,7.8903
1775381400000,23870.0,23873.0,23868.0,23869.0,12.3256
1775382300000,23870.0,23870.0,23862.0,23868.0,12.4603
1775383200000,23868.0,23870.0,23867.0,23869.0,6.897
1775384100000,23869.0,23869.0,23851.0,23856.0,13.0411
1775385000000,23857.0,23866.0,23856.0,23863.0,6.9321
1775385900000,23863.0,23864.0,23862.0,23864.0,6.6546
1775386800000,23863.0,23864.0,23863.0,23864.0,3.3888
1775387700000,23863.0,23864.0,23851.0,23852.0,9.1629
1775388600000,23852.0,23853.0,23845.0,23849.0,7.1831
1775389500000,23847.0,23847.0,23830.0,23832.0,8.4435
1775390400000,23833.0,23839.0,23830.0,23832.0,14.3213
1775391300000,23833.0,23844.0,23820.0,23831.0,30.6537
1775392200000,23830.0,23834.0,23824.0,23824.0,12.4674
1775393100000,23824.0,23830.0,23824.0,23825.0,7.9474
1775394000000,23825.0,23830.0,23824.0,23825.0,8.6897
1775394900000,23825.0,23830.0,23825.0,23828.0,8.4214
1775395800000,23828.0,23829.0,23827.0,23829.0,8.5029
1775396700000,23829.0,23835.0,23828.0,23831.0,17.982
1775397600000,23832.0,23842.0,23828.0,23839.0,12.8119
1775398500000,23839.0,23840.0,23824.0,23827.0,19.498
1775399400000,23827.0,23865.0,23825.0,23851.0,23.4869
1775400300000,23852.0,23858.0,23845.0,23850.0,11.9839
1775401200000,23850.0,23858.0,23847.0,23857.0,9.7987
1775402100000,23858.0,23871.0,23856.0,23871.0,10.1459
1775403000000,23870.0,23928.0,23869.0,23906.0,52.5667
1775403900000,23906.0,23909.0,23886.0,23907.0,18.1784
1775404800000,23906.0,23911.0,23900.0,23907.0,16.7583
1775405700000,23906.0,23918.0,23900.0,23904.0,15.5521
1775406600000,23904.0,23922.0,23901.0,23906.0,10.8287
1775407500000,23907.0,23907.0,23890.0,23890.0,14.8168
1775408400000,23890.0,23891.0,23881.0,23884.0,5.0949
1775409300000,23884.0,23887.0,23880.0,23883.0,6.5018
1775410200000,23882.0,23905.0,23882.0,23904.0,11.1729
1775411100000,23904.0,23906.0,23896.0,23897.0,7.8542
1775412000000,23897.0,23899.0,23881.0,23890.0,13.5037
1775412900000,23889.0,23890.0,23881.0,23887.0,8.0583
1775413800000,23887.0,23916.0,23884.0,23916.0,19.0446
1775414700000,23915.0,23924.0,23900.0,23901.0,38.8941
1775415600000,23901.0,23925.0,23899.0,23921.0,27.1883
1775416500000,23920.0,23947.0,23901.0,23947.0,49.2707
1775417400000,23947.0,23965.0,23946.0,23956.0,30.2596
1775418300000,23955.0,23955.0,23936.0,23939.0,11.5377
1775419200000,23939.0,23939.0,23938.0,23939.0,2.0265
1775420100000,23939.0,23939.0,23929.0,23935.0,5.7952
1775421000000,23935.0,23967.0,23928.0,23959.0,17.1299
1775421900000,23958.0,23960.0,23946.0,23952.0,8.5191
1775422800000,23950.0,23979.0,23950.0,23956.0,18.9757
1775423700000,23956.0,23980.0,23956.0,23958.0,22.3891
1775424600000,23958.0,23971.0,23957.0,23971.0,17.7257
1775425500000,23970.0,23988.0,23962.0,23980.0,38.9356
1775426400000,23979.0,23985.0,23810.0,23853.0,486.9292
1775427300000,23851.0,23892.0,23840.0,23886.0,252.3374
1775428200000,23883.0,23902.0,23859.0,23884.0,184.1258
1775429100000,23882.0,23922.0,23872.0,23906.0,119.0578
1775430000000,23907.0,23920.0,23868.0,23894.0,308.1616
1775430900000,23893.0,23912.0,23882.0,23892.0,147.4126
1775431800000,23893.0,23910.0,23893.0,23903.0,122.5603
1775432700000,23902.0,23914.0,23897.0,23913.0,116.9546
1775433600000,23913.0,23992.0,23913.0,23974.0,511.6978
1775434500000,23972.0,24014.0,23965.0,23986.0,276.3037
1775435400000,23986.0,24019.0,23986.0,24015.0,135.0625
1775436300000,24016.0,24030.0,24007.0,24027.0,94.4592
1775437200000,24027.0,24042.0,24027.0,24036.0,87.7443
1775438100000,24036.0,24055.0,24014.0,24050.0,104.7478
1775439000000,24049.0,24057.0,24019.0,24040.0,94.9208
1775439900000,24039.0,24043.0,24004.0,24013.0,87.9538
1775440800000,24012.0,24090.0,24008.0,24076.0,141.1786
1775441700000,24078.0,24144.0,24071.0,24128.0,243.1418
1775442600000,24128.0,24133.0,24074.0,24084.0,116.6566
1775443500000,24083.0,24087.0,24043.0,24044.0,36.6463
1775444400000,24043.0,24048.0,24014.0,24014.0,69.9362
1775445300000,24015.0,24029.0,23956.0,24001.0,249.9834
1775446200000,24000.0,24015.0,23993.0,24012.0,63.4931
1775447100000,24013.0,24035.0,24010.0,24032.0,65.2151
1775448000000,24031.0,24065.0,24029.0,24044.0,63.5751
1775448900000,24044.0,24052.0,24039.0,24045.0,28.0516
1775449800000,24045.0,24075.0,24041.0,24069.0,43.4185
1775450700000,24070.0,24078.0,24063.0,24070.0,32.6836
1775451600000,24071.0,24083.0,24069.0,24077.0,17.743
1775452500000,24078.0,24085.0,24070.0,24071.0,72.9353
1775453400000,24072.0,24072.0,24034.0,24045.0,124.7489
1775454300000,24046.0,24054.0,24032.0,24049.0,36.8142
1775455200000,24049.0,24098.0,24038.0,24098.0,84.9907
1775456100000,24093.0,24093.0,24044.0,24047.0,59.6582
1775457000000,24045.0,24056.0,24037.0,24051.0,35.108
1775457900000,24051.0,24106.0,24039.0,24073.0,186.2051
1775458800000,24074.0,24080.0,24026.0,24042.0,77.483
1775459700000,24043.0,24071.0,24043.0,24056.0,64.9116
1775460600000,24056.0,24108.0,24056.0,24095.0,81.0678
1775461500000,24095.0,24147.0,24093.0,24131.0,228.0823
1775462400000,24132.0,24157.0,24131.0,24147.0,158.4191
1775463300000,24148.0,24180.0,24138.0,24171.0,111.4564
1775464200000,24171.0,24219.0,24166.0,24209.0,237.6206
1775465100000,24210.0,24211.0,24185.0,24187.0,97.0726
1775466000000,24188.0,24212.0,24184.0,24196.0,162.555
1775466900000,24196.0,24214.0,24187.0,24199.0,167.264
1775467800000,24199.0,24207.0,24191.0,24191.0,69.8377
1775468700000,24192.0,24199.0,24154.0,24157.0,92.7045
1775469600000,24158.0,24178.0,24148.0,24169.0,48.952
1775470500000,24170.0,24174.0,24149.0,24165.0,37.524
1775471400000,24163.0,24176.0,24158.0,24164.0,25.4397
1775472300000,24166.0,24167.0,24056.0,24135.0,202.7726
1775473200000,24136.0,24136.0,24106.0,24109.0,48.8008
1775474100000,24109.0,24132.0,24106.0,24122.0,38.7502
1775475000000,24122.0,24134.0,24113.0,24115.0,29.5713
1775475900000,24116.0,24135.0,24115.0,24125.0,15.249
1775476800000,24126.0,24129.0,24116.0,24123.0,25.1688
1775477700000,24124.0,24138.0,24110.0,24132.0,38.0927
1775478600000,24130.0,24149.0,24124.0,24136.0,115.8095
1775479500000,24137.0,24158.0,24121.0,24126.0,54.7852
1775480400000,24126.0,24132.0,24095.0,24128.0,41.0712
1775481300000,24127.0,24133.0,24073.0,24084.0,99.7484
1775482200000,24085.0,24189.0,24067.0,24146.0,581.2686
1775483100000,24147.0,24229.0,24147.0,24229.0,458.8757
