time,funding_rate,premium
1770681600013,6.25e-06,-7.16697e-05
1770685200012,6.25e-06,8.95113e-05
1770688800055,5.7389e-06,-0.0002081778
1770692400057,6.25e-06,-0.0001485216
1770696000071,-2.15e-07,-0.0003034398
1770699600024,-2.00393e-05,-0.000620629
1770703200028,6.25e-06,-0.0001274279
1770706800090,6.25e-06,-0.0001277434
1770710400018,-8.191e-07,-0.0003131054
1770714000041,6.25e-06,-0.0001498151
1770717600028,8.882e-07,-0.0002857889
1770721200100,6.25e-06,-0.0001897061
1770724800032,6.25e-06,5.9377e-06
1770728400106,6.25e-06,0.0003002257
1770732000038,6.25e-06,0.0003165188
1770735600006,6.25e-06,0.0002188004
1770739200009,6.25e-06,0.0002085663
1770742800070,9.133e-06,0.0004461275
1770746400065,6.25e-06,0.0002086041
1770750000015,6.25e-06,0.0002940264
1770753600053,6.25e-06,0.0001705506
1770757200100,6.25e-06,0.000191779
1770760800070,6.25e-06,0.0001756043
1770764400016,-1.94971e-05,-0.0006119539
1770768000036,6.25e-06,0.0001175518
1770771600007,6.25e-06,0.0001442655
1770775200051,6.25e-06,0.0002537252
1770778800098,6.25e-06,0.0001978357
1770782400071,6.25e-06,0.0002439623
1770786000030,6.25e-06,0.0002950669
1770789600005,6.25e-06,6.92669e-05
1770793200062,6.25e-06,9.55396e-05
1770796800095,6.25e-06,0.0001742756
1770800400114,6.25e-06,0.0001376714
1770804000048,6.25e-06,0.0002188728
1770807600086,6.25e-06,0.0002509045
1770811200022,6.25e-06,0.0002273263
1770814800055,6.25e-06,0.0001151931
1770818400087,6.25e-06,0.0002482448
1770822000012,6.25e-06,0.0003968174
1770825600074,6.25e-06,0.0002414592
1770829200077,6.25e-06,0.0003235759
1770832800062,6.25e-06,0.0002800447
1770836400045,6.25e-06,0.0002798973
1770840000051,6.25e-06,0.0001089521
1770843600053,6.25e-06,0.0001434485
1770847200067,6.25e-06,0.000197235
1770850800087,6.25e-06,-6.0315e-05
1770854400006,6.25e-06,0.0002037135
1770858000034,6.25e-06,0.00029189
1770861600037,6.25e-06,0.0002053691
1770865200057,6.25e-06,7.01626e-05
1770868800004,6.25e-06,-3.34726e-05
1770872400075,6.25e-06,6.35283e-05
1770876000077,6.25e-06,0.0001757269
1770879600029,6.25e-06,-2.79256e-05
1770883200036,6.25e-06,-0.0001265221
1770886800054,6.25e-06,0.0002147881
1770890400022,6.25e-06,0.0002589557
1770894000008,6.25e-06,0.00016127
1770897600064,6.25e-06,0.0001066265
1770901200056,6.25e-06,4.9776e-05
1770904800023,6.25e-06,8.73691e-05
1770908400004,6.25e-06,0.0002436064
1770912000043,2.14522e-05,0.0006432349
1770915600026,6.25e-06,0.0002063034
1770919200015,6.25e-06,0.0002334877
1770922800053,6.25e-06,0.0002168149
1770926400037,6.25e-06,0.0002256866
1770930000043,6.25e-06,0.0001363003
1770933600010,6.25e-06,6.48358e-05
1770937200072,6.25e-06,0.0001925187
1770940800092,6.25e-06,0.0002314779
1770944400083,6.25e-06,0.0001391114
1770948000050,6.25e-06,7.58015e-05
1770951600009,6.25e-06,0.0001946352
1770955200087,6.25e-06,0.0002568983
1770958800083,6.25e-06,4.62175e-05
1770962400070,6.25e-06,3.77797e-05
1770966000056,6.25e-06,-5.5618e-06
1770969600018,6.25e-06,-7.77031e-05
1770973200087,6.25e-06,-3.20838e-05
1770976800004,6.25e-06,7.39518e-05
1770980400117,6.25e-06,3.09774e-05
1770984000059,6.25e-06,5.7009e-05
1770987600040,6.25e-06,5.84217e-05
1770991200092,6.25e-06,-9.03112e-05
1770994800081,6.25e-06,2.61191e-05
1770998400038,6.25e-06,-3.954e-07
1771002000023,6.25e-06,5.97406e-05
1771005600120,6.25e-06,-9.27039e-05
1771009200063,6.25e-06,-7.38382e-05
1771012800048,6.25e-06,-0.000142829
1771016400056,-1.155e-06,-0.0003184801
1771020000018,6.25e-06,-0.0001939172
1771023600072,6.25e-06,-8.9405e-05
1771027200041,6.25e-06,0.000257505
1771030800085,1.66564e-05,0.0005665025
1771034400103,6.25e-06,0.000256651
1771038000007,-1.39229e-05,-0.0005227672
1771041600098,-1.00672e-05,-0.0004610747
1771045200016,6.25e-06,-0.0001234232
1771048800103,6.25e-06,-4.62444e-05
1771052400037,6.25e-06,-4.71338e-05
1771056000001,6.25e-06,2.0531e-06
1771059600050,6.25e-06,0.0002680852
1771063200086,0.0001106248,0.0020699967
1771066800026,5.80045e-05,0.0012280727
1771070400125,2.59715e-05,0.0007155436
1771074000083,6.25e-06,9.77455e-05
1771077600055,6.25e-06,-0.0001319879
1771081200081,-8.8548e-06,-0.0004416771
1771084800035,-5.3669e-06,-0.0003858701
1771088400075,-1.05566e-05,-0.0004689056
1771092000102,4.272e-06,-0.0002316478
1771095600005,6.25e-06,-0.000197784
1771099200071,1.9981e-06,-0.000268031
1771102800056,6.25e-06,-0.000131716
1771106400045,6.25e-06,-6.0138e-06
1771110000022,6.25e-06,0.000283373
1771113600102,6.25e-06,0.0001414064
1771117200052,6.25e-06,1.45247e-05
1771120800088,6.25e-06,-0.0001350949
1771124400093,-5.74036e-05,-0.001218457
1771128000058,-6.44401e-05,-0.001331042
1771131600004,-7.59853e-05,-0.0015157652
1771135200027,-3.35339e-05,-0.0008365419
1771138800020,-1.28704e-05,-0.000505927
1771142400027,6.25e-06,4.87509e-05
1771146000043,6.25e-06,0.0003392186
1771149600001,6.25e-06,0.0003152742
1771153200015,1.33193e-05,0.000513108
1771156800014,3.15241e-05,0.0008043854
1771160400012,6.25e-06,0.0002280823
1771164000023,-2.83866e-05,-0.000754185
1771167600014,6.25e-06,9.23043e-05
1771171200083,6.25e-06,0.0001714496
1771174800027,6.25e-06,0.0001735081
1771178400006,8.5929e-06,0.0004374866
1771182000023,6.25e-06,-4.69606e-05
1771185600060,6.25e-06,4.53415e-05
1771189200008,1.15028e-05,0.0004840452
1771192800058,5.71081e-05,0.00121373
1771196400053,1.21851e-05,0.0004949609
1771200000071,-3.166e-06,-0.0003506558
1771203600023,-1.622e-06,-0.000325952
1771207200070,-7.1115e-06,-0.0004137845
1771210800088,-9.5157e-06,-0.0004522517
1771214400033,-8.3391e-06,-0.000433425
1771218000025,-1.06014e-05,-0.000469623
1771221600006,-9.9007e-06,-0.000458411
1771225200043,5.4655e-06,-0.0002125525
1771228800025,-6.3936e-06,-0.000402297
1771232400002,-1.08957e-05,-0.0004743307
1771236000026,-1.2987e-05,-0.0005077924
1771239600000,6.25e-06,-0.0001936078
1771243200075,6.25e-06,-0.000154566
1771246800013,4.0557e-06,-0.0002351093
1771250400083,6.25e-06,-0.0001423102
1771254000037,6.25e-06,-0.0001285054
1771257600099,4.1588e-06,-0.0002334594
1771261200019,5.6021e-06,-0.0002103658
1771264800138,6.25e-06,-9.9859e-06
1771268400072,-5.3617e-06,-0.0003857875
1771272000001,-4.00975e-05,-0.0009415595
1771275600070,-9.39207e-05,-0.0018027317
1771279200043,1.76802e-05,0.0005828834
1771282800088,7.62658e-05,0.001520252
1771286400063,6.25e-06,-0.0001182017
1771290000070,6.25e-06,-5.569e-05
1771293600032,6.25e-06,-3.52989e-05
1771297200021,6.25e-06,-3.00162e-05
1771300800061,6.25e-06,-6.32008e-05
1771304400038,6.25e-06,-0.0001347039
1771308000104,-1.97585e-05,-0.0006161357
1771311600044,-5.8709e-06,-0.0003939348
1771315200015,-6.3199e-06,-0.0004011192
1771318800082,-9.495e-07,-0.0003151923
1771322400097,1.0372e-06,-0.0002834052
1771326000042,-7.943e-07,-0.0003127093
1771329600044,-4.5013e-06,-0.0003720205
1771333200044,-3.4338e-06,-0.0003549406
1771336800063,-2.6671e-06,-0.0003426735
1771340400062,-8.3836e-06,-0.0004341371
1771344000071,-1.86673e-05,-0.0005986771
1771347600038,-1.00559e-05,-0.0004608939
1771351200030,-1.46462e-05,-0.0005343387
1771354800003,-9.9048e-06,-0.0004584768
1771358400062,-7.0625e-06,-0.0004130007
1771362000058,-7.6526e-06,-0.0004224416
1771365600051,-2.41e-05,-0.0006856005
1771369200070,6.25e-06,-4.81973e-05
1771372800021,-1.71346e-05,-0.0005741532
1771376400085,-1.47681e-05,-0.0005362888
1771380000067,-2.0906e-05,-0.0006344953
1771383600005,-5.243e-06,-0.0003838881
1771387200016,1.5787e-06,-0.0002747409
1771390800053,4.5742e-06,-0.0002268125
1771394400013,-3.822e-07,-0.0003061157
1771398000044,-1.27678e-05,-0.0005042855
1771401600085,-1.01931e-05,-0.0004630895
1771405200065,-1.09916e-05,-0.0004758656
1771408800081,-1.22366e-05,-0.0004957852
1771412400026,-1.12189e-05,-0.0004795029
1771416000017,-7.6231e-06,-0.0004219703
1771419600034,-1.06876e-05,-0.0004710017
1771423200046,-1.4543e-05,-0.0005326876
1771426800043,-2.13596e-05,-0.0006417528
1771430400046,-3.56636e-05,-0.0008706183
1771434000010,-3.96087e-05,-0.0009337399
1771437600003,-3.93425e-05,-0.0009294808
1771441200072,-4.07022e-05,-0.0009512357
1771444800039,-3.94992e-05,-0.0009319866
1771448400040,-1.76153e-05,-0.0005818455
1771452000035,-1.32141e-05,-0.000511426
1771455600022,-3.0394e-06,-0.0003486303
1771459200054,-7.7528e-06,-0.0004240449
1771462800073,-1.44033e-05,-0.0005304535
1771466400079,-5.2652e-06,-0.0003842435
1771470000021,1.129e-06,-0.0002819359
