time,open,high,low,close,volume
1640995200000,46210.57,46530.99,46210.55,46378.6,4200.624
1640997000000,46378.59,46729.73,46358.97,46650.01,4756.841
1640998800000,46650.0,46944.56,46570.34,46799.99,4458.342
1641000600000,46799.99,46868.0,46705.87,46766.78,2817.907
1641002400000,46767.44,46917.87,46759.65,46810.24,2537.671
1641004200000,46810.23,46850.0,46709.44,46796.14,1941.042
1641006000000,46796.15,46888.0,46746.32,46794.13,2150.681
1641007800000,46794.13,46886.0,46784.84,46789.56,2058.311
1641009600000,46789.55,46868.74,46605.0,46693.01,3502.147
1641011400000,46694.98,46828.41,46625.0,46690.81,2647.151
1641013200000,46690.81,47492.38,46657.99,47377.99,8252.228
1641015000000,47377.37,47566.66,47122.22,47184.18,6735.78
1641016800000,47184.19,47314.4,47073.35,47120.22,3730.539
1641018600000,47120.22,47230.29,46914.84,46972.19,3744.301
1641020400000,46972.19,47046.0,46867.0,46950.34,3221.079
1641022200000,46950.35,47247.44,46936.5,47186.83,3006.794
1641024000000,47186.83,47338.0,47060.74,47305.26,3772.353
1641025800000,47304.98,47310.77,47080.02,47117.84,2522.162
1641027600000,47118.78,47200.0,47053.91,47082.73,2007.465
1641029400000,47082.74,47143.64,46920.02,47137.37,3504.969
1641031200000,47137.01,47293.76,46794.57,46859.99,5684.13
1641033000000,46859.99,47085.89,46700.09,46864.09,6175.108
1641034800000,46867.57,47003.92,46859.36,46956.19,2388.957
1641036600000,46955.63,46987.45,46750.0,46755.01,3366.143
1641038400000,46755.01,47013.98,46755.01,46954.99,2715.626
1641040200000,46955.0,47148.0,46938.65,47062.37,3287.047
1641042000000,47062.37,47200.0,46967.0,47015.73,3609.53
1641043800000,47015.72,47075.27,46907.65,47005.55,2245.652
1641045600000,47005.55,47105.19,46924.18,47018.78,2254.788
1641047400000,47018.78,47033.01,46830.23,46909.2,3081.107
1641049200000,46909.2,47021.99,46860.2,47009.82,1667.434
1641051000000,47009.82,47488.64,46991.19,47194.78,9432.546
1641052800000,47194.77,47500.0,47157.59,47452.77,5222.733
1641054600000,47452.76,47477.93,47222.18,47249.99,3755.462
1641056400000,47250.0,47346.0,47220.03,47306.6,2359.869
1641058200000,47306.6,47943.77,47304.49,47733.16,11464.855
1641060000000,47733.16,47832.04,47584.27,47622.75,3752.398
1641061800000,47622.75,47649.88,47400.44,47546.74,6102.332
1641063600000,47546.74,47603.9,47313.04,47382.0,3052.793
1641065400000,47380.22,47399.86,47278.67,47326.98,2756.054
1641067200000,47326.99,47431.84,47223.0,47401.44,2395.965
1641069000000,47401.44,47549.98,47328.07,47385.22,3509.062
1641070800000,47385.21,47533.59,47324.18,47350.79,2194.4
1641072600000,47350.8,47485.88,47262.48,47322.2,2966.724
1641074400000,47322.19,47415.05,47202.47,47387.13,2561.447
1641076200000,47387.13,47484.48,47360.64,47428.16,2067.495
1641078000000,47428.17,47480.0,47267.08,47425.52,2929.446
1641079800000,47424.79,47813.43,47356.46,47704.35,4866.094
1641081600000,47704.35,47745.61,47352.58,47541.16,4892.316
1641083400000,47541.15,47699.86,47483.82,47622.14,3338.963
1641085200000,47622.14,47633.11,47406.26,47453.88,2431.428
1641087000000,47453.88,47481.25,47312.99,47381.21,1965.41
1641088800000,47381.21,47454.65,47308.0,47330.2,2355.766
1641090600000,47330.21,47432.46,47282.5,47374.28,1833.327
1641092400000,47374.29,47400.16,47263.28,47384.59,1972.53
1641094200000,47384.59,47470.0,47274.59,47330.75,2050.441
1641096000000,47330.76,47418.65,47283.06,47309.99,1610.038
1641097800000,47309.99,47386.49,46749.99,46902.11,11429.776
1641099600000,46903.89,46998.87,46821.92,46937.13,3875.819
1641101400000,46937.12,47091.58,46909.23,47077.7,3658.738
1641103200000,47076.58,47198.29,47005.3,47105.14,3207.038
1641105000000,47105.14,47250.0,47061.74,47122.49,2784.483
1641106800000,47122.49,47209.69,47085.82,47176.08,1736.061
1641108600000,47176.08,47294.01,47088.25,47171.04,3014.607
1641110400000,47171.39,47229.12,46963.66,47160.61,3283.641
